micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
dont l’une avoit non Morgue la fee 	dont lune auoit nom morgain la fee. 	dont li vne auoit a non Morgue la fee.	donc lunne auoit a nom margam lafee/	dont lune estoit morgain la fee. 	dont lune estoit morgue la fee. 	que yban conella  y la vna hera morgai hermana del Rey artur 	donde l’una era Morgana la fata 
et l'autre Sedile la roine, 	et lautre sebile la royne. 	et lautre sebile e lenchanterece. 	et laultre auoit a nom sibille lenchanteresse 	et lautre auoit non sebille lenchanterresse. 	La seror le roi artu.  et lautre auoit non sebile Lanchanteresce. 	y la otra hera sevilla 	e l’altra avea nome Sibilla la ncanteressa: 
et ce estoient les III. fames ou monde 	cestoyent les deux femmes  ou monde 	Et ce estoient les. ij. femmes del monde 	Et cestoient les trois femmes du monde 	Et ce estoient les .iii. fames del monde 	et sestoient les .iii. fames el monde 	y estas tres heran las dueñas del mundo 	ciò erano le tre femine del mondo 
qui plus savoient d’anchantement et de charaies sanz la Dame del Lac. 	qui plus sauoient denchantemenseit de charays sans la dame du lac.	qui plus sauoient denchantemens sans la dame del lac. 	qui plus sauoient de enchantement sans la dame du lac.	qui plus sauoient denchantement et de charoies. sanz la dame. del lac. 	qui plus sauoient danchanntement et de charaies fors la dame del lac. et	que mas sauian de encantamientos de caraturas  saluo la Reyna de norgales 	che più sapevano d’incantamento e di sperimenti, sanza la dama de Lac. 
Et por ce qu’eles en savoient tant,  tant s’entramoient eles  si qu’eles chevauchoient ensemble toz dis et buvoient et manjoient. 	Et pour ce  quelles en sauoient  tant sen entremectoient elles  et cheuanchoient tousiours ensemble  et y beuoyent 	Et la royne dist 	Et pour ce  quelle en sauoit tant sentre amoient elles  si que elles cheuauchoient tousiours ensemble.  et buuoient et mengoient 	Et por ce qu eles en sauoient tant sentramoient eles  si  et que eles cheuauchoient touzdis ensemble  et beuoient et mengoient. 	por ce  queles en sauoient  tant sentrammoient elles  si queles cheuauchoient tous iors ensanble  et menioient 	y la dueña del lago  y porque ellas sauian  mas andauan deconsuno y la Reyna dixo alas otras 	E per ciò  ch’elle ne sapevano. tanto si traamavano elle ssil  ch’elle cavalcavano tutto di insieme,  e mangiavano 
					et beuoient. 		
	et mangeoyent. 						
Et ele dist  qu’ele velt aler veoir  cui cil chevax est: 	Et elle dit  quelle ueult aler ueoir  qui est ce cheualier. 	que elle veult aler ueoir 	et elle dit  que elle uouloit aller ueoir  a qui ce cheual estoit 	Et ele dit  que ele uelt aler. ueoir  qui cil cheuax est. 	et ele dient  quel wellent aler uoir  cui ciz cheuaus est. 	yo quiero hauer aquel Cauallero  que alli esta 	e bevevano. Ella dice  ch’ella vuole andare a vedere cu' quel cavallo est, 
si fait touz les chevaliers arester et enmoinne o li les II. gentilz dames.  Si vont cele part a cheval 	et fait arme de tous les cheualiers. Les troys gentilz dames sen uont celle part au cheual et treuuent lancelot 	qui cils cheuals est. si vait cele part tout a cheual 	Si fait tous ses cheualiers arrester/  et emmaine auec elle les trois ieunes dames. Elles uont celle part 	si fet toz ses cheualiers arrester.  et enmaine o li les .iii. gentilz dames.  si uont cele part a cheual. 	Si fait tous ses cheualiers arester. et emmainne auec li ses .ii. dames  si tourne cele part tout a cheual. 	y luego fiçieron estar los cauallos quedos  y fueronse alla contra  do estaua el cauallo paçiendo 	si fa tutti suoi cavalieri ristare e mena con esso lei le due genti dame.  Si vanno in quelle parti a cavallo 
et trouverent Lancelot  qui encore dormoit molt fermement. 	qui encores dormoit moult fierement. 	et trueue lancelot  qui encore dormoit.	et treuuent lancelot  qui se dormoit fermement 	et trueuent lanc̃. qui encore dormoit molt fermement. 	et trueuent lanc̃.  qui encor dormoit mout bien. 	y fallaron a don lançarote que dormia muy fuertemente 	e trovarono Lancelloto  ch’ancora dormia molto fermamente. 
Et eles le resgardent moult longuement, eles le voient de si grant biauté 	Et elles le regardent moult fort.  et elles li uoyent de si grant beaute 		Et celles le regardent moult longuement  et le uoient de si grant beaute 	et eles le regardent molt longement. et le uoient de si grant biaute. 	Ele le regarderent mout longuement.  et le uirent si bel 	y ellas lo cataron gran pieça  y vieronlo mas fermoso que otro / ome terrenal 	'Elle il riguardavano molto lungamente  e 'l vidono di si gran biltà 
qu’il ne resamble mie ,	quil ne resemble		quil ne resemble pas 	quil ne resemble mie. 	qu il ne sanble mie	e la Reyna de floresta dixo alas otras  pordios dueñas agora podedes ver 	ch’elli non rasembia mica 
si com il dient, home charnel, 	pas comme elles dient homme charnel. 		sicomme elles dient homme mortel 	si comme il dient home charnel. 	si comme ele dient hons mortex. 	que esta es la mas fermosa cosa del mundo 	si come huomo,  si com'elle dicono. 
mes chose faée. 	mais chose fee. 		mais chose faee 	mes chose faee. 	Mais chose faee. 	que yo nunca vi 	ma cosa fatta per arte. 
Et la roine qui primes parole dist a chascunne compaigne: « 	Et la royne qui premiere parle dist a chascune compaigne. 	et la royne dist a ses compaignes 	Et la royne  qui premierement parle dit a ses compaignes. 	Et la royne  qui primes parole dit ases compaignes. 	et la roine qui primes parole dit a ses compangnes. 	e mucho se deuia preçiar la dueña 	Eslla reina,  che n prima parlò, disse a sue compagne:
Par Dieu, dame, vos poez bien dire  que onques mais ne veistes si bel tousel. 	Par dieu dames bien pouez dire  qu oncques mais ne ueistes plus bel damoisel. 	que vous onques mais ne ueistes nulle si bele cose. 	Par dieu dames uous pouez bien dire  que oncquesmais ne ueistes si belle chose 	par diex dames uous poez bien dire  que onques mes ne ueistes nul si bel touse. 	Par dieu dames uous poez bien dire  que uos ne ueistes piesa nul si bel tonset. 	que sobre tal Cauallero hubiese poder y asi me ayude dios yo querria tanto 	Per Dio, dame, vo' potete ben dire  ch’unque mai no ne vedeste uno si bello truciolato. 
Si m’aïst Diex,  a mon avis molt se porroit prisier la dame 	Si maist dieu a mon aduis bien se pourroit priser la dame 	Isi mait diex a mon auis.  Moult se deuroit priser la dame 	Si maist dieu  et mon auiz celle dame se pourroit moult priser 	Si mait diex a mon auis molt se porroit prisier la dame 	Si maist diex a mon auis mout ce porroit faire la dame lie	que el me amase  ami 	Se m’aiuti ldio, a mio aviso si si potrebbe molto pregiare la dama 
qui de tel tousel avroit la seingnorie 	qui de tel damoisel auroit la seignorie. 	qui de tel homme auroit la seingnorie.	qui de tel cheualier auroit la seigneurie. 	qui de tel cheualier. auroit la seignorie. 	qui de tel home auo̶roit la signorie. 	como aquien me diese otra Cosa 	che di questo cavaliere arebbe la segnoria, 
et pleust ore a Dieu 	et pleust ores a dieu 	et pleust ore a dieu 	Et pleust ore a dieu 	et pleust ore a dieu 	et pleust ore a dieu	y toda la tierra del Rey artur 	e piacesse ora a Dio 
		quil maimast ore autretant : 					
que il m’amast autant com chevaliers  ama onques plus damoisele. 	quil mamast autant que oncquez cheualier ama damoisele. 	comme nul cheualier ama onques nulle dame. 	qu il me aymast autant  que oncques cheualier aymast damie. 	quil mamast autant comme cheualier.  ama onques plus dame. 	quil mammast ore autant  comme il anma onques dame nulle. 	y pluguiese a dios que me amase tanto como nunca cauallero amo a dueña 	ch’elli m’amasse altretanto  come cavaliere amò unque più dama. 
Si m’aïst Diex, je m’en tandroie a plus riche  que se je avoie toutes les terres dou monde en mon demainne. — 	Si maist dieu ie men tiendroye a plus riche  que si iauoye touties les terres du monde a mon dommaine 	si mait diex ie me tendroie a plus riche dame.  que se il auoie tote la terre del monde en ma baillie. 	Si maist dieu ie me tendroie a plus riche  que se ie auoie toutes les terres du mende en men demaine 	Si mait diex ge me tendroie a plus riche  que se iauoie toutes les terres del monde en mon demaine. 	Si maist diex ie mon tanroi a plus riche :  que ce ie auoie totes les terres del monde A mon demainne. 	Pordios dixo morgana 	e m’aiuti ldio, i' mi terei a più rica che s’io avessi tutte le terre del mondo a mi' 
Ha, dame, fait Morgue, molt seroit ore mielz emploiez en moi  qu’en vos,  car je sui de millors genz  que vos n’estes,  encor soiez vos roine ;  si sai plus cortoisie et honor  que vos ne savez,  et  por ce m’ameroit il plus  et tanroit plus richement 	Haa dame fait morgain. moult seroit ores mieulx emploe en moy que en uous  car ie suys de meilleur gent  que uous toute royne  que uous estes.  si scay plus de courtoise et donneur 	Ha : dame fet morgain moult seroit ore mieuz enploie en moi :  que en uous.  quar ie sui de meilleur gent. et de plus haut lignage  que uus niestes. encore soiez uous roingne.  et por ce me tendroit il plus chiere et plus mameroit	Haa dame dit morgain mieulx seroit emploie en moy que en uous:  car ie suis de meilleurs gens que uous nestes ia soit ce  que uous soiez royne  Si scay plus auoir courtoisie que uous:  et pour ce me aymeroit il mieulx et me tendroit psus chierement 	Ha: dame fet morgain. molt seroit or miex enploie en moi que en uous.  quar ge sui de meilleur gent  qe uous nestes. encor soies uous roine.  Si sai plus cortoisie et honeur  que uous ne sauez.  et  por ce mameroit il plus  et tendroit plus chierement	ha: dame fait Morgue miex ceroit enploiez a moi  qua uous.  Car ie fui de plus hautes gens et de millors  que uos nestes. encor soiez uos Roine. Si sai ge plus donor et de cortoissie  que uos ne sauez. et por ce me tandroit plus richement 	mucho seria empleado enmi su amor  que no es envos  que aunque seades Reyna yo so de mayor guisa  que no vos  y para tanto se yo  que me querria  e me pertenesçia  mas que avos pordios dixo seuilla  mas aguisado seria 	dimino.—Hal, dama, disse Morgana, molto sarebbe ora meglio impiegato in me  che in voi, ch’i' sono I di miglio r genti  che vo' non siete, ancora siate voi reina;  si so più cortesia e honore  che vo non sapete,  e perciò m’amerebbe elli più ertterebbe più caramente 
qu’il ne feroit vos. — Enon Deu, I-  qui plus savoient uenchanteniens suns la dame der Eac.  Et la royne dist  que elle veult aler veoir  qui cils chevals est,	que uous.  et pour ce mameroit il 	que vos. En non dieu fet lautre dame  qui auoit non sebile: encore le deuroie ie auoir mieuz  que vous. 	quil ne feroit uous. Eu nom dieu fist lautre celle 	quil ne feroit uous.  En non dieu fet lautre dame. cele 		que el amase ami que no avos  que yo so mas niña e mas fermosa y mas pagadera  que non vosotras y todo ome  que entendimiento ouiese vien creo 	che non farebbe voi.  — nome di Dio, disse la terza dama 
si vait cele part tout a cheval  et trueve Lancelot 	et tendroit plus chierement 	quar ie sui plus bele et plus ione et plus enuoiscas else de uos. ii. si le sauroie mieuz seruir a sa uolente. 				que ante se pagaria demi e me escojeria 	
qui encore dormoit.  Et la royne dist a ses compaignes 		et por ce me semble il : 	qui auoit nom sebille encores le deuroie ie mieulx auoir que uous 	qui auoit non sebille . 	et me tandroit chiere. et memmeroit plus de uous. 	que no a vos Agora dixo la Reyna 	ch’avea nome Sibilla, ancora il dovere io meglio avere 
que vous vous poés bien dire  que vous MN onques mais ne veistes nulle si bele cose.  Or vous dirai 		que fuousl uos en deuez bien tere del parlerl  Or vous dirai 	car ie suis plus belle et plus gente et plus enuoisiee que uous nestes. 			yo vos dire  que fagamos despertemosle 	
que nous ferons, fait la royne.  Esveillons le. — Enon Dieu, fait Morgains, 		que nous ferons fait la royne. esueillons le  et nos offrons totes a son seruise.  Et telle  quil uoudra detenir remaingne O lui. Enon dieu fait morgains. 				e prometamosle cadavna su seruiçio 	
ensi ne le ferons nous mie,  mais je vous dirai 	quil ne feroit uous. 	ensi ne le ferons nous mie.  mais ie vous dirai 				y dela que mas se pagare aquella finque conel Pordios 	
que oh en face. Faisons faire une biere chevaleresce, si l’enportons, ch’est li mieldres cors 		que on en face. Faisons faire vne biere cheualeresce. si lenportons. chest li mieldres cors 				dixo morga 	
que jou y voie, 		que iou y uoie. 					che vo', 
et le portons. el chastel de la charete. — 		et le portons al chastel de la charete. 					
Par foy, font Lors comniandent a lors chevaliers 		Par foy font elles vous dites bien. LOrs commandent a lors cheualiers 					
qu’il aillent colper der bois;  et cil si firent, si orent tost fait une litiere.  Et les dames  si orent tost Lancelot si enchanté  qu’il n’a pooir de soi lever.  Lors firent encortiner la fait l’autre dame 	Certes dist lautre dame 	quil aillent colper del bois.  Et cil  si firent.  si orent tost faite vne litiere.  Et les dames si orent tost lancelot si enchante  quil na pooir de soi leuer.	si le sauroie mieulx seruir a sa uoulente  que uous ne sauriez. 	encor le deuroie ge miex auoir que uous. Car ge sui plus bele et plus ioene. et plus enuoisie 	En non dieu fait lautre dame  qui auoit non cebile encor le deuoi ie miex auoir que uus. 	que non sera bien  que si lo despertamos 	ch’i' sono più bella e più giovane e più invisiosa 
qui avoit a non Sedile,  encor le devroie je mielz avoir  que nule de vos,  car je sui plus bele et plus anvoisie et plus jone de vos, 	qui auoit nom sebile encor le deuroye ie mieulx auoir que nulle de uous  car ie suys plus belle et plus enuoisie que uous nestes 			que nule de uous. 	Car ie le sauroie miex seruir de uous 	e non quisiere tomar ninguna denos seriamos muy desonrradas 	che nulla di voi: 
si le savroie mielz servir  et avoir a ma volenté,  et  por ce me samble il que vos vos en devez bien taire  et moi parler. —  Or vos dirai, fait la roine, 	si le sauroye mieulx seruir et auoir a ma uoulente.  et par ce ne semble il  que uous uous en deuez bien taire  et ie parler.  Or uous diray fait la royne 		Et pource me semble il  que uous uous en deuez bien taire.  et moy parler.  Or uous diray fait la royne 	si le sauroie miex auoir que uous  et seruir a ma uolente .  Et  por ce me semble il  que uous en deuez bien tere  et moi parler .  or uous diroi fet la royne 	et auoir a ma uolente. et por ce me sambl  que uos uous en deuez bien taire et Ie parler.  Or uous dirai ge fait la roine 	si nos asi esquiuase  mas que vos dire 	si l saprei meglio servire e avere a mia volontà,  e perciò m’è elli bene aviso  che vo' voi ne dovete ben trarre  e me pigliare. — Or vo dirò io, disse la reina, 
que nos ferons: esvillons le et nos offrons toutes a son servise  et cele 	que nous ferons esueillons le  et nous offrons toutes a son seruice.  et celle 		que nous ferons. Esueillons le  et nous offrons toutes a sen seruice.  et celle 	que nous ferons. esueillons le.  et nous offrons toutes a son seruise  Et cele 	que nous ferons. esueillons le  et nous offrons del tout a son seruisse.  et cele	que fagamos mandemos fazer vnas andas 	che no' faremo: noi lo sveglieremo  e no proferemo tutte al su' servigio,  e quella ch’e' vorà ritenere 
qu’il voldra tenir remaingne a son servise avec lui. — Ennon Deu, fait Morgue, 	quil uoudra retenir demourra a sa uoulente auecquez luy. 		quil uouldra retenir demeure auec lui.  Par dieu fist morgain 	quil uoudra retenir remaingne auec lui.  En non dieu fet morgain. 	cui il uodra retenir remaingne auec lui.  An non dieu fait morgue		si rimagna con esso lui.  — vAl nome di Dio, disse Morgana, 
einsi nel ferons nos mie, 	Certes fait morgain ne ferons 		ainsi ne ferons pas 	einssi ne le ferons nous mie. 	ainsi me ail mie. 		ilnlsi no faremo mica, 
car se nos l’esveillons,  espoir il ne daingneroit panre nule de nos II. 	car ie croy  que si nous lesueillons  quil ne daigneroit prendre lune de nous troys. 		car se nous lesueilliens il ne daigneroit prendre nulle de nous trois. 	Car se nous lesueillion espoir il ne daigneroit prendre nule de nous .iii. 	Car se nous lesueilliens espoir il ne daingneroit panre nulle de nos .iii. 	y encantemoslo asi que no pueda despertar 	ché se noi lo svegliamo, finspondere† egli non degneretbe prendere nulla di no tre: 
et ainsi serions nos honnies,  s’il nos refusoit. Mes ge vos dirai  que l’an face: faisons faire I. biere chevaleresce  et ce est li mielz  que je i voie,  et l'anchantons 	et sil nous refusoit nous serions honnies.  mais ie uous diaray  que nous ferons faisons faire une bierte cheualeresse  et lenchantons 		ainsi seriens nous honnies  sil nous refusoit:  mais ie uous diray 	Et einssi serion nous honies  sil nous refusoit.  mes ge uous dirai  que len face. faison faire une biere cheualierece.  et ce est li miex.  que gi uoie. et lenchanton. 	et ainsis ceriens nous homes cil nus refussoit.  mais ie uos loerai  que nous ferons . faissons faire une biere cheualeresse  et lenchantons 	enquanto quisieremos  y pongamoslo enlas andas 	insi saren noi onite, s’egli noi rifiuta.  a i' vo dirò  che l’uom farà: facciàn fare una biera cavalcheresca,  ciò è il meglio  ch’i' ne vega,  e-llo ncantiamo si 
si qu’il ne se puisse esveillier devant que nos voudrons,  si le couchons anz et l’an faisons porter. avec nos au chastel de la Charete,  et ce est li mielz 	si qu il ne se peusse esueiller  iucqua ce que nous uondrons.  et le coucherons dedans et le faisons porter au chastel de la charite  auec nous.  cest le meilleur 		que nous ferons Faisons faire une biere cheualerresse  et le faisons porter iusques au chasteau de la charrecte cest le mieulx 	si quil ne se puisse esueillier  deuant que nous uoldrons.  si le couchon enz et len feson  Auec nous porter dusques au chastel de la charete.  et ce est li miex 	si quil ne puit esuelleer  deuant que nous uorons.  Si le faisons dedans couchier.  et le faisont porter duc au clastel de la cherreste.  Ce est ly miex 	y lleuemoslo al Castillo dela Carreta 	che non si possa isvegliare davanti  che no voremo.  Si l corichiamo dentro  e facciamo con esso noi portare infino al castello della Caretta, erceiò è l meglio 
que je i voie, 	que ie y uoye. 		que ie y uoie: 	que ge i uoie. 	que ie i uoie.		chi' ne vega, 
car quant nos l’avrons an nostre pooir, il fera plus tost  quanque nos voudrons. — 	car quant nous larons en nostre pouoir il fera plus tost ce  que nous uondrons. 		car quant nous laurens en nostre pouoir il fera plus tost  quanque nous uouldrens. 	Car quant nous lauron en nostre pooir. il fera plus tost 	Car quant nos larons en nostre prison. Il fera  quenque nous uodrons maugre Suen. 	y desque ay fuere abia de fazer quanto nos quisieremos a mal desu grado 	ché quando noi l’aremo in nostro podere,  e egli farà più tosto quanto  che no voremo. 
Par foi, font eles, vos dites le miels. »  Lors conmandent a lor chevaliers a couper del bois 	Certes fist elle uous dictes le mieulx  Lors commandent a leurs cheualiers coper du boys tant		Par dieu font elles uous en dictes le mieulx.  LOrs commandent a leurs cheualiers a coupper du bois 	quanque nous uoldron par foi font eles uous dites le miex. LOrs commandent a lor cheualiers a colper del bois. 	Par foi font eles uous dites bien.  Lors commandent a lor cheualiers a coper dou bois 	Pordios dixeron las otras 	— ePer fé, dicon ellono,  vo ne dite il meglios. Allora comandarono a llor cavalieri a colpare del bosco 
tant qu’il aient une biere chevaleresce  et il le firent errent einsi  com eles l’orent conmandé :  si orent tost faite la biere  et les dames firent lor anchantement. 	quilz ayent une biere cheualeresce.  et ilz le firent  si comme il leur eut commande.  et fu tantost faicte la biere . Les dames firent leur enchantement 		tant quilz aient une biere cheualerresse  Et il le font incontinent.  Si eurent tost faicte la biere  et les dames firent leur enchantement. 	tant quil aient une biere cherece.  Et il le firent einssi  comme eles orent commande.  Si orent tost fete la biere.  Et les dames firent lor enchantement. 	tant qu il aient une biere cheualeresce.  et il le font tout errant  ainsi  com il lor fu commande.  si orrent tost fait la biere.  et les dames font lor enchantemens 	vos dezides el mejor consejo  que aya 	tanto ch’egli abino una biera cavalcheresca,  e quegli il feciono tostamente  si com'elle avieno  comandato.Si ebbono tosto fatto la biera,  e-lle dame feciono loro incamentamento: 
Siont Lancelot tel atorné  qu’il n’a pooir de soi relever 	et ont lancelot tel atourne  qu il na pouoir de soy releuer 		Si ont lancelot tellement attourne 	Si ont lanc̃. tel atorne.  quil na pooir desueillier soi  tant	si ont tel lanc̃ atorne  quil ne ce puet en nulle maniere esuillier. 	Como don lançarote fazia muy gran duelo 	si ànno Lancelotto tale aconcio  che non à potere di svegliare sé, 
tant com eles volsisent et firent encortiner la biere d’unne coute pointe 	iucqua ce quelles ueulent  et firent encourtiner la biere dune cortepointe. 	Lors firent encortiner la biere dune kieute pointe. 	quil na pouoir de soy esueillier. apres firent encourtiner la biere de une coutepointe: 	comme eles uolsissent.  et firent.  et firent encortiner la biere dune coutepointe.	tant comme eles wellent.  Et eles font encortiner la litiere dune coutepointe. 	por quanto se fallo ansi ençerrado enla Camara 	tanto com'elle vogliono;  e feciono incortinare la bara d’una coltre punta, 
et mestent a la biere le cheval Lancelot devant et. I. palefroi derriers; 	Et mectent a la biere son cheual et ung palefroy derriere. 		et misdrent a la biere le cheual de lancelot deuant:  et ung pallefroy derriere. 	Et metent a la biere le cheual lanc̃. deuant  Et .i. palefroi derriere. 	puis i mestent lanc̾.  Si latornent 		e misono alla biera il cavallo di Lancelotto dinanzi e un palafreno di dietro:  e
si l’emporterent en tel manniere  et chevaucherent  si que, ançois que nuiz fust, vindrent au chastel de la Charete 	si lemporterent en tel maniere  et cheuaucherent  tant quilz uindrent au chastel de la charite  auant 	Si vindrent aincois que nuis fust au chastel de la charreter. 	Si lemporterent en telle maniere  et cheuaucherent si asprement  que ains quil feust nuit uindrent au chasteau de la charrecte 	Si lenportent en tel maniere  et cheualchent.  si que aincois que nuiz fust uindrent au chastel de la charrete. 	si:  quil na pooir de lui retorner.  et mestent a la biere le cheual lanc̃.  Si lenportent en tel maniere.  et cheuauchent tant que ansois  quil fust nuis oscure uindrent au chastel de la charrete. 	do lo hauian metido las tres dueñas 	si ne 'l portano in tale maniera  e cavalcano  si che anzi che notte fosse vennono al castello della Caretta; 
	quil fust nuyt. 						
et il estoit ainsi apelez  por ce que Lanceloz i passa an charrete celui 	Et il estoit ainsi appelle par ce  que lancelot y passa en la charrete celuy iour		qui ainsi fut appelle pour ce que lancelot y passa en la charrecte celui 	Et il estoit einssi apelez  por ce que lancelot i passa en charrete. celui iour 	et il estoit ainsis apeles por ce que lancelos i passa celui ior 	ENtonçes mandaron tajar Ramas y baras 	e egli era insi chiamato per ciò  che Lancelotto il passò in caretta quel giorno
jor que Meleagant enmena la roine Genievre el reaume de Gorre, 	que meleagean emmena la royne guenieure ou royaume de gorre 		iour  que meleagant emmenoit la royne genieure au royaume de gorre 	que meleagrant enmena la royne genieure el royalme de gorre. einssi 	que meleagant enmena la roine Guenieure el roiaume de gorre. 		che Meleagante ne menò la reina Ginevra nel reame di Gora,  insi
ainsi com li contes vos a devisé. Quant il furent venu au chastel  et il orent Lancelot descendu, 	ainsi comme le comte a deuise.  Quant il furent uenu au chastel  et il eurent descendu lancelot 	Et quant il orent lancelot descendu. 	ainsi comme le compte uous a deuise.  Quant ilz furent uenus au chasteau  et ilz eurent lancelot descendu 	comme li contes nos a deuise  quant il furent uenu au chastel.  et il orent lanc̃. descendu. 	ensi con li contes la deuisse quant il furent uenu el chastel  et il orrent lanc̃ descendu: 	y mandaron fazer vnas andas 	come il conto vo à divisato.  Quand’e furono venuti al castello della Caretta, ebono Lancelotto disceso, 
si le firent mestre en une bele chambre fort  et oscure  ou il a n’avoit que I. huis et Il. fenestres de fer. 	si le firent mectre en une belle chambre fort et obscure  ou il ny auoit que ung huys et deux fenestres de fer. 	si le firent metre en vne cambre.  ou il nauoit  que vn huis et. ij. fenestres de fers . 	si se firent mettre en une belle chambre forte et seure ou il nauoit que ung huis et deux barres de fer. 	si le firent metre en une bele chambre fort et seure.  ou il nauoit que .i. huiz. et .ii. fenestres de fer. 	si le firrent mestre en une chambre fort  ou il nauoit  que .ii. fenestres de fer. et .i. huis  qui ot demi piet despes. et ert tous de fer. 		si l feciono mettere in una molto bella camera, forte e sarata,  ove non aveva che uno uscio e due finestre di ferro. 
Maintenant desfirent lor anchantement 	Lors deffirent leur enchantement. 	Et lors desfirent lor enchantement. 	MAaintenant desfirent leurs enchantemens: 	Maintenant desfirent lor enchantement. 	Maintenant desfirrent lor enchantemens 		nantanente disfeciono le dame loro incantamenti 
et il s’esveilla tantost  et resgarda tout entor lui et vit grant planté de chandeilles 	et il sesueilla tantost et regarda tout entour luy et uy grant plante de chandeles. 	et il sesueilla tantost  et regarda tout entor lui  si vit grant plente de candeilles 	et il sesueilla tantost et uist moult grant clarte entour lui. 	et il sesueilla tantost.  et regarda tout entour lui.  et uit grant plente de chandoilles 	et il sesuilla tantost. et regarda tout entor lui et uit grant plante de chandoiles. Il ce coumance a sangnier 		ed e si lsjvegliò tantosto  e riguarda tutto intorno sé,  e vide gran quantità di candele alluminate; 
et il se conmança a saingnier et dist a soi meesme: « Sainte Marie,  ou sui je ? Par foi, ce est anchantement 	et il se commence a seignier  et dist a soy mesmes.  Haa saincte marie ou suys ie.  Par ma foy cest enchantement 	si se commencha a seignier  et dist a soi meisme. sainte marie dame 	Si se commenca a seignier  et dit a soy mesmes. Saincte marie 	et il se commence a seignier  Et dist a soi meismes. sainte marie  ou sui ge: par foi ce est enchantement 	et dit a soi meisf̶mes. Sainte marie ou sui ge par foi cest enchantemens 		e egli si comincia a segnare  e disse a ssé medesimo:  eSanta Maria, ove son io?  Per fé, ciò è incantamento ch’i' veggio, 
que je voi,  car orandroit je me couchai desouz l’ombre d’un pomier en une forest. 	que ie uoy.  Car ie mestoye nagueres couche soubz lombre dung pommier. 	ou sui iou. Iou me coulchai orendroit dormir desouz lombre dun pomier. 	ou suis ie ie me conchay soubz sombre dun pommier.	que ie uoi.  Car orendroit  que ge me colchai dormir. desouz lombre dun pommier en une forest 	que ieuoi.  Car orandroit  que ie me couchai dormir sous lombre dun pomier en une forest 		ché oraindiritto mi coricai a dormire di sotto un'ombra d’un pome in una foresta 
et or me sui ci trouvez  ne sai en chastel ou en forteresce ou en tel leu	Et or me suys ie cy trouue en chastel  ou en forteresce en tel lieu 	et or me sui troues iou ne sai ou en chastel. ou en forteresce. 	or me suis cy trouue/  ne scay en chasteau ou en forteresse et en tel lieu 	et or me sui ci trouuez.  ne sai en chastel ou en forteresce.  et en tel lieu 	et or me sui troues en une chambre  ne sai ou en chastel ou en tor. ne 		e or mi sono qui trovato,  non so o in castello o in forteza, e n tal luogo 
ou je ne connois home ne fame.  Par foi,  ou je sui enfantosmez 	ou ie ne cognoys homme ne femme.  certes ie suys en fantosme 	ne ni voi homme ne femme. par foy  ou iou sui enfantosmes. 	que ie ny congnoiz homme ne femme.  Par ma foy fist il  ou ie suis enchante/ 	ou ge ne connois home home ne fame. par foi  ou ge sui enfantosmez 	ni quenois home ne fame.  par foi  ou ie Sui enchantes 		ov’io non conosco né uomo né femina.  Per fé, io sono infantasimato, io non so 
ou je ne sai que dire de moi. » 	ou ie ne scay que dire de moy. 	ou iou ne sai  que dire de moi meismes. 	ou ie ne scay que dire de moy. 	ou ge ne sai que dire de moi. 	ou ie ne sai que dire de moi. 		che dir di mes. 
Lors li sovient de Lion 	Lors luy souuint de lyon 	Lors li souient de son cheual 	Lors lui souuient de lyonnel 	lors li souuient de lyon 	LOrs li souuient de lionnel 		Allor si ricorda di Lion 
qui delez lui ert couchiez, 	qui estoit couche pres de luy. 	quil auoit laissie deles lui. 	lequel estoit empres lui couchie. 	qui lez lui ert couchiez. 	qui cestoit couchiez deioste lui. 		che dallato li era coricato, 
si resgarde entor lui por savoir 	si regarde entour luy  pour sauoir 	Si a regarde tout entor lui  por sauoir 	si commenca a regarder entour lui  pour ueoir 	Si regarde entour lui  por sauoir 	si regarde cil le uerroit 		si riguarda intorno sé  per sapere 
							s’egli 
s’il le trouvast;  et quant il voit  qu’il n’i est mie,  si est tant dolanz 	sil le trouuera.  et quant il uoit  quil ne est pas  si en est tant doulent 	se il le uerroit.  Et quant il voit  quil ni est mie si est tant dolans 	sil le trouueroit.  Et quant il uoit  quil ny est pas  si est tant dollent 	sil le trouast.  Et quant il uoit quil ni est mie.  si est tant dolenz 	et quant il ne le uoit  si est si dolens 		trovasse;ve quand’e vede  che non v’è mica,  si è tanto dolente 
qu’il ne set 	quil ne sceit 	quil ne set 	quil ne scait 	que il ne set	quil ne seit 		che non sa
qu’il doie dire,  et dist 	quil doit faire.  et dit 	quil doie dire et dist 	quil doit faire.  si dit a soy mesmes	quil doie dire.  et dit 	qu il puisse deuenir.  et dit 		che debbia dire,  e dice 
que deable l’ont aporté ça. 	que les deables lont emporte. 	que dyables lont la aporte. 	que dyables lauoient porte iusques la. 	que dyables lont aporte ca. 	que diable lont amene la. 		che diavoli l’ànno apportato nel luogo. 
Aprés ne demoura gueres 	Apres ne demoura gueres 	Apres ce ne demora gaires 	APrez ce ne demoura gaires 	Apres ce ne demora gueres 	apres ce ne demora gueres 		Appresso ciò non dimora guari 
