micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
dont il vient  et ou il vet et quele aventure le maine si sol,  et il li conte une partie de son estre  et autre l’en çoile e; et totes voies li dist 	donde e viene e dove e'  va,  e quale aventura il mena si  solo,  ed e' gli conta una partita di suo essere  e una partita ne li cela;e tutvorebbe essere 	et don il ua.  et quel auanture le mainne si seul.  et il li conte une partie de son estre et une partie len soile.  et totesuoie li dit 	et cil li demande  ou il aloit.  Et lancelot li dist 	dont il uient  et ou il uait. et quelle auanture le mainne seul  et il luy en compte une partie  et luy en cele l autre.  Et touteuoyes dist il 	dont ilz estoient:  et quelle auanture le menoit si seul.  Et il lui compte de son estre une partie  et lautre lui en celle:  et toutesfois dit il 	e dixo señor  que auentura os lleba asi solo e lançarote le conto toda su façienda  enpero todavia le dixo 
que en la cort al roi Baudemagu voldroit estre  por soi deffendre vers un chevalier	per sé difendere verso d’uno cavaliere 	que a la cort bademagu: uodroit estre.  por soi desfandre uers un cheualier. 	quil volroit estre a la cort le roy baudemagu pour combatre a. j. cheualier 	qu en la court du roy bandemagu uoudroit il estre  pour soy deffendre uers ung cheualier 	que en la court du roy bademagus uouldroit il estre pour ung cheualier 	que yua ala corte del Rey bandemagus  aque dixo el cauallero ame defender 
qui l’a apelé de traïson.  En ce  qu’il parloient ensi, orent li escuier mise la table,  si vont laver;  si s’asiet Lancelos et li chevaliers et une damoisele 	che apellato l’à di tradigione nella corte del re  Artù. Seln ciò che parlavano insi, ebbono i valletti messe le tavole: si si lavarono lor mani  e s’asederono al mangiare intra l cavaliere e Lancellotto  e una damigella 	qui apelela de traison. EN ce quil parloient ensamble.  si ont li escuier misses les tables. Si ont laue.  Si ont assis lanc̃. et le cheualier et une damoisele 	qui lauait apele de traison.  Et en chou  quil a parloient ensi orent li escuier mises lez tables.  si vont lauer  si sassistrent li cheualier au mangier  Et vne damoisele 	qui la apelle de traison  Ainsi quilz parloient mistrent les escuiers la table  si uont lauer.  puis sassiet lancelot et le cheualier. et une damoisele 	qui lauoit appelle de trayson.  Et ainsi qu ilz parloient len mist les tables. ilz lauent leurs mains  et puis se assient le cheualier et lancelot: 	devn cauallero dixo lançarote  que me Recto de traiçion  e ellos asi fablando entro vn escudero  e puso la mesa  e asentose el cauallero a comer e lançarote e vna donzella muy fermosa 
qui molt ert bele  et estoit amie al seignor de laiens; 	che molto fu bella e avenante e  fresca,  si era amica del signor di là  entro, 	qui mout estoit bele.  et estoit amie au signor de Laiens. 	qui moult estoit bele qui estoit amie au cheualier de laiens. 	qui moult estoit belle  et estoit amyx au seigneur de leaus. 	et une damoiselle moult belle/ laquelle estoit amie au cheualier de leans. 	que hera amiga del cauallero 
	si era ella molto gentile 					
si mengierent tuit troi ensamble. mes cele 	femina. i mangiarono tutti  e tre insieme e 	Si mengerent cui troi ensenble mais cele 	si mangerent tout. iij. ensamble 	si mangerent tous troys ensemble.  Mais celle 	Si mengerent tous trois ensemble:  mais celle 	mas la donçella  en quanto vido a lançarote 
qui Lancelot esgarde ne se puet saoler de lui veoir,  Kar tant li samble bials 	quella, che Lancellotto riguardava tutto  adesso,  non si può satollare di lui vedere, ché tanto le sembia a essere bello 	qui lanc̃ esgarde  ne se puet saouler de lui esgarder.  Car tant li sanble biax: 	mais moult regarde la damoisele lancelot.  et ne se puet de lui regarder saouler.  Si ne prisa onques	qui regarde lancelot  ne se puet saouler  de le ueoir.  Car tant luy sembla beau 	qui lancelot regarde laisse le boire et le mengier pour la grant beaute 	ansi lo cataua  que no se hartaua delo ver  enque lo via tan fermoso 
qu’ele ne prisa onques mes bialté d’ome envers cesti :  si l’esgarde si viselment  que tot en laisse le mengier  n’a autre chose n’entent. fors a lui remirer. 	ch’ella non pregia unque biltà d’uomo inverso  costui: isi-llo sguarda  si visibilmente che tutto ne lascia suo  mangiare, né ad altra cosa non ne intende fôrse a llui riguardare. i tentivamente il riguardava 	que ele ne prisa onques mais biaute a ome enuers la soie nule rieu. Si le regarde si uiseument  que tout en laisse le mengier.  Na autre chose nentant fors a lui remirer. 	mais la biaute domme vers la soie.  Si le regarde si ententieument  que tout en laisse le boire et le mangier.  si que a autre chose nentent.  fors ca lui remirer. 	que oncquez ne pasa beaute domme enuers ceste  si le regarda si auiseement  que tout en laisse le manger. 	que elle uoit en lui/  si que a autre chose ne entent. 	e no cuidaua que tan fermoso ome pudiese auer enel mundo  e asi lo estaua catando  que no podia comer 
Si ont li escuier osté le premier mes de sor la table 	che gli scudieri  ebbono levata la prima imbandigione 	Si ont li escuier oste le premier mes desus la table	Si ont li escuier oste le premier mes. 	si ont les escuiers ouste le premier mies de dessus la table 	si ont les escuiers oste le premier mes 	que auia el escudero tirado el primero manjar dela mesa 
c’onques la damoisele n’en tasta, 	ch’unque la damigella no ne 	que onques la damoisele nen tata. 	mais onques la damoisele nen gousta. 	que oncques la damoisele nen tasta. 	que encques la damoiselle nen tasta 	e ella no auia metido vocado enla voca e la donçella 
ains pensa totes voies.	saggiò, ché d’altra vivanda avea presa a mangiare dond’ella  non si satollerà mica 	ains pance totesuoies .	Ains pensa toutes voies a la grant biaute lancelot. 	ains peust tousiours. 	ains pensa a lancelot: 	asi lo catando començo a pensar tan fieramente  que no hera sino marauilla 
Et en cel pensé li descent el cuer une si grant amor 	leggermente, ciò l’è  aviso, 	et en se panser li dessent une si tresgrant amor	Et en celui pense li descendoit au cuer vne si grant amor : 	et ce penser luy descent ou cuer 	et en celle pensee lui descendoit une telle amour au cueur 	e ella ansi pensando  cayo vn amor ensu corazon 
qu’ele aime Lancelot outre ce  que feme n’ama mes home; 	si farà s’ella unque potrà. Slnsi pensa la damigella  tuttavia,  e n quel pensieri le si ferma nel cuore uno sì grande amore ch’ella ama Lancellotto oltre ciò che femina non amò mai 	que ele aimme lautͣ. outre ce  que fame nemma mais home. 	que elle ama lancelot outre chou  que femme nama onkes si homme. 	tant quelle arme lancelot plus que femme nama iamais home 	que elle ayma lancelot oultre  que femme ne ayma oncques homme. 	quelo començo ansi a amar a lançarote  que mas muger podia a ome amar 
si li est avis 	uomo.i-ll’è aviso che se 	Si li est bien auis 	Si li est auis 	si luy est bien aduis 	Si lui est auiz 	e deçia entresi mesma 
que s’il l’amoit 	Dio, che n’à 	que ce il lenmoit	que sil lamoit 	que selle lamoit elle seroit bieneuree.  Mais cy cy endroit 	que sil laymoit 	que si la el quisiese amar 
qu'ele seroit beneuree. 	forza, le consentisse ch’elli 	que ele seroit bone euree. 	que elle seroit bone euree. 	pour deuiser une auanture 	quelle seroit trop eureuse.	que se ternia porla 
Mais ci endroit n’em parole plus li contes, kar ça avant le devisera 	l’amasse, ch’ella sarebbe in buon'or nata. Ma qui indiritto non parla più il  conto, ché qua avanti vo diviserà 	mais ci endroit nen parole plus li contes.  Mais sa auant en la deuine page le uos deuisera il bien. 	Mais chi endroit nen parole plus li contes. mais cha auant vous deuisera 	qui leur aduint ou paueillon endroit nen parle plus le comte  car apres le uous deuisera bien 	Mais cy endroit  plus nen parle le compte 	mas bien auenturada muger del mundo 
et comment ele l’ama merveillosement	com’ella l’amò maravigliosamente 	et coment ele lenma meruilleusement	comment elle lama merueilleusement. 	comment elle lama merueilleusement 	car cy aprez le uous deuisera 	mas de como ella amo muy afincadamente a lançarote 
et comment ele le proia et la merveille  que ses amis en fist, 	e com’ella ne 'l pregò  e richiese  d’amore,  e le maraviglie che suo amico ne fece 	et coment ele le proia.et la merueille  que ses amis en fist 	Et comment elle li pria. et la meruelle  que sez amis en fist. 	et comment elle le pria  et la merueille  que son amy en fist 	et comment elle layma merueilleusement. 	e delas cosas  que su amigo fiço 
quant il sot  qu’ele l’amoit, 	quand’e' seppe ch’ella  l’amava, 	quant il sot  que ele lemmoit. 	quant il sot  que elle lama. 	quant il scet  quelle lamoit. 	et	quando sopo  que ella tan desmesuradamjente lo amaua 
et comment cele morut  por ce  qu’il la refusa,  tot ce vos trespassera li contes ci endroit  por deviser une aventure  qu’il lor avint el paveillon  ou il estoient.  Ci dist li contes  que,  quant il orent le secont mes eu, es vos un chevalier armé d’unes armes vermeilles 	e come elli la rifiutò  e com’ella ne mori. Tutto vo trapassa  ora il conto qui indiritto  per divisare una aventura che loro avenne nel padiglione ove egli  erano. Or dice il conto che  quando elli ebbono la seconda messa  avuta, ed e' vidono uno cavaliere armato d’un’arme vermiglie 	et coument ele morust porce  que il la refasa. Tout ce nos trespasera li contes ci endroit.  por deuiser une auanture  qui lor auint el pauillon.  OR dit li contes  que quant il orrent le secont mes eu.  E uous un cheualier arme a unes armes uermeilles. 	Et comment elle morut por chou  quil le refusa,  out ce vous trespassera li contes chi endroit  pour deuiser vne autre auenture qui lor auint el pauellon ensi  com vous orres.  ANsi entendi la damoisele a regarder lancelot  que onques ne manga Et tant que on dut seruir du secont mes :  Et quant il orent le secont mes es vous. j. cheualier arme dunes armes uermeilles 	et comment cy endroit  pour deuiser une aunture  qui leur aduint  ou paueillon elle mourut  par ce  quil la refusa. Tout ce uous trepassera le conte  Cy dit listoire qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles uint courant 	comment elle mourut pource  quil la refusa  Comment lancelot rescouist le frere du cheualier  qui lauoit logie.  Et comment il se deffendist centre argondes.  et puis alla a la douloureuse tour faire enterrer le corps de galle .iiii.xx.xu. LE compte dit  que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant 	e de como ella murio  quando supo  que lançarote no la queria amar  todo lo dexa aqui el Cuento de contar  Por contar vna auentura  que les auino enla tienda  do estauan comiendo Dize el cuento  que ellos estando comiendo  asi como vos digo he aqui  por do viene por antela tienda vn cauallero convnas armas vermejas 
qui vint corant par devant le paveillon o grant compaignie de chevaliers.  Et cil as armes vermeilles  qui devant venoit entre el paveillon a et voit. I. escuier 	che davanti lor venne nel padiglione;  e là ove vide uno scudieri 	et uuit acorant par deuant le pauillon o grant compangnie de cheualiers.  et ciz as armes uermeilles  qui deuant uenoit: entra el pauillon.  et uoit un escuier 	qui vint corant par deuant le paueillon  et vit el paueillon. j. escuier	deuant le paueillen o grant compaignie de cheualiers.  Et cil es armes uermeilles  qui uenoit deuant entre ou paueillon  et uoit ung escuier 	par deuant le paueillon a grant compaignie de cheualiers  et il entra au paueillon  et uist ung escuier 	con gran conpaña de caualleros e el Cauallero delas armas vermejas  que delante venia entro enla tienda  e vio vn escudero 
qui servoit a la table,	che serviva alla tavola 	qui seruoit a la table. 	qui seruoit a la table 	qui seruoit a la table 	qui seruoit a la table	que seruia antela mesa 
si estoit freres al chevalier de laiens.  Et il cort maintenant cele part, 	ed era fratello del cavaliere di là  entro, ed e' corre in quelle 	et estoit freres au cheualier de laiens.  et il cort maintenant cele part	qui estoit freres au cheualier de laiens.  Et il cort mainte nant 	qui estoit frere au cheualier de leans  si court maintenant celle part 	qui estoit frere au cheualier de leans. Il le prent par les espaulles 	e el cauallero 
si le prent par les espaules et le lieve devant lui sor l’arçon de la sele,  si s’en torne a tot.  Et quant cil del paveillon voit ce.  si crie a Lancelot: «  Ha, bials sire, je sui mors,  se cil enporte ensi mon frere,  kar il l’ocirra,  s’il n’est secors: 	parti, si prende lo scudieri per le spalle  e lieva davanti lui sopra l’arcione della  sella,  si se ne va con tutto lui broccando.  'E quando il signor del padiglione vide  ciò, si isgrida a Lancellotto: Al, bel  sire, io son morto  se  que' ne porta insi mio  fratello, ché l’uccidrà se nonn-è soccorsol 	et le prant as espaules  et le trait deuant lui sor larson de sa cele.  Si sen torne atant et quant cil del pauillon uoit ce:  Si crie a lanc̾. a biax sire ie sui mors ce ciz en porte mon frere.  Car il locirra ia.  ce i nest cecorus.	si le prent par les espaulles  et le met par deuant lui sor le col de son cheual.  si sen torne a tout.  Et quant li cheualiers del paueillon vit chou si crie a lancelot. Sire iou sui mors  sil emporte ensi mon frere.  quar il locirra  sil nest secorus 	et le prent par les espaules  et le lieue  deuant luy sur larcon de la sele.  si sen tourne atant.  Et quant cil du paueillon uoit ce  si crie a lancelot.  Haa beau sire ie suys mort  sil emporte ainsi mon frere  Car il loccira  sil nest secouru. 	et le met deuant lui es arcons de sa selle  si sen ua atout.  Et quant celui du paueillon uoit ce  si crie a lancelot.  Haa sire ie suis mort  se celui emporte mon frere/  car il loccira  sil nest secouru 	enque lo vido fue contra el  e tomolo porlos braços e pusolo antesi sobre el cuello del cauallo  e salio conel dela tienda  e el cauallero quelo vio ansi lleuar començo a dar vozes a lançarote ay señor muerto so si asi me lleba a aquel escudero mi hermano Ca lo matara  si lo no acorredes 
si vos pri por Dieu 	Si vo priego, per  Dio, 	Si uous pri por dieu 	Si vous pri pour dieu 	si uous pry pour dieu	Si uous prie pour dieu 	e porende vos Ruego por dios 
que vos i metés paine. »  Et Lancelos saut de la table 	che vo' vi mettiate pena in lui riscuotere». E Lancellotto salta tutto immantanente della tavola 	que uos metes painne en lui rauoir.  Et lanc̃ saut de la table 	que vous metes paine en lui rescorre. Lors saut maintenant lancelot doutre la table. 	que uous mectez  et ung escuier uient a luy si luy dist. 	que uous mettez paine a le secourir  Et lancelot sault hors de la table 	que me ayudedes alo cobrar e lançarote salio luego dela mesa 
et demande ses armes,  et I. escuiers vint avant,	e domanda sue  armi,  e uno scudiere viene avanti 	et demande ses armes.  et uns escuiers saut auaut 	si demande ses armes  Et vns escuiers vint a lui. 	Certes fait il. uoz armes  et demourra 	et demande ses armes,  et ung escuier uint a lui 	e pidio sus armas a vn su escudero 
si li dist : « 	che gli 	si li dist.	si li dist	que ie ne les suyue. 	et lui dist. 	Que y estaua le dixo señor 
Par foi, sire, vos armes et vostre cheval enmainent il ! — Voire, fet il. par mon chief, ja por ce ne remaindra 	disse: «Per fé, vostre armi e vostro cavallo ne mena elli.— Vere, 	Par foi sire et uos armes  et uostre cheual enmainnent il. uoire fait cil:  par mon chief iaporte ne remandra	Par foy sire vos armes  et vostre cheual enmainent il voire fait il :  par mon chief por chou ne remandra il mie 	Lors uient hors du paueillon. 	Par ma foy sire uoz armes emportent il.  Par mon chief  pour ce ne ne demourra il pas 	Por buena fee el cauallero vos a hecho llebar vuestras armas e vuestro cauallo pormi cabeza dixo lançarote 
que je nes sieve.» 	diss’elli, per mio capo, già per ciò non rimarrà ch’io nol 	que ie nes sieue. 	que ams iou ne lez sieue. 	et les peine a le rauoir 	que ie ne le suiue. 	ni por eso non fincara quelo non siga 
Lors vient fors del paveillon  et li chevaliers o lui 	seguiti». Allor va fuori del padiglione  e l cavaliere con 	Lors uient fors del pauillon et li cheualiers o lui 	Et lors sen ist hors del paueillon.  et li cheualiers aueques lui. 	et lancelot sault de la table  et demande ses armes uostre cheual emmainent ilz. uoire fait il.  Par mon chief pour ce ne cheualiers o luy. 	Et lors sault hors du paueillen et le cheualier auec lui Ilz regardent ceulx 	e luego salio lançarote dela tienda 
et il esgarde cels  qui s’en vont qui ja avoient passé l’eve par J. pont de fust; et Lancelos demande al chevalier 	lui, ed e'risguardano quelli che se ne vanno che già avieno passato l’acqua  per un ponte di  legno, Pe Lancellotto domanda al cavaliere s’elli 	et regardent cex  qui sen uont. qui ia auoiet passe leue par .i. poncel de fust. et lanc̃. demande au cheualier 	et il regarde chiaus  qui sen vont  qui auoient passe laigue par. j. pont de fust.  Et lancelot demande au cheualier 	et il regarde ceulx  qui sen uont  qui auoient ia passe leaue par ung pont de fust.  Et lancelot demande au cheualier 	qui sen uont  qui auoient ia passe leaue par ung pont de fust. Lancelot demande au cheualier	e el cauallero conel  e vieron yr los caualleros pasando el agua Porvna puente de madero  señor dixo lançarote al cauallero 
s’il remaindra. « Sire, fet il, nenil, 	rimarrà, ed e dice: «Sire, non, 	ce il remaindra. Sire fait cil non. 	sil remandra Sire fait il nenil 	sil demourra. sire fait il nennil. 	sil demourra. Sire fait il nenny 	fincad vos aqui no fare dixo el 
ains vos ferai compaignie  tant que nos aions trové  qui armes vos baut. »  Lors acueillent lor voie tot a pié  et vienent au pont, 	anzi, vo farò compagnia tanto che noi troviamo chi armi vo  doni».Allora accolgono lor camino tutto a ppiè  e vengono al 	ains uos ferai compangnie.  tant que nos aions troue  qui armes nos baut.  Et lors acuellent lor uoie. tout a pie.  et uienent au pont 	ains vous tendrai compaignie  tant que vous aies troue  qui armes vous volsist baillier.  Lors acoillent lor chemin droit au pont	ains uous feray compaignie  tant que nous ayons trouue  qui nous preste armes.  Lors acceillent leur uoye tout a pie et uiennent au pont 	ains uous feray compaignie tant que uous aiez trouue  qui armes uous baillera.  Lois uiennent au pent tout a pie 	mas antes yre con vos  fasta que falledes  quien vos de armas e cauallo enque sigades el cauallero  Luego se començaron de yr  e andubieron tanto  fastaque llegaron ala puente de madera 
si passent outre et s’adrecent a I. tertre 	ponte, si passano oltre  e s’adirsizlano al poggio 	si passent outre. et sadrescent au tertre 	et passent outre.  Et sadrecent a vn tertre 	si passerent oultre  et sadrecent au chemin	et passent oultre et se adrecent a ung terte 	e pasaronla  e fueronse contravn otero 
par ou li chevalier  s’en vont; 	per dove il cavaliere se ne va. Si non ebbono guari andato 	par ou li cheualiers sen ua.	par ou li cheualier vont. 	par ou les cheualiers sen uont. 	par ou les cheualiers uont.	Por do los caualleros se yuan e lançarote 
si n’ont gaires alé  quant il encontrent I. chevalier armé d’unes armes noires  qui venoit al pont par I. chemin de travers. 	quando elli incontrarono uno cavaliere a une armi nere che vlenlia al ponte  per uno camino di traverso. E quand’e' vide 	Si nont gaires ale  quant il uoient .i. cheualier arme a unes armes noires.  qui uenoit au pont par .i chemin de de trauers. 	Si nont gaires ale  quant il ont encontre. j. cheualier a vnes armes noires  qui venoit au pont par. j. Chemin de trauers. 	si nont gueres alle que ilz encontrent ung cheualier arme dunes armes noires qui uenoit au pont par ung chemin de trauers. et	Si ne ont gaires alle  quant ilz encontrent ung cheualier arme dunes armes noires 	e el cauallero fueron tanto enpos ellos  fastaque encontraron vn cauallero armado devnas armas negras  que venia ala puente  porvn sendero pequeño altrabes 
Et quant il voit Lancelot,  si s’areste por ce  que bien le conoissoit, 	Lancellotto, si si arestò per ciò che ben lo  conosce, 	et quant il uoit lanc̃ si sareste  por ce  que bien le quenoissoit. 	Et quant il vit lancelot  si sarreste por chou  quil le connut bien.	quant il uoit lancelot  si se arreste par ce  que bien le cognoissoit. 	Quant il uist lancelot il se arresta pource  qu il le congnoissoit bien 	e quando el vio a lançarote  luego lo conoçio 
si li demande ou il vet ensi a pié tos desammés. « 	si gli domanda ov’elli va insi a piede  e tutto 	Si li demande ou il ua 	Si li demande  ou il aloit ensi tout a pie et desarmes. 	si luy demande  ou il ua ainsi a pie et tout desarme. 	et lui demanda ou il alloit ainsi a pie tout desarme. 	e estovo quedo 
Qui estes vos, sire chevaliers, fet Lancelos, 	disarmato. PeChi siete  voi, disse Lancellotto, 	Si a pie et ansi desarmes  Qui estes uos fait il sire cheualiers 	Qui estes vous fait lancelot 	Qui estes uous fait lancelot sur cheualier. 	Quest ce fait lancelot demandez uous 	fastaque llego e dixole señor  do ydes asi de pie e desarmado 
	sire, 					
qui me demandés ou je vois ? — Je sui, fet il, I. chevaliers d’estrange païs, 	che mi domandate ov’io vò? - l’ son,  diss’elli, uno cavaliere di stran paese 	qui me demandes ou ie uois. Ie sui fait il  de cest estrange pais.	qui me demandes ou ie vois. Iou sui fait il vns cheualiers destrange pais 	qui me denandez  ou ie uoys. Ie suys fait il ung cheualier estrange. 	ou ie uois.  Oy sire 	e quien sodes vos dixo lançarote yo so dixo el vn cauallero destraña tierra 
					si suis ung cheualier destrange pais 	
mais molt me merveil de ce  que je vos voi ensi aler. »  Et Lancelos li conte 	che molto mi maraviglio di ciò  ch’io vi veggio insì andare». E Lancellotto gli conta 	mais mout me merueil de ce  que ainsi uos uoi aler.  et lanc̃. li conte 	qui moult mesmerueil de chou  que iou vous voi ensi aler.  Et lancelot li conte 	mais moult me merueille de ce  que ie uous uoy ainsi aller.  et lancelot luy comte 	qui moult me merueille de uous uoir aller ainsi.  Et lancelot lui compte 	que mucho me marauillo  porque vos veo yr asi  e apie e lançarote lo conoçio  e començole a contar 
comment il estoit herbergiés  et comment I. chevaliers vint laiens  ou il menjoit,  qui prist a force I. vaslet et le mist sor le col de son cheval. « 	com’egli era albergato  e come uno cavaliere venne là entro ov’elli  mangiavano,  e prese uno scudieri a forza davanti noi  e l mise sopra l collo di suo 	comment il estoit ainsi herbregiez. et coment li cheualiers enporte lescuier. 	comment il estoit herbergies.	comment il estoit herberge.  et comment ung cheualier uint leans  qui print a force ung uarlet et le mist sur le coul de son cheual. 	comment il estoit hebergie:  et comment ung cheualier uint la  ou il mengoit  qui print a force ung uarlet et le mist sur le col de son cheual. 	como el cauallero lo aluergara e como el otro les llebo el escudero  que ala mesa seruia afuerça ençima del cauallo 
Et encore m’a il plus meffet, fet Lancelos, 	cavallo,  e ancor m’à elli più misfatto, disse Lancellotto, ché quelli 	et encor ma il plus mesfait fait fait lanceloz. 		et encor ma il plus meffait. 	Et encores y a il plus fait lancelot 	e como le fiço llebar sus armas 
kar cil  qui avec lui vindrent enporterent mes armes  et enmenerent mon cheval. — Quel guerredon, fet cil,  porroie je atendre de vos,  se je por vos me desarmoie  et vos bailloie mes armes et mon cheval ? —  Certes, fet Lancelos, tel com vos deviseriés. — 	che con esso lui venono ne portano mie armi  e ne menano mio cavallo.—E quale guiderdone  potre io di voi  atendere, s’io  per voi mi disarmasse e vo donasse mio cavallo e mie armi? — Certo,  sire, disse  Lancellotto, tale come diviserete. — e 	Car cil  qui auec lui uindrent enportent mes armes.  et en mainnent mon cheual.  Quel guerredon porroi ge atandre de uus  se ie uos bailloie mes armes et mon cheual.  Certes fait lanc̃. tel com uous deuiserois. 	et comment li valles fu pris et sez armes et ses cheuals emportees.  Quel guerredon fait cil porroie iou de vous atendre :  se ie  por vous me desarmoie et vous bailloie mes armes et mon cheual.  Certes fait lancelot tel  comme vous deuiseres. 	Car ceulx  qui uindrent auec luy emporterent mes armes  et emmenerent mon cheual  Quel guerdon pourroye ie actendre de uous.  si ie pour uous me desarmoye et uous balloye mes armes et mon cheual.  Certes fait lancelot tel  comme uous deuiseriez 	car ceulx  qui auec luy sont emportent mes armes  et emmainent mon cheual/  quel guerdon fait celuy pouroie ie auoir  de uous  se ie me desarmoye et uous bailloie mes armes et mon cheual/  certes fait lancelot:  tel comme uous deuiseres/ 	Que galardon me daredes dixo el cauallero si vos diese mis armas  e mi cauallo porçierto dixo lançarote  tal qual vos supieredes deuisar  si vos me juraredes dixo el Cauallero 
Se vos, fet il, el premier lieu ou je vos troverai armé,  por que je soie desarmés, me creantés a doner vos armes » Ie vos bailleroie les moies. —  Certes, fet Lancelos,  si ferai je,  por que vos ne me truisiés combatant. »  Et cil descent maintenant, 	vo', disse il cavaliere a l’arme  nere, nel primaio luogo ov’io vo troverò armato per ch’io sia disarmato mi volete dare vostre  armi,  e ciò mi volete  impromettere, io vo donerò le mie  che molto sono buone e difensaboli. — Certo, disse Lancellotto, si farò io, purché voi non mi troviate combattendo». E que' dice che si, dic’elli,  e Lancellotto gliel promette immantanente a 	Ce uous fait cil me creantes  que el premier lieu  ou ie uos troueroie arme  puis que ie fusse desarmes  me donriez uos armes.  le uous bailleroie les moiees.  Certes fait cil  si ferai ge puis  que uos ne me trussiez conbatant.  et cil descent maintenant 	Se vous fait cil el premier lieu  ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies  Certes fait lancelot volentiers par ensi  que vous ne me truisies combatant. Et cil descent maintenant 	Se uous me creancez  que ou premier lieu  que ie uous trouueray arme  par ainsi que ie soye desarme  que uous me baillerez uoz armes ie uous bailleray les moyes.  Certes fait lancelot  si feray ie mais  que uous ne me trouuez combatant.  Et il descent 	se fait il au premier lieu  ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes  Certes fait lancelot si feray ie pourtant  que uous ne me trouues combatant/ et celuy deschent maintenant 	que enel primer lugar  que vos fallare armado e yo fuere desarmado  me dedes vuestras armas  yo vos dare estas mis armas  e mi cauallo Muy de grado dixo lançarote ental  que me non falledes conuatiendo e luego selo juro entonçe desçendio el cauallero desu cauallo e desarmose 
si se desarme  et baille a Lancelot tot son hernois, 	donare. sImmantanente discende il cavaliere  e disarma e dona a Lancellotto sue armi e suo 	si se desarme.  et baille a lanc̃ son harnois. 	si se desarme  et baille a lancelot tout son harnois. 	si se desarme  et baille a lancelot tout son harnoys. 	sy se desarme  et baille tout son harnois a lancelot 	e dio todas sus armas e su Cauallo a Lançarote 
et il s’en appareille 	arnese, ed e'se  n’aparecchia, si monta in suo 	et il sarme	Et il sen appareille tout maintenant	et il sappareille 	et il sen appareille 	e Lançarote se armo 
et monte en son cheval,  puis dist a son oste  qu’il s’en retort; Imes il dist  que non fera. «  Si ferois, fet Lancelos a lar je conoistrai bien les armes a celui  que je vois  querant en quelque lieu je les truisse.  Et cil dist,  puis qu’il velt,  s’en retornera:  si s’en vet et enmaine o lui le chevalier 	cavallo, poscia dice a suo oste ch’elli si  ritorni,  e que' dice che non farà. Si farete, disse  Lancellotto, ch’io conoscerò bene l’armi di colui  a cui io vo cheggendo  in quale che luogo ch’io il trovasse». VE que' dice  che, poscia ch’elli  vuole, ch’elli si tornerà: si se ne va e mena con esso lui il cavaliere 	et monte en son cheual.  Puis dit a son oste quil sen retort  et il dit  que non fera.  Si ferois fait lanc̃.  Car ie quenoistrai bien ciax as armes que ie uois querant en quel que lieu  que ie les truisse.  et cil dit  puis quil le ueit il sen retornera.  Si sen ua et enmainne le cheualier auecque lui. 	et monte sor le cheual  et dist a son oste quil sen retort  quar iou connistera bien lez armes a celui  qui iou vois querant.  Etr cil dist  que dont sen retornera il  puis quil le veult.  Si sen retorne atant et enmaine aueques lui le cheualier 	et monte a cheual  puis dist a son hoste  quil sen retourne.  mais il dit  que non fera  si ferez fait lancelot,  car ie cognoistray bien les armes de ceulx  que ie uoys querant en quelque lieu  que ie les trouue.  Et il dit  quil retournera puis quil le ueult.  si sen ua et emmaine auec luy le cheualier 	et mente sus le cheual  et fait retourner son hoste  et prent congie de luy. lancelot print son chemin apres ceulx  qui sen uont 	e subio enel cauallo  e dixo asu huesped que se tornase  No fare dixo el huesped  si faredes dixo lançarote  que yo conoçere vien el cauallero enlas armas  que lleba en qualquier lugar  que el vaya yo me tornare dixo el huesped  pues vos plaz  E luego se torno  e llebo consigo el cauallero 
						quelas armas auia dado a lançarote 
qui molt est liés de ce  que Lancelos li doit I. guerredon. 	che molto est lieto di ciò  che Lancellotto gli dee uno 	qui mout est liez de ce  que lanc̃ li doit guerredoner. 	qui moult est lies de ce  que lancelot! doit. j. guerredon.  Et lancelot 	qui est moult lie de ce que lancelot luy doit ung. guerdon. 	tant 	que yua muy alegre de aquello que lançarote le auia prometido 
Et Lancelos aquelt son chemin aprés cels 	guiderdone. E Lancellotto accoglie suo camino apresso coloro che 	Et lanc̃ aquiet son chemin apres ciax 	si acuelle son chemin  por aler apres chiaus 	Et lancelot preut son chemin apres ceulx 		e lançarote se fue porel camino  enpos el cauallero 
que ? il sieut tant qu’il est venus el tertre en haut 	seguita, tanto ch’egli è Purchél penurche  . Vjenhaj via venuto al poggio in 	que il sieut.  tant  que il est uenus el haut tertre.	quil sieut.  Tant quil est uenus el tertre en haut. 	quil suyt  tant  quil est uenu ou tertre en hault. 	quil est uenu eu tertre en hault/	e andubo tanto fasta  que paso porel otero 
