	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
1404	qui a honte me tornast. 	qui a honte me tournast. 	qui a honte me tornast. 		qui a honte me tornast. 	que a desonrra seme tornase 	ch’lal onta mi tornasse. 
1405|1406|1407|1408	Mes l’en me devroit molt tenir a fol, |se je mon cheval vos bailloie |por aler m’en a pié ! |Si n’estes mie sages, 	et si me deuroit len moult tenir a foul|si ie uous donnoye mon cheual |pour aller a pie. |Si ne feriez pas sage 	Et si me deueroie iou bien hair |et |por fol tenir |se iou mon cheual vous bailloie |et men aloie a pies |Si estes si fols |que vous quidies 	Si estes fol de cuider |que ie uous rende mon cheual 	Mais ou me deuez mout tenir a fol |se ie uos bailoie mon cheual |por aler a pie. |si nestes mie saiges 	mas antes me deuian tener por loco |si mi cauallo vos diese |y me fuese yo depie |mas mucho sodes loco |si cuidades |que vos diese mi cauallo 	“E sapiate |che l’uomo mi dovrebbe molto tenere a folle, |se mi cavallo vo donasse per andarmene a piè, |si non siete mica saggio 
1409|1410|1411|1412|1413	se vos le cuidiés. — |Vos n’en feriés rien |por moi ? fet I chevaliers. — |Non voir, fet mesire Yvain. —|Or en estes vos donc, fet il, a la bataille, 	se uous le cuidiez. |uous nen ferez rien pour moy fait le cheualier. |Certes non fait messire yuain. |Or en estes uous donc a la bataille fait il 	que iou le vous baille ainsi sans cop ferir. vous nen ferois |dont riens fet li cheualiers. |Non voir fet mesire ywains.|Ore est dont a chou uenu fait li cheualiers |que vous en aies la bataille 	sans coup ferir |Or estes uous denc uenu a la bataille dit le cheualier 	ce uos le cuidiez. uos nen feriez rien |por moi fait li cheualiers |Non uoir fait messires .y. 	sin golpe ferir non faredes |mas por my dixo el cauallero non por buena fee dixo don yban |pues ala batalla sodes venido |dixo el cauallero 	se vo' l credete.|— Che? Non ne farete nulla per me?, disse el cavaliere. |— Non vere, diss’elli. |— Or ne siete, disse egli, |dunque alla battaglia venuto, 
1414	puis qu’autrement ne puet estre. » 	puis que autrement ne puet estre Tout ce ueuil ie bien fait messire yuain. 	puis que autrement ne puet estre. 	car autrement ne peut estre. 		ca de otra manera non puede ser 	poscia ch’altrimenti non può essere». Il 
1415	Lors s’eslonge li uns de l’autre plus d’un arpent 	Lors sesloigne lun de lautre plus dung arpent 	Lors seslonge li vns de lautre 	Lors se eslongnent lun de lautre 	Atant ceslongnent li uns de lautre plus dun arpant 	enel nombre de dios dixo don yban |y luego se arredraron el vno del otro 	EAllor si slunga l’uno dall’altro più d’una balestrata 
1416|1417	et s’entrevienent |si tost com li cheval porent aler. Li chevaliers fiert mon seignor Yvain 	et sentreuiennent si tost que les cheuaux peuent aler. Le cheualier furt messire yuain 	puis sentreuienent |quamque li cheual pueent aler. |Si fiert li cheualiers monseignor ywain si durement 	et se meuuent si tost comme les cheuaulx peuent aller. Le cheualier fiert menseigneur yuain si durement 	et sentreuiennent|si tost comli cheualier pueent aler Li cheualiers fiert monsignor y. 	y dexaronse venir contrasy |quanto los cauallos los podian traer |y el cauallero firio asy a don yban muy duramente 	e si vengono |si tosto come i cavalli possono andare; |e l cavaliere fiede monsignor Yvano 
1418|1419	si qu’il li fet l’escu percier et fendre, |mes li haubers est si fors 	si quil luy perce et fend lescu. |mais le haubert est si fort 	quil li a son escu fendu et depechiet |Mais li haubers estoit si fors et si tenans	quil lui fent son escu 	si|quil li fait lescu percier et fandre. |Mais li haubers est si fors 	que le fendio el escudo mas la loriga era asi buena 	sicché gli fa lo scudo aprire, |ma lo asbergo est si forte 
1420|1421	que maille n’en derront. La lance vole en pieces |qui de grant vertu estoit enpainte; 	quil nen rompt nulle maille. |Et la lance uole en pieces |car de grant uertu estoit empainte. 	que maille nen derront |Et la lance vole en pieces. 	et la lance uolle en pieces.	que maille nen deront. |et la lance uole en pieces |qui de grant uerta fu enpainte. 	que malla no le Rompio |e la lança bolo enpieças quede muy grande |fuerça hera empujada 	che maglia non ne rompe, |e la lancia vola in pezi |che di gran virtù fu impinta. 
1422	et mesire Yvain 	Et messire yuain 	Et mesire ywains 	Et momseigneur yuain 	et messires .y. 	y don yban 	E monsignore Yvano, 
1423|1424|1425	qui un poi porta sa lance bas le fiert |si que par mi l’escu |et par mi le hauberc li met la lance el senestre costé; il l’empaint bien comme cil 	qui porta ung pou sa lance bas le fiert si fort |quil luy mect la lance |ou senestre couste. Il lempaint bien comme cil 	qui sa lance portoit vn poi bas le fiert si durement|que parmi lescu |et parmi le hauberc li met la lance parmi le senestre coste. |Si lempaint bien comme cil 	qui portoit sa lance bas le fiert |si que parmi lescu |et le haubert lui mit sa lance parmi le coste senestre 	qui un pou porta sa lance bas le fiert si durement |que parmi lescu et parmi le haubert: le mest le fer el senestre costel. il lenpaint bien comme cil 	que llebaba la lança vn poco vaxa lo firio ansi por medio del escudo |que selo falso y la loriga |y metiole la lança porel Costado siniestro muy Reçio 	ch’un poco portava la lancia bassa, el fiede si che per me' lo scudo |e per me l’asbergo gli mette la lancia nel sinestro costato. |Ed e' lo mpigne bene come colui 
1426|1427|1428	qui assés avoit vertu|et force, |si le porte del cheval a terre, 	qui auoit assez uertu et force. |puis le porte du cheual a terre 	qui estoit de grant force. |si le porte ius de son cheual a terre. 	et lempaint si bien |qu il le porte du cheual a terre 	qui assez auoit force et uertu. |si le porte del cheual a terre. 	como aquel que hera detan gran fuerça |y dio conel del cauallo a tierra 	che molto era di gran forza, |si l porta del cavallo a terra. 
1429|1430	puis retret son glaive |qui encore n’estoit pas brisiés 	et trait son glayue a luy |qui encor nestoit pas brise. 	puis retrait son glaiue arriere |qui encore nestoit mie brisies 	puis retire son glaiue |qui nestoit pas encores brise 	puis retrait le glaiue a lui |qui en encor nestoit pas brisiez 	y saco del su lança sana 	“Poscia ritrae sua lancia a-llui, |che ancora non era guari brisciato, 
1431	et gete les mains as resnes del cheval ; 	et gecte les mains es resnes de cheual	et giete la main au resne del cheual 	et iecte les mains a la resgne du cheual 	et il geste les mains as regnes del cheual	y luego tomo don yban el cauallo del cauallero |y diolo ala donzella 	poscia getta la mano alla redina del cavallo, 
1432	si le prent 	si le prent 	et le prent 	si le prent et le donne a la damoiselle |qui auec lui estoit uenue 	si le prent 	que conel hauia venido 	si l prende 
1433	et le donee a la damoisele. «Tenez, fet il, damoisele. 	et le donne a la damoisele. Damoisele fait il tenez. 	et le donne a la damoisele |qui o lui estoit uenue. 	et lui dit. Tenez damoiselle suis ie bien a uous quicte 	et le done a la damoisele. |tenes fait il pucele sui ie quites. 	y dixole |donzella tomad este cauallo 	e l dona alla damigella. 
1434	Sui je cuites a vos ? — Sire, fet ele, oil voir. — 	si seray quicte uers uous. |Certes sire fait elle. il est bien uerite. 	et li dist Damoisele me sui iou uers vous aquites. |Oil sire fait elle. 	Oy sire fait elle.	Oil uoir fait el. 	e soy bien quito devos |si señor dixo ella 	e Tenete, diss’elli, damigella; son io cheto ancora ad voi? |— Oil, bel sire, diss’ella. 
1435	Or vos commant donc a Dieu,» fet ¡l. 	or uous commande ie a dieu fait il. 	Or vous commant iou |dont a dieu fait il. 	or uous commande ie a dieu. 	Or uos coumant dont a dieu. 	pues agora vos encomiendo a dios |dixo don yban ala donzella 	— Or vol comando, diss’elli, a dDios. 
1436	Si s’en vet maintenant 	Si sen uait maintenant 	Lors sen part atant. 	Si sen ua maintenant 	si sen ua atant. 	y luego se partio della 	Allor se ne va incontanente la damigella con tutto el cavallo, 
1437|1438|1439	et laisse cele del paveillon |qui fet trop grant duel de son ami |qui navrés est, 	et laisse celle du paueillon |qui fait trop grant deul de son amy |qui est naure 	et laisse cele: del paueillon |qui moult grant doel faisoit de son ami |qui naures estoit. 	et laisse celle du paueillon |qui trop grant deul faisoit de son amy: 	et il laisse celui dou pauillon|qui naurez est si 	y trauo asu demanda |como de primero 	e lascia quella nel padiglione |che fa troppo gran duolo per suo amico |che fedito est, 
1440	si qu’ele cuide bien 	et cuide bien 	si quide bien vraiement 	car elle cuide bien uraiement 	que il cuide bien 	y dexo ala otra donzella façiendo muy gran duelo |porel otro cauallero su amigo 	sicch’ella crede bene
1441	qu’il muire 	quil se meure.	quil en muire. 	quil en meure 	que il se muire	que cuidaua 	ch’elli muoia. 
1442|1443	Et mesire vvain rest entrez en son chemin, |si chevalche tot le Jor jusqu'ai vespre, 	et messire yuain est entre en son chemin. |si cheuauche iucqua uespres.	Et mesires ywains est entres en son chemin |et erra iusques as uespres. 	Et messire yuain rentre en son chemin |Si erra iusques a uespres 	si rest entres en son chemin. |si cheuauche tot le ior iusqua uespres. 	que hera muerto y don yban se fue su camino 	vE monsignor è rientrato in suo camino, |si cavalca tutto el giorno infin qua a vespero. 
1444|1445	et tors est issus de la forest |qui des le matin li ot duré jusqu’a cele ore. 	et lors est yssu de la fourest |qui luy auoit dure des aumatin |iucqua celle heure. 	Et lors est issus de la forest |qui li ot dure des la matinee.	et lors est issu de la forest. 	et lors est issus de la forest |qui des le matin li a dure iusqua cele hore. 	y andado fasta visperas 	Allora est uscito della foresta |che del mattino li ebbe durata infin qua quella ora. 
1446|1447|1448|1449	Et|quant il vint a l’issue, |si encontre une damoisele |qui faisoit le greignor duel del monde; 	Et quant il uient a lissue |si encontre une damoisele |qui faisoit le plus grant deul du monde. 	Et quant il vint dehors |si encontra vne damoisele |qui faisoit le greignor doel del monde. 	Et puis a encontre une damoiselle grant deul faisant. 	Et quant il uiens a lessue|si en encontre une damoisele |qui faissoit le grignor duel del monde.	que encontro vna donzella saliendo dela floresta |que venia façiendo el mayor duelo del mundo 	E quand’e' venne all’uscita, |si incontrò una damigella |che facea el magior duolo del mondo. 
1450|1451	et mesire Yvain le salue |et li demande	et messire yuain la saluee |et luy demande 	Et mesire ywainz la salue. |et li demande	Et monseigneur yuain lui demande 	et messires .y. la salue |et li demande 	y don yban la saluo y la dixo donzella 	Monsignor Yvano la saluta |e le domanda 
1452|1453|1454|1455|1456|1457|1458|1459|1460|1461	por quoi ele plore. « |Por Dieu, sire, fet ele, |por ce|que j’ai trop grant duel, |kar a mes amis m’avoit baillié a garder le plus bel esprevier del monde |et qu’il plus amoit; |si l’enportoie en nostre recet |qui est assés pres de ci, |et en ce |que je m’en venoie par devant une loge galesche, si sailli fors uns chevaliers 	pour quoy elle pleure. Sire fait elle |par ce |que i ay trop grant deul. |Car mon amy mauoit baille a garder le plus bel espreuier du monde. |Et quil amoit le plus. |si lemportoye a nostre maison |qui est assez pres de cy. |Et ainsi que ie passoye par deuant une loge galesche.|si en sailly hors ung cheualier 	porcoi elle pleure. Sire fait elle mes amis me bailla iehui le plus bel esperuier del monde a garder. |et que il moult amoit.|si le portoie a. j. nostre reche t |Et en chou |que iou men uenoie par deuant vne loge galesche. |si sailli hors de le loge vns cheualiers 	pour quoy elle ploure. |Par dieu fait elle pour ce |que mon ami mauoit donne le plus beau espreuier a garder du mende. |et ainsi que ie passoie par deuant une loge gallesche il saillist ung cheualier hors 	por coi ele pleure. sire fait ele |por ce |que iai trop guant duel. |Car mes amis mauoit done le plus bel espriuier del monde a garder et|que il plus amoit. |si lenportoie orendroit a .i. nostre recest|qui est ci pres. |et en ce que ie men ueneie par deuant une loge galesche. |Si sailli fors u ns cheualiers 	que auedes |que asi llorades pordios señor |por que mi amigo me dio a guardar vn gauilan el mas fermoso del mundo |que el mucho amaua y yo traialo aun anuestra Casa |y venia por antevna Ramada 	perch’ella piagne: |Per Dio, sire, diss’ella, |per ciò ch’i' ò troppo gran duolo, |ché mio amico m’avea dato a guardare el più bello falcon del mondo |e ch’elli più amava; |si l portava io a uno nostro ricetto |ch’è assai presso di qui, |e in ciò ch’io me ne venia per davanti una loggia gallesca, |si n’usci fuori uno cavaliere 
1462|1463|1464|1465|1466|1467	qui le m’a tolu. |Et mes amis l’amoit sor tote rien : |si cuit |qu’il b m’en ocirra, |kar il cuidera miels |que je l’aie doné 	qui le ma tollu. et mon amy men occira |ce scaye ie bien. |Car il cuidera mieulx |que ie laye donne 	qui le me toli. |Et mes amis mocirra pour chou |quil quidera |mie |que iou le li aie donne 	qui le me osta |et pource|que mon ami laymoit il cuidera mieulx |que ie laie denne 	qui le ma tolu. |et mes amis lamoit |si men ocirra ce sai ge bien. |Car il cuidera miex |que ie laie done 	y salio ami vn cauallero |y tomomelo |y agora matarme ami amigo 	che me l’à tolto. |E mio amico l’amava troppo, |sicché m’uccidrà: già so io bene |ch’e crederà meglio |ch’io gliel'abia donato 
1468|1469	que il le m’ait ensi tolu, |et	que quil mait este tollu. 	que il le mait tolu . 	qu il me ait este tollu |si men saura mal gre. 	que on le mait tolu. |et 	quando lo supiere 	ch’elli el m’abbia insi tolto,|e perciò vò io tal duolo menandos. 
1470|1471|1472|1473	por ce vois je tel duel menant. — Damoisele, fet mesire Yvain, or ne vos dementés plus, |mais retornés |et me mostrés celui |qui vostre oisel a. 	et par ce fare ie tel deul. Damoisele fait messire yuain |ne uous en dementez plus|mais retournez |et me monstrez celuy |qui a uostre oisel. 	Et por chou fai iou tel doel |com vous uees. Damoisele fet mesire ywains |ore ne plores plus mais retornes |et me moustres celui |qui vostre oisel a. 	Et cest la cause de men deul. DAmoiselle fait messire yuain retournez |et me monstrez celui |qui a uostre oiseau 	por ce uois ie tel duel menant. Damoisele fait messires .y. |or ne uos dementes plus. |mais retornes |et me mostrez celui |qui uostre oisel a. 	ca mucho lo amaba e cuidara 	— Hal, damigella, disse monsignore Yvano, |or non voi dismagate più, |ma ritornate |e mi mostrate quelli che vostro uccello à; 
1474|1475	Et ie vos creant |que je le vos rendrai a mon pooir. — 	Car ie uous prometz |quil le uous rendra |ou ie seray tel conree 	Et ie vous creant |que iou le vous rendrai. |ou iou serai telx conrees 	et ie uous prometz |que ie le uous rendray |ou ie seray tel cenroie |que ie ne pourray aider moy ne autre. 	et ie uos creant |que ie le uos randrai |ou ie i sera tes conreez 	que yo selo di demi grado al cauallero 	ed io vo giuro |ch’io el vo renderò o io sarò tale concio |ch’io non mi potrò atare me né altrui. - 
					que ie ne porrai aidier ne moi ne autre. 		
			que iou ne porrai aidier ne a moi ne a autrui.				
		que ie ne pourray aider ne moy ne autruy. 					
1476|1477	Ha, sire, fet ele, de Dieu soiés vos beneois ! |Maintenant retorne la pucele 	Haa sire fait elle de dieu soyes uous beneist. |Adonc retourne la pucele 	ha y sire fait la damoisele de dieu soies vous beneis. |Lors retorne 	Haa sire fait la damoiselle de dieu soiez uous benit. |Et maintenant retourne la damoiselle 	ha; sire fait ele de dieu soiez uos beneois. |maintenant retorne la damoisele 	que melo tomo 	Hal, sire, diss’ella, |da Dio siate benedetto». |Immantanente ritorna la pulcella 
1478	et maine mon seignor vvain tot le chemin 	et mainne messire yuain tout le chemin 	et maine monseignor ywain tout le droit chemin 	et emmaine monseigneur yuain tout le chemin 	et mainne monsignor .y. tout le chemin 	e poresto fago este duelo 	e ne mena monsignor Yvano tutto l camino 
1479	qu’ele estoit venue, 	quelle estoit uenue 	quele estoit venue.	que elle estoit uenue 	quele estoit uenue 	que vos asi vedes 	ch’ella era venuta, 
1480|1481	tant qu’il vienent en une valee.|Et lors li mostre un poi en sus del chemin a senestre la loge 	tant quil uiennent en une ualee. |Et lors luy monstra ung pou ensus du chemin la loge	Tant quil vienent a vne ualee. |Lors li moustre la damoisele. j. poi hors del chemin |a destre partie vne loge galesche 	tant quilz uiennent en une uallee.|Lors lui menstre la damoiselle la loge du cheualier 	tant qul uiennent en une ualee. |et ele li mostre un pou ensus le chemin une loge 	Como don yban derroco al cauallero 	tanto ch’elli viene a una vallata. |Allor gli mostra, un poco in su del camino, a sinestra partita, la loggia 
1482|1483|1484	dont li chevaliers issi, |dont ele se plaint. « Venés avant, fet il, seurement, |et se vos veez l’esprevier, 	dont estoit issu le cheualier |du quel elle se plaint. |uenez fait il auant seurement. |et se uous ueez lespreuier 	dont li cheualiers issi |dont elle sestoit plainte. |Et mesire ywain dist a la damoisele. |Se vous uees vostre oisel 	de quoy elle se plaint Uenez auant fait messire yuain: |et se uous uoiez uostre espreuier 	dont li cheualiers issi de coi ele se plaint. uenez auant fait messires .y seurement.|et si pernez lespriuier 	que lleuaua el gauilan ala donzella |y selo dio Donzella dixo don yban tornad y mostradme el cauallero 	donde el cavaliere usci |di |cui ella si piagne: |eVenite avanti, disse monsignor Yvano, tutto sicuramente, damigella; |e se vo' vedete il falcone, 
1485|1486|1487|1488	si le prenés, ja |por nului nel laissiés. |Et je vos creant loialment |que je le vos garantirai a mon pooir contre tos cels 	si le prenez ne ia pour nul ne laissez. |car ie uous creance |qui ie le garantiray a mon pouoir encontre ceulx 	si le prendes. ia pour nullui ne le laissies. |Et iou vous creant |que iou vous garantirai a mon pooir encontre tous chiaus 	si le prenez |et pour nul ne le lessez 	ce uos le ueez |que ia por nelui nel laissiez. |et ie uos ai couuant loialment |que ie le uos garentirai encontre tous ceus 	ca yo vos prometo |que yo vos devuestro gauilan 	si lui cogliete, già per lui non lasciate. |“Ed io vo giuro lealmente |ch’il voi guarentirò a mio podere incontro a tutti huomini 
1489|1490|1491	qui le voldront contredire. |Et se li espreviers n’i est, |si me mostrez le chevalier	qui le uoudront contredire. |Et si lespreuier ny est |si me monstrez le cheualier 	qui le vous voldront contredire.|Et se li esperuiers ni est |si me monstres li cheualier 	et se lespreuier ny est si menstrez le cheualier 	qui le uos uoront contredire. |et se li cheualiers i est |si le me mostres. 	o yo sere y tal que mas no pueda y fazer |enel nombre de dios 	ch’il vo vorrà |contradire;'e|se l falcon non v’è, |si mi mostrate quelli 
1492|1493	qui le vos toli |et jel vos ferai amender tot a vostre volenté. — Sire, fet ele, de Dieu aiés vos bone aventure !	qui le uous a tollu. |et ie le uous feray amander a uostre uouloir. Sire fait elle grant mercy 	qui le vous toli. |Et iou le vous ferai amender tout a vostre uolente. Sire fait |dont la damoisele de dieu soies vous beneis. 	qui le uous a oste|et ie le uous feray amender a uostre uoulente Sire fist elle de dieu soiez uous benit 	et ie le uos ferai amander a uostre uolente. sire fait ele de dieu aiez uos bone auanture. 	dixo la donzella 	che-llo vi tolse|e io el vo farò amendare tutto a vostra volontà. |— ire, diss’ella, 
							da Dio abbiate voi buna aventura, 
1494	Mais je voldroie miels 	mais iameroye trop mieulx 	Mais iou amaisse miex 	mais ie aymeroie mieulx 	Maisie uodroie miex 	yo yre convos 	ma io vorei meglio 
1495|1496|1497|1498|1499	que vos le me poissiés rendre a pes que a guerre. — Par Dieu, fet il, |se ie ne le puis avoir par debonaireté, |si l’avrai je par force. » |Lors sont venu a la loge; sí entre mesire Yvain tos premiers et la damoisele aprés. |Et mesire Yvain ne salue nul de cels de laiens, 	que uous le me peussez rendre en paix. |Par dieu fait il |si ie ne le puis auoir par debonairete ie lauray par force |Lors sont uenuz a la loge |si entre messire yuain tout le premier dedans et la damoisele apres. |Et messire yuain ne salue nul de ceulx |qui sont leans	que vous le me rendissies em pais |sil pooit estre que par force. |Par dieu fet mesire ywains |se iou ne le puis auoir par debonairete. |si lafilrai iou par force. |Lors sont uenu a la loge |si entre mesire vwain ens tous premiers. |et la damoisele apres. |mais il ne salue pas cheaus de laiens 	que uous me le fissez auoir par paix |que par guerre |Par dieu fait messire yuain |se ie ne le puis auoir par debennairete |si lauray ie par guerre. |Lors sent entrez dedens la loge Monseigneur yuain ne salue point ceulx de leans 	que uos le me poissiez randre par amors que par guerre. |Par foi fait il ce ne le pus auoir par debonairete. |si laurai ie par force. |et lors sont uenu a une a une loge |si entre ens messirez .y. tout premiers et la damoisele apres. |et messires .y. ne salue nul de seus |qui laiens sont. 	y voslo mostrare al cauallero |y luego se torno con don yban 	che voi me l poteste rendere in pace |che per guerra. |— Per fé, disse monsignore Yvano, |s’i' nol posso avere per dibuonarità, |si-ll’arò io per forza». |Allor son venuti insino alla loggia, |si v’entrò monsignor Yvano tutto primieri |e la damigella apresso. |Ma monsignor Yvano non salutò nullo di là entro, 
1500|1501|1502	ains dist si haut |que tuit le porent oïr : « Damoisele, venés avant |et si Prenés vostre esprevier, 	ains dist si hault |que tous le peuent ouyr. Damoisele uenez auant|et si prenez uostre espreuier 	Ains dist si haut |que tot le porent oir. Damoisele uenes auant :	ains parle si hault |que tous le peurent bien ouir: |et dit. Uenez auant damoiselle |et prenez uostre espreuier 	ains dit si haut |que tuit le puent oir. Damoisele uenez auant |et si prenez uostre espriuier 	y andubieron tanto que llegaron ala Ramada 	anzi disse si alto |che tutti el poterono udire: |aDamigella, venite avanti, |si prendete vostro ucello, 
1503|1504|1505	se vos saiens le poez veoir ; |si l’enportez ausi a droit |com il en fu portez a tort a. Sire, fet ele, volentiers, 	si uous le pouez ueoir crans. |Si lemportez a droit ainsi |comme il uous fut tolu a tort. |Sur fait elle uoulentiers. 	si prendes vostre oisel. Sire fait elle volentiers aussi le uoi iou la. 	se uous le pouez ceans ueoir |et lemportez adroit/ |ainsi |comme a tort on le uous auoit tollu. 	se uos le poez ueoir.|et lenportes a droit ausi |comil uos fu tolus a tort. Sire fait ele uolentiers 	ado estaua el cauallero 	se vo qua entro el potete vedere: |si ne l portate a diritto, |altresi |come vi fu tolto a torto. |— Sire, diss’ella, volentieri, 
1506|1507	ausi le voi je la. » |Et ele vient a une perche 	car aussi le uoy ie la. |et elle uient a une perche 	Et elle uient a vne perche 	sire fist elle uoulentiers/ |et elle uient a une perche 	car ausi le uoi ie la. |Si uient a une peeche 	y la donzella se lo mostro don yban 	ché insi il vegh’io là». |Tantosto venne a una pertica là 
1508|1509	ou il seoit, |si li deslie i les giés lef I’en volt porter, 	ou il estoit. |si deslie les getz et le ueult prendre. 	ou il estoit si li desloie lez. ij. pies. 	ou il estoit |et luy deslie les gietz |et le uoulloit emporter/ 	ou il estoit |et li deslie les ges. |et len ueut porter 	quando le vio 	ov’egli era, |e l dislega |e l prende per li geti, 
1510|1511|1512|1513|1514|1515|1516|1517	quant uns chevaliers saut avant |qui li dist: « Fuiés. damoisele ! |Ne le remués,|que par mon chief vos n’en porterés point. |Et de tant com vos i estes retornee, avés vos del tot vos pas perdus, |que vos ne l’enporterés n’en l’une main n’en l’autre; |et se vos volés avoir oisel, |si querés autre, 	et le cheualier sault auant |qui luy deist. fuiez damoisele ne le remuez. |car par mon chief uous ue lemporterez point. |Et de tant |comme uous estes retournee uous auez du tout perdu |uoz pas. |car uous ne lemporterez |ne en une main ne en lautre.|Et se uous uoulez oisel |si en querez ung autre. |car de cestuy 	et len volt porter |quant vns cheualiers saut auant. |Si li dist. Damoisele fuies : |que par mon chief vous ne lenporteres mie. |Et de tant comme vous estes retornee cha. aues vous vos pas perdus |quar vous ne lenporteres pas. |Et se vous uoles oisel. |si queres autre 	quant ung cheualier sault auat |qui lui dist damoyselle fuyes/ |car par men chief uous ne lemporteres point: |et se uous uoulles auoir ung oysel |si enqueres ung aultre/ 	quant uns cheualiers saut auant. |qui dit. fuiez damoisele nel remouez par mon chief nel porterez auant. |et de tant comuos auez retorne auez uos uos pas perdus. |Car uos nen porteres point. ne en lune main |ne en lautre. |et se bos uoles auoir oisel|si queres autre. 	dixole |señor cauallero yo vos Ruego |que dedes su gauilan aesta donzella quele tomastes o sino enla vatalla sodes el gauilan 	e ne l vuole portare quando uno cavaliere saltò avanti |che gli disse: aFugite, damigella! |Nol rimutate |ché, per mi capo, vo nonne lo porterete punto. |E del tanto come voi siete ritornata, avete voi vostri passi perduti, |ché voi nonne lo porterete nell’una mano né nell’altra. |E se voi volete avere uccello, |si ne procacciate uno altro, 
1518|1519|1520	kar a cestui ne vos deduirés vos jamés. — Laissiés li, dans chevaliers, ret mesire Yvain, |qu’ele l’enportera, |et	ne uous deduirez uous iamais |Laissez le sire cheualier fait messire yuain. |car elle lemportera. 	quar a cestui aues vous failli. Laissies dans cheualiers fait mesire ywains la damoisele porter son oisel ou vous en uendres tart au repentir. |Estes vous fait li cheualiers venus pour la desfendre. 	car a cestuy aues failli. 	Car de cestui ne uos deueriez uos iamais uanter. Laissiez li dans cheualiers |car ele lenportera fait messires .y. 	no se lo dare 	ché di questo non arete vo punto». |— Sire cavaliere, lasciatelo, disse monsignor Yvano. |ché-ll’uomo ne l porterà,
1521|1522|1523|1524|1525|1526	se vos li volés fere force, |vos en serés tart al repentir. — |Comment ? fet cil. |Estes vos ci venus |por le deffendre ? — |Ce verrois vos bien, fet mesire Yvain, 	Et se uous luy uoulez faire force uous en serez ia tart au repentir. |Comment fait il. estes uous cy uenu |pour la deffendre. |Ce uerrez uous tantost fait messire yuain 	Che verrois vous fait mesire ywains par tamps. |quai elle lemportera malgre vostre. |Et cil giete lez mains |pour li tolir. |Et mesire ywains dist 	Lessies luy dans cheualier fist mesire yuain/ |ou uous uendres tart au repentir. |Comment fist le cheualier le uoulles uous deffendre. ce uerres uous par temps dist messire yuain/ 	et se uos en faites force uos uanrois tart au repantir . |Coument fait ciz estes uos ci uenus por li desfandre. |Ce uerrois uos bien fait messires .y. 	yo dixo el Cauallero 	e se vo le volete fare forza, vo' non ne sarete tardi a ripentere. |— Come? disse quelli. |Siete voi |qui venuto per lei difendere? - Ciò vedrete vo per tempo, disse monsignore Yvano, 
1527|1528	se vos ti tolés. |Et cil giete maintenant le main 	se uous luy tollez. |Et il gecte tantost la main 	quil li laisse |mais cil nen veult riens faire. 	car elle lemportera malgre uous/ et celluy iette tantost la main 	se uous li toles. |et ciz geste la main	mas dela batalla presto so 	se voi gliel togliete». |E que getta tantosto la mano per torlelo, 
1529|1530	por le tolir; et mesire Yvain a trait l’espee |et li dist 	pour luy tollir.|Et messire yuain trait Iespee |et dit 	Et mesires ywains trait lespee et dist 	pour luy tollir. |Et mensieur yuain luy dit |quil se traie ariere/ 	por le tolir. |et messires .y. trait lepee |et dit 		e monsignore Yvano trae la spada |e dice 
1531|1532	qu’il li coupera le bras, |s’il toche plus ne a lui ne a la damoisele. « Voire, fet cil, 	quil luy coupera le braz|sil touche plus a lespreuier ne a la damoisele. 	quil li copera le bras. |sil y touche plus a la damoisele. 	uoire fist cellup: 	que il li copera le bras |ce il i toche plus; |ne a lui ne a la damoisele. 		che gli trincherà el braccio,|s’elli el tocca più o lui o la damigella. 
1533	par mon chief mal le deistes ! » 	Uoire fait il. par mon chief mal lauez dit 	voire fait cil par mon chief mar laues dit:. 	par men chief mal le distes. 	uoire fait cil par mo chies mar le deistes . 		esVere, disse quelli, per mio capo mal lo dicestel». 
1534|1535	Lors cort a son hialme |et le met en sa teste, 	lors court a son heaume et le mect en sa teste. 	Lors sen cort a son heaume.|si le met en sa teste. 	Lors court a son heaulme |et le mect en sa teste/ 	Lors cort a son hiaume |si le met a sa teste. 		Allor corre a suo elmo |e l mette in sua testa, 
1536|1537|1538|1539	et il estoit molt bien armés de tote ? autre armeure. |Maintenant saut en son cheval, |kar tos estoit |prest,et prent son escu et son glaive	Et il estoit moult bien arme de toute autre armeure Adonc sault a son destrier |qui estoit tout prest.|et prent son escu et son glayue. 	Car il estoit armes moult bien de toutes autres armes. |Et puis saut sour son cheual. |et pent son escu a son col. |et prent. j. glaiue 	et il estoit arme de toutes armes. |Maintenant sault sur son cheual puys dist a mensieur yuain 	et il estoit bien armes de totes armes |et il saut en son chenal. |qui tous estoit pres. |et prent son escu et son glaiue. 	e luego se dexaron correr el vno contrael otro |y el cauallero quebro su lança 	ed egli era bene armato di tutte altre armadure. |eE mmantanente salta in suo cavallo, |che tutto era presso,|e prende suo scudo e sua lancia; 
1540|1541	et dist a mon seignor Yvain |qu’il se gart de lui; 	et dist a messire yuain|quil se garde de luy. 	et dist a monseignor ywain |quil se gart de lui. 	quil se garde de luy/ 	Puis dit a monsignor .y. |quil se gart. de lui.	en don yban 	poscia disse a monsignore Yvano|che-ssi guardi di lui. 
