0	el Pere et el Fiz et el Saint Esperit; n’a fors un Dieu 	le pere le filz |et le saint esperit 	0|1
1293	si en est si dolans 	si est si courouchie 	1014
1294	qu’il volsist miels estre ferus d'une espee par mi les II. cuises 	que il amast mieulx estre feru de une espee parmi les cuisses 	1015
1295	qu’il l’eust abatu, 	que il leust abatu/	1016
1296	car il en cuide estre mal de lui a tos jors mes. 	car il en cuide estre mal de lui a tousioursmes. 	1017
1297	ne sa haine ne voldroit il avoir en nule maniere. 		
1298	Maintenant se met a genolz devant lui 	Maintenant se met a genoulx deuant lui 	1018
1299	et dist: « 	et lui dit 	1019
1300	Ha, sire, por Dieu, pardonés le moi, 	Haa sire pour dieu pardennez le moy: 	1020
1301|1302	que certes je ne vos conoissoie mie. |Et je vos iur sor tos les sains del monde 	car certes ie ne uous congnoissoie pas. Ie uous iure sur sains 	1021
1303	que je ne l’euisse fet en nule maniere, 	que ie ne leusse fait en nulle maniere 	1022
1304	se ie seuisse 	se ieusse sceu 	1023
1305	que ce fuissiés vos : 	que se eussez uous este. 	1024
1306	si m’en met en vostre merci outreement 	si me mes du tout en uostre mercy 	1025
1307	et le vos amendrai en tel maniere	et uous lamenderay en telle maniere 	1026
1308	com vos savrois miels deviser. P» 	comme uous le saurez deuiser. 	1027
1309	Et quant mesire Gauvain l’ot 	Et quant monseigneur gauuain 	1028
1310	que ce est il, 	ot que cestoit il 	1029
1311	si li pardone molt debonairement. 	si lui pardonne moult debonnairement. 	1030
1312	Cele nuit jurent laiens molt a aise, 	Celle nuit geurent leans assez aise. 	1031
1313	et al matin 	et si tost	1032
1314|1315	si tost com il aperceurent le jor, |se partirent de laiens 	comme ilz aperceurent le iour ilz partirent de leans 	1033
1316	et dient 	et dient 	1034
1317	qu’il iront ensamble jusqu’a	quilz iront tant ensemble 	1035
1318	tant que alcune aventure les departira; 	quilz auront trouuee auanture |qui les departira 	1036|1037
1319	si vienent en unes gastes landes, si loing de recet 	Ilz uiennent en unes gastes landes loingz de logis: 	1038
1320|1321	que il n’avoit ne vile ne chastel pres d’iluecques. |Quant il orent alé entor demie lieue 	car il ny auoit nul chasteau pres dilfec a mains de demie lieue. 	1039
1322	si troverent unes broces petites 	Ilz trouuerent unes grandes braches 	1040
1323	et voient a destre partie pres d’un chemin, une viels chapele. Il tornent cele parl por or̈r messe, 	et uirent pres du chemin une uielle chappelle. 	1041
1324|1325	kar il n’estoit mie encore tierce; |et quant il vienent pres d’iluec, 	Ilz tournerent celle part 	1042
1326	si descendent 	et descendirent 	1043
1327	et atachent lor chevals a un arbre, 	et atacherent leurs cheuaulx a ung arbre 	1044
1328	puis entrent ens. 	puis entrerent ens 	1045
1329|1330	Mes il n’i truevent |ne home ne feme, 	mais ilz ny trouuerent homme ne femme 	1046
1331	ains voient la chapele viels anciene, 	ains uirent la chappelle uielle et ancienne 	1047
1332|1333	si que li mur en estoient fendu et decrevé |et ausi comme tot porri. Il vienent jusqu’a l’autel, 	si que les murs en estoient tous fondus et decreues. Ilz uiennent iusques au chasteau 	1048
1334	si le truevent gasté et decheu 	si le trouuent tout gaste et decheu: 	1049
1335	et voient par deriere. I. petit huis 	et uindrent par derrierie ung petit huys 	1050
1336	qui entroit en un grant cimetiere. Mes entre I’autel et le cimetiere avoit une tombe de marbre ver; meil	qui entroit en ung grant cymetiere: |mais entre lautel et le cymeriere auoit une grande tumbe de marbre uermeil 	1051|1052
1337	ou il avoit letres blanches portraites molt soutilment. Il regardent les letres grant piece 	ou il auoit lettres blanches pourtraictes moult soubtillement. Ilz regardent les lettres. 	1053
1338	et dient 	et elles dient 	1054
1339	que por noient ne sont il mie venu cele part, 	que pour neant ne sont ilz pas uenue celle part 	1055
1340	kar sans aventure ne s’en partiront il huimés. 	car sans auanture ne sen iront meshuy 	1056
1341	Et Hestor list les letres 	Quant hector leust de lautre coste |si uist lettres 	1057|1058
1342	qui dient: «Os tu, chevaliers errant 	qui disoient. |Os tu chenalier errant 	1059|1060
1343|1344	qui vais querant aventures, |garde 	qui uas auanture querant gardes 	1061
1345	que ja ne te metes en cel cimetiere por les aventures achever 	que tu ia ne arrastes en ce cymetiere pour les auantures 	1062
1346	qui i sont, lear ce seroit paine gastee, 	qui y sent acheuer |car se seroit peine perdue/ 	1063|1064
1347	se tu n’es li chaitis chevaliers 	se tu ne es le chetif cheualier 	1065
1348	qui par sa maleurose luxure a perdu a achever les merveilloses aventures del Graal, celes 	qui par sa luxure a perdu a acheuer les auantures du saint graal ou il ne pourra iamais recouurer. 	1066
1349	ou il ne porra jamés recovrer. » De ceste parole se merveillent molt andui li compaignon	DE ceste auanture se merueillent les deux compaignons: 	1067
1350	et dient 	et disent 	1068
1351|1352	qu’il n’entendent mie bien ce |que les letres welent dire, kar trop obscurement parolent; 	que les lettres parlent trop obscurement. nompourtant dit messire gauuain 	1069
1353|1354	et neporquant, |si comme mesire Gauvain dist, des aventures del cimetiere veoir ne se tendra il pas. 	que des auantures du cymetiere ne se tendra il pas de les ueoir. Ilz uindrent a luis du cymetiere lui 	1070
1355	Si vienent a l’uis entre lui et Hestor 	et hector	1071
1356	et voient al chief del cimetiere une tombe 	et uirent une tumbe 	1072
1357	qui ardoit trop durement 	qui ardoit 	1073
1358	et lamboit si cler 	et flamboit si cler 	1074
1359	que la flambe en sailoit contremont plus haut d’une lance. 	que la flame en uolloit contremont plus hault que une lance/ 	1075
1360	Et tot entor avoit tombes desqu’a XII. 	et tout entour auoit tumbes iusques a douze 	1076
1361|1362	qui n’ardoient pas, |si avoit desus chescune une espee dreciee. De ceste aventure se merveille molt mesire Gauvain et Hestors; 	qui ne flamboient pas. Il y auoit dessus chacune une espee dreciee. 	1077
1363|1364	et|quant il ont la tombe ardant assés esgardee, 	Et quant ilz ont assez la tumbe regardee 	1078
1365	si dist mesire Gauvain: « Hestor, fet il, par mon chief, vés ci la plus merveillose aventure 	si dit monseigneur gauuain a hector. |Par mon chief uecy la plus merueilleuse auanture 	1079|1080
1366|1367	que je veisse onques mes. |Or covendra 	que ie ueisse oncques 	1081
1368|1369	que nos nos i essaiom, |se nos de saiens volons partir a honor : 	si nous y conuient essaier se de ceans uoullens issir a honneur. Ie uous prie 	1082
1370|1371	si vos pri |que vos m’i laissois aler 	que uous me laissez aller sauoir 	1083
1372|1373	por savoir |que ce puet estre,	que ce pourra estre 	1084
1374	et vos m’atendrois ici; 	mais attendez moy icy	1085
1375	ne ne vos movés por chose 	et ne uous mouuez pour chose 	1086
1376	que vos me voiés fere, 	que uous uoiez 	1087
1377|1378	devant que j’aie del tot railli ou achevé. — Sire, fet il, volentiers. » |Lors entre mesire Gauvain el cimetiere, l’escu al col, l'espee al costé a ; 	deuant que ie aye du tout failli a acheuer lauanture. Uoulentiers sire dit il. LOrs entre monseigneur gauuain au cy metiere lescu au col lespee au coste.	1088
1379	et quant il aproche des tombes, 	Et quant il approuche des tumbes 	1089
1380	si se merveille plus 	si se merueille plus 	1090
1381	qu’il ne fist huimés, 	quil ne fist meshuy 	1091
1382	kar il voit les espees 	car les espees 	1092
1383	qui desus les tombes estoient drecies tot par eles	qui dessus les tumbes estoient se drecerent tout par elles 	1093
1384	et vienent droit a Iui 	et uindrent droit a lui 	1094
1385	et li donent tels cops desus le hialme 	et lui dennerent grans coups sur son heaume 	1095
1386	qu’il n’a si buen pié 	si quil na pie 	1096
1387|1388	qui sostenir le puisse. |ains est si estordis 	qui le puisse soustenir	1097
1389|1390	qu’il vole a terre a genols et a Paumes. |Et	ains chiet a terre. 	1098
1391|1392	quant il se volt relever, |si sent descendre desor son chief si grant plenté de cops 	Et quant il se uoulut releuer il sentist descendre sur son chief si grant coups 	1099
1393|1394	qu’il ne set de soi prendre conroi, |ains chiet a terre 	quil le conuient retumber a terre 	1100
1395	et gist grantt Piece en pasmisons. 	et geust grant piece en pasmoison 	1101
1396|1397	Et quant il revient en son pooir |et il oevre les iex, 	Quant il fut en son pouoir il ouurist les yeulx 	1102
1398|1399	si se trueve al chief del cimetiere. a |Puis de la chapele, par devant Hestor.	et se trouua au chief du cymetiere a luys de la chapelle. 	1103
1400	Et lors a il molt grant honte; 	et lors a moult grant honte. 	1104
1401	si se relieve a	Si se relieue 	1105
1402	et dist 	et dit 	1106
1403	que s’il devoit morir, ira il a la tombe; 	que sil deuoit mourir 	1107
1404|1405	si gete l’escu sor sa teste |et trait l’espee 	si ira il iusques a la tumbe. Il iecta son escu sur sa teste 	1108
1406	et s’adrece vers les tombes. 	et puis se adressa deuers les tumbes. 	1109
1407|1408	Et quant il les aproche, |si voit les espees vers lui venir, 	Et quant il les approuche il uoit les espees uers lui uenir: 	1110
1409	et il se cuevre al miels 	et il se cueuure au mieulx 	1111
1410	qu’il puet, 	quil peut 	1112
1411	mes ce ne li a mestier. 	mais ce ny a mestier 	1113
1412	kar il est a cele fois pis conreés 	car il fut pis a celle fois 	1114
1413	qu’il n’avoit esté devant : 	que au parauant nauoit este 	1115
1414	si est si mal atornés 	Si fut si mal actourne 	1116
1415	que li sans li saut par mi le nes et par mi la boche et par mi les oreilles, 	que le sang lui sault parmi le ne parmi la bouche 	1117
1416	si a si grant anguoisse 	et parmi les oreilles. Il sent si grant angoisse 	1118
1417	qu’il cuide bien morir en la place, 	quil cuide bien mourir en la place. 	1119
1418	si se pasme 	Si se pasme 	1120
1419	et est longuement en tel dolor. 	et geust lenguement en pasmoison 	1121
1420|1421	Et quant il revient de pasmisons, |si se trueve a l'uis de la chapele, 	Et quant il uint a luys de la chappelle 	1122
1422	ausi com il avoit fet devant, 		
1423	mes il est si travailliés et si las 	si est si las et si trauaillie 	1123
1424	qu’a paines puet il parler. 	que a peine peut il aler ne parler. 	1124
1425	Et Hestor en a molt grant anguoisse, 	et hector en a moult grant douleur au cueur. 	1125
1426	si li demande 	Et lors lui demande 	1126
1427|1428	comment il li est. « |Comment, fet il, Hestor ? 	comment il lui est Certes mauuaisement 	1127
1429|1430	Certes molt malvaisement, |kar trop	car ie ne cuide pas 	1128
1431|1432	ai dolor al cors et duel al cuer. Dolor al cors ai je, |kar a je ne cuit pas 	que iamais	1129
1433	que je me dousisse onques	autant me doullusse 	1130
1434	mais autant com je fas orendroit, 	comme ie fais 	1131
1435	et duel al cuer ai je,	et si suis moult dolent de ce 	1132
1436	kar je sui li plus mescheans chevaliers de tot le monde, 	que ie suis le plus meschant cheualier du monde 	1133
1437	qui soloie estre li miels chaans chevaliers de tos. — Sire, fet Hestor, encore n'est mie nes li chevaliers 	qui souloie estre le meilleur de tous. Sire fait hector encores nest mie ne le cheualier 	1134
1438	a cui il ne soit mescheu alcune fois en alcune chose, 	a qui il ne soit mescheu en aucune chose aucunesfois	1135
1439|1440	et |por ce n’en devés vos pas estre si corociés. 	et pource ne deuez uous pas estre courrouce. 	1136
1441	Lors li oste le hialme de la teste	Lors lui oste le heaume de sa teste 	1137
1442	por le vent recueillir 	pour le uent recueillir/ 	1138
1443	et le laisse gisant delés la chapele, 	et le lesse gisant pres la tombe 	1139
1444	puis a prent son escu 	puis prent son escu 	1140
1445	et tret l’espee 	et trait lespee |et entre au chimitiere/ 	1141|1142
1446	et entre el cimetire et vet a grans pas vers la tombe ardant; 	et ua grans pas la |ou les tombes estoient/ 	1143|1144
1447	mais il n’a gaires alé, 	mes il ne a gueres alle 	1145
1448	quant il se i sent ferir sor le hialme et sor l'escu si grans cops 	qnant se sent ferir sur son heaulme|et sur sen escu si grans coups 	1146|1147
1449	qu’il chiet a la terre tos estordis. 	quil chiect a terre tout estourdi/ 	1148
1450	Mais il se releve molt viguerosement comme cil 	mes il se releua menlt uiguereusement 	1149
1451	qui molt estoit de grant proesce, 		
1452	et quant il se cuide del tot redrecier en son estant,	Et quant il se cuide du tout releuer en son estant 	1150
1453	si le recovient a terre flatir. 	si le cenuint a la terre tumber 	1151
1454	kar il ne puet durer a la plenté des cops 	et est en telle maniere actourne 	1152
1455|1456	qui sor lui descendent: |si est si atornés	quil na pouoir de soy releuer/ 	1153
1457	qu’il n’a pooir de soi drecier en nule maniere, 		
1458	ains gist a terre aussi comme mors ». 	ains gist a la terre comme mort. 	1154
1459|1460	Et se mesire Gauvain avoit esté batus et defolés, |encore fu cist pis, 	Et se mensieur gauuain auoit este bien batu 	1155
1461	lar plus i demora 		
1462|1463	que mesire Gauvain ne fist; |si se retrova a l’entree de la chapele.	et deffoulle encore fut il pirs. Il se trouua a luys de la chappelle 	1156
1464	Et lors fu il trop esbahis, 	et lors fut il trop esbahi/	1157
1465	mes plus n’en pooit fere, 	mes il nen pouoit plus faire 	1158
1466	lar tant estoit las et traveilliés 	car tant estoit las et trauaille	1159
1467	qu’a paines pooit il les iex oVrir. A chief de piece se drece en estant 	que a paine pouoit il les peulx ouurir/ |depuys ce 	1160|1161
		si se drecha en estant 	1162
1468	et regarde environ Iui, ausi 	et regarda entour luy 	1163
1469	com s’il eust dormi, 	come |sil eust dormy/ 	1164|1165
1470	et voit a l’entree de l'uis unes letres 	et il uist a lentree de luys unes lettres 	1166
1471	qui disoient: « Ja nus n’entrera en cest cimentire 	qui disoient/ |ia nul ne entrera en cest cymitiere 	1167|1168
1472	qui a honte ne s’en parte iusqu’atant que li fis a la roine dolerose i vendra.» 	qui a honte nen parte/ |deuant que le filz a la douloureuse royne y uendra/ 	1169|1170
1473	Lors mostre a mon seignor Gauvain les letres	et lors monstra hector les lettres a mensieur gau. 	1171
1474	et il les regarde 	et il les regarde 	1172
1475	et dist 	et puys dist	1173
1476	que de tos ces briés ne puet il riens savoir ne entendre, 	que de toutes icelles lettres ne peult il riens scauoir ne entendre/	1174
1477	lar trop obscurement parolent 	car trop obscurement parlent. 	1175
1478	et que aillors les en covient aler, 	et ailleurs les cenuient aller/ 	1176
1479	kar a ceste aventure ont il failli.	car a ceste aduanture ont ilz failli. 	1177
1480	Et Hestors a si grant duel 	Et hector a si grant doulleur 	1178
1481	qu’il ne puet mot respondre, 	quil ne peult respondre mot 	1179
1482	ains s’em part de la chapele corociés et plains d’ire 	aincois sen part de sa chapelle tout courrouchie/ 	1180
1483|1484	et lermoiant des iex a ; |si vienent a lor chevals, 	si uiennent a leurs cheuaulx 	1181
1485	si montent 	et mentent 	1182
1486	et s’en vont les chiés enclins desos les hialmes, pensant et dolosant de la mescheance 	et sen uont tous pensans et doullousans de la mescheance 	1183
1487|1488	qui avenue lor est; |si chevalchent en tiel maniere iusqu’aprés miedi	qui leur est aduenue. Ilz cheuauchent en telle maniere iusques apres midy 	1184
1489	que li uns ne dit mot a l'autre » 	que lun ne dist mot a laultre 	1185
1490|1491	Et lors sont venu a une forest vielle et ancienne, haute et espesse d’arbres. Il truevent a l’entree de la rorest I. chemin forchié |ou il avoit une crois de fust, 	lors sont uenus en une forest uieille et ancienne espesse de arbres Sy trouuerent a lentree une croix de fust, 	1186
1492	et en cele crois estoient letres escrites	et en celle croix auoit lettres estriptes 	1187
1493	qui disoient: « Os tu, chevaliers trespassans 	qui disoient. |Oz tu cheualier errant 	1188|1189
1494	qui ca t'achemines, vois ci.II. voies, P'une a destre et l’autre a senestre; 	qui par cy te achemines: regarde ces deux uoyes lune a destre laultre a senestre/ 	1190
1495|1496	mais garde, |si chier	mes garde si chier 	1191
1497	com tu as ton cors, 	comment tu as ton corps/ 	1192
1498	que tu en cele a senestre ne te metes, 	que en celle a senestre ne te mettes/ 	1193
1499|1500	kar bien sachies |que ja ne t'en partiroies sans honte.	car ia nen partiries sans honte/ de celle a destre/ 	1194
1501	De cele a destre ne te di je mie, 	ne te diz ie pas 	1195
1502	lear il n’i a pas tel peril. » 	quil y ait tel peril.	1196
1503	Quant il ont ies letres leues,	Quant ilz eurent les lettree leues 	1197
1504|1505	si dist Hestor a mon seignor Gauvain: « |Bials sire, je vos commant a Dieu, 	si dist hector a mensieur gau. Beaux sire ie uous commande a dieu 	1198
1506	kar en ceste voie a senestre enterai je, 	car en ceste uoye a senestre entreroy ie 	1199
1507	por ce 	pour ce 	1200
1508	que ces letres le me deffendent, 	que les lettres le me deffendent 	1201
1509	et vos enterois en ceste autre. — 	et uous entreres en cest aultre/ 	1202
1510	Non ferai, fet mesire Gauvain, 	non feray fait mensieur gauuain 	1203
1511	mes vos i enterrés et je enterrai en cele a senestre. — 	mes ie y entreray |et uous en celle aultre. 	1204|1205
1512	Par foi, fet Hestor, ja ne sera altrement 	Par ma foy fait hector ia ne sera aultrement 	1206
1513|1514	que je di. » |Lors ostent lor hialmes, 	que ie di lors oste chascun son heaulme	1207
1515|1516	si s’entrebaisent |et plorent al departir. 	si sentrebaisent au departir/ 	1208
1517	Si entre Hestor en sa voie et mesire Gauvain en la soe. 	si entra hector en sa uoye/ |et monsieur gau. en la sienne. 	1209|1210
1518	Mais atant laisse ore. li contes a parler d’Estor 	Mais a tant lesse ores le compte a parler de hector 	1211
1519	et retorne a conter de mon seignor Gauvain.	et parlera de monsieur gauuain.	1212
