	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
1438|1439	Mais ci endroit n’em parole plus li contes, |kar ça avant le devisera 	mais ci endroit nen parole plus li contes. |Mais sa auant en la deuine page le uos deuisera il bien. 	Mais cy cy endroit |pour deuiser une auanture |qui leur aduint ou paueillon endroit |nen parle plus le comte 	Mais cy endroit plus nen parle le compte |car cy aprez le uous deuisera 	Mais chi endroit nen parole plus li contes. |mais cha auant vous deuisera 	mas bien auenturada muger del mundo 	Ma qui indiritto non parla più il conto, |ché qua avanti vo diviserà 
1440|1441	et comment ele l’ama merveillosement |et comment ele le proia et la merveille 	et coment ele lenma meruilleusement |et coment ele le proia.et la merueille 	car apres le uous deuisera bien |comment elle lama merueilleusement |et comment elle le pria et la merueille 	et comment elle layma merueilleusement. 	comment elle lama merueilleusement. |Et comment elle li pria. |et la meruelle 	mas de como ella amo muy afincadamente a lançarote |e delas cosas 	com’ella l’amò maravigliosamente |e com’ella ne 'l pregò |e richiese d’amore, 
1442	que ses amis en fist, 	que ses amis en fist 	que son amy en fist 		que sez amis en fist. 	que su amigo fiço 	e le maraviglie che suo amico ne fece 
1443|1444|1445	quant il sot |qu’ele l’amoit, |et comment cele morut 	quant il sot |que ele lemmoit. |et coument ele morust 	quant il scet quelle lamoit. |et comment cy endroit 	et comment elle mourut 	quant il sot |que elle lama. |Et comment elle morut 	quando sopo que ella tan |desmesuradamjente lo amaua |e de como ella murio 	quand’e' seppe |ch’ella l’amava, |e come elli la rifiutò 
1446	por ce qu’il la refusa, 	porce que il la refasa. 		pource quil la refusa 	por chou quil le refusa, 	quando supo |que lançarote no la queria amar 	e com’ella ne mori. 
1447|1448|1449|1450|1451|1452|1453|1454|1455	tot ce vos trespassera li contes ci endroit |por deviser une aventure |qu’il lor avint el paveillon |ou il estoient. |Ci dist li contes |que, quant il orent le secont mes eu, |es vos un chevalier armé d’unes armes vermeilles |qui vint corant par devant le paveillon o grant compaignie de chevaliers. |Et cil as armes vermeilles 	Tout ce nos trespasera li contes ci endroit. |por deuiser une auanture |qui lor auint el pauillon. |OR dit li contes |que quant il orrent le secont mes eu. |E uous un cheualier arme a unes armes uermeilles. |et uuit acorant par deuant le pauillon o grant compangnie de cheualiers. |et ciz as armes uermeilles 	pour deuiser une aunture|qui leur aduint ou paueillon elle mourut |par ce quil la refusa. |Tout ce uous trepassera le conte Cy dit listoire |qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles uint courant deuant le paueillen o grant compaignie de cheualiers. |Et cil es armes uermeilles 	Comment lancelot rescouist le frere du cheualier |qui lauoit logie. |Et comment il se deffendist centre argondes. |et puis alla a la douloureuse tour faire enterrer le corps de galle .iiii.xx.xu. |LE compte dit |que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant |par deuant le paueillon a grant compaignie de cheualiers 	out ce vous trespassera li contes |chi endroit |pour deuiser vne autre auenture|qui lor auint el pauellon |ensi com vous orres. |ANsi entendi la damoisele |a regarder lancelot |que onques ne manga |Et tant que on dut seruir du secont mes : |Et quant il orent le secont mes es vous. j. cheualier arme dunes armes uermeilles 	todo lo dexa aqui el Cuento de contar |Por contar vna auentura que les auino enla tienda |do estauan comiendo Dize el cuento |que ellos estando comiendo |asi como vos digo he aqui |por do viene por antela tienda vn cauallero convnas armas vermejas |con gran conpaña de caualleros |e el Cauallero delas armas vermejas 	Tutto vo trapassa ora il conto |qui indiritto per divisare una aventura |che loro avenne nel padiglione |ove egli erano. |Or dice il conto |che quando elli ebbono la seconda messa avuta, |ed e' vidono uno cavaliere armato d’un’arme vermiglie 
1456|1457	qui devant venoit entre el paveillon a |et voit. I. escuier 	qui deuant uenoit: |entra el pauillon. |et uoit un escuier 	qui uenoit deuant entre ou paueillon et uoit ung escuier 	et il entra au paueillon |et uist ung escuier 	qui vint corant par deuant le paueillon |et vit el paueillon. j. escuier 	que delante venia entro enla tienda |e vio vn escudero 	che davanti lor venne nel padiglione; |e là ove vide uno scudieri 
1458	qui servoit a la table, 	qui seruoit a la table. 	qui seruoit a la table 	qui seruoit a la table 	qui seruoit a la table 	que seruia antela mesa 	che serviva alla tavola 
1459	si estoit freres al chevalier de laiens. 	et estoit freres au cheualier de laiens. 	qui estoit frere au cheualier de leans 	qui estoit frere au cheualier de leans. 	qui estoit freres au cheualier de laiens. 	e el cauallero 	ed era fratello del cavaliere di là entro, 
1460|1461	Et il cort maintenant cele part, |si le prent par les espaules 	et il cort maintenant cele part |et le prant as espaules 	si court maintenant celle part |et le prent par les espaules 	Il le prent par les espaulles 	Et il cort mainte nant |si le prent par les espaulles 	enque lo vido fue contra el |e tomolo porlos braços 	ed e' corre in quelle parti, |si prende lo scudieri per le spalle 
1462	et le lieve devant lui sor l’arçon de la sele, 	et le trait deuant lui sor larson de sa cele. 	et le lieue deuant luy sur larcon de la sele. 	et le met deuant lui es arcons de sa selle 	et le met par deuant lui sor le col de son cheual. 	e pusolo antesi sobre el cuello del cauallo 	e lieva davanti lui sopra l’arcione della sella, 
1463	si s’en torne a tot. 	Si sen torne atant 	si sen tourne atant. 	si sen ua atout. 	si sen torne a tout. 	e salio conel dela tienda 	si se ne va con tutto lui broccando. 
1464	Et quant cil del paveillon voit ce. 	et quant cil del pauillon uoit ce: 	Et quant cil du paueillon uoit ce 	Et quant celui du paueillon uoit ce 	Et quant li cheualiers del paueillon vit chou 	e el cauallero |quelo vio 	'E quando il signor del padiglione vide ciò, 
1465|1466|1467|1468|1469	si crie a Lancelot: « |Ha, |bials sire, |je sui mors, |se cil enporte ensi mon frere, 	Si crie a lanc̾. |a biax sire |ie sui mors ce ciz en porte mon frere. 	si crie a lancelot. |Haa beau sire |ie suys mort sil emporte ainsi mon frere 	si crie a lancelot. |Haa sire ie suis mort |se celui emporte mon frere/ 	si crie a lancelot. |Sire iou sui mors sil emporte ensi mon frere. 	ansi lleuar començo a dar vozes a lançarote |ay señor muerto so si asi me lleba a aquel escudero mi hermano 	si isgrida a Lancellotto: |Al, bel sire, |io son morto se |que' ne porta insi mio fratello, 
1470|1471	kar il l’ocirra, |s’il n’est secors: 	Car il locirra ia. ce i nest cecorus. 	Car il loccira sil nest secouru. 	car il loccira sil nest secouru 	quar il locirra sil nest secorus 	Ca lo matara si lo no acorredes 	ché l’uccidrà se nonn-è 
1472	si vos pri por Dieu 	Si uous pri por dieu 	si uous pry pour dieu 	Si uous prie pour dieu 	Si vous pri pour dieu 	e porende vos Ruego |por dios 	soccorsol Si vo priego, per Dio, 
1473	que vos i metés paine. » 	que uos metes painne en lui rauoir. 	que uous mectez et ung escuier uient a luy |si luy dist. 	que uous mettez paine a le secourir 	que vous metes paine en lui rescorre. 	que me ayudedes alo cobrar 	che vo' vi mettiate pena in lui riscuotere». 
1474	Et Lancelos saut de la table 	Et lanc̃ saut de la table 	Certes fait il. 	Et lancelot sault hors de la table 	Lors saut maintenant lancelot doutre la table. 	e lançarote salio luego dela mesa 	E Lancellotto salta tutto immantanente della tavola 
1475|1476|1477|1478|1479|1480|1481|1482|1483|1484|1485|1486|1487|1488|1489	et demande ses armes, |et I. escuiers vint avant, |si li dist : « |Par foi, |sire, |vos armes et vostre cheval enmainent il ! |— |Voire, |fet il. par mon chief, |ja por ce ne remaindra |que je nes sieve.» |Lors vient fors del paveillon |et li chevaliers o lui |et il esgarde cels |qui s’en vont 	et demande ses armes. |et uns escuiers saut auaut |si li dist. |Par foi sire et uos armes et uostre cheual enmainnent il. |uoire fait cil: |par mon chief iaporte ne remandra |que ie nes sieue. |Lors uient fors del pauillon |et li cheualiers o lui |et regardent cex |qui sen uont. 	uoz armes et demourra |que ie ne les suyue. |Lors uient hors du paueillon. |et les peine a le rauoir et lancelot sault de la table |et demande ses armes |uostre cheual emmainent ilz. |uoire fait il. |Par mon chief |pour ce ne cheualiers o luy. |et il regarde ceulx |qui sen uont 	et demande ses armes, |et ung escuier uint a lui |et lui dist. |Par ma foy sire uoz armes emportent il. |Par mon chief |pour ce ne ne demourra il pas |que ie ne le suiue. |Et lors sault hors du paueillen |et le cheualier auec lui Ilz regardent ceulx |qui sen uont 	si demande ses armes |Et vns escuiers vint a lui. |si li dist Par foy |sire vos armes et vostre cheual enmainent il |voire fait il : |par mon chief por chou ne remandra il mie |que ams iou ne lez sieue. |Et lors sen ist hors del paueillon. |et li cheualiers aueques lui. |et il regarde chiaus |qui sen vont 	e pidio sus armas a vn su escudero |Que y estaua le dixo |señor |Por buena fee el cauallero vos a hecho llebar vuestras armas |e vuestro cauallo pormi cabeza dixo lançarote |ni por eso non fincara |quelo non siga |e luego salio lançarote dela tienda |e el cauallero conel |e vieron yr los caualleros pasando el agua 	e domanda sue armi, |e uno scudiere viene avanti |che gli disse: |«Per fé, |vostre armi e vostro cavallo ne mena elli. — |Vere, diss’elli, |per mio capo, |già per ciò non rimarrà |ch’io nol seguiti». |Allor va fuori del padiglione e l cavaliere con lui, |ed e'risguardano quelli |che se ne vanno 
1490	qui ja avoient passé l’eve par J. pont de fust; 	qui ia auoiet passe leue par .i. poncel de fust. 	qui auoient ia passe leaue par ung pont de fust. 	qui auoient ia passe leaue par ung pont de fust. 	qui auoient passe laigue par. j. pont de fust. 	Porvna puente de madero 	che già avieno passato l’acqua per un ponte di legno, 
1491|1492	et Lancelos demande al chevalier |s’il remaindra. « 	et lanc̃. demande au cheualier |ce il remaindra. 	Et lancelot demande au cheualier sil demourra. 	Lancelot demande au cheualier sil demourra. 	Et lancelot demande au cheualier sil remandra 	señor dixo lançarote al cauallero fincad vos aqui no fare dixo el 	Pe Lancellotto domanda al cavaliere |s’elli rimarrà, |ed e dice: 
1493|1494|1495|1496|1497	Sire, |fet il, |nenil, |ains vos ferai compaignie |tant que nos aions trové 	Sire fait cil non. |ains uos ferai compangnie. |tant que nos aions troue 	sire fait il nennil. |ains uous feray compaignie |tant que nous ayons trouue 	Sire fait il nenny |ains uous feray compaignie |tant que uous aiez trouue 	Sire fait il nenil ains vous tendrai compaignie |tant que vous aies troue 	mas antes yre con vos |fasta que falledes quien vos de armas |e cauallo enque sigades el cauallero 	«Sire, |non, |anzi, |vo farò compagnia tanto |che noi troviamo 
1498	qui armes vos baut. » 	qui armes nos baut. 	qui nous preste armes. 	qui armes uous baillera. 	qui armes vous volsist baillier. 	Luego se començaron de yr |e andubieron tanto 	chi armi vo doni». 
1499|1500|1501|1502	Lors acueillent lor voie tot a pié |et vienent au pont, |si passent outre |et s’adrecent a I. tertre 	Et lors acuellent lor uoie. tout a pie. |et uienent au pont |si passent outre. |et sadrescent au tertre 	Lors acceillent leur uoye tout a pie |et uiennent au pont |si passerent oultre |et sadrecent au chemin 	Lois uiennent au pent tout a pie |et passent oultre |et se adrecent a ung terte 	Lors acoillent lor chemin droit au pont |et passent outre. |Et sadrecent a vn tertre 	fastaque llegaron ala puente de madera |e pasaronla |e fueronse contravn otero 	Allora accolgono lor camino tutto a |ppiè e vengono al ponte, |si passano oltre e s’adirsizlano al poggio 
1503	par ou li chevalier s’en vont; 	par ou li cheualiers sen ua. 	par ou les cheualiers sen uont. 	par ou les cheualiers uont. 	par ou li cheualier vont. 	Por do los caualleros se yuan e lançarote 	per dove il cavaliere se ne va. 
1504	si n’ont gaires alé 	Si nont gaires ale 	si nont gueres alle 	Si ne ont gaires alle 	Si nont gaires ale 	e el cauallero fueron tanto 	Si non ebbono guari andato 
1505	quant il encontrent I. chevalier armé d’unes armes noires 	quant il uoient .i. cheualier arme a unes armes noires. 	que ilz encontrent ung cheualier arme dunes armes noires 	quant ilz encontrent ung cheualier arme dunes armes noires 	quant il ont encontre. j. cheualier a vnes armes noires 	enpos ellos |fastaque encontraron vn cauallero armado devnas armas negras 	quando elli incontrarono uno cavaliere a une armi nere 
1506|1507	qui venoit al pont par I. chemin de travers. |Et quant il voit Lancelot, 	qui uenoit au pont par .i chemin de de trauers. |et quant il uoit lanc̃ si sareste 	qui uenoit au pont par ung chemin de trauers. |et quant il uoit lancelot 	Quant il uist lancelot il se arresta pource 	qui venoit au pont par. j. Chemin de trauers. |Et quant il vit lancelot si sarreste por chou 	que venia ala puente |porvn sendero pequeño |altrabes |e quando el vio a lançarote 	che vlenlia al ponte per uno camino di traverso. |E quand’e' vide Lancellotto, 
1508	si s’areste por ce que bien le conoissoit, 	por ce que bien le quenoissoit. 	si se arreste |par ce que bien le cognoissoit. 	qu il le congnoissoit bien 	quil le connut bien.	luego lo conoçio |e estovo quedo 	si si arestò per ciò che ben lo conosce, 
1509	si li demande 	Si li demande 	si luy demande 	et lui demanda 	Si li demande 	fastaque llego 	si gli domanda 
1510|1511	ou il vet |ensi a pié tos desammés. « 	ou il ua Si a pie et ansi desarmes 	ou il ua ainsi a pie et tout desarme. 	ou il alloit ainsi a pie tout desarme. 	ou il aloit ensi tout a pie et desarmes. 	e dixole 	ov’elli va insi a piede e tutto disarmato. 
1512|1513|1514|1515|1516	Qui estes vos, |sire chevaliers, |fet Lancelos, |qui me demandés |ou je vois ? — 	Qui estes uos fait il sire cheualiers |qui me demandes ou ie uois. 	Qui estes uous fait lancelot sur cheualier. |qui me denandez ou ie uoys. 	Quest ce fait lancelot demandez uous ou ie uois. 	Qui estes vous fait lancelot |qui me demandes ou ie vois. 	señor do ydes asi de pie |e desarmado |e quien sodes vos dixo lançarote 	PeChi siete voi, |disse Lancellotto, sire, |che mi domandate |ov’io vò? - 
1517|1518|1519	Je sui, |fet il, |I. chevaliers d’estrange païs, 	Ie sui fait il de cest estrange pais. 	Ie suys fait il ung cheualier estrange. 	Oy sire si suis ung cheualier destrange pais 	Iou sui fait il vns cheualiers destrange pais 	yo so dixo el vn cauallero destraña tierra 	l’ son, diss’elli, |uno cavaliere di stran paese 
1520|1521	mais molt me merveil |de ce que je vos voi ensi aler. » 	mais mout me merueil |de ce que ainsi uos uoi aler. 	mais moult me merueille |de ce que ie uous uoy ainsi aller. 	qui moult me merueille de uous uoir aller ainsi. 	qui moult mesmerueil de chou |que iou vous voi ensi aler. 	que mucho me marauillo |porque vos veo yr 	che molto mi maraviglio di ciò |ch’io vi veggio insì andare». 
1522|1523	Et Lancelos li conte |comment il estoit herbergiés 	et lanc̃. li conte |comment il estoit ainsi herbregiez. 	et lancelot luy comte |comment il estoit herberge. 	Et lancelot lui compte |comment il estoit hebergie: 	Et lancelot li conte |comment il estoit herbergies. 	asi 	E Lancellotto gli conta |com’egli era albergato 
1524|1525	et comment I. chevaliers vint laiens |ou il menjoit, 	et coment li cheualiers enporte lescuier. 	et comment ung cheualier uint leans 	et comment ung cheualier uint la |ou il mengoit 		e apie e lançarote lo conoçio |e començole a contar 	e come uno cavaliere venne là entro |ov’elli mangiavano, 
1526|1527	qui prist a force I. vaslet |et le mist sor le col de son cheval. « 		qui print a force ung uarlet |et le mist sur le coul de son cheual. 	qui print a force ung uarlet |et le mist sur le col de son cheual. 		como el cauallero lo aluergara 	e prese uno scudieri a forza davanti noi |e l mise sopra l collo di suo cavallo, 
1528|1529|1530|1531|1532|1533|1534|1535	Et encore m’a il plus meffet, |fet Lancelos, |kar cil qui avec lui vindrent enporterent mes armes |et enmenerent mon cheval. |— |Quel guerredon, |fet cil, |porroie je atendre de vos, 	et encor ma il plus mesfait fait fait lanceloz. |Car cil qui auec lui uindrent enportent mes armes. |et en mainnent mon cheual. |Quel guerredon porroi ge atandre de uus 	et encor ma il plus meffait. |Car ceulx qui uindrent auec luy emporterent mes armes |et emmenerent mon cheual |Quel guerdon pourroye ie actendre de uous. 	Et encores y a il plus fait lancelot |car ceulx |qui auec luy sont emportent mes armes |et emmainent mon cheual/ quel guerdon fait celuy pouroie ie auoir de uous 	et comment li valles fu pris et sez armes et ses cheuals emportees. |Quel guerredon fait cil porroie iou de vous atendre : 	e como el otro les llebo el escudero |que ala mesa seruia afuerça ençima del cauallo |e como le fiço llebar sus armas |Que galardon me daredes |dixo el cauallero 	e ancor m’à elli più misfatto, |disse Lancellotto, |ché quelli che con esso lui venono ne portano mie armi |e ne menano mio cavallo. |—E quale |guiderdone potre io di voi atendere, 
1536|1537|1538|1539	se je |por vos me desarmoie |et vos bailloie mes armes et mon cheval ? |— 	se ie uos bailloie mes armes et mon cheual. 	si ie pour uous me desarmoye et uous balloye mes armes et mon cheual. 	se ie me desarmoye et uous bailloie mes armes et mon cheual/ 	se ie por vous me desarmoie |et vous bailloie mes armes et mon cheual. 	si vos diese mis armas |e mi cauallo porçierto dixo lançarote 	s’io per voi mi disarmasse |e vo donasse mio cavallo e mie armi? |— 
1540|1541|1542|1543|1544|1545|1546|1547|1548|1549	Certes, |fet Lancelos, |tel com vos deviseriés. |— |Se vos, |fet il, |el premier lieu |ou je vos troverai armé, |por que je soie desarmés, |me creantés a doner vos armes » 	Certes fait lanc̃. tel com uous deuiserois. |Ce uous fait cil me creantes |que el premier lieu ou ie uos troueroie arme |puis que ie fusse desarmes me donriez uos armes. 	Certes fait lancelot |tel comme uous deuiseriez |Se uous me creancez |que ou premier lieu |que ie uous trouueray arme par |ainsi que ie soye desarme |que uous me baillerez uoz armes 	certes fait lancelot: |tel comme uous deuiseres/ |se fait il au premier lieu |ou ie uous trouueray arme me promettes a bailler uos armes 	Certes fait lancelot |tel comme vous deuiseres. |Se vous fait cil el premier lieu |ou iou vous trouerai arme me creantissies a baillier vos armes 	tal qual vos supieredes deuisar |si vos me juraredes |dixo el Cauallero |que enel primer lugar |que vos fallare armado e yo fuere desarmado me dedes vuestras armas |yo vos dare estas mis armas 	Certo, |sire, |disse Lancellotto, |tale come diviserete. |— e vo', |disse il cavaliere a l’arme nere, |nel primaio luogo |ov’io vo troverò armato per |ch’io sia disarmato |mi volete dare vostre armi, 
1550|1551	Ie vos bailleroie les moies. |— 	le uous bailleroie les moiees. 	ie uous bailleray les moyes. 	ie uous bailleray les miennes 	Iou vous bailleroie lez moies 	e mi cauallo 	e ciò mi volete impromettere, |io vo donerò le mie 
1552|1553	Certes, |fet Lancelos, 	Certes fait cil si ferai ge 	Certes fait lancelot 		Certes fait lancelot volentiers par ensi 	Muy de grado dixo lançarote 	che molto sono buone e difensaboli. — Certo, disse Lancellotto, 
1554|1555	si ferai je, |por que vos ne me truisiés combatant. » 	puis que uos ne me trussiez conbatant. 	si feray ie |mais que uous ne me trouuez combatant. 	Certes fait lancelot si feray ie pourtant que uous ne me trouues combatant/ 	que vous ne me truisies combatant. 	ental que me non falledes conuatiendo 	si farò io, |purché voi non mi troviate combattendo». 
1556	Et cil descent maintenant, 	et cil descent maintenant 	Et il descent 	et celuy deschent maintenant 	Et cil descent maintenant 	e luego selo juro 	E que' dice che si, |dic’elli, 
1557	si se desarme 	si se desarme. 	si se desarme 	sy se desarme 	si se desarme 	entonçe desçendio el cauallero desu cauallo |e desarmose e dio todas sus armas 	e Lancellotto gliel promette immantanente a donare. |sImmantanente discende il cavaliere e disarma 
1558	et baille a Lancelot tot son hernois, 	et baille a lanc̃ son harnois. 	et baille a lancelot tout son harnoys. 	et baille tout son harnois a lancelot 	et baille a lancelot tout son harnois. 	e su Cauallo a Lançarote 	e dona a Lancellotto sue armi e suo arnese, 
1559|1560|1561|1562	et il s’en appareille |et monte en son cheval, |puis dist a son oste |qu’il s’en retort; 	et il sarme et monte en son cheual. |Puis dit a son oste quil sen retort 	et il sappareille |et monte a cheual |puis dist a son hoste |quil sen retourne. 	et il sen appareille |et mente sus le cheual 	Et il sen appareille tout maintenant |et monte sor le cheual |et dist a son oste 	e Lançarote se armo |e subio enel cauallo |e dixo asu huesped |que se tornase 	ed e'se n’aparecchia, |si monta in suo cavallo, |poscia dice a suo oste |ch’elli si ritorni, 
1563|1564|1565|1566|1567	Imes il dist |que non fera. « |Si ferois, |fet Lancelos a lar |je conoistrai bien les armes a celui 	et il dit |que non fera. |Si ferois fait lanc̃. |Car ie quenoistrai bien ciax as armes 	mais il dit |que non fera |si ferez fait lancelot, |car ie cognoistray bien les armes de ceulx 		quil sen retort |quar iou connistera bien lez armes a celui 	No fare dixo el huesped |si faredes dixo lançarote |que yo conoçere vien el cauallero enlas armas 	e que' dice che non farà. |Si farete, |disse Lancellotto, |ch’io conoscerò bene l’armi di colui 
		que ie uois querant 					
1568	que je vois querant en quelque lieu je les truisse. 	en quel que lieu |que ie les truisse. 	que ie uoys querant en quelque lieu |que ie les trouue. 		qui iou vois querant. 	que lleba en qualquier lugar |que el vaya 	a cui io vo cheggendo |in quale che luogo 
1569|1570|1571	Et cil dist, |puis qu’il velt, |s’en retornera: 	et cil dit |puis quil le ueit il sen retornera. 	Et il dit |quil retournera 	et fait retourner son hoste 	Etr cil dist |que dont sen retornera il |puis quil le veult. |Si sen retorne atant 	yo me tornare |dixo el huesped |pues vos plaz |E luego se torno 	ch’io il trovasse». |VE que' dice che, |poscia ch’elli vuole, |ch’elli si tornerà: 
1572	si s’en vet et enmaine o lui le chevalier 	Si sen ua et enmainne le cheualier auecque lui. 	puis quil le ueult. |si sen ua et emmaine auec luy le cheualier 		et enmaine |aueques lui le cheualier 	e llebo consigo el cauallero |quelas armas auia dado a lançarote 	si se ne va e mena con esso lui il cavaliere 
1573|1574	qui molt est liés |de ce que Lancelos li doit I. guerredon. 	qui mout est liez de ce que lanc̃ li doit guerredoner. 	qui est moult lie |de ce que lancelot luy doit ung. guerdon. 	et prent congie de luy. 	qui moult est lies de ce que lancelot! doit. j. guerredon. 	que yua muy alegre |de aquello que lançarote le auia prometido 	che molto est lieto di ciò |che Lancellotto gli dee uno guiderdone. 
1575|1576|1577	Et Lancelos aquelt son chemin aprés cels |que ? il sieut |tant qu’il est venus el tertre en haut 	Et lanc̃ aquiet son chemin apres ciax que il sieut. |tant que il est uenus el haut tertre. 	Et lancelot preut son chemin apres ceulx |quil suyt tant quil est uenu ou tertre en hault. 	lancelot print son chemin apres ceulx |qui sen uont tant quil est uenu eu tertre en hault/ 	Et lancelot si acuelle son chemin |por aler apres chiaus quil sieut. |Tant quil est uenus el tertre en haut. 	e lançarote se fue porel camino enpos el cauallero |e andubo tanto |fasta que paso porel otero 	E Lancellotto accoglie suo camino apresso coloro che seguita, |tanto ch’egli è Purchél penurche . |Vjenhaj via venuto al poggio in alti. 
1578|1579	et lors voit devant lui la forest |que l’en apele la forest des Trois Perilx, 	et lors uoit deuant lui la forest des trois perilx. 	Et lors uoit deuant luy la fourest |quon appelle la fourest des troys perilz. 	et lors uoit deuant luy la forest des trois perilz 	Et lors uoit deuant lui la forest dez. iij. perieus:. 	e llego avna floresta |que llamauan la floresta delos tres pilares 	Allora isguarda davanti lui, |si vide la foresta |che l’uomo chiama la foresta de' Tre Perigli, 
1580	et ce por quoi ele fu ensi apelee devisera bien li contes ça avant. 	et ce porquoi ele fu ainsi apelee |ce deuissera li contes sa auant. 	Et pour quoy elle fu |ansi appellec uous deuisera bien le comte cy apres. 	et ce pour quoy elle est |ainsy appellee deuisera bien le compte cy en auant. 	Et chou porcoi elle est |ensi apelee deuisera bien li contes cha auant. 	e porque fue ella |asi llamada este cuento lo deuisara aca adelante 	e ciò perch’ella fu insi chiamata |vo 
							diviserà il conto ben qua avanti. 
1581|1582|1583|1584	Quant il fu amont el tertre, |si esgarde devant lui, |mais il ne voit nul de cels |que il queroit, 	Quant lanc̃. fu amon el tertre |si regarde |Mais il ne uoit deuant lui nus de ciax |que il guiert. 	Quant il fu amont ou tertre |si regarde deuant luy. |et il ne uoit nul de ceulx quil queroit. 	QUant il fust amonlt eu tertre |si regarde deuant luy 	Quant lancelot fu amont el tertre |si regarda deuant lui |mais il ni uit nul de ceaus |que il queroit 	Quando el llego ala floresta |e no vido aquel |enpos quien yua 	Sl oQuand’e fu montato nel poggio, |si isguarda davanti lui. |ma elli non vide nullo di quelli |ch’elli chiedea, 
1585|1586	kar il s’estoient ja ferus en la forest. |Et totes voies sieut il les esclos des chevals 	Car il cestoient ia feru en la forest. |et totesuoiez sieut il les escloz des cheuaus. 	car ilz sestoient ia feruz en la foueest. |a touteuoyes suyt il les escloz Des cheuaux 	et suyst les pas des cheuaulx 	quar il sestoient ia feru en la forest. |Et toutes voies sieut il lez esclos dez cheuaus 	e fue 	ché s’erano già messi nella foresta. |E nonperquanto tuttavia segue elli li scrosci de' cavalli tanto 
1587	tant que il vient a l’entree de la forest; 	tant que il uient en lentree 	tant quil uient a lentree 	tant quil uint a lentree de la forest/ 	tant quil est uenus a lentree de la ; forest. 	entonçe porende muy triste 	ch’egli è venuto all’entrata della foresta. 
1588|1589|1590|1591|1592|1593	et lors encontre une damoisele tote chenue |qui chevalchoit molt cointement |et estoit tote deslie, |ses treces par ses espaules |comme pucele |et avoit en son chief l. chapel de roses, 	et lors encontre une dame tote chenuee. |qui cheuauchyt mout coitement. |et ert tote |desliie.ses tresces par ses espaules comme pucele. |et auoit en son chief un chapelat de rosez. 	Et lors encontra une dame toute chenue |qui cheuauchoit moult cointement. |et estoit toute desliee les treces sur les espaules comme pucelle. |et auoit en son chef ung chapel de soucique 	et lors encentra une damoiselle toute chanue |qui cheuauchoit menlt coinctement toute descheuelee/ ses tresches entre ses espaulles |comment une pucelle et auoit sur son chief ung chapiau de roses/ 	Et lors encontra vne damoisele toute kenue |qui cheualchoit moult noblement. |et auoit sez treches toutes desloies par sez espaulles comme pucele. |Et auoit en son chief chapel de roses 	entonçe encontro vna donçella envn muy fermoso palafren |que hera toda cana |e lleuaua los cauellos tendidos porlas espaldas |como si fuese muy moça |e traia vn capillejo de Rosas enla cabeça 	Allora incontrò elli una dama tutta canuta |che cavalcava molto contamente, |suo capelli isparti per sue spalle com’una pulcella, |e avea in suo capo uno capello di rose, 
1594	kar c’estoit entor la Saint Johan. 	Car cestoit Entor la feste saint iehen. 	car cestoit entour la saint iehan 		quar ce estoit entor la saint iehan : 	Ca hera entonçe por sant juan |e lançarote lo saluo 	ché ciò era intorno il Santo Giovanni. 
1595|1596	Il le salue |et ele li dist 	Il la salue |et ele li dist 	Il la salue. |et elle luy dist 	il la sallue |et elle luy dist	Il le salue maintenant quil la uit. |Et elle dist 	e ella lo torno sus saludes 	Elli saluta ed ella gli dice 
1597|1598|1599|1600|1601|1602	que bone aventure li doinst Diex. « |Damoisele, |fet il, |me savriés vos a dire |quel part uns chevaliers o unes armes vermeilles |s’en vet ? 	que bone auauture li doint diex. |Dame fait lanc̃. |me saurrez uos adire quel part uns cheualiers a unes armes uermeilles sen ua. 	que bonne auanture luy doint dieu damoisele |fait il me scauriez uous |a dire quelle part sen ua ung cheualier a unes armes uermeilles	que bonne aduanture luy dennast dieu damoiselle |fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles. 	que diex li donnast boine auenture. |Damsolisele fait sil me sauries vous enseignier |quel part vns cheualiers sen uait 	Donçella dixo lançarote |saberme yades enseñar |por do va vn Cauallero devnas armas bermejas 	che buona aventura gli doni lddio. |Dama, |disse Lancellotto, |mi sapreste vo' dire in quale parti uno cavaliere a une armi |vermiglie se ne va? 
