micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
Et il respont touz iriez de ce  qu’il l’araisonne : « Fui de ci, laisse moi,  car a je ne me remouvrai de ci  por toi ne por autre. » 	Et il respont touz iriez de ce  quil la araisonez. fuiez de ci. lessiez moi.  Car ie ne me mourai dici por toi. ne pour autre. 	et il respont tout yre de ce  quil la araisonne fuy de cy laisse moy  car ie ne me partiray de cy pour toy ne pour autre. 	Et il respont iou ne me mouerai  ne por tois ne pour autrui. 	et il lui respendit tout malcontent.  Fuy hors dicy  car ie ne me mouuerai ne pour toy ne pour aultre/ 	et il li dit fui de si car Ie ne me mourai  ne por toi ne por autre. et	que no quiero yr de aqui  por ti ni por otro 	
Et quant il oit  qu’il ne se remuera,  si li est avis  qu’il soit courouciez  por ce qu’il l’a trop tost apelé ; 	Et quant il ot quil ne se mouura. Si li est auis  quil se soit correciez pour ce  quil la trop apele. 	Et quant il ouy  quil ne se mouuera il luy est aduis  quil est corrouce  dont il a trop apelle	Et cil atent encore vn poi pour sauoir  sil se remuera  mes il nen fait nul samblant 	et quant il eut ouy  quil ne sen remueroit ia/  et qu il nen faisoit nul semblant/ 	quant il uoit  qu il ne ce moura  si li est auis que il est correciez. 	y quando el escudero esto oyo cuido  que se ensañaua  porque lo Cuitaua tanto 	
si se retraist arriere" et atant encore l.  poi  por savoir  s’il se remuera;  et il n’an fait nul samblant.  Et cil demore dusqu’a none, 	Si se trait arriere  et atent encore .i. poi. pour sauoir  sil se moura.  et il nen fet nul semblant  Et cil demeure iusqua nonne. 	si se trait arriere  et actend encor ung pou pour sauoir  sil se mouuera.  et il nen fait nul semblant.  et le uarlet demeure iucqua nonne. 	Et cil se tient por fol de ce  quil a tant atendu.  Et reuint a lancelot 	si demeura iusques a nenne/ 	Si se trait arieres.  et atant  por sauoir se il se moura.  Mais il nen fait mie samblant.  Ensi demeure iusqu a none. 	y tirose afuera  por ver si le mudaria el Corazon y attendio fasta ora de nona  y entonze fue ael y llamolo 	
et quant il voit  que li solauz est ja tornez,  e  si se tient por fol de ce 	et quant il uoit  que li soleus est ia tornez.  si se tient pour fol de ce 	Et quant il uoit  que le souleil est ia tourne si se tient pour foul de ce 	et le rapele vne autre fois. et li dist 	Puis quant il uit  que le solleil estoit ia tourne  si se tint pour fol de ce 	Et com il uoit  que Solaus fu tornez si uient a lui.  et li dit sire 	que non ay mayor deleite  ca mantener siempre amor 	
qu’il a tant atandu.  Lors revient a lui 	quil a tant atendu. Lors reuient a lui. 	quil a tant actendu.  Lores reuient a luy 	quil sen viegne.  Et cil 	que tant auoit attendu  Lors uint a lui/ 	car uos en uenez. 	e veuir porel 	
et le rapele une autre foiz  et dist 	et le rapele une autre foiz.  et li dit  quil sen uiengne.  Et cil 	et le rapelle une autre foiz  et lun dit	a qui il ne souient fors de ioie li respont 	et le rappella une aultre foiz.  Et lancelot 	et il li dit 	y estas palabras 	
qu’il s’en viengne.  Et cil qui il i ne souvient fors de jouer et de queroler li respont: « Voirement fait il bon maintenir amors » 	a qui il ne souient  que de iouer et de quaroler li respont. uoirement  fet il bon maintenir amors. 	qu il sen uiegne  Et cil  a qui il ne souuient fors de iouer et de caroler urayement fait il bon maintenir amours et cestoit la chanson 	voirementr fait il boin fest maintenir amors . 	a qui il ne souuenoit que de iouer/ et de dancer lui respondit uirement fait il bon maintenir amours/ 	que uoirement fait il bon maintenir a mors. 	que el dixo heran dela Cantiga y el no Curaua todavia sino de Cantar y de dançar 	
et c’estoit la chançon  qu’il disoient. 	Et ce estoit la chancon  quil disoient. 	qu ilz disoient. 	et cestoit la canchonz  quil disoient. 	et ce cestoit la chancon  que ceulx la disoient. 	Si sen passe outre  que plus nel regarde. 	y alli entendio el escudero 	
Lors s’aperçoit li vallez 	lors sapercoit li uallez	Lors saparceu le uarlet a la parole 	Lors saperchoit bien li ualles 	Lors se apperceut le uarlet 	Lors saparsut li uarles 	que don lançarote hera encantado 	
qu’il est deceuz  et engingniez par la querole;  si commance a faire le greingnor duel del monde et maudit l’eure 	quil estoit de ceuz  et engigniez par la quarole.  si commence affere le greignor duel del monde.  Et maudit leure 	qu il estoit deceu et engigne  et commence a faire le plus grant deul du monde  et maudit leure 	que il est deceus et engignies par la carole.  si commence a faire le greignour deul del monde.  Si maudist leure 	quil estoit deceu/  et engignie par la dance  si commenca a faire le plus grant deuil du monde:  et maudit leure 	quil est deseus par la quarole.  Si en fait grant duel et maudit leure 	e dixo  maldita sea la hora 	
qu’il vindrent cele part,  quant li mieldres chevaliers des bons i est pris par folie et par anchantement :  si em plore et en fait grant duel.  Et quant il voit 	quil uindrent cele part. Car li mieldres cheualiers des bons y est pris. par folie et par enchantement.  Si en pleure  et en fet trop grant duel.  Et quant il uoit 	dont ilz uindrent celle part.  car le meilleur cheualier des bons y est pris par sa folie et par enchantement.  si en pleure  et fait grant deul.  Et quant il uoit 	quil vindrent onques cele part.  quant li mieldres cheualiers del monde y est ensi pris par fol encantement.  si en pleure  et en fait trop grant duel.  Et quant il voit 	quilz uindrent onc celle part/ si en fist moult grant deuil/  et quant il uit cella 	quil uint cele part.  quant li muedres cheualiers del monde est ainsi retenus par enchantemens.  Car il set bien  que par enchantemens est il retenus.  Si pleure  et fait grant duel.  et quant il uoit	que tal / ome es encantado y engañado  y desque vio el esCudero 	E nel miluogo de' padiglioni avea tre gran pini percresciuti: era l’uno incontro a l’altro, tutti alla ritonda, 
qu’il n’i porra plus panre, 	quil nen porra puis prendre. 	qu il nen pourra plus faire 	quil ni porroit plus prendre. 		quil nen fera plus. 	que mas no podia fazer 	
si entre en son chemin  et erre grant aleure  et laisse Lancelot a la querole.  Mais atant laisse ore li contes a parler de l’un et de l’autre  et retorne a parler de mon signor Yvain,  car grant piece  s’an est teuz.  Or dit li contes  que quant mes sire Yvain ot sejorné XV. jorz en l’ermitage,  qu’il fu sains et gariz de la plaie  qu’il avoit eue.  Lors se parti de laienz liez et joieus  et conmanda les freres a Deu et erra toute jour sanz aventure trover 	Si entre en son chenun.  et sen net molt grant aleure  et lesse lanc̃. a la quarole.  Mes atant lesse ore li contes a parler de lun et de lautre.  Et retorne a parler de monseignor .y.  Car grant piece sen est li contes teuz.  OR dit li contes  que quant monseignor .y. ot seiorne. xu. iorz en lermitaige.  quil fu sainz et gariz de la plaie  qe il auoit eue.  Lors se parti de laienz liez et ioianz.  et commande les freres a dieu.  Et erra toute iour 	si entre en son chomin  et sen ua grant aleure.  et laisse lancelot a la quarole.  Mais atant laisse le comte a parler de lun et de lautre.  et retourne a parler de messire yuain  dont il sest grant piece teu.  Cy fine le comte.  Et parle de messyre yuain  Or dit le comte  que quant messire yuain eut seiourne xv. iours en lermitage  si fu sain et guery de ses playes.  Lors se part de leans lie et ioyeux  et commande les freres a dieu et erra toute iour  sans auanture trouuer 	si sen entre en son chemin  et laisse lancelot en tele maniere a la carole.  Mais atant laisse ore li contes a parler de lancelot et del uallet.  Et retorne a parler de monseignor ywain  OR dist li contes  que quant mesire ywains ot seiorne. XV. iours a lermitage tant  que il fu bien garis de sa plaie  quil auoit eue. il. sen parti lies et ioians.  si commanda les freres a dieu. et erra tout cel iour 	si reprint sen chemin grant erre  et laissa Lancelot. en la dance.  Or retourne a parler le conte de monseigneur yuain.  Comme messire yuain eut nouuelles de Lancelot par ung nain  qu il trouua en son chemin/ et comme il se combatit a boort/ et dune damoiselle  qui lui fist despendre lescu mauduit le geant Second chapitre.  Or dit le compte en ce chapitre  que quant messire yuain eut seiourne .xu. iours en lermitaige il se trouua gary de la playe  quil auoit eue.  Si se partit de leans fort ioyeulx  et commanda les freres a dieu/ si cheuaucha tout le iour 	Si ce met a la uoie.  et laisse lanc̃ a la quarole  si com uos auez oi.  Mais atant laisse li contes a parler de lui  et retorne a monsignor yeuain.  OR dit li contes  que quant messires .y. ot demore .xx. iours en lermitage  tant quil fu garis de sa plaie.  Si se parti de laiens liez  et coumanda les freres a dieu.  et erra tout le ior sans auanture trouer 	fuese porsu camino adelante muy triste  e con gran pesar  mas agora dexa el quento de fablar de don lanzarote  que anda ensu dança  y quenta delo  que abino a don yban con vores de ganus  Agora dexa el Quento de fablar de don lanzarote y torna a don yban 	
qui a conter face et l’andemain ausi ; 	sanz auenture trouer  qui a conter face. 	qui face a raconter.  Et landemain par tout la 	sans auenture trouer  qui a conter face.	sans auenture trouuer  qui a compter face.	qui a conter face. 	Agora dize el quento 	
et par tout la 	et lendemain aussi et par tout la 	ou il uenoit 	Et lendemain aussi. et partout 	Et par tout la 	Mais par tout la	que despues de quinze dias 	
ou il venoit demandoit nouveles de Lancelot,  mais onques ne trouva en tote la semainne 	ou il uenoit demandoit noueles de lanc̃.  Mes onques ne trouua toute la semaine 	si demandoit nouuelles de lancelot ne oncquez ne trouua en toute la sepmaine 	ou il uenoit demandoit il nouelles de lancelot del lac.  mais onques ne troua en toute la semaine 	ou il uenoit/ il demandoit nouuelles de lancelot/ mais il ne pouoit trouuer 	ou il uenoit demandoit nouelles de lanc̃. 	que don yban estubo enla hermita del Monte 	
qui nouveles li an deist.  Si erra en tel manniere X. jorz  et tant qu’il li avint par un lundi matin  qu’il encontra J. nain  qui chevauchoit un roncin troteor  et aloit molt grant duel faisant. 	qui nouuele len deist.  Si erra en tel maniere .x. iourz.  Et tant quil auint par .i. lundi matin quil encontra .i. naim.  qui cheuauchoit .i. roncin trotant  et aloit molt grant duel fesant 	qui nouueles luy en dist. Si erra en telle maniere .ix. iours.  et tant quil uint ung lundi matin  quil encontra ung nain  qui cheuauchoit un roucin trotier et aloit moult grant deul faisant. 	qui noueles len deist.  Si erra en tel maniere. xV. iors  Et tant que il li auint a vn lundi matin  quil encontra. i . nain  qui cheualchoit vn roncin trotier  et faisoit moult grant duel. 	qui lui en dist.  Aduint ung lundi matin/  quil encontra ung nain cheuauchant ung roncin/  et alloit moult grant dueil faisant 	tant quil erra .xu. Iors. Si encontra .i. nain  qui cheuauchoit .i. roncin  et fassoit grant duel. Messires .y. le salue. 	que fue muy bien guarido de su llaga y entonze se partio dende  y entro ensu Camino como ante  y todauia yba preguntando por nuebas de don lanzarote 	e nel miluogo avea una caiera di vivorio coverta d’un vermiglio isciamito, 
Et mes sire Yvain li demande  s’il set nouveles d’un chevalier  qu’il vet querant. 	Et monseignor .y. li demande  se il set noueles dun cheualier  quil uait querant. 	Et messire yuain luy demande  sil sceit nouuelles dung cheualier  quil quiert 		Et messire yuain lui demanda  se il scauoit point nouuelles dun cheualier  qu il alloit querant/ 	et li demande cil sauoit nouelles dun cheualier quil queroit 	y vn dia le auino  que fallo a un enano que fazia muy gran duelo 	
Et li nains s’areste  et li demande 	Et li nains sareste.  et li demande	et le nain sarreste  et luy demande	Et mesire ywains li demande 	et le nain se arresta/  et lui demauda 	et il li demande 	y le pregunto 	
qui li chevaliers est 	qui li cheualiers est 	qui est le cheualier. 		quel cheualier cestoit 	qui li cheualiers est. 		
et il dist  que ce est mes sire a Lanceloz. del Lac.  «e En non Dieu, fait li nains,  de Lancelot vos dirai je bien nouveles, se vos tant voliez faire  por moi  que I. brachet me feissiez randre  que une damoisele m’a orandroit tolu a force. »  Et il dist,  se il la damoile li monstre, il li randra le brachet, aseur soit il.  Et cil li creante loiaument  que il tex nouveles li dira  par quoi il devra estre bien creuz. «  Or me moinne donc, fait mes sire Yvain la 	Et il dit.  que ce est. misire lanc̃. del lac.  En non dieu fet li nains de lanc̃. uous dirai ge bien noueles.  Se uous tant uouliez fere pour moi.  que .i. brachet me feissiez rendre.  que une damoisele ma tolu a force.  Et il dit  se il la damoisele li moustre.  ele li rendra le brachet asseur en soit il.  Et cil li creante loiaument.  que tiex nouueles li dira  par quoi il deura bien estre creuz.  Or me maine donc fet misire .y. la 	et il dit  que cest messire lancelot du lac.  Certes fait le nain de lancelot uous diroye ie bien nouueles se uous faisiez tant pour moy  que uous me fassez rendre ung brochet  qui la damoisile ma tollu a force.  Et il dit  que sil luy monstre la damoiselle  et qu elle luy rendra le brochet quil en soit asseur.  Et il luy creance  que telz nouuelles luy dira  dont il deura bien estre creu.  Or me mainne donc fait messire yuain la 	sil set nulles noueles de lancelot. Enon dieu fait li nains  oil de lui vous dirai iou bien nouelles  se vous tant voles faire pour moi  que vous vn mien brachet me feissies rendre  que vne damoisele ma orendroit tolu a force.  Et il li dist  que il li moustrast la damoisele  et il li rendra son brachet asseurs en soit.  Et li nainz li creante  que il li dira nouelles  dont il deuera bien estre creus.  Or me maine fait mesire ywains 	Et il dist  que cestoit monseigneur lancelot du lac.  Certes dist le nain de lancelot uous scauroye ie bien a dire nouuelles/  se uous uouliez tant faire pour moy  que ung braquet me feissiez rendre  que une damoiselle ma tollu a force Adonc lui dist  se il lui menstroit la damoiselle/  que le braquet lui fera il rendre.  Alors luy promist le nayn  quil lui diroit telles nouuelles de lancelot  dont il deuroit estre creu  Or me meinne donc fist messire yuain/ la 	et il li dit  que cest lanc̃ del lac.  Enno dieu fait li nains De Lanc̃ uos dirai ge bien nouelles  ce uos faites tant que uos .i. brachet me randes  que une damoisele ma tolu.  et cil li dit  si fera il.  Or me mainne fait il la 	por nuebas de don lanzarote  yo vos dire çiertas nuebas del  si me fazedes dar vn sabueso  que me tomaron yo telo fare dar dixo don yban  por pleito  que tu muestres a don lanzarote de lago  yo lo fare 	
ou la damoisele est 	ou la damoisele est. 	ou la damoisele est 	dont la ou la damoisele est 	ou est la damoiselle 	ou la damoisele est 	dixo el enano 	
dont tu te plainz  et je te creant leaument  que je ferai mon pooir de randre le toi. »  Et cil dist 	dont tu te plainz.  Et ge te creant loiaument  que ge ferai mon pooir de rendre le toi.  Et cil dit 	dont tu te plains. et ie te creance leaument  que ie feray mon pouoir de toy rensonner et il dit 	de qui tu te plains.  et iou te creans loiaument  que iou ferai mon pooir de toi rendre ton brachet.  Et cil dist 	qui le bracquet ta tollu  de quoy tu te plains.  Et ie te creant leaument  que ie en feray mon pouoir  de le toy faire rendre/  et il dist 	qui ta tolu ton brache.  et ie te di uraiement  que ie ferai mon pooir  que tu le raies 	en tal que vos vaiades conmigo  entonzes se fue el enano e don yban en pos del 	e di susso lo sciamito atutto guarito a mio scientes.
qu’il ne demande plus,  si s’an torne tout le chemin 	quil ne demande plus  Si sen torne tout le chemin 	quil nen demande plus  si sen toume tout le chemin 	quil ne demande plus. si sen retorne le chemin 	qu il ne demandoit plus/  si sen retourna le nayn tout le chemin 	et cis sen torne 	e quando llegaron al pie de vn otero dixo el enano a don yban  vedes aquel cauallero 	
qu’il estoit venu grant oirre et mes sire Vvain le siut adés. 	quil estoit uenuz grant erre.  Et misire .y. le suit. 	quil estoit uenu grant erre.  et messire yuain le suyt. 	quil estoit uenus grant oirre et mesire ywain apres. Ant ont ale 	quil estoit uenu grant erre/  Et mssire yuain cheuauche aprez luy. 	et messires .y. apres. 	que lleua aquella donzella aquel me tomo mi sabueso 	
Tant ont alé 	tant ont ale 	Tant ont ale 		Tant ont cheuauche 	et ont tant ale 	ve agora don yban le dixo 	
qu’il viennent a l’avaler d’un tertre  et lors voient devant aux I. chevalier tout armé et I. damoisele avec lui. « Sire, fait li nains a mon signor Yvain, veez la damoisele 	quil uindrent a laualer du tertre. Et lors uoient .i. cheualier. tout arme et une damoisele auec lui. Sire fet li nains a misire .y. ueez la la damoisele. 	quilz uindrent a laualer dung tertre.  et lors uoyent ung cheualier tout arme.  et une damoisele auec luy. Sire fait le nayn ueez la damoisele 	quil viennent en la ualee dun tertre. Et lors voient deuant euls vn cheualier arme et vne damoisele auec lui.  Et li nains dist a monseignor ywain Sire uees la la damoisele 	quilz uindrent a la ualee dun tertre/  et la uirent deuant eulx ung cheualier tout arme/ et une damoiselle auec luy. Sire dist le nayn a monseigneur  yuain ueez la la damoiselle	quil uiennent a laualer dun tertre.  Et uoient deuant eus .i. cheualier et une damoisele auec lui. Sire fait li nains a monsignor .y. ueez la la damoisele 	y tomalo donde lo vieres 	
qui mon brachet emporte  qu’ele me toli par la seurté del chevalier 	qui mon brachet emporte.  quele me toli par la seurte del cheualier. 	qui emporta mon brochet  quelle me tolly par sa seurte du cheualier. 	qui mon brachet emporte  que elle me toli par la seurte del cheualier 	qui mon bracquet emporte  quelle me tollit: par le consentement de ce cheualier 	qui ma mon brachet tolu.  Qr ua fait messires .y.	y si el cauallero se ensañare 	
qui est avec li. — 	qui est auec li. 	qui est auec luy. 	qui est aueques lui. 	qui estoit auec elle 	et si li tou. 	yo te defendere 	
Or va donc, fait mes sire Vvain,  si li oste des mains maugré suen,  et se li chevaliers em parole, moi ne chaut 	Or ua donc fet misire .y.  si li oste des mains maugre sien.  Et se li cheualiers em parole moi ne chaut. 	Ores luy a donc fait messire yuain oste des mains malgre lie.  et se le cheualier en parle a moy nen chault. 	Or ua dont fait mescas clsire ywains  si li oste dez mains malgre sien.  Et se li cheualiers en parole ne ten chaut 	Or ua donc fist messire yuain/  et lui oste des mains maugre elle/  Et se le cheualier en parle ie suis cellui  a qui il nen chault/ 	et ce li cheualiers sen corroce 	entonzes fue el enano ala donzella que tenia el sabueso 	
et ne doute riens,  que se li chevaliers se velt prandre a toi, je te garantirai. » 	Et ne le doute de riens.  Car se li cheualiers.  se ueult prendre a toi. Ie te garantirai. 	et ne te doute de riens.  car se le cheualier se ueult prendre a toy ie te garantiray. 	et nel redoute de riens.  quar sil sen veult prendre a toi fie ten esmaie ia :  quar iou ten garantirai bien 	et ne le doubte riens  Car sil te dit aucune chose ie te garantiray. 	ne men chat 	y quisoselo tomar 	
Et li nains en est molt liez:  si vient a la damoisele  et li oste le brachet des mains si felonnessement qu’a poi qu’il ne l’a jus abatue del cheval. 	Et li nains en est touz liez.  Si uient a la damoisele.  et li oste le brachet des mains. si felonnessement  que poi  quil ne la ius abatue del cheual. 	Et le nain en est tout lie  si uient a la damoisele et luy oste le brochet des mains si felonnessement  qua pou qu il ne la abatue ius du cheual. 	Et li nains en est moult lies  si vient a la damoisele  et li oste le brachet dez mains si felenessement que pour. j. poi  quil ne la abatue del cheual. 	Adonc le nayn fut moult ioyeulx/  si uint a la damoiselle/  et luy osta le bracquet des poingz si fellonneusement  que a pou quil ne la ius du cheual boutee/ 	Lors sen torne li nains uers la damoisele  et li oste le brachet des mains.  Si fellenescement  qua pou quil ne la abatue.	mas ella non selo quiso dar 	
Et quant cele voit  qu’il l’amporte.  si vient aprés por lui tolir et mes sires Yvain li dist: « Damoisele, ne le touchiez,  car il est en mon conduit 	Et quant cele uoit  quil lemporte.  Si uient apres por tolir li.  Mes misire .y. dit : damoisele ne le touchiez.  car il est en mon conduit. 	Et quant elle uoit  quil lemporte si uait apres pour luy tollir.  Et messire yuain luy a dit. damoisele ne le touchez  car il est en mon conduit. 	Et quant cele voit  que il lenporte  si vient auant pour lui tolir.  Et mesire ywains li dist damoisele ne le touchies  quar il est en mon conduit 	Et quant elle uit  qu il len portoit si court aprez.  Et messire yuain luy dist Damoiselle ne lui touchiez/ car il est en mon cenduit/ 	Et con ele uoit ce  si cort ap̾s por tolir lui. Messires .y. saut auant 	e don yban dixo ala donzella 	
et laissiez le brachet,  car il est suens, 	et lessiez le brachet.  Car il est siens.	et luy laissez le brochet.  car il est sien. 	et laissies le brachet  quar il est siens 	et lui laissez le bracquet  qui est sien 	et li dit damoiseblle laissiez le nain 	dexad el sabueso 	
si le doit mielz avoir  que vos ne devez, 	si le doit miex auoir  que uous ne deuez. 	si le doit mieulx auoir que uous. 	si le doit miex auoir de vous 	sy le doibt mieulx auoir par raison  que uous 	et ne tochiez a son bon brachet 	que suyo es 	
car en la soue chose n’avez vos droit outre son gré. » 	Car en la seue chose nauez uous droit outre son gre. 	car uous nauez nul droit en sa chose oultre son gre. 	quar a la soie cose naues vous droit encontre son gre. 	Car en sa chose ne auez uous nul droit 	car en sa chose nauez uos droit outre sa uolente. 		
Lors saut avant li chevaliers qui la damoisele conduisoit  et vait tolir au nain le brachet et mes sire Yvain li dist : « Traiez vos arriere. sire vassaux, car je ne sofferroie mie  que vos an lui meissiez main. — Non ? fait il.  Par Sainte Croiz mar le deistes!  Or vos gardez de moi, 	Lors sault auant li cheualier  qui la damoisele conduisoit.  et uait au nain tolir le brachet et misire .y. li dit. traiez uos arriere. sire uassaux.  Car ge ne soufferroie mie  que uous a lui meissiez main.  Non sire: fet cil.  par sainte croiz mar le deistes.  Or uous gardez de moi	Et lors sault auant le cheualier  qui conduisoit la damoisdle et uait au nain tollir le brochet.  et messire yuain luy dist. tirez uous arriere sire uassal.  car ie ne soufferoye pas  que uous meissez main en luy.  Par saincte croix mal le deistes  et uous gardez de moy. 	Lors saut auant li cheualiers  qui la damoisele conduisoit.  et volt tolir au nain le brachet.  Et mesires ywainz li dist traies vous arriere sire Cheualiers  que iou ne sofferoie mie  que vous a lui mesissiez main.  Non fait cil par sainte crois mar le deistes.  or vous gardes de moi 	si uoulut tollir au nain le braquet.  Et messire yuain lui dist/Tirez uous arriere sire uaissal/ ie ne souffreroye pas  que uous meissiez la main a lui/  Non fist celui  par saincte crois mal le deictez/  or uous gardez de moy. 	Lors saute auant li cheualiers  qui la damoise menoit. et uot tolir au nain le brachet.  Et messires .y. li dit Sire cheualiers traiez uos ariere Ie ne soufferoie mie  que uos en lui meissies main.  uoire fait il or uos gardes de moi 	y el Cauallero que conella venia dixo don cauallero  si vos mas mouedes enla vatalla sodes  pordios dixo don yban no me incal 	
car vos estes venuz a la bataille. »  Et il respont 	Car uous estes uenus a la bataille.  Et il respont 	car uous estes uenu a la bataille.  et il respont	quar vous estes uenus a la bataille.  et il respont 	Car uous estes uenu a la bataille/  Et il respondit 	que uus estes a la bataille.  et messires .y. dit de ce 	e luego se dexaron correr 	
que de ce ne li chaut. 	que de ce ne li chaut. 	que de ce ne luy chault. 	que de chou ne li chaut 	que de ce ne luy chaloit. 	ne li chaut. 		
Lors s’esloingnent li un de l’autre  et mestent lor escuz devant lor piz  et esloingnent les glaives  et laissent corre les chevax forz et isniax  et s’antrefierent si durement 	Lors sesloingne li uns de lautre.  et metent lor escuz deuant lor piz.  et lessent corre les cheuaux fors et isniax  et sentredonent si grans cox 	Lors sesloignent lun de lautre et mectent leurs escuz contre leur pis.  et laissent courre les cheuaux fors et isnelz  et sentrefierent des lances si fort 	Lors seslongent livns de lautre  et metent lez escus deuant leur pis et alongent lor glaiues  et puis brochent lor cheuaus  et sentrefierent si durement	Lors seslongnerent lun de lautre/  si meirent leurs escus deuant eulz/  et tirerent hors leurs glaiues/  Et laisserent courre leurs cheuaux lun uers lautre/  Si sentrefraperent si durement/ 	Lors sentreslongnent li un de lautre  et sentrabatent par desus la crupe des cheuaus. Il resaillent en piez plus tost  quil pueent	e dieronse tan grandes golpes 	
qu’il en font voler les esclaz. Il s’antrehurtent des cors et des escuz,  si qu’il n’i a celui 	quil en font uoler les esclaz. il sentrehurtent des cors et des escuz.  si ni a cil cil	quilz en font uoler les esclaz.  si sentrehurtent des corps et des escuz  si quil ny a celuy 	que lor glaiues volent en pieces  puis sentrehurtent des cors et dez escus si durement  quil ni or celui 	quilz en firent uoler les esclatz/  puis sentrehurterent des corps et des escus en telle maniere/  quil ny eut cellui 	et traient les espees: 		
qui i n’ait le cerveil tourblé en la teste, 	qui nait le ceruel en la teste trouble. 	qui nait trouble le ceruel en la teste. 	qui nait le ceruel troble en la teste 	qui neust le ceruel trouble en la teste/ 			
si s’entrebatent a la terre par desus les croupes as chevax,  si estordi 	si sentrabatent a la terre par desus les croupes as cheuax si estordiz. 	et sentrabatent a terre par dessus les croupes des cheuaux si estourdiz 	et sentreabatent dez cheuaus a terre si estordi 	si sentreabatirent a terre par dessus les croupes des cheuaux si estourdiz  quilz ne sauoient ne lun ne lautre  ou ilz estoient. 	si ce donent grans cox sus les escus amont et aual. 	que se derribaron a tierra todos atordidos 	
qu’il ne sevent d’aux panre conseil. Il resaillent em piez au plus tost  qu’il en ont le pooir et traient les espees tranchanz 	quil ne seuent deus nul conseil.  Et il resaillent em piez au plus tost  quil en ont lepooir.  Et traient les espees trenchanz. 	quilz ne scauent  ou ilz sont. Ilz saillent sur piez au. plus tost  quilz peuent  et tirent les espees trenchans 	quil ne seuent deuls prendre nul conroi.  puis resaillent en pies au plus tost  quil poent  et traient lor espees trenchans 	Toutesfois ilz ressaillirent en piez au plus tost  quilz en eurent le pouoir	et enbuient les hiaumres 		
et s’antrefierent granz cox sor les escuz et sor les hiaumes  et s’entreblescent  quanqu’il pueent  et se font voler le sanc vermeil des chars des espees. Sidure tant li premiers assauz  qu’il n’i a celui 	et sentrefierent granz cox. sor les escuz. et sor les hialmes.  et sentreblescent  quanqueil pueent. et en font uoler le sanc cler a lor espees  Si dure tant li premiers assaulz.  quil ni a .i. seul 	si sentrefierent grans coups sur les escuz et sur les heaumes  et sentreblecent  tant quilz peuent  et font saillir le sang cler o leurs espees.  si dure tant le premier assault  quil ny a celuy 	et sentredonent grans copz la  ou il sentrataignent  et sentreblecent de quamquil pueent  et se font Voler le sanc dez chars blanches et tendres.  Et dura tant la bataille  quil ni ot celui 	Et de leurs espees sentredennerent grans coupz sur les escus et sus les heaulmes en desmaillant leurs haulbers/  et faisant saillir le sang des chairs tendres de tous les costez deulz si durement  quil ny auoit celluy 	et ronpent les haubers. et font uoler le sanc au cox des espees.  Et dure tant li premiers assaus  quil ni a celui 	mas luego se leuantaron  e metieron mano asus espadas 	
qui assez ne soit las et travilliez. 	qui nen soit laz et trauailliez. 	qui ne soit las et trauaille. 	qui ne fust asses las et traueillies.	qui assez ne fust laz et trauaillie. 	que tous ne soit las. 		
Et mes sire Yvain est tex atornez 	Et misire .y. est tiex atornez 	Et messire yuain est tel atourne 	mais mesire ywain est teuls atornes 	sy en fut messire yuain si estonne 	Et messires .y. est tez conraez 		
qu’il n’an cuide mie eschaper sanz mort, car il a tex VII. plaies 	que il nen cuide ia eschaper sanz mort.  Car il a tiex .uii. plaies 	qu il ne cuide pas eschaper uif. car il a sept playes 	quil ne quide mie escaper  sans mort.  quar il a teuls. iij.» plaies 	que iamais il nen cuida eschapper sans mort.  Car il auoit sur luy sept. grandes playes 	quil nen cuide mie uis eschaper. si trueue celui 		
dont la mendre est assez perilleuse	dont la mendre est assez perilleuse. 	dont la moindre est trop perilleuse. 	dont li meindre est asses perilleuse:. 	dont la mendre estoit fort perilleuse 			
et il troeve celui  a cui il se combat si fort et si seur 	Et il trueue celui  a qui il se combat. si fort et si seur 	et il treuue celuy  a qui il se combat si fort et si seur 	et trueue celui  qui a lui se combat si fort et si seur. 	Et trouua cellui  a qui il se combatoit si fort et si seur/ 	a cui il ce combat si fort et si seur	e dieronse tan grandes golpes 	
qu’il ne cuide mie 	quil ne cuide mie. 	que il ne cuidoit pas 	quil ne quidoit mie 	quil ne cuidoit mie/ 	quil ne cuidoit pas 		
que en tex. VIl. chevaliers eust tant de force et de prouesce  com il a en lui et bien connoist 	que entre tiex .uii. cheualiers. eust autretant de force. et de proesce  comme il a en lui  et bien connoist 	quen telz sept cheualiers eust autant de prouesce et de force  comme il y a en luy.  Et bien cognoist 	que en nuls. vij. eust autant de proece  comme il a en lui.  Et bien connoist 	que en telz .ui. eust autant de prouesse  comme il y auoit en luy seul.  Si congneut bien	que en tex .uii. eust tant de proesse. et cest bien 	que se fendian los escudos 	
qu’il est em peril de mort et en avanture d’estre menez a outrance,  se il ne fait 	quil est emperill de mort. et en auenture de mener a outrance.  se il ne fet tant 	qu il est en peril de mort et en auanture destre mene a oultrance  sil ne fait 	quil est en peril de mort. ou en auenture destre menes iusques a outrance. sil ne fait tant 	quil estoit en peril de mort/ et en auenture destre mene iusques a oultrance/  Se il ne fait tant 	quil est en peril de mort  ce il ne fait  tant 		
