micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
et li aportent I mantel de samit legier a afubler por le chaut	et li portent un mantel de samis uermeil legier por le chaut	puis li aportent vn mantel de samit por affubler	et luy apportent ung legier mantel de samit a affubler	et lui apportent ung manteau de samit pour affubler pour le chault	para cubrir Porla calor	e gli aportarono uno mantello di sciamito per afibiare per lo caldo
			pour le chaut			
qui grans estoit ;	qui grans estoit		qui estoit grant	qui grant estoit	que façia grande	che grande era
si le mainent el grant paveillon avec l’autre chevalier Et lors parlerent ensamble et s’entracointierent et demanda li uns a l’autre de son estre Li chevaliers enquiert a Lancelot dont il vient	si le mainnent el grant pauillon entre lui et le cheualier et lors parolent ensanble entre lui et ses grans cheualiers et lanc̃ et satracointent et demande li uns a lautre de son estre Si demande li cheualiers don il uient	et lors sen uont el grant paueillon entre lui et le cheualier et cil li demande ou il aloit Et lancelot li dist quil volroit estre a la cort le roy baudemagu	si le mainent ou grant paueillon luy et le cheualier lors parlent ensembles ce sentracointent et demandent lun et lautre de son estre Si enquiert le cheualier a lancelot dont il uient	Si le mainent au grant paueillon lui et le cheualier sentreacointerent et demanda lun a lautre dont ilz estoient:	e entonçe se entraron el cauallero e lançarote enla tienda e asentaronse e començaron a fablar envno e el cauallero le pregunto	si se ne vanno nel grande padiglione intra lui e l cavaliere allor parlarono insieme e si tracomandarono al domandare l’uno a l’altro di suo essere si inchiede il cavaliere a Lancellotto donde e viene
et ou il vet et quele aventure le maine si sol et il li conte une partie de son estre et autre l’en çoile e; et totes voies li dist que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier	et don il ua et quel auanture le mainne si seul et il li conte une partie de son estre et une partie len soile et totesuoie li dit que a la cort bademagu: uodroit estre por soi desfandre uers un cheualier	pour combatre a j cheualier	et ou il uait et quelle auanture le mainne seul et il luy en compte une partie et luy en cele l autre Et touteuoyes dist il qu en la court du roy bandemagu uoudroit il estre	et quelle auanture le menoit si seul Et il lui compte de son estre une partie et lautre lui en celle: et toutesfois dit il que en la court du roy bademagus uouldroit il estre pour ung cheualier	e dixo señor que auentura os lleba asi solo e lançarote le conto toda su façienda enpero todavia le dixo que yua ala corte del Rey bandemagus aque dixo el cauallero ame defender devn cauallero dixo lançarote	e dove e' va e quale aventura il mena si solo ed e' gli conta una partita di suo essere e una partita ne li cela e tutvorebbe essere per sé difendere verso d’uno cavaliere che apellato l’à di tradigione nella corte del re Artù
qui l’a apelé de traïson	qui apelela de traison	qui lauait apele de traison	pour soy deffendre uers ung cheualier	qui lauoit appelle de trayson	que me Recto de traiçion	Seln ciò
En ce qu’il parloient ensi orent li escuier mise la table	EN ce quil parloient ensamble si ont li escuier misses les tables	Et en chou quil a parloient ensi orent li escuier mises lez tables	qui la apelle de traison Ainsi quilz parloient mistrent les escuiers la table	Et ainsi qu ilz parloient len mist les tables	e ellos asi fablando entro vn escudero e puso la mesa e asentose el cauallero a comer	che parlavano insi ebbono i valletti messe le tavole
si vont laver;	Si ont laue	si vont lauer	si uont lauer	ilz lauent leurs mains	e lançarote e vna donzella muy fermosa	si si lavarono lor mani e s’asederono al mangiare intra l cavaliere
si s’asiet Lancelos et li chevaliers	Si ont assis lanc̃ et le cheualier	si sassistrent li cheualier au mangier	puis sassiet lancelot et le cheualier	et puis se assient le cheualier	que hera amiga del cauallero mas la donçella en quanto vido a lançarote ansi lo cataua que no se hartaua delo ver enque lo via tan fermoso	e Lancellotto
et une damoisele	et une damoisele	Et vne damoisele	et une damoisele	et lancelot:	e no cuidaua	e una damigella
qui molt ert bele et estoit amie al seignor de laiens;	qui mout estoit bele et estoit amie au signor de Laiens	qui moult estoit bele qui estoit amie au cheualier de laiens	qui moult estoit belle et estoit amyx au seigneur de leaus	et une damoiselle moult belle laquelle estoit amie au cheualier de leans	que tan fermoso ome pudiese auer enel mundo	che molto fu bella e avenante e fresca si era amica del signor di là entro
						si era ella molto gentile femina
si mengierent tuit troi ensamble	Si mengerent cui troi ensenble	si mangerent tout iij	si mangerent tous troys ensemble	Si mengerent tous trois ensemble:	e asi lo estaua catando	i mangiarono tutti e tre insieme
mes cele	mais cele	ensamble	Mais celle	mais celle	que no podia comer	e quella
qui Lancelot esgarde ne se puet saoler de lui veoir	qui lanc̃ esgarde ne se puet saouler de lui esgarder	mais moult regarde la damoisele lancelot et ne se puet de lui regarder saouler	qui regarde lancelot ne se puet saouler de le ueoir	qui lancelot regarde laisse le boire	que auia el escudero tirado el primero manjar dela mesa	che Lancellotto riguardava tutto adesso non
Kar tant li samble bials qu’ele ne prisa onques mes bialté d’ome envers cesti : si l’esgarde si viselment	Car tant li sanble biax: que ele ne prisa onques mais biaute a ome enuers la soie nule rieu Si le regarde si uiseument	Si ne prisa onques mais la biaute domme vers la soie Si le regarde si ententieument	Car tant luy sembla beau que oncquez ne pasa beaute domme enuers ceste si le regarda si auiseement	et le mengier pour la grant beaute	e ella no auia metido vocado enla voca e la donçella	si può satollare di lui vedere ché tanto le sembia a essere bello ch’ella non pregia unque biltà d’uomo inverso costui isi llo sguarda si visibilmente
		que tout en laisse le boire				
que tot en laisse le mengier n’a autre chose n’entent fors a lui remirer Si ont li escuier osté le premier mes de sor la table c’onques la damoisele n’en tasta	que tout en laisse le mengier Na autre chose nentant fors a lui remirer Si ont li escuier oste le premier mes desus la table que onques la damoisele nen tata	et le mangier si que a autre chose nentent fors ca lui remirer Si ont li escuier oste le premier mes mais onques la damoisele nen gousta	que tout en laisse le manger si ont les escuiers ouste le premier mies de dessus la table que oncques la damoisele nen tasta	que elle uoit en lui si que a autre chose ne entent si ont les escuiers oste le premier mes que encques la damoiselle nen tasta ains pensa a lancelot:	asi lo catando començo a pensar tan fieramente que no hera sino marauilla e ella	che tutto ne lascia suo mangiare né ad altra cosa non ne intende fôrse a llui riguardare i tentivamente il riguardava che gli scudieri ebbono levata la prima imbandigione ch’unque la damigella no ne saggiò ché d’altra vivanda avea presa a mangiare dond’ella non si satollerà mica leggermente ciò l’è aviso
ains pensa totes voies Et en cel pensé li descent el cuer une si grant amor qu’ele aime Lancelot outre ce	ains pance totesuoies et en se panser li dessent une si tresgrant amor que ele aimme lautͣ	Ains pensa toutes voies a la grant biaute lancelot Et en celui pense li descendoit au cuer vne si grant amor : que elle ama lancelot outre chou	ains peust tousiours et ce penser luy descent ou cuer tant quelle arme lancelot plus	et en celle pensee lui descendoit une telle amour au cueur que elle ayma lancelot oultre	ansi pensando cayo vn amor ensu corazon quelo començo ansi a amar a lançarote	si farà s’ella unque potrà Slnsi pensa la damigella tuttavia e n quel pensieri le si ferma nel cuore uno sì grande amore ch’ella ama Lancellotto oltre ciò
	outre ce					
que feme n’ama mes home;	que fame nemma mais home	que femme nama onkes si homme	que femme nama iamais home	que femme ne ayma oncques homme	que mas muger podia a ome amar	che femina non amò mai uomo
si li est avis	Si li est bien auis	Si li est auis	si luy est bien aduis	Si lui est auiz	e deçia entresi mesma	i ll’è aviso
que s’il l’amoit qu'ele seroit beneuree	que ce il lenmoit que ele seroit bone euree	que sil lamoit que elle seroit bone euree	que selle lamoit elle seroit bieneuree	que sil laymoit quelle seroit trop eureuse	que si la el quisiese amar	che se Dio che n’à forza le consentisse ch’elli l’amasse ch’ella sarebbe in buon'or nata
Mais ci endroit n’em parole plus li contes kar ça avant le devisera	mais ci endroit nen parole plus li contes Mais sa auant en la deuine page le uos deuisera il bien	Mais chi endroit nen parole plus li contes mais cha auant vous deuisera	Mais cy cy endroit pour deuiser une auanture qui leur aduint ou paueillon endroit nen parle plus le comte car apres le uous deuisera bien	Mais cy endroit plus nen parle le compte car cy aprez le uous deuisera	que se ternia porla mas bien auenturada muger del mundo mas de	Ma qui indiritto non parla più il conto ché qua avanti vo diviserà com’ella l’amò maravigliosamente
et comment ele l’ama merveillosement et comment ele le proia et la merveille	et coment ele lenma meruilleusement et coment ele le proia et la merueille	comment elle lama merueilleusement Et comment elle li pria et la meruelle	comment elle lama merueilleusement et comment elle le pria et la merueille	et comment elle layma merueilleusement et comment elle mourut pource quil la refusa Comment lancelot rescouist le frere du cheualier	como ella amo muy afincadamente a lançarote e delas cosas	e com’ella ne 'l pregò e richiese d’amore e le maraviglie
que ses amis en fist quant il sot qu’ele l’amoit et comment cele morut por ce qu’il la refusa	que ses amis en fist quant il sot que ele lemmoit et coument ele morust porce que il la refasa	que sez amis en fist quant il sot que elle lama Et comment elle morut por chou quil le refusa	que son amy en fist quant il scet quelle lamoit et comment cy endroit pour deuiser une aunture	qui lauoit logie Et comment il se deffendist centre argondes	que su amigo fiço quando sopo que ella tan desmesuradamjente lo amaua e de como ella murio	che suo amico ne fece quand’e' seppe ch’ella l’amava e come elli la rifiutò e com’ella ne mori
tot ce vos trespassera li contes ci endroit por deviser une aventure qu’il lor avint el paveillon ou il estoient	Tout ce nos trespasera li contes ci endroit por deuiser une auanture	out ce vous trespassera li contes chi endroit pour deuiser vne autre auenture	qui leur aduint ou paueillon elle mourut par ce quil la refusa	et puis alla a la douloureuse tour faire enterrer le corps de galle	quando supo que lançarote no la queria amar todo lo dexa aqui el Cuento de contar	Tutto vo trapassa ora il conto qui indiritto per divisare una aventura che loro avenne nel padiglione ove egli erano
Ci dist li contes que quant il orent le secont mes eu es vos un chevalier armé d’unes armes vermeilles qui vint corant par devant le paveillon o grant compaignie de chevaliers Et cil as armes vermeilles	qui lor auint el pauillon OR dit li contes que quant il orrent le secont mes eu E uous un cheualier arme a unes armes uermeilles et uuit acorant par deuant le pauillon o grant compangnie de cheualiers et ciz as armes uermeilles	qui lor auint el pauellon ensi com vous orres ANsi entendi la damoisele a regarder lancelot que onques ne manga Et tant que on dut seruir du secont mes : Et quant il orent le secont mes es vous j cheualier arme dunes armes uermeilles	Tout ce uous trepassera le conte Cy dit listoire qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles uint courant deuant le paueillen o grant compaignie de cheualiers Et cil es armes uermeilles	iiii xx xu LE compte dit que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant par deuant le paueillon a grant compaignie de cheualiers	Por contar vna auentura que les auino enla tienda do estauan comiendo Dize el cuento que ellos estando comiendo asi como vos digo he aqui por do viene por antela tienda vn cauallero convnas armas vermejas con gran conpaña de caualleros e el Cauallero delas armas vermejas	Or dice il conto che quando elli ebbono la seconda messa avuta ed e' vidono uno cavaliere armato d’un’arme vermiglie
qui devant venoit entre el paveillon a et voit I escuier qui servoit a la table si estoit freres al chevalier de laiens Et il cort maintenant cele part si le prent par les espaules	qui deuant uenoit: entra el pauillon et uoit un escuier qui seruoit a la table et estoit freres au cheualier de laiens et il cort maintenant cele part et le prant as espaules	qui vint corant par deuant le paueillon et vit el paueillon j escuier qui seruoit a la table qui estoit freres au cheualier de laiens Et il cort mainte nant si le prent par les espaulles	qui uenoit deuant entre ou paueillon et uoit ung escuier qui seruoit a la table qui estoit frere au cheualier de leans si court maintenant celle part et le prent par les espaules	et il entra au paueillon et uist ung escuier qui seruoit a la table qui estoit frere au cheualier de leans Il le prent par les espaulles	que delante venia entro enla tienda e vio vn escudero que seruia antela mesa e el cauallero enque lo vido fue contra el e tomolo porlos braços	che davanti lor venne nel padiglione e là ove vide uno scudieri che serviva alla tavola ed era fratello del cavaliere di là entro ed e' corre in quelle parti si prende lo scudieri per le spalle
et le lieve devant lui sor l’arçon de la sele	et le trait deuant lui sor larson de sa cele	et le met par deuant lui sor le col de son cheual	et le lieue deuant luy sur larcon de la sele	et le met deuant lui es arcons de sa selle	e pusolo antesi sobre el cuello del cauallo	e lieva davanti lui sopra l’arcione della sella
si s’en torne a tot	Si sen torne atant	si sen torne a tout	si sen tourne atant	si sen ua atout	e salio conel dela tienda	si se ne va con tutto lui broccando
Et quant cil del paveillon voit ce	et quant cil del pauillon uoit ce:	Et quant li cheualiers del paueillon vit chou	Et quant cil du paueillon uoit ce	Et quant celui du paueillon uoit ce	e el cauallero quelo vio	'E quando il signor del padiglione vide ciò
si crie a Lancelot Ha bials sire	Si crie a lanc̾	si crie a lancelot	si crie a lancelot Haa beau sire ie suys mort sil emporte ainsi mon frere Car il loccira sil nest secouru si uous pry	si crie a lancelot	ansi lleuar començo a dar vozes a lançarote ay señor muerto so	si isgrida a Lancellotto
je sui mors se cil enporte ensi mon frere	a biax sire ie sui mors ce ciz en porte mon frere	Sire iou sui mors sil emporte ensi mon frere	pour dieu que uous mectez et ung escuier uient a luy	Haa sire ie suis mort se celui emporte mon frere	si asi me lleba a aquel escudero mi hermano	Al bel sire io son morto se que' ne porta insi mio fratello ché l’uccidrà se nonn è soccorsol
kar il l’ocirra s’il n’est secors:	Car il locirra ia ce i nest cecorus	quar il locirra sil nest secorus	si luy dist Certes fait il	car il loccira sil nest secouru	Ca lo matara si lo no acorredes	
si vos pri por Dieu	Si uous pri por dieu	Si vous pri pour dieu	uoz armes et demourra	Si uous prie pour dieu	e porende vos Ruego por dios	Si vo priego per Dio
que vos i metés paine	que uos metes painne en lui rauoir	que vous metes paine en lui rescorre	que ie ne les suyue	que uous mettez paine a le secourir	que me ayudedes alo cobrar	che vo' vi mettiate pena in lui riscuotere
Et Lancelos saut de la table	Et lanc̃ saut de la table	Lors saut maintenant lancelot doutre la table	Lors uient hors du paueillon	Et lancelot sault hors de la table	e lançarote salio luego dela mesa	E Lancellotto salta tutto immantanente della tavola
et demande ses armes et I escuiers vint avant	et demande ses armes et uns escuiers saut auaut	si demande ses armes Et vns escuiers vint a lui	et les peine a le rauoir	et demande ses armes et ung escuier uint a lui	e pidio sus armas a vn su escudero	e domanda sue armi e uno scudiere viene avanti
si li dist Par foi sire vos armes et vostre cheval enmainent il ! — Voire fet il par mon chief ja por ce ne remaindra que je nes sieve	si li dist Par foi sire et uos armes et uostre cheual enmainnent il uoire fait cil: par mon chief iaporte ne remandra que ie nes sieue	si li dist Par foy sire vos armes et vostre cheual enmainent il voire fait il : par mon chief por chou ne remandra il mie que ams iou ne lez sieue	et lancelot sault de la table et demande ses armes uostre cheual emmainent ilz uoire fait il Par mon chief pour ce ne cheualiers o luy	et lui dist Par ma foy sire uoz armes emportent il Par mon chief pour ce ne ne demourra il pas que ie ne le suiue	Que y estaua le dixo señor Por buena fee el cauallero vos a hecho llebar vuestras armas e vuestro cauallo pormi cabeza dixo lançarote ni por eso non fincara quelo non siga	che gli disse Per fé vostre armi e vostro cavallo ne mena elli — Vere diss’elli per mio capo già per ciò non rimarrà ch’io nol seguiti
Lors vient fors del paveillon et li chevaliers o lui et il esgarde cels qui s’en vont	Lors uient fors del pauillon et li cheualiers o lui et regardent cex qui sen uont	Et lors sen ist hors del paueillon et li cheualiers aueques lui et il regarde chiaus qui sen vont	et il regarde ceulx qui sen uont	Et lors sault hors du paueillen et le cheualier auec lui Ilz regardent ceulx qui sen uont	e luego salio lançarote dela tienda e el cauallero conel	Allor va fuori del padiglione e l cavaliere con lui ed e'risguardano quelli che se ne vanno
qui ja avoient passé l’eve par J pont de fust; et Lancelos demande al chevalier s’il remaindra Sire fet il nenil ains vos ferai compaignie	qui ia auoiet passe leue par i poncel de fust et lanc̃ demande au cheualier ce il remaindra Sire fait cil non ains uos ferai compangnie	qui auoient passe laigue par j pont de fust Et lancelot demande au cheualier sil remandra Sire fait il nenil ains vous tendrai compaignie tant que vous aies troue	qui auoient ia passe leaue par ung pont de fust Et lancelot demande au cheualier sil demourra sire fait il nennil ains uous feray compaignie	qui auoient ia passe leaue par ung pont de fust Lancelot demande au cheualier sil demourra Sire fait il nenny ains uous feray compaignie	e vieron yr los caualleros pasando el agua Porvna puente de madero señor dixo lançarote al cauallero fincad vos aqui no fare dixo el mas antes yre con vos fasta que falledes quien vos de armas e cauallo enque sigades el cauallero	che già avieno passato l’acqua per un ponte di legno Pe Lancellotto domanda al cavaliere s’elli rimarrà ed e dice Sire non anzi vo farò compagnia
tant que nos aions trové qui armes vos baut	tant que nos aions troue qui armes nos baut	qui armes vous volsist baillier	tant que nous ayons trouue qui nous preste armes	tant que uous aiez trouue qui armes uous baillera	Luego se començaron de yr	tanto che noi troviamo chi armi vo doni
Lors acueillent lor voie tot a pié et vienent au pont	Et lors acuellent lor uoie tout a pie et uienent au pont	Lors acoillent lor chemin droit au pont	Lors acceillent leur uoye tout a pie et uiennent au pont	Lois uiennent au pent tout a pie	e andubieron tanto fastaque llegaron ala puente de madera	Allora accolgono lor camino tutto a ppiè e vengono al ponte
si passent outre	si passent outre	et passent outre	si passerent oultre	et passent oultre	e pasaronla	si passano oltre
et s’adrecent a I tertre par ou li chevalier s’en vont;	et sadrescent au tertre par ou li cheualiers sen ua	Et sadrecent a vn tertre par ou li cheualier vont	et sadrecent au chemin par ou les cheualiers sen uont	et se adrecent a ung terte par ou les cheualiers uont	e fueronse contravn otero Por do los caualleros se yuan	e s’adirsizlano al poggio per dove il cavaliere se ne va
si n’ont gaires alé	Si nont gaires ale	Si nont gaires ale	si nont gueres alle	Si ne ont gaires alle	e lançarote	
quant il encontrent I chevalier armé d’unes armes noires	quant il uoient i cheualier arme a unes armes noires	quant il ont encontre j cheualier a vnes armes noires	que ilz encontrent ung cheualier arme dunes armes noires	quant ilz encontrent ung cheualier arme dunes armes noires	e el cauallero fueron tanto enpos ellos fastaque encontraron vn cauallero armado devnas armas negras	Si non ebbono guari andato quando elli incontrarono uno cavaliere a une armi nere
qui venoit al pont par I chemin de travers	qui uenoit au pont par i chemin de de trauers	qui venoit au pont par j Chemin de trauers	qui uenoit au pont par ung chemin de trauers		que venia ala puente porvn sendero pequeño altrabes	che vlenlia al ponte per uno camino di traverso
Et quant il voit Lancelot si s’areste por ce que bien le conoissoit	et quant il uoit lanc̃ si sareste por ce que bien le quenoissoit	Et quant il vit lancelot si sarreste por chou quil le connut bien	et quant il uoit lancelot si se arreste par ce que bien le cognoissoit	Quant il uist lancelot il se arresta pource qu il le congnoissoit bien	e quando el vio a lançarote luego lo conoçio	E quand’e' vide Lancellotto si si arestò per ciò che ben lo conosce
si li demande ou il vet ensi a pié tos desammés Qui estes vos sire chevaliers fet Lancelos qui me demandés ou je vois — Je sui fet il I chevaliers d’estrange païs mais molt me merveil de ce que je vos voi ensi aler	Si li demande ou il ua Si a pie et ansi desarmes Qui estes uos fait il sire cheualiers qui me demandes ou ie uois Ie sui fait il de cest estrange pais mais mout me merueil de ce que ainsi uos uoi aler	Si li demande ou il aloit ensi tout a pie et desarmes Qui estes vous fait lancelot qui me demandes ou ie vois Iou sui fait il vns cheualiers destrange pais qui moult mesmerueil de chou que iou vous voi ensi aler	si luy demande ou il ua ainsi a pie et tout desarme Qui estes uous fait lancelot sur cheualier qui me denandez ou ie uoys Ie suys fait il ung cheualier estrange mais moult me merueille de ce que ie uous uoy ainsi aller	et lui demanda ou il alloit ainsi a pie tout desarme Quest ce fait lancelot demandez uous ou ie uois Oy sire si suis ung cheualier destrange pais qui moult me merueille de uous uoir aller ainsi	e estovo quedo fastaque llego e dixole señor do ydes asi de pie e desarmado e quien sodes vos dixo lançarote yo so dixo el vn cauallero destraña tierra que mucho me marauillo porque vos veo yr	si gli domanda ov’elli va insi a piede e tutto disarmato PeChi siete voi disse Lancellotto sire che mi domandate ov’io vò l’ son diss’elli uno cavaliere di stran paese che molto mi maraviglio di ciò ch’io vi veggio insì andare
Et Lancelos li conte comment il estoit herbergiés et comment I chevaliers vint laiens ou il menjoit qui prist a force I vaslet et le mist sor le col de son cheval	et lanc̃ li conte comment il estoit ainsi herbregiez et coment li cheualiers enporte lescuier	Et lancelot li conte comment il estoit herbergies et comment li valles fu pris	et lancelot luy comte comment il estoit herberge et comment ung cheualier uint leans qui print a force ung uarlet et le mist sur le coul de son cheual	Et lancelot lui compte comment il estoit hebergie: et comment ung cheualier uint la ou il mengoit qui print a force ung uarlet et le mist sur le col de son cheual	asi e apie e lançarote lo conoçio e començole a contar como el cauallero lo aluergara	E Lancellotto gli conta com’egli era albergato e come uno cavaliere venne là entro ov’elli mangiavano e prese uno scudieri a forza davanti noi e l mise sopra l collo di suo cavallo
Et encore m’a il plus meffet fet Lancelos kar cil qui avec lui vindrent enporterent mes armes	et encor ma il plus mesfait fait fait lanceloz Car cil qui auec lui uindrent enportent mes armes	et sez armes	et encor ma il plus meffait Car ceulx qui uindrent auec luy emporterent mes armes	Et encores y a il plus fait lancelot car ceulx qui auec luy sont emportent mes armes	e como el otro les llebo el escudero que ala mesa seruia afuerça ençima del cauallo	e ancor m’à elli più misfatto disse Lancellotto ché quelli che con esso lui venono ne portano mie armi
et enmenerent mon cheval —	et en mainnent mon cheual	et ses cheuals emportees	et emmenerent mon cheual	et emmainent mon cheual	e como le fiço llebar sus armas	e ne menano mio cavallo
Quel guerredon fet cil	Quel guerredon porroi ge atandre de uus se ie uos bailloie mes armes		Quel guerdon pourroye ie actendre de uous		Que galardon me daredes dixo el cauallero	
porroie je atendre de vos se je por vos me desarmoie et vos bailloie mes armes et mon cheval — Certes fet Lancelos tel com vos deviseriés — Se vos fet il el premier lieu ou je vos troverai armé por que je soie desarmés me creantés a doner vos armes Ie vos bailleroie les moies — Certes fet Lancelos si ferai je por que vos ne me truisiés combatant	et mon cheual Certes fait lanc̃ tel com uous deuiserois Ce uous fait cil me creantes que el premier lieu ou ie uos troueroie arme puis que ie fusse desarmes me donriez uos armes le uous bailleroie les moiees Certes fait cil si ferai ge puis que uos ne me trussiez conbatant	Quel guerredon fait cil porroie iou de vous atendre : se ie por vous me desarmoie et vous bailloie mes armes et mon cheual Certes fait lancelot tel comme vous deuiseres Se vous fait cil el premier lieu ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies Certes fait lancelot volentiers par ensi que vous ne me truisies combatant	si ie pour uous me desarmoye et uous balloye mes armes et mon cheual Certes fait lancelot tel comme uous deuiseriez Se uous me creancez que ou premier lieu que ie uous trouueray arme par ainsi que ie soye desarme que uous me baillerez uoz armes ie uous bailleray les moyes Certes fait lancelot si feray ie mais que uous ne me trouuez combatant	quel guerdon fait celuy pouroie ie auoir de uous se ie me desarmoye et uous bailloie mes armes et mon cheual certes fait lancelot: tel comme uous deuiseres se fait il au premier lieu ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes Certes fait lancelot si feray ie pourtant que uous ne me trouues combatant	si vos diese mis armas e mi cauallo porçierto dixo lançarote tal qual vos supieredes deuisar si vos me juraredes dixo el Cauallero que enel primer lugar que vos fallare armado e yo fuere desarmado me dedes vuestras armas yo vos dare estas mis armas e mi cauallo Muy de grado dixo lançarote ental que me non falledes conuatiendo	—E quale guiderdone potre io di voi atendere s’io per voi mi disarmasse e vo donasse mio cavallo e mie armi — Certo sire disse Lancellotto tale come diviserete — e vo' disse il cavaliere a l’arme nere nel primaio luogo ov’io vo troverò armato per ch’io sia disarmato mi volete dare vostre armi e ciò mi volete impromettere io vo donerò le mie che molto sono buone e difensaboli — Certo disse Lancellotto si farò io purché voi non mi troviate combattendo E que' dice che si dic’elli
Et cil descent maintenant si se desarme	et cil descent maintenant si se desarme	Et cil descent maintenant si se desarme	Et il descent si se desarme	et celuy deschent maintenant sy se desarme	e luego selo juro entonçe desçendio el cauallero desu cauallo e desarmose	e Lancellotto gliel promette immantanente a donare sImmantanente discende il cavaliere e disarma
et baille a Lancelot tot son hernois et il s’en appareille	et baille a lanc̃ son harnois et il sarme	et baille a lancelot tout son harnois Et il sen appareille tout maintenant	et baille a lancelot tout son harnoys et il sappareille	et baille tout son harnois a lancelot	e dio todas sus armas e su Cauallo a Lançarote e Lançarote se armo	e dona a Lancellotto sue armi e suo arnese ed e'se n’aparecchia
et monte en son cheval	et monte en son cheual	et monte sor le cheual	et monte a cheual		e subio enel cauallo	si monta in suo cavallo poscia dice a suo oste ch’elli
puis dist a son oste qu’il s’en retort; Imes il dist que non fera Si ferois fet Lancelos a lar je conoistrai bien les armes a celui	Puis dit a son oste quil sen retort et il dit que non fera Si ferois fait lanc̃ Car ie quenoistrai bien ciax as armes que ie uois querant en	et dist a son oste quil sen retort quar iou connistera bien lez armes a celui	puis dist a son hoste quil sen retourne mais il dit que non fera si ferez fait lancelot car ie cognoistray bien les armes de ceulx	et il sen appareille	e dixo asu huesped que se tornase No fare dixo el huesped si faredes dixo lançarote que yo conoçere vien el cauallero enlas armas	si ritorni e que' dice che non farà Si farete disse Lancellotto ch’io conoscerò bene l’armi di colui a cui io vo cheggendo in quale
que je vois querant en quelque lieu je les truisse Et cil dist puis qu’il velt s’en retornera: si s’en vet	quel que lieu que ie les truisse et cil dit puis quil le ueit il sen retornera Si sen ua	qui iou vois querant Etr cil dist que dont sen retornera il puis quil le veult Si sen retorne atant	que ie uoys querant en quelque lieu que ie les trouue Et il dit quil retournera puis quil le ueult si sen ua	et mente sus le cheual et fait retourner son hoste	que lleba en qualquier lugar que el vaya yo me tornare dixo el huesped pues vos plaz	che luogo ch’io il trovasse VE que' dice che poscia ch’elli vuole ch’elli si tornerà si se ne va
et enmaine o lui le chevalier	et enmainne le cheualier auecque lui	et enmaine aueques lui le cheualier	et emmaine auec luy le cheualier		E luego se torno e llebo consigo el cauallero quelas armas auia dado a lançarote	e mena con esso lui il cavaliere
qui molt est liés de ce que Lancelos li doit I guerredon Et Lancelos aquelt son chemin aprés cels que il sieut tant qu’il est venus el tertre en haut	qui mout est liez de ce que lanc̃ li doit guerredoner Et lanc̃ aquiet son chemin apres ciax que il sieut tant que il est uenus el haut tertre	qui moult est lies de ce que lancelot! doit j guerredon Et lancelot si acuelle son chemin por aler apres chiaus quil sieut Tant quil est uenus el tertre en haut	qui est moult lie de ce que lancelot luy doit ung guerdon Et lancelot preut son chemin apres ceulx quil suyt tant quil est uenu ou tertre en hault	et prent congie de luy lancelot print son chemin apres ceulx qui sen uont tant quil est uenu eu tertre en hault	que yua muy alegre de aquello que lançarote le auia prometido e lançarote se fue porel camino enpos el cauallero e andubo tanto fasta que paso porel otero	che molto est lieto di ciò che Lancellotto gli dee uno guiderdone E Lancellotto accoglie suo camino apresso coloro che seguita tanto ch’egli è Purchél penurche Vjenhaj via venuto al poggio in alti
et lors voit devant lui la forest que l’en apele la forest des Trois Perilx	et lors uoit deuant lui la forest des trois perilx	Et lors uoit deuant lui la forest dez iij perieus:	Et lors uoit deuant luy la fourest quon appelle la fourest des troys perilz	et lors uoit deuant luy la forest des trois perilz	e llego avna floresta que llamauan la floresta delos tres pilares	Allora isguarda davanti lui si vide la foresta che l’uomo chiama la foresta de' Tre Perigli
et ce por quoi ele fu ensi apelee devisera bien li contes ça avant	et ce porquoi ele fu ainsi apelee ce deuissera li contes sa auant	Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant	Et pour quoy elle fu ansi appellec uous deuisera bien le comte cy apres	et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant	e porque fue ella asi llamada este cuento lo deuisara aca adelante	e ciò perch’ella fu insi chiamata vo diviserà il conto ben qua avanti
Quant il fu amont el tertre si esgarde devant lui mais il ne voit nul de cels que il queroit	Quant lanc̃ fu amon el tertre si regarde Mais il ne uoit deuant lui nus de ciax que il guiert	Quant lancelot fu amont el tertre si regarda deuant lui mais il ni uit nul de ceaus que il queroit	Quant il fu amont ou tertre si regarde deuant luy et il ne uoit nul de ceulx quil queroit	QUant il fust amonlt eu tertre si regarde deuant luy	Quando el llego ala floresta e no vido aquel enpos quien yua	Sl oQuand’e fu montato nel poggio si isguarda davanti lui ma elli non vide nullo di quelli ch’elli chiedea ché s’erano già messi nella foresta
