	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
935|936|937|938|939|940|941|942	quant il li guenchist, |et ele li baise la face et le col et le menton, |puis que autre chose n’em puet avoir ; |si plore de pitié |et li dist: « |Ha, gentilx chevaliers, |tant vos avoie desirré a veoir ains que je moreuisse! |Mais comment l’avez vos puis fet?, 	quant il li guenchit ele li baise la boche et le col et le menton. |puis que autre chose nen puet auoir. |Si pleure de pitie |et dit ha: gentiz cheualiers |tant uos auoie desire a ueoir. |ains que ie morisse. |Mais coment lauez uos puis fait 	mais il guenchist. |Et elle li baise le col et la face et le menton |et pleure de pitie. |Et dist. |Ha : gentiex cheualiers. |tant vous auoie desire a ueoir aincois |que iou morusse. |Mais comment laues vous puis fait 	et il guenchist. |et elle luy baille la face et le coul et le menton. |puis quautre chose nen puet auoir. |si pleure de pitie |et luy dist|haa gentil cheualier tant uous auoye desire a ueoir auant que ie mourusse. |mais comment lauez uous puys fait. 	quant il se destourna |et elle luy baise le col/ |et puys pleure de pitie et dist/ Gentil cheualier |tant ie uous auoye desire a uoir auant que ie mourusse/ 	e enla faz e començo a llorar con piedad |e dixo ay señor |quanto vos deseaua ver anteque muriese |e como vos a ydo despues 	quand’e si storse |ed ella il baciò nel collo e la faccia e l mento, |poscia che altra cosa none può avere. |Si piagne di piatà |e gli disse: |Hal, gentile cavaliere, tanto voi avea disiderato di vedere |inanzi|ch’io morisse! |Ma come l’avete voi poscia fatto 
							ch’io non vo vidi?». 
		que ie ne uos ui. 					
943|944|945|946|947	Et il li dist : « Bien, Dieu merci. — |Et ceste part, fet ele, |comment venistes vos, |qui avant ier vos en partistes ? — |Par foi, fet il, une grant acheison. m’i amena. »	et il dit mout bien la dieu merci. |Et ceste part fait ele |comment uenistes uos |qui auant ier uos en partites. |Par foi fait il une grant ocoisons mi amena. 	et comment uenistes vous ceste part. |Et il li dist. bien dieu merci. |et vne ocoison mi amena. 	et il luy dist. bien dieu merey. |et comment estes uous uenu ceste part |qui auant hier uous en partistes. |Par foy fait il une grande achoison me y amena. 	et comment uenistes ceste part/ |car auant hyer uous en partistes. 	que vos vi muy bien dixo lançarote merçed a dios señor dixo la donçella |como vos auino de venir asi contraesta parte |que aun tan poco a que vos partistes demi |por buena fee dixo lançarote |Por buena auentura 	Ed e' le disse: Bene, Dio mercé. — |E n queste parti come veniste voi |ch’uguanno vo ne partiste? |-Per fé, diss’elli, una gran cagione mi ci mena». 
						que me auino 	
						e luego le Conto 	
948	Si li conte comment. I. chevalier o unes armes vermeilles l’avoit apelé de traïson a la cort le roi Artu por la mort de Meleagan; 	Puis li conte coment uns cheualiers a unes armes uermeilles lauoit apele de traisson a la cort le roi artu. por la mort de meleagͣ. 	Si dist comment vns cheualiers a vnes armes uermeilles lauoit apele de traison en la cort le roy artu pour la mort melyagant. 	si luy compte |comment ung cheualier unes armes uermeilles lauoit appelle de traison a la court du roy artus pour amour de meleagant 	Par ma foy fait il ung cheualier a unes armes uermeilles ma appelle de traison en la court du roy artus. |pour la mort de melleag. 	como vn cauallero le Recto de traiçion enla corte del Rey artur |Porla muerte de meliangas 	Si-lle conta come uno cavaliere a une armi vermiglie l’avea apellato di tradigione nella corte del re Artù per Melegant,
949	si l’en covient a deffendre en la cort le roi Baudemagu. « 	Si li couient a desfandre en la cort le roi bademagu de gorre. 	si men conuient a desfendre en la cort le roy baudemagu.	si luy en conuient deffendre en la court du roy bandemagu. 	si men conuient a deffendre en la court du roy bademagus/ 	e heme a defender enla corte del Rey bandemagus ay señor dixo ella 	sì me ne convien a andare a difendere nella corte del re Bando di Maguzo». — 
950|951	Ha, fet ele, je sai bien |qui il est. C’est Argodras li Ros et li chevaliers 	Ha; fait ele ie sas bien |qui il est. |Cest agodras li rous. et li cheualiers cui uos auez ocis 	ha y fait elle iou sai bien |qui il est Cest argondrass li rous. |Et li cheualiers 	Haa sire fait elle ie scay bien|quil est. cest arqodras le roux. et le cheualier 	Haa fait elle ie scay bien |qui il est cest argorindes le roux/ et le cheualier 	yo se quien es cauallero |Ca es argodras el Rubio hermano del cauallero 	eHal, diss’ella, io so bene chi egli è, ciò è Argondras il Rosso; il cavaliere 
952	que vos avés hui ocis et ars estoit ses freres; 	et ars hui en cest ior. estoit ses freres. 	que vous aues ochis |et ars estoit ses freres. 	que uous auez huy occis |et ars estoit son frere. 	que uous aues occy |et ars estoit son frere/ 	que agora matastes |mas señor no se que vos faga ca e miedo 	che voi avete morto e arso era suo fratello, 
953	si ne sai que vos puissiés fere, 	Si ne sai que uos en puissiez faire. 	si ne sai que vous puissies faire. 	si ne scay |que uous puissez faire. 	si ne scay |que puissies faire/ 	que si mi padre sabe como matastes a meliangas |que vos faga matar 	sì non so |che voi ve ne possiate fare, 
						porel gran pesar 	
954	kar se mes peres set que vos aiés ocis Meleagan, je criem 	Car ce mes peres cest|que uos auez ocis mel̾. mon frere ie crien 	Car se mes peres set vraiement |que vous aues melyagant ocis. Iou criem 	car se mon pere sceit de uray |que uous auez occis meleagant iay paour 	car se mon pere scait |que uous aies occis melleagant ie crains 	que abra destas nuebas |como dixo lançarote no lo sabe ansi me ayude dios dixo ella no maguer 	ché se mio padre el re Bando sa veracemente |che voi abiate ucciso Meleagante, io temo 
955	qu’il ne vos face ocirre por le grant duel 	que il ne uos face ocirre por le grant duel 	quil ne vous face ocirre. pour le grant doel 	quil uous face occire pour le grant deul 	quil ne uous fache occire. 	que a quinze dias |que an traido aesta tierra el cuerpo de meliangas 	che non voi faccia uccidere per lo gran duolo 
							ch’elli n’arà di suo figliuolo, 
956	qu’il avra des noveles. — Coment ? fet Lancelos, nel set il mie encore ? — 	que il en auoi. Coument fait lanc̃. ne le cest il encore pas. 	quil en aura. |Comment fait lancelot ne le set il mie encore. 	quil aura des nouuelles. |Comment fait lancelot ne le sceit il encores pas 	comment fait lancelot. ne scait il pas encore |qui se a fait. 	mas tienenlo enel castillo delas quatro piedras muy encubiertamente |quelo no sepa su Padre 	ché troppo |l’amava.—Come, disse Lancellotto, nol sa elli mica ancora? —
957|958	Certes, sire, nenil; |si est Meleagans en cest païs aportés plus a de XV. jors 	Si maist diex fait ele nenil. |Si est mell. aporte en cest pais bien a .xu. iors. 	Si mait diex fait elle nenil. |Si est melygant amenez er cest pais. XV. iors a passes. 	Si maist dieu fait elle nennil. |si a este meleagant apporte en ce pays plus de .xx. iours a. 	se maist dieux nennil fait elle |Si est melleagant apporte en ce pays .xu. iours a passes/ 	e ansi vos conuiene de vos encubrir muy sabiamente 	Se m’aiuti Iddio, diss’ella, non. |Si è elli recato in questo paese più di Xv. giorni fa 
959|960	et est el chastel des Illl. Pierres |et le gardent iluec si celeement 	et est el chastel de .iiii. pierres. |et le gardent la si celeement 	si gist el castel des. iiij. pierres. |Et le gardent illueques si celeement 	et est ou chastel des quatre pierres. |et le gardent ilec si celeement 	et est au chastel des quatre pierres. |Et le gardent illec si celleement 	mas quando es el dia 	ed è il corpo con tutto il capo nel castello di Quatro Pieri,|e l guardano nel luogo si celatamente 
961|962	que li rois n’en set encore riens: |si en covendra esploitier al plus sagement 	que li rois nen cest encore riens. |si uos en couenra esploitier au plus saigement 	que li roys nen set encore noient. |Si vous en conuendra esploitier au plus tost 	que le roy nen scait ores riens |Si uous conuiendra esploicter au plus sagement 	que se roy nen scait encores riens: mes dictes moy a quant est le iour 	que vos auedes de defender el dia dela magdalena dixo lançarote si dios me ayude dixo la donçella 	che il re non ne sa ancora nulla; |si vo ne converà portare al più saggiamente 
963|964|965|966|967|968	que vos porrois. |Mes a quant est li jors |que vos vos en devés deffendre? » |Et il dist |que c’est le jor de la Magdalaine. « |Or vos en conseut Diex, fet ele. 	que uos porrois |Et quant est li iors que uos nous en deuez desfandre. |et il dit |que cest le ior de la magelainne. |Or uas en consaut fait ele diex. 	que vous porres. |Mais a quant est li iors. |que vous en baes a desfendre. |Et il dist |que chou est le ior de la magdalaine. |Or vous en consaut diex fait elle. 	que uous pourrez. |mais quant est le iour |que uous uous en deuez deffendre. |et il luy dit |que cest le iour de la magdalene. |Or uous en conseille dieu fait elle. 	que uous uous deuez deffendre. |Et il dit |que cest au iour de la magdalaine. |Or uous conseille dieu fait elle: 	yo he gran miedo |que vos el faga matar algodras |por Alguna traiçion deso dixo lançarote no ayais Miedo 	che vo' potrete. |Ma quando est il giorno |che vo' ve ne dovete difendere?». |Ed e' dice el di della Madalena. |e.Or vo ne consigli lddio, diss’ella, 
969|970	kar j’ai grant poor |que Argodras ne vos face anui par traïson. — De ce, fet il, n’aiés ja garde! Tot son pooir en face,	que iai grant paour |que agodras ne uous face anui par traison. De ce fait il naiez ia garde tout son pooir en face 	quar iou ai grant doute|que argondras ne vous face anui ou traison |De chou fait il naies ia garde 	car iay grant doubte |que argodras uous face ennuy par traison. De ce fait il face tout son pouoir. |car ie nen auray ia paour ne doute. 	car iay grant paour|que agarindes ne uous face auoir quel que trayson. De ce fait il naiez ia paour. 	e el faga todo su poder Ca yo me guardare deGuisa 	ch’i' ò gran dotta |che Argondras non vo faccia invidia o tradigione. — Di ciò, diss’elli, non abbiate già guardia: tutto suo podere ne faccia, 
971	que je n’en avrai ja poor. » Assés parlerent cele nuit de maintes choses a 	que ie ne le dout pas. Assez parleren cele nuit de maintes chosez. 	mais tout son pooir en face |quar iou nen aurai ia paour . lele nuit fu lancelot moult a aise 	Assez parlerent celle nuyt de maintes chosss. 	Assez parlent celle nuit de plusieurs choses 	Que no aya del pabor Conel ayuda de dios Asi fablaron toda aquella noche de muchas cosas 	ch’io non arò già paurab. Assai parlarono quella notte di molte cose intra Lancellotto e la damigella, 
972	et molt firent cil del chastel grant joie de lor dame 	et mout firrent cil del chastel grant Ioie de lor dame 	et moult firent cil del chastel ioie de lui et de lor dame. 	et moult firent ceulx du chastel grant ioye de leur dame 	et menlt firent ceulx du chasteau grant feste de lui et de leur dame 	e Mucho façian gran alegria los del castillo porque asi auian cobrado a su señora 	e molto feciono lquelli del castello! grande gioia di lor dama 
973|974	qu’il cuidoient avoir perdue, |et or l’ont saine et haîtie 	que il cuidoient auoir perdue. |et orlat sainne et haitie. 	que il quidoient auoir perdue. 	quilz cuidoient auoir perdue. |et ores lont saine et haitie. 	quilz cuidoient auoir perdue. 	Que ayudauan ental manera Perder 	ch’elli credieno aver perduta a tutto giorno mai, |e or l’ânno con esso loro sana e adatata. 
975	Et al matin, 	Et au matin 	Et au matin 	Et au matin si tost 	Et au matin 	e enla mañana 	eAl mattino, 
976|977|978|979	si tost com li jors parut cler, se leva Lancelos |et se parti de la damoisele, |quant il fu armés;|et ele le commande molt a Dieu 	quant li iors aparut biax |et clers se leua lautre de son lit |et se parti de la damoisele |Quant il fu armez la damoisele comande a 	si tost|com li iors apparut se leua lancelot et sarma |et prist congie a la damoisele. |et elle le commande a dilelu 	que le iour esclarsit se leua lancelot. |si se party de la damoisele |quant il fu arme. |et elle le commanda moult a dieu 	si tost comment le iour apparut se leua lancelot et print congie de la damoiselle. |Et elle le commanda a dieu 	en quanto el dia aparesçio claro se leuanto lançarote |e se partio dela donçella e des que fue armado e la acomendo a dios Señor dixo la donçella 	si tosto come il giorno apari chiaro, |si levò Lancellotto |e si parti dalla damigella |quand'e' fu armato, |ed ella il comandò molto a dDio 
980|981	et li pria |qu’il s’en revenist par li al repairier; 	dieu.et li prie |que il sen reuenist par li au repairier. 	et li pria |quil reuenist par li au repairier.	et le pria |quil sen reuenist par lie. 	et lui pria |quil reuenist par elle au repairier. 	yo vos Ruego 	e l priega molto dolcemente |che ritornasse per lo luogo a 
982|983|984|985	et il dist |que si feroit il, |s’il pooit. |Si se remet en son chemin 	et il dit|que si feroit il se il puet. |et il se remest en son chemin. 	Et il li dist |que si feroit il se il pooit. |si se met en son chemin 	et il dist |qui si feroit il sil pouoit. |si se mect en son chemin 	Et il dit |que si feroit il sil pouoit. Il se met en son chemin 	Que al tornar vengades |Por aqui de Grado dixo lançarote si pudiere e luego se metio enel camino 	riparare.Ed e' dice |che sì farà elli |s’elli potrà, |si si rimette in suo camino 
986	et eirre tot le jor jusqu’al vespre 	et erre iuscau uespre. 	et esra toute iour iusques au soir. 	et erre toute iour iucquau uespre. 	et erre iusques au soir. 	e andubo todo aquel dia 	e va tutto giorno insin qua a vespero. 
987|988	et lors aproche d’une riviere |que l’en apeloit Aglonde, 	et lors aproche une riuiere |que len apele aglode. 	Et lors aproche dune riuiere |que on apeloit agloride. 	Et lors aprouche dune riuiere |que len appelloit aglunde. 	Lors approuche de une riuiere |que len appelloit aglondes/ 	porvna rribera ayuso fasta visperas 	Allora apressima d’una riviera |che l’uom chiamava Aglonda, 
989	si en estoit l’eve molt parfonde et molt noire. 	et si en estoit leue parfonde |et mout noire. 	si en estoit laigue moult parfonde. et moult noire, 	si estoit leaue moult parfonde et moult noire 		e el agua hera fonda y negra 	si era l’acqua molta perfonda e molto nera. 
990|991	Et quant il vint pres de l’eve, |si vit trois paveillons tendus pres de la rive; 	et quant il uint pres de leue |si uit .iii. pauillons. tandus delez la riuiere. 	Quant lancelos vint pres de laiglule |si y uit. iij. paueillons tendus. 	et quant il uint pres de leans |si uit pres de la riue troys paueillons tenduz 	si uoit trois paueillons tendus pres de la riuiere. 	e desque fue çerca del agua vio tres tiendas çerca dela rribera 	E quand’e venne a l’acqua, |si vide tre padiglioni tenduti presso della riviera, 
992	si en estoit li uns grans et bials et li autre dui estoient moien. 	et en estoit li uns grans et biax. et li autres estoient 	dont li vns estoit blans. et li autre doi moien estoient de autre color. 	si y en auoit ung grant et beau. |et les autres deux estoient moyens. 	si en estoit ung grant et blanc et les autres deux estoient noirs. 	e la vna hera muy grande e muy fermosa |e las dos heran mas pequeñas 	si n’era l’uno molto grande e molto bello, |e gli altri due minori. 
993	Et lors issi del greignor paveillon I. chevaliers tos desarmés 	moien.et lors issi de lun des pauilons uns cheualiers tous armez 	Et lors issi del pauellon vns cheualiers tous armes. 	Et lors issy du plus grant des paueillons ung cheualier tout desarme 	Et lors issist dun paueillen ung cheualier tout arme 	e luego que ay llego lançarote vio salir dela mayor tienda vn cauallero desarmado 	eAllora usci del padiglione uno cavaliere tutto disarmato 
994|995	qui li dist |que bien soit il venus, 	qui li dit |que bien soit il uenus. 	qui li a dit |que bien soit il uenus 	qui luy dist |que bien soit il uenu. 	qui lui dist |que bien soit il uenu. 	quele dixo señor vien vengades 	che gli disse bene sia elli venuto, 
996|997	et il li rent maintenant son salu. « |Ha, sire, fet il, vos me samblés chevaliers errans 	et il li rent tout maintenant son salu.|ha: Sire uos me sanblez cheualiers errans 	Et il li rent son salu. |Biau sire ce dist li cheualiers del paueillon vous me sambles vns cheualiers errans. 	et il luy rend son salu. |haa sire fait il uous me semblez cheualiers errans 	Et il lui rent son salut. Beau sire uous semblez cheualier errant: 	e lançarote le torno sus saludes |buen señor dixo el cauallero dela tienda 	ed|e' gli rende immantanente suo saluto. |aHal, sire, disse il cavaliere del padiglione a Lancellotto, vo mi sembiate cavaliere errante, 
998|999	et je aim tos cels |qui en tel mestier usent lor vie, 	et ie ain tous seus |qui en tel maniere ussent lor uie. 	et iaim tous chiaus |qui en tel maniere usent lor vie. 	et iayme tous ceulx |qui en tel mestier leur uie usaent. 	et iayme tous ceulx |qui en telle maniere usent leur uie: 	vosme semejades Cauallero andante 	e io amo tutti quelli |che in tale maniera usano lor vita, 
1000|1001|1002	kar je meismes sui chevaliers errans |et por ce vos vueil je proier |que vos herbergiés anuit mes o moi; 	Et ie meismes sui cheualiers errans |Si uos uoroie prier. |que uos herberresiez hui |mais auec moi ennuit. 	Car iou meismes sui cheualiers errans. |et pour chou vous voeil iou proier |que vous vous herbergies hui mais auec moi. 	Car ie mesmes suys cheualier errant. |et pour ce uous uoudroye ie prier |que uous herbregez |mais huy auec moy. 	car moy mesmes suis cheualier errant. |Et pour ce quil est temps de se hebergier uous censeille ie 	e porque ya fue tiempo que yo mesmo fui cauallero andante Ruego vos |que esta noche aluerguedes Conmigo 	ch’io medesimo sono cavaliere errante; |e i' vo vorrei pregare |che voi albergaste stanotte con esso meco, 
1003	kar se vos passés avant de ci, vos ne troverois se forest non, si salvages 	Car ce uos passez de ci uos ne trouerois ce fores non si sauuages: 	Car se vous vous partes de ci vous ne trouueres hui|mais se fores non saluages. 	car se uous passez plus auant uous ne trouuerez mais huy |que fourests si sauuages 		Ca si de aqui partides non fallaredes sino floresta muy yerma 	ché se voi passate di qui vo' non troverete oggimai se non foresta si salvatica 
1004	que vos i porrois tost desvoier. 	que uos i porrois moutost desuoier. 	si que vous y porrois bien foruoier. 	que uous y porez tost desuoyer.	que uous demour⟦e⟧z/ 	e saluaje |que no fallaredes do aluergar esta noche 	che vo potrete molto tosto disviare; 
1005	Et il est bien tens de herbergier, ce veés vos bien : 	et il est bien tans de herbreger. ce ueez uus. 	Et il est pres del uespre |si vous lo 	et il est bien temps de herbreger |comme uous uoyez par ce uous loue ie 		e poresto vosloaria 	ed egli è bene tempo d’albergare, ciò vedete voi bene: |perciò vo lodo in buona fé 
1006	por ce vos lo 	Por ce uos loie 	que vous remaignies 	que uous demourez. 		Que finquedes aqui esta noche 	che voi rimagniate,
1007|1008	que vos remanois et vos avrois ostel bel et buen tot a vostre voloir. — |Bials sire, fet Lancelos, 	que uus remenois |et uos aurois ostel et bel et bon au ren chois |Biax sire fait lanc̃ des	et vous el aurois ostel tout a uostre uolente. iau sire fait lancelot 	et uous aurez houstel bel et bon tout a uostre uouloir. Beau sire fait lancelot 	et uous aurez hostel tout a uostre uoulente. Beau sire fait lancelot ie demoureray 	e abredes muy buena Posada a toda vuestra voluntad buen señor dixo Lançarote yo fincare 	e voi ci areste ostello buono e bello e tutto a vostro volere. — Bel sire, disse Lancellotto, 
1009|1010|1011|1012|1013	puis qu’il vos plest, je remaindrai |et por vostre proiere |et por ce que vos dites |que vos estes chevaliers errans. a, |Lors descent et vaslés saillent des autres paveillons, 	que il uos plait ie remendrai por uostre proiere |et por ce que uos me dites |que uos estes cheualiers errans |com ie sui Ices descent lancel. |et uarles saillent des autres pauillons. 	puis que il vous plaist iou remandrai. |Lors descentas Dde son cheual |Et uallet saillent des autres paueillons. 	puis quil uous plaist ie demourray. |et pour uostre priere. |et aussi par ce que uous dictes |que uous estes cheualier errant |Lors descent. |et uarletz saillent des autres paurillons 	puis quil uous plaist. |et que uous dictes que uous estes cheualier errant. |Lors descent de son cheual/ |et uarletz saillent des autres paueillens 	pues vos plaz Porvuestro Amor Pues dezides Que fuistes cauallero Andante |e luego salieron delas tiendas escuderos 	e io rimarrò per vostro amore e per ciò |che vo' siete cavaliere erante |come vo' dite». |soAllor discende Lancellotto |e' valletti salgono dell’altro padiglione, 
1014	si le desarment 	si le desarment 	si le desarment demaintenant. 	si le desarment 	si le desarment 	Quelo desarmaron 	si 'l disarmarono 
1015|1016	et li aportent I. mantel de samit legier a afubler por le chaut |qui grans estoit ; 	et li portent un mantel de samis uermeil legier por le chaut |qui grans estoit 	puis li aportent vn mantel de samit por affubler. 	et luy apportent ung legier mantel de samit a affubler pour le chaut |qui estoit grant. 	et lui apportent ung manteau de samit |pour affubler pour le chault |qui grant estoit. 	e desque fue desarmado Truxeronle vn manto de xamete para cubrir |Porla calor 	e gli aportarono uno mantello di sciamito per afibiare, per lo caldo che grande era, 
1017|1018|1019|1020	si le mainent el grant paveillon avec l’autre chevalier. |Et lors parlerent ensamble |et s’entracointierent |et demanda li uns a l’autre de son estre ». Li chevaliers enquiert a Lancelot 	si le mainnent el grant pauillon entre lui et le cheualier. |et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. |et satracointent. |et demande li uns a lautre de son estre. |Si demande li cheualiers don il uient 	et lors sen uont el grant paueillon entre lui et le cheualier. |et cil li demande 	si le mainent ou grant paueillon luy et le cheualier. |lors parlent ensembles ce sentracointent |et demandent lun et lautre de son estre. |Si enquiert le cheualier a lancelot 	Si le mainent au grant paueillon. lui et le cheualier sentreacointerent |et demanda lun a lautre 	que façia grande e entonçe se entraron el cauallero e lançarote enla tienda |e asentaronse |e començaron a fablar envno |e el cauallero le pregunto 	si se ne vanno nel grande padiglione intra lui e l cavaliere; |allor parlarono insieme |e si tracomandarono al domandare l’uno a l’altro di suo essere, |si inchiede il cavaliere a Lancellotto 
1021|1022|1023|1024|1025	dont il vient |et ou il vet et|quele aventure le maine si sol, |et il li conte une partie de son estre et autre l’en çoile e; |et totes voies li dist 	et don il ua. |et quel auanture le mainne si seul. |et il li conte une partie de son estre et une partie len soile. |et totesuoie li dit 	ou il aloit. |Et lancelot li dist 	dont il uient |et ou il uait. et|quelle auanture le mainne seul |et il luy en compte une partie |et luy en cele l autre. |Et touteuoyes dist il 	dont ilz estoient: |et quelle auanture le menoit si seul. |Et il lui compte de son estre une partie |et lautre lui en celle: |et toutesfois dit il 	e dixo señor |que auentura os lleba asi solo e lançarote le conto toda su façienda |enpero todavia le dixo 	donde e viene |e dove e' va, |e quale aventura il mena si solo, |ed e' gli conta una partita di suo essere e una partita ne li 
1026	que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier 	que a la cort bademagu: uodroit estre. |por soi desfandre uers un cheualier. 	quil volroit estre a la cort le roy baudemagu |pour combatre a. j. cheualier 	qu en la court du roy bandemagu uoudroit il estre pour soy deffendre uers ung cheualier 	que en la court du roy bademagus uouldroit il estre pour ung cheualier 	que yua ala corte del Rey bandemagus |aque dixo el cauallero ame defender 	cela;e tutvorebbe essere per sé difendere verso d’uno cavaliere 
1027	qui l’a apelé de traïson. 	qui apelela de traison. EN ce 	qui lauait apele de traison. 	qui la apelle de traison 	qui lauoit appelle de trayson. 	devn cauallero dixo lançarote |que me Recto de traiçion 	che apellato l’à di tradigione nella corte del re Artù. 
1028|1029|1030	En ce qu’il parloient ensi, orent li escuier mise la table, |si vont laver; |si s’asiet Lancelos et li chevaliers et une damoisele 	quil parloient ensamble. |si ont li escuier misses les tables.|Si ont laue. |Si ont assis lanc̃. et le cheualier et une damoisele 	Et en chou |quil a parloient ensi orent li escuier mises lez tables. |si vont lauer |si sassistrent li cheualier au mangier |Et vne damoisele 	Ainsi quilz parloient mistrent les escuiers la table |si uont lauer. |puis sassiet lancelot et le cheualier.|et une damoisele 	Et ainsi qu ilz parloient len mist les tables. ilz lauent leurs mains |et puis se assient le cheualier et lancelot: 	e ellos asi fablando entro vn escudero |e puso la mesa |e asentose el cauallero a comer e lançarote 	Seln ciò che parlavano insi, |ebbono i valletti messe le tavole: |si si lavarono lor mani |e s’asederono al mangiare intra l cavaliere e Lancellotto e una damigella 
1031|1032	qui molt ert bele |et estoit amie al seignor de laiens; 	qui mout estoit bele. |et estoit amie au signor de Laiens. 	qui moult estoit bele |qui estoit amie au cheualier de laiens. 	qui moult estoit belle |et estoit amyx au seigneur de leaus. 	et une damoiselle moult belle/ laquelle estoit amie au cheualier de leans. 	e vna donzella muy fermosa |que hera amiga del cauallero 	che molto fu bella e avenante e fresca, |si era amica del signor di là entro, 
1033|1034|1035|1036|1037|1038	si mengierent tuit troi ensamble. |mes cele |qui Lancelot esgarde ne se puet saoler de lui veoir, |Kar tant li samble bials |qu’ele ne prisa onques mes bialté d’ome envers cesti : |si l’esgarde si viselment 	Si mengerent cui troi ensenble mais cele |qui lanc̃ esgarde ne se puet saouler de lui esgarder. |Car tant li sanble biax: |que ele ne prisa onques mais biaute a ome enuers la soie nule rieu.|Si le regarde si uiseument 	si mangerent tout. iij. ensamble |mais moult regarde la damoisele lancelot. |et ne se puet de lui regarder saouler. |Si ne prisa onques mais la biaute domme vers la soie. |Si le regarde si ententieument 	si mangerent tous troys ensemble. |Mais celle |qui regarde lancelot ne se puet saouler de le ueoir. |Car tant luy sembla beau |que oncquez ne pasa beaute domme enuers ceste |si le regarda si auiseement 	Si mengerent tous trois ensemble: |mais celle |qui lancelot regarde laisse le boire et le mengier pour la grant beaute |que elle uoit en lui/ 	mas la donçella en quanto vido a lançarote |ansi lo cataua |que no se hartaua delo ver enque lo via tan fermoso |e no cuidaua |que tan fermoso ome pudiese auer enel mundo |e asi lo estaua catando 	si era ella molto gentile femina. i mangiarono tutti e tre insieme e quella, |che Lancellotto riguardava tutto adesso, non si può satollare di lui vedere,|ché tanto le sembia a essere bello |ch’ella non pregia unque biltà d’uomo inverso costui: |isi-llo sguarda si visibilmente 
1039	que tot en laisse le mengier n’a autre chose n’entent. fors a lui remirer. 	que tout en laisse le mengier. |Na autre chose nentant fors a lui remirer. 	que tout en laisse le boire et le mangier. |si que a autre chose nentent. 	que tout en laisse le manger. 	si que a autre chose ne entent. 	que no podia comer 	che tutto ne lascia suo mangiare, né ad altra cosa non ne intende fôrse a llui riguardare. i tentivamente il riguardava 
			fors ca lui remirer. 				
1040	Si ont li escuier osté le premier mes de sor la table c’onques la damoisele n’en tasta, 	Si ont li escuier oste le premier mes desus la table|que onques la damoisele nen tata. 	Si ont li escuier oste le premier mes. |mais onques la damoisele nen gousta. 	si ont les escuiers ouste le premier mies de dessus la table |que oncques la damoisele nen tasta. 	si ont les escuiers oste le premier mes |que encques la damoiselle nen tasta 	que auia el escudero tirado el primero manjar dela mesa |e ella no auia metido vocado enla voca e la donçella 	che gli scudieri ebbono levata la prima imbandigione |ch’unque la damigella no ne saggiò, 
							ché d’altra vivanda avea presa a mangiare 
							dond’ella non si satollerà mica leggermente, ciò l’è aviso, 
1041	ains pensa totes voies.	ains pance totesuoies . 	Ains pensa toutes voies a la grant biaute lancelot. 	ains peust tousiours. 	ains pensa a lancelot: 	asi lo catando començo a pensar tan fieramente |que no hera sino marauilla 	si farà |s’ella unque potrà. 
1042	Et en cel pensé li descent el cuer une si grant amor 	et en se panser li dessent une si tresgrant amor 	Et en celui pense li descendoit au cuer vne si grant amor : 	et ce penser luy descent ou cuer 	et en celle pensee lui descendoit une telle amour au cueur 	e ella ansi pensando cayo vn amor ensu corazon 	Slnsi pensa la damigella tuttavia, |e n quel pensieri le si ferma nel cuore uno sì grande amore 
1043|1044	qu’ele aime Lancelot outre ce |que feme n’ama mes home; 	que ele aimme lautͣ. outre ce |que fame nemma mais home. 	que elle ama lancelot outre chou |que femme nama onkes si homme. 	tant quelle arme lancelot plus que femme nama iamais home 	que elle ayma lancelot oultre |que femme ne ayma oncques homme. 	quelo començo ansi a amar a lançarote |que mas muger podia a ome amar 	ch’ella ama Lancellotto oltre ciò |che femina non amò mai 
1045|1046|1047	si li est avis |que s’il l’amoit |qu'ele seroit beneuree. 	Si li est bien auis que ce il lenmoit |que ele seroit bone euree. 	Si li est auis que sil lamoit |que elle seroit bone euree. 	si luy est bien aduis |que selle lamoit elle seroit bieneuree. 	Si lui est auiz |que sil laymoit |quelle seroit trop eureuse.	e deçia entresi mesma |que si la el quisiese amar |que se ternia porla 	uomo.i-ll’è aviso |che se Dio, |che n’à forza, le consentisse |ch’elli l’amasse, |ch’ella sarebbe in buon'or nata.
1048|1049	Mais ci endroit n’em parole plus li contes, |kar ça avant le devisera 	mais ci endroit nen parole plus li contes. |Mais sa auant en la deuine page le uos deuisera il bien. 	Mais chi endroit nen parole plus li contes.|mais cha auant vous deuisera 	Mais cy cy endroit |pour deuiser une auanture |qui leur aduint ou paueillon endroit nen parle plus le comte |car apres le uous deuisera bien 	Mais cy endroit plus nen parle le compte |car cy aprez le uous deuisera 	mas bien auenturada muger del mundo 	Ma qui indiritto non parla più il conto, |ché qua avanti vo diviserà 
