,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
,,,,X,
5985,damoiseles;,damoiselles helas,,damoiseles,donzelle
5986,et quant eles voient la vielle,et quant elles uirent la uielle,,Et quant elles voient cele,: quand elle vegono la vecchia
,,qui entrainoit le heaulme,,,
,,et lespee,,,
5987,qui s en vait,qui tant ualloient,,qui sen uait,che se ne va
5988,et le chevalier,et le cheualier,,et le cheualier,e l cavaliere
5989,qui porte l escu qu il avoit abatu,qui emportoit lescu quil auoit abatu,,qui emporte lescu quil auoit abatu,che ne porta lo scudo|ch egli avea abattuto
5990,si batent lor paumes,si battent leurs paulmes,,Si batent lor paumes,si fegono lor palme insieme
5991,et rompent lor chevos,et rompent leurs cheueulx,,& derompent lor cheueus,e rompono lor capelli
5992|5993,et font le greingnor duel dou monde|et crient Lasses chaitives tant avons mal gardé ce,et font le plus grant dueil du monde en disant lune a lautre lasse tant auons nous mal garde ce,,& font les gregnor duel del monde|& sescrient lasses caitiues tant avons mal garde ce,e ffanno il maggior duolo del mondo|e gridano|e cattive tanto abiamo mal guardato ciò
5994,que garder devions,que nous deuions garder,,que nous deuiemes garder,che noi guardare dovavâno
,,,,Et lors commencent a crier apres monseignor ywain,
5995|5996|5997,Ha sire chevaliers font eles|qui l escu emportez moult avez ore fait grant vasselage|qui nos avez honies,Haa sire cheualier fist lune tant auez fait grant uasselaige|que nous auez honnies,,ha : sire cheualiers font elles|qui lescu emportes|moult aues ore fait vn poure uasselage|qui nous aues toutes honnies,PAil sir cavaliere dicon elle|che llo scudo ne portate molto avete or fatto grande ardimento ché noi avete onite
5998,et deseritees,et deshonnourees,,& desheritees,e diseritate
5999,et mis en dolerous servages,et mises du tout en douloureux seruaige,,& mises en dolerous seruage,e messo in doloroso servaggio
6000,dont nos n istrons jamais,dont nous nistrons iamais,,dont nous nisterons iamais a nul ior de cest monde,donde non usceremo giamai
6001,Sire mauvaisement porriez restorer la perte,Sire saiches|que mauuaisement pourriez restaurer la perte,,ha : sire maluaisement nous porries restorer la perte|& le grant damage,Sire malvagiamente potrete la perdita ristorare
6002|6003,que cil de cest pais recevront|por ce,que ceulx de ce pays receuront par ce,,que cil de cest pais receueront|por ce,che quegli di questo paese ricevono per quello
6004|6005,que vos avez fait ne vos n avez gueres fait de vostre preu|car vos en morroiz comme las chaitis,que uous auez fait|et si ny auez gaires gaigne|car uous en mourrez comme laz|et chetif,,que vous aues fait|Et dautre part naues vous gaires fait de vostre preu|quar vous en morres comme las|& chaitis,che voi avete fatto
6006,Et cil de cest païs en remaindront povre,et ceulx de ce pays en demourrent pourez,,Et cil de cest pais en seront poure,e quegli di questo paese ne rimaranno poveri
6007|6008|6009|6010,et essillié a toz jorz mes las|et soufraiteus|i|Quant mes sire Yvain les oit,et essilliez a tousiours|et nous en serons lasses trestoutes|et souffreteuses|Quant messire yuain les ouyt,e despues,& escillie a tous iours|mais ANsi se complaignoient lez damoiseles|& crioient apres mesire ywain pour lescu queles li veoient emporter|Et quant mesires ywains entent lez complaintes,e diseritati a tutto giorno mai|e no' ne saremo lasse|e soffrattose|Quando monsignor Yvano l udi
6011,si demanter,si fort lamenter,,que lez damoiseles faisoient,si dimentare
6012,si en ot molt grant pitié,si en eut moult grant pitie,,si en ot moult grant pitie,si n à molto grande piatà
6013,si se repant moult de ce qu il a fait,et se repentit moult de ce quil auoit fait,,et se repent moult de chou quil a fait,si si riprende molto di ciò
6014|6015|6016,car bien panse qu il a mal ouvré|mais il ne set en quoi;|si retorne,car bien pensa auoir mal ouure:|mais il ne scauoit en quoy|si retourna,que vio,quar bien pense quil a mal ouure mes il ne set en coi|Si retorne,ch egli à fatto ché ben|si pensa|ch egli à male operato ma egli non sa in che ssi ritorna
6017|6018,et vient as damoiseles|et lor dist qu il lor amandera ce qu il lor a mesfait,et uint aux damoiselles|et leur dist quil amendera ce quil a mesfait,que no venia ninguna auentura despidiose delas donzellas y fuese y ellas fueronse enpos del y dezian ay Cauallero,et vient as damoiseles|Si lor dist quil amendera chou|que il lor a mesfait,e viene alle damigelle es llor dice|che loro amenderà ciò|che loro à misfatto
,,,,,! Giamai per podere
6019,Sire fait l une jamais ne l amanderez,Ha ha sire fist lune uous ne dictes riens|iamais pour pouoir,,Sire fet li vne iamais ne lamenderes,che voi abbiate non l amendereste ché l misfatto est|si grande non mica sal noi solamente
,,,,,che qui siamo
,,,,,a tutti que' di questo paese
,,,,,che voi non potrete mica tanto di ben fare in vostra vita
,,que uous ayez ne lamenderez,,,
6020,car li meffaiz est trop granz:,car le meffait y est|si grant nommie a nous seulement,,quar li forfais y est trop grans,che questo male non sia maggiore
,,qui cy sommes,,,
,,mais a tous ceulx de ce pays,,,
,,que uous ne pourriez en toute uostre uie le nous amender tant auez fait grant mal,,,
6021|6022,si avez fait pechié mortel|quant vos les puceles de cest païs,et grant pechie mortel|car quant les pucelles de ce pays,,Si aues fait pechiet mortel|quant vous lez puceles de cest pais,Si avete fatto peccato mortale quando voi le pulcelle di questo paese
6023|6024,qui riens ne vos avoient meffait avez mis en dolor|Et Diex vos en doint vostre deserte Lors est,qui riens ne uous auoient mesfait auez mises a honte|et dieu uous en doint telle desserte|que par temps uous en repentez,que en probeza nos metiste muerte mueras desonrrada y el no Respondia a Cosa,qui riens ne vous auoient mesfait aues mises en dolor|Et diex vous en doinst uostre deserte,che nulla voi avieno misfatto avete messo a onta|e Dio ne vo doni tale disertamento|che voi I per tempo ne vo ripentiate
,,,,,eAllora est elli tanto dolente
6025,si dolanz qu il cuide bien del san issir,Lors fut il tant dolent quil cuida bien yssir du sens,,ors est mesires ywains tant dolans quil quide bien del sens issir|Si,ch elli crede ben del senno uscire
6026,si dist a cele,si dist a celle,,dist a celle,:|si disse a quella
6027|6028,qui a lui parloit Damoisele|car me dites de quoi je vos ai tant mesfait,qui a lui parloit|damoiselle en quoy uous ay ie taut meffait,que le dixesen Como el hermitaño contaua a don yban,qui a lui parloit|Damoisele par amours|quar me dites de Coi iou vous ai tant mesfait,ch a lui parlava|: eDamigella|ch or mi dite in|ch i' vo ho tanto misfatto
6029,— Certes fait ele vos le savrez ainz,Sire fist elle ie ne le uous diray pas|car uous le saurez deuant,,Certes fait elle vous le saures ains,che voi il saprete in prima
6030,que vos ne cuidiez,que mestier uous en fust,,que vous ne quidies,che mistieri non vo sarà
6031,et tant vos di je,mais tant uous dy ie,,Et tant vous di iou bien,; ma tanto vo dich io bene
6032,que vos en morrez se vos ne vos enfuiez,que uous en mourrez se de ce pays ne uous en fuyez,,que vous en morres se vous ne vous enfuies,che vo' ne morete se voi di questo paese non vo fuggite
6033,Et il dist qu il ne se movra ainz atandra savoir s aucuns vandroit,et a lors il dist|puis quil en estoit menace quil ne sen mouueroit meshuy dillec ains attendroit pour scauoir,,Et il dist quil ne se mouera ains atendra encore sauoir mon saucuns uendroit,“ Ed e' dice che poscia|ch egli è minacciato e' non
6034,qui riens li deist,qui lui contrediroit riens,,qui riens li deist,si moverà ma oggi de luogo anzi attenderà per apere s elli troverrà chi gli contradicesse nulla|“Elli discende
6035,Et il resgarde,si descendit a pie|puis osta ses armes,,Et il regarde,e trae sue armi|e ss asiede con esso loro
6036,et voit i,et se assist auec elles,,& voit,e elle non lasciano per lui arffare lor duolo anzi ne fanno tanto come se ciascuna vedesse davanti sé suo padre morto|” Ed e'ne li pesa molto
6037|6038,que pour ce ne lessent lor duel|si li poise moult de ce qu il a fait le conmandement a la vielle,mais elles ne laisserent point pour lui a faire leurs dueil|si fut moult dolent de ce qu il a fait le commandement a la uielle:,porque las donzellas fazian el duelo Don Yban andubo tanto despues,que por chou ne laissent elles pas lor doel|Si li poise moult de ce|que il a fait le commande ment a la uielle,e s elli il potesse amendare elli il facesse|:|si si ripente molto di ciò|ch egli à fatto il comandamento della vecchia
6039|6040,Si atant dusqu au vespre|et quant il ne voit ame venir,si attendit ainsi iusques aux uespres quil ne uit oncques ame uenir aux pauillons,,si atent en tel maniere iusques uers uespres|QNuant mesire ywain ot ensi atendu grant piece|& il ne voit ames uenir,Si atende insi insin qua apresso vespero|che non vide anima venire al padiglione
6041,si lace son hiaume,si resacha son heaulme,,si lache son heaume,Si rilaccia suo elmo
6042|6043,et monte en son cheval|et pense qu il s en ira,puis remonta sus son cheual en pensant quil sen iroit,,& monte sor son cheual|& pense quil sen ira,e monta in su' cavallo|e si pensa
6044,car avec aux ne remaindra il mie,car auec elles|qui tel dueil faisoient ne demoureroit en nulle maniere,,quar aueques lez damoiseles ne remandra il mie,ch elli se n andrà ché con esso coloro|che tal duolo fanno non rimarrà elli mica i'nulla maniera
6045,Quant il est montez,et quant il fut monte,,Et quant il est montes,E quand egli è montato
6046,si conmande les damoiseles a Dieu,si commanda les damoiselles a dieu,,si commanda lez damoiseles a dieu,si comanda le damigelle a Dio
6047,et eles ne li dient mot,mais elles ne lui respendirent mot ains plouroient tousiours,,Et elles ne li dient mot,e elle non gli dicono nullo motto anzi piangono tuttavia
6048,Et quant il s en est partiz,Puis quant il fut parti delles ilz commencerent a crier toutes ensemble|Sire cheualier,,Et quant il Sen est partis,E quand egli è partito da lloro
,,,,,si gli gridano tutti insieme
,,,,,ch a onta noi avete messo
6049,si s escrient Sire chevaliers a male honte puissiez vos aler ! Lors conmancent lor duel,qui nous auez mises a pourete a honte|et a male auenture puissiez uous aller,,si li escrient toutes a vne vois|Sire cheualiers a male honte puissies aler,e a povertà a male onta possiate voi andare|eAllor ricominciarono maggior duolo
,,,,,che davanti
,,,,Lors commencent lor duel,
,,Lors font plus grant dueil,,,
,,que deuat,,,
,,et messire yuain cheuauchoit dolent,,,
6050,et il chevauche tant qu il vint a l entree d unnes broces,et marri|tant que la nuyt uint qu il arriua a ung hermitaige tout cloz de hayes espesses,,Et il cheuauche tant quil vint a lentree dunes broces,e elli cavalca dolente|e crucciato infino a tanto
6051,et troeve J,et bien auironne de pieulx aguz,,& trueue vn hermitage,ch egli anotta
,,,,,Si viene a uno romitaggio forte intorneato di grossa acqua
,,,,,e di pali aguti
6052,hermitage! clos de haut fossez,et la porte toute neufue forte|et espesse,,qui estoit clos de moult haus fosses,e avea porta tutta nuova forte|e grossa
6053,Il vint a la porte,si uint a la porte,,si vint a la porte,Elli viene alla porta
6054,si apele,et heurta,,& y apele,e chiama
6055|6056|6057|6058,et J|clers li oevre|et il antre anz|puis descent,si lui fut ouuert luys|et il entra dedens tout a cheual|puis descendit a terre,,& vns clerz li oeure maintenant|si entre ens|& descent de son cheual,e un cherico ne viene avanti|e elli va di dentro tutto armato a cavallo
6059|6060|6061,Et li hermites|qui fu fors issus|et avoit dites ses ores reçoit son escu,et lermite|qui auoit chantees ses heures yssit de hors de sa chappelle,que se partio delas donzellas,& li hermites|qui estoit hors issus|& auoit dites ses heures rechoit son escu,e il romito fu fuori uscito della capella|e avea dette sue orationi|:
,,,,,si riceve suo seudo
,,,,& son glaiue,
6062,et li fait ses armes oster,et lui fist ses armes oster,,& puis li fait sez armes oster,e lli fa sue armi trarre
6063|6064,si le moinne en sa maison|qui grant estoit,puis lenmeine en sa maison|qui forte estoit,que llego ala noche avna hermita a donde fue ospedado devn ome bueno,Si lenmaine en sa maison|qui lsarsal grans estoit,e lli mena in sua magione|che molto era forte
6065|6066,et bele|por les chevaliers erranz herbergier,et belle pour hebergier les cheualiers errans,,& bele pour lez cheualiers errans herbergier,e bella per li cavalieri erranti albergare
6067,qui par illue passoient;,qui par la passoient,,qui par illuec passoient,che per lo luogo passavano
,,et pour ce,,,
6068|6069,et estoit li leus apelez li Hermitages as Erranz|Quant li mengiers fu aparilliez,que la maison estoit|si belle estoit le lieu appelle la maison aux cheualiers errans|et quant le souper fut prest,e desque hubieron çenado contole don yban al hermitaño la auentura quele auiniera conlas donzellas y preguntole,si estoit li lieus apeles li hermilpat eltages as errans|vuant li mangiers fu appareillies,:|e per ciò|che lla magione era
6070|6071|6072,si s asist mes sires Yvain en I|prael ou la table ert mise|Et quant il orent mengié,si menga messire yuain en ung preau ou la table estoit mise|et quant ilz eurent tout par loisir mengie:,,si sassist mesire ywains en vn praiel|COou la table iert mise|Et quant il orent mangie,si bella era il luogo chiamato il Romitaggio Errante|ME quando il mangiare fu presto tale come il produomo l avea sì s asede monsignor Yvano in un pratello ove le tavole erano messe
6073|6074|6075|6076|6077,si demanda li hermites a mon signor Yvain|qui il estoit|et de|quel part|et il dist qu il est de la meson le roi Artus,si demanda lermite a messire yuain de|quel pays il estoit|et il lui dist quil estoit de la maison au roy artus,que cosa hera,si demanda li hermtes a monseignor ywain|dont il estoit|& de|quel pais|Et il li dist|que il estoit de la maison le roy artus,si domanda il romito a monsignor Yvano chi elli era|e di qual paese|ch eli era della magion del re Artù
6078,et compainz de la Table Reonde,et compaignon de la table rende,,& compains de la table roonde,e compagno della Tavola Ritonda
6079|6080,et a non Yvain li filz le roi Urien|— Enon Deu fait il,et estoit nomme yuain filz au roy urien|En nom dieu fist lermite,,& auoit non ywains li fils au roy vrien|Enon dieu sire fait li hermites,e à nome Yvano il figliuolo del re Arien
6081|6082|6083|6084,dont sai je bien|qui vos estes|Vostre pere vi je ja maint jor|et fui moult ses acointes,donc scay ie bien|qui uous estez iay ueu autresfoiz uostre pere,si sabia ay señor,dont sai ie bien|qui : vous estes|quar iou fui ia moult acointes de uostre pere,A nome di Dio disse il romito i' so ben molto ben di lui davanti il coronamento del re Artù quand io era cavaliere errante|;
6085,quant j estoie chevaliers erranz devant le couronnement le roi Artu,et ay este bien de lui deuant le couronnement au roy artus|quant iestoye cheualier errant,,quant iou estoie cheualiers errans deuant le coronement|? le Roy artus,
6086|6087|6088,et de la Table Reonde eusse je esté compainz mes je n i vos entrer|por I|chevalier,Et de la table rende eusse ie este compaignon se ne fust ung cheualier|que ie heoye,,& de la table roonde eusse iou este compains|mais iou ne vole pour|i|cheualier,e della Tavola Ritonda n avess io stato compagno se non fusse un cavaliere
6089,qui i estoit,qui en estoit,,qui en estoit,che n era
6090|6091|6092,que je haoie de mort|si que je le mehaingnai|puis des braz,si que ie luy couppay ung des bras par quoy le roy artus me chassa de sa terre|et me desherita entierement,,que iou haoie de mort|si que ie le gaitai|tant que iou le mahaignai de lun des bras,ch io odiava|si ch ïo il magagnai del braccio per
6093|6094|6095,Et li rois Artus|quant il fu couronnez m an desherita|Mais or me dites se cil de la Table Reonde sont en tel manniere comme jes i vi jadis,Mais ie uous prie|que uous me dictes se ceulx de la table ronde y seyent en telle coustume comment ilz souloient seoir,,et li roys artus|qui moult en fu corocies men desireta|mais or me dites se cil de la table roonde sont en tel maniere comme il estoient iadis,che il re Artü quand e' fuincoronato mi cacciò di sua terra|e mi disiretò interamente|Ma per Dio tanto mi dite se que' della Tavola Ritonda segono per tal maniera come sogliono sedere
6096|6097,Et mes sire Yvain li demande conment il les vit dont|Par foi fait il ce vos dirai ge bien,et messire yuain lui demanda comment il les auoit ueu Cella uous diray ie bien fist il,,Et mesire ywain li demande comment il estoient adont|par foy fait il ce vous dirai iou bien,E monsignor Yvano li conta come li vide sedere
,,,,Lors li commence a dire en tel maniere,
,,,,Sire fait il,
6098,Quant li rois Uterpandragon soloit ses corz tenir as hautes festes,Quant le roy uterpandragon soulloit sa court tenir aux festes annuelles,,quant li Roys vterLpandragonz soloit sez cors tenir as hautes festes,sOuando il re Uterpadragone solea tenere sue corti alle gran feste
,,,,,si come a Natale
6099,et li compaingnon de la Table Reonde estoient assis au mengier li clerc de laienz,et les compaignons de la table ronde estoient assiz a table:|et les clers de leans,,& li compaignon de la table roonde estoient assis au mangier|& li clers de laiens,e compagnoni della Tavola Ritonda erano asseduti a mangiare
,,,,,e e cherici di là entro
6100,qui metoient les aventures en escrit einsi com li prodome les contoient a cui eles estoient avenues estoient,qui mettoient les auentures en escript aux cheualiers,,qui metoisenlt lez auentures en escript|ensi comme li preudomme les contoient a,che mettevano l aventure in iscritto|si come i cavalieri li contavano a cui ell erano avenute erano tanto tosto aparechiati
6101|6102,dont tuit aparillié|et aloient adont resgardant par les tables savolr s aucuns i fust assis,qui lors estoient auenues alloient regardant parmi la table rende se aucun y estoit assiz,,qui elles estoient auenues estoient adont tout appareilliet|& aloient regardant par toutes lez tables|pour sauoir saucuns y fust assis,e andavano guardando per me' la Tavola Ritonda per sapere se nullo vi fusse posto a ssedere
6103,qui n eust plaie en mi le vis :,qui ne eust playe emmy le uisaige,,qui neust plaie en mi le vis,che nonn avesse piaga per me l viso
6104,car a cel tans estoient coustumes,car en cellui temps estoit a coustume,,quar a cel tamps estoit coustume,ch a quel tempo era acostumato
6105,que nus n i aseoit s il n estoit navrez,que nul ny seoit se il nestoit naure,,que nus ni asseoit sil nestoit naures,che nullo non vi sedea se non fosse fedito
6106,Si en vi la une aventure avenir,si y ueiz une auenture aduenir,,Si y ui vne auenture auenir,
6107|6108|6109,qui moult dut estre chierement comparee|et fu a I|Noël,qui moult durement fut chier achetee|et ce fut a ung noel,,qui moult dust estre chierement comparee|Et ce fu a vn noel,che molto dee essere cara acattata ercciò fu per u Natale
6110|6111,Li rois|si tenoit sa cort a Cardueil en Gales li vaillant,que le roy tenoit sa feste a querdueil en galles,que gran mal fezistes dixo el hermitaño,si tenoit li roys sa cort a cardoele,che l re tenea sua corte a Carduel in Gaule
6112|6113,? Uterpandragon|qui plus ama povres chevaliers,et le uaillant uterpandragon le plus uaillant homme du monde,,qui moult amoit poures cheualiers,eE l valentre Uterpadragon il più gintile huomo del mondo
6114|6115,que nus Ia|et ot mandé grant gent,et qui plus ama poures cheualiers auoit mande moult grant compaignie de gens,que poresto,,e che più amò poveri cavalieri del mondo v ebe mandato molto gran gente
6116,Et quant il furent tuit assamblé,et quant ilz furent tous assiz,,,;|e quand e' furono posti a sedere
6117|6118|6119,et assis au mengier par les tables|si vindrent li clerc avant|qui de ce servoient,si uindrent auant les clers|qui de ce seruoient,que fezistes saldra dela prision mandus el jaian,Et ensi comme li clerc aloient regardant lez tables,si venono avanti' cherici|che di ciò servivano
,,que ie uous ay dit deuant,,,
6120|6121,et troverent entre les autres I|chevalier jone home preu de cors,si trouuerent entre les aultres ung ieune homme preux,,si trouerent entre lez autres cheualiers|j|iouene cheualier preudomme de cors,ch io v ò detto|si l trovarono intra'cavalieri un cavaliere giovan uomo
6122,et hardi de cuer,et hardy de corps,,& hardi de cuer,e pro' di corpo|e ardito
6123|6124,et de haut lignage|si n avoit sor lui ne plaie ne sanc,et si estoit de moult hault lignaige|mais il ne auoit sur lui ne playe ne sang,,si nauoit sor lui plaie ne sans,e si era di molto alto legnaggio ma egli non avea di sopra a llui né piaga né sangue
6125,Quant il le virent,et quant ilz le uirent,,Et quant il le virent,eE quand egli il vidono
6126,si le monstrerent as autres,si le monstrerent aux aultres,,si le moustrerent as autres,si mostrarono agli altri
6127,et cil esgarderent qu il n i devoit pas aseoir,si regarderent entre eulz quil ne y deuoit mie seoir,,Et cil dirent quil ni deuoit pas seoir,e lo sguardarono|che non vi dovea mica sedere poscia
6128,puis qu il ne portoit le signe de la Table :,puis quil ne portoit le signe de la table ronde,,puis quil ne pooit moustrer le signe de la table roonde,che non portava il segno della Tavola Ritonda
6129,si l an firent lever,si le firent leuer,,si len firent leuer,Si feciono levare
6130,et aler hors,et aller hors,que matara,& aler hors,e andare fuori
6131,Et quant li chevaliers vit ce,Et quant le cheualier uit ce,,Quant li cheualiers voit,E quando il cavaliere vide ciò
,,,,que on lot ensi mis hors del siege,
6132,si en ot moult grant duel,si en eut moult grant dueil,,si en ot moult grant duel,si n ebbe molto gran duolo
6133,si dist,et dist,,si dist,e disse
6134,que por defaute de plaie ne seroit il mie ostez une autre foiz;,que pour deffaulte de playes nen seroit il iamais oste,,que pour faute de plaie nen seroit il mie ostes vne autre fois,che per piaghe non sarebbe e' mica tratto giamai un altra fiata
6135,si ala a son ostel,et promptement sen alla en sen hostel,,Lors sen ala a son ostel,si se ne va arssuo ostello
6136,et prist ses armes,et print ses armes,,& prist sez armes,e prese sue armi
,,,,,E quand e' fu armato
6137,puis ala a la cort,puis reuit a la court,,& puis retorna en la sale,si ritorna a corte
6138,et vit une pucele,et uit une damoiselle,,& prist vne pucele,e vide una pulcella
6139|6140|6141,qui servoit devant le roi|si la prist voiant touz cels de laienz|et la mist desus le col de son destrier,qui de uin seruoit|si la print uoyant tous ceulx de leans|et la mist sur le col de son cheual,,qui deuant le roy seruoit voiant tous ceuls de laiens|& le mist sor son cheual,che servia del vino|:si lla prese veggendo tutti que di là entro ella mise sopra il collo di suo cavallo
6142,si l amporta; ne nus ne fust,si lemporta|Or estoit la coustume telle,,si lenporta ne nus ne fust,e ne la porta in tal maniera
6143|6144,si hardiz|por aventure,que nul nestoit leans tant hardy|qui pour auenture,,si hardis pour auenture,Né niuno non era tanto ardito là entro che per aventura
6145,qui avenist se del cors meismes le roi ne fust,qui auenist se du corps du roy mesmes ne fust,,qui y auenist: se del cors le roi meismes ne fust,che avenisse se del corpo del re non fosse
6146,qui se remeussent devant,se osast remuer deuant,,qui se remuast deuant,si rimovesse davanti
6147|6148|6149,que les tables fussent levees|La damoisele avoit III|freres compaingnons de la Table Reonde,que les tables fussent ostees La damoiselle auoit|iii|freres compaignons de la table ronde,,que lez tables fuissent leuees|La pucele auoit trois freres|qui tout estoient compaignon de la table roonde,che lle tavole fossono levate|cLa damigella avea tre fratelli compagnoni della Tavola Ritonda
6150,qui n atandirent mie lor sieges,qui ne attendirent pas,,qui natendirent mie,che non atesono mica
,,,,,tanto che gli altri aveono mangiato anzi
,,,,,si levarono di loro sedi
,,,,tant que li autre eussent mangiet ains se leuerent de leur sieges,
,,tant que les aultres eussent acheue leur repas ains se leuerent de leurs sieges,,,
6151,et alerent querre lor armes,et sen allerent querre leurs armes,,& alerent quesrlre lor armes,e andarono a chiedere loro armi
6152,Quant li rois vit qu il orent ce fait,et quant le roy uit quilz auoient ainsi fait,,Et quant li roys vit quil orent chou fet,Quando il re vide|ch elli avieno insi fatto
6153|6154,si les fait oster des escriz|et dist,si les fist oster hors de lescript: en disant,,si les fist oster de lescrit|& dist,si gli fece trare della scritta|e disse
6155,que jamais a la Table ne serroient tant com il vesquist,que iamais a la table ronde ne serroient tant comme il uiuroit,,que iames ne seroient a la table tant comme il uesquist,che giamai della Tavola Ritonda non sarebbono tanto com
6156,et il suirent tant celui,tou tesfoiz suyuirent ilz tant cellui,,Et il sieuirent tant celui,e vivesse
6157,qui lor suer emportoit qu il l ataindrent a l entree d unne forest;,qui leur seur emportoit quilz lattaignirent a lentree dune forest:,,qui lor seur emportoit quil lataindrent a lentree dune forest,che lor serocchia ne portava|che ll agiunsono all entrata duna foresta
6158,si li coururent sus,si lui coururent sus,,Si li corurent sus,Elli li corsono suso
6159,Et il estoit de grant prouesce,et lui|qui estoit plain de moult grande prouesce,,& il fu de grant proece,e elli erano di gran prodeza
6160,si se deffandi tant qu il les occist touz les IlI,si les occist tous troys,,& se desfendi tant quil lez ocist tous|iij,si gli uccise tutt|e tre
6161,mais il reçut tant de plaies qu il ne pot avant aler ainz chei jus pasmez ausi conme touz morz,mais il eut tant de playes|que retourner ne sen peult,,mais il rechut tant de plaies quil ne pot en auant aler ains chai de son cheual armes comme mors,PMa egli ricevette tante di piaghe|che non puote in avanti andare anzi cade immantanente giuso di sucavallo tutto ispasimato altresi come morto per lo sangue
6162|6163,por le sanc|dont il avoit trop perdu,ains cheut ius de son cheual paume ainsi comme mort pour le sang|dont il auoit tant perdu,,por le sanc quil auoit perdu,donde egli avea tanto perduto
6164,Je trespassoie par illuec armez sor mon destrier,et moy|qui passoye illec sus mon destrier,,Et iou|qui chi sui trespassoie par do illuec armes sor mon cheual,oE io passava per lo luogo tutto armato sopra mi destriere
6165|6166|6167,et venoie de Canpercorentin|et quant je vi le chevalier gesir a la terre|si alai cele part,et uenoye de quinpercorentin ie uiz le cheualier gesir sur mon chemin a la terre|si allay celle part,e metera en seruidumbre a todos los desta tierra,& men venoie de camparcorentin|Et quant iou ui le cheualier gesir a terre|si alai cele part,e venia di Queprovente|e mi studia'molto di venire per essere di giorno alla corte|e vide il cavaliere giacere alla terra|E io andai in quelle parti
6168,et le trouvai tout couvert de sanc,et le uy tout couuert de sang,,& le trouai tout couuert de sanc,e vidi tutto coperto di sangue
6169,et son cheval mort delez lui,et son cheual mort emprez lui,,& son cheual mort deles lui,e su' cavallo morto dallato a llui
6170,Quant il me vit,et quant il maperceut,,Et quant il me vit,E quand|e mi vide
6171|6172,si me requist|por Deu,si me pria,,si me requist pour dieu,si mi pregò per Dio|ch io il montassi sopra il mi' cavallo|e menassi a corte
6173,que jel montasse sor mon cheval devant moi,que le montasse derriere moy sur mon cheual,,que iou le montaisse deuant moi sor mon cheual,
6174|6175|6176,si l emportasse a la cort|et le meisse a la Table Reonde|car se je trespas illuec m ame en sera plus a aise touz les jorz dou monde,et men alasse a la court|puis le meisse deuant la table ronde pour mourir|car se ie meurs illec fist il mon ame en sera plus aise a tousiours mais,,si leny portaisse a la cort le roy|& le meisse a la table roonde : Car se iou muir fait il iluec mame en sera plus a aise a tous lez iours del monde,e menassi alla Tavola Ritonda per morire|tE|s i' muoio nel huogo diss'egli mia anima ne sarà più ad agio a tutti i giorni mai”
6177,Je fis ce qu il me conmanda,Et ie fiz ce quil me requist,,Et iou fis chou quil me commanda,Ciò fecio ciò|che me richiese
,,,,,e montai sopra mio cavallo
6178|6179,si l amportai a Cardueil|Quant Uterpandragon le vit,si lemportay a la court a cardueil|et quant le roy le uit,,si lenportai a cardoel Cuant li roys vterpandragons vit le cheualier,e portai a Caruel|E quando il re il vide
6180,et il sot la proesse qu il avoit faite,et il sceut la prouessce quil auoit faicte,,& il sot la proece|que il Oauoit faite,e egli seppe la prodeza|ch egli avea fatta sel il dono
6181,et le don qu il demandoit,et le don qu il auoit demande,,& le don quil demandoit,che domandava|si disse
6182,si dist qu il l avoit bien servi;,si dist bien|que le lieu auoit desserui,,si dist quil lauoit bien deserui,ch egli avea|si ben servito
6183|6184,si le fist mestre en J|des sieges de la Table Reonde,et le fist mettre en ung des sieges de la table ronde,,Si lassist en vn dez sieges de la table roonde,che bene el dovea avere|si l fece mettere in un de' segni della Tavola Ritonda
6185|6186,et quant li parent a cels qu il avoit occis virent le domage|que cil lor avoit fet,et quant les parens de ceulx quil auoit occiz sceurent le dommaige quil auoit fait de leurs amis ilz le uoulurent occire,,Et quant li parent a ceul quil auoit ocis virent le damage quil lor auoit fait,eE quando i parenti di colui|ch avea stato morto seppono il danaggio|che n loro avea fatto
6187|6188|6189,si le vostrent occirre|Mais li rois dist qu il les destrui broit s il metoient en lui main:|si vesqui,mais le roy dist quil les destruiroit se ilz mettoient les mains a lui pour lui mal faire|si nen firent plus semblant,e non abra otro señor sino el y yo vos dire en Como|ansi fue,si le voldrent ocirre|mais li roys dist quil lez destruiroit tous sil metoient en lui main|Si uesqui,si l vollono uccidere ma el re loro disse|che lli distruggerebbe s elli mettessono mano a llui per lui male fare
6190|6191,puis li chevaliers Il|jorz,puis uesquit le cheualier troys iours,,puis li cheualiers|ij|iors,e que no ne feciono più|wEsi visse poscia il cavaiere tre giorni
6192,et devia a la Table Reonde,et mourut au siege de la table ronde quil auoit conquis en icelle auenture,,& demi a la table roonde,e mori nel segno della Tavola Ritonda
6193,Et cele aventure an vi ge avenir,Comment ie uous dy en ueiz ie ainsi aduenir,,Et cele auenture en vi iou auenir,ch egli avea conquiso
6194,et por ce fait li hermites demande je se cil tenoient mes ceste coustume,et pour ce uous demande ie sil uous plaist|que uous me dictes se le roy tient encores celle coustume,,Et pour ce demandoie iou|sil tenoit mes ceste costume,e perciò vo domand io se l re tiene tale costume d allora in quas
