a	b	c	d	e
5198	qui ceste part viens	Os tu cheualiers qu par fejeste part viens pour auenture trouuer	que dezian	che n queste parti vieni per aventure trovare	
5199	por aventure trover se tu ne vels morir n entrer mie en ceste forest	se tu ne veuls morir|si nentres mie en ceste forest		se ttu non vuogli morire|non intrare mica in questa foresta	
5200|5201	car tu n am porroies eschaper sanz mort ou sanz honte|Li escuiers lut cels lestres	quar tu nen porroies escaper sans mort ou sans honte|Et li escuiers dist a lancelot	oyes tu Cauallero andante	ché ttu no ne potrai scampare sanza morte|e sanza onta|MLo scudiere legge le lettere	
5202	et dist a Lancelot: Sire entandez vos bien ce	Sire entendes vous		e si disse a Lancelotto|Sire	
5203|5204|5205|5206|5207|5208|5209	que cels lestres vuelent dire|? — Oil fait il|—|Dont sai je bien|fait cil|que vos n iroiz en avant|car cil bries le desfant	que ces lettres dient|oil fait il|Dont sai iou bien fait li ualles|que vous nirois en auant|quar cils bries le vous desfent	que buscas las auenturas|si tu no quieres tu muerte o tu desonrra guarda	intendete voi schel queste lettere vogliono dire|? Se voi il sapete|dunque so io bene|che vo' non v andreste mica in avanti|ché questo brieve il difende	qui demain se fera pres dicy|si la emprins mõ pe re le roy bademagus cõtre le roy de norgalles
5210|5211|5212	—|Et tu ou iras|? fait Lanceloz	Et ou iras tu fet lancelot		— E te n andra' tu|disse Lancelotto	puis demãde a lan
5213|5214|5215	— Sire dusqu a chastel|qui est outre ceste forest|—	Qire fet il iou irai outre ceste forest a vn chastel	que no entres enesta floresta	per questo camino in avanti|? — Oil	
5216|5217|5218	Dont iras tu par cest chemin fait Lanceloz|car il n i a autre voie|— Voire fait il	Dont iras tu chest chemin Xy fait lancelot|quar il ni a autre voie|voire fet cil	Ca te non podras ende partir sinvna destas dos Cosas y el estando	disse l valletto	
5219	car il le me covient a faire	quar il le me conuient faire		el mi convien fare	
5220	— Or va seurement fait Lanceloz	Or va seurement fait lancelot		— Or va'|disse Lancelotto	
				sicuramente	
5221	car je te suirai	quar iou te sieurrai		ch i' ti seguirõ	
5222|5223	— Ha sire|por Deu fait li vallez n i venez mie	ha : sire fet li ualles pour dieu ni uenes mie		— Ail|sir|per Dio|disse l valletto	
				non ci venite mica	
5224	car certes ce seroit trop aperte folie !	quar che seroit trop aperte folie		ché certo ciò sarebbe troppa aperta follia	
5225|5226	Dont ne veez vos|que cels lestres dient	Dont ne vees vous quil a en ces lettres		Dunque non vedete voi|che questo brieve dice	
5227	? —				
5228	Por cels lestres fait Lanceloz ne plus ne mains	pour lez lettres fait lancelot ne plus ne mains		disse Lancelotto|né più né meno	
5229	car je ne lairoie en nule maniere	quar iou nel lairoie en nulle maniere		ch i' non lascerei i'nulla maniera	
5230	que je n i alasse	que iou ni alaisse		ch i' non v andasse	
5231	Lors resgarde vers destre	Lors regarde uers destre		Allor riguarda Lancelotto sopra a destra	
5232|5233	et voit l ermite|qui avoit ouvert l uis de sa chapele	& uoit lermite|qui auoit ouuert luis de la capele	ansi oyo abrir la puerta dela Capilla y al hermitaño	e vide il romito|ch avea aperto l uscio della cappella	
5234|5235|5236	qui voloit chanter vespres|Il vait cele part|si le salue	& voloit canter uespres|& il slen vait cele part|& le salue	que queria dezir visperas y fuese parael y saluolo y el ael y preguntole el hermitaño	e voleva cantare vespro|E elli va in quelle parti	
5237	et li prodom li rant son salu	Et li preudoms li rent son salut		e saluta il produomo|e egli li rende saluto	
5238|5239|5240	et li demande|qui il est|et il dist qu il est chevaliers erranz	si li demande|qui il est|et il li dist quil est vns cheualiers errans	que quien hera y el le dixo	e lli domanda chi elli è|ed|e li dice|ch egli è un cavaliere errante	si le uerra|Ouy uoir fait il se ie puys
5241|5242|5243|5244|5245|5246|5247|5248	Et que alez vos querant||Et il dist qu il vait querant J|suen cousin|qui a non Lyonnel|«|Et comment avez vos non|? fait li hermites	Et que ales vous querant fait li hermites|Iou vois querant fait lancelot|¡|mien cousin|qui a a non Iyonel|Et comment aues vous non fait li hermites	que don lanzarote de lago y|que andaua en busca devn su primo	NaE|che andate vo' chegendo|?|diss egli|Ed e' li dice|ch egli chiede un suo cugino|ch à nome Lyon|E come avete vo nome|?|disse il romito	Donc uous uuldioie ie biẽ prier|que uoꝰ aĩdissies aux noz|Et il dist q̃|si fera il uoulẽtiers
				— Sire	
				diss egli	
5249|5250	— Sire l an m apele Lanceloz del Lac|— En non Dieu fait il de vos ai je oi parler autre foiz	Sire fet il iai a non lancelot del lac|LNon dieu fet li hermites de vous ai iou oi autre fois parler	que hauia nombre leonel y dixo el hermitaño vos sodes buen Cauallero yo vos aConsejaria	l uomo m apella Lancelotto de Lac|—Al nome di Dio|disse il romito|di voi ò udito altra fiata parlare	
5251|5252|5253	Vos estes li mieldres chevaliers del monde a tesmoing de maintes genz:|si seroit granz domages se vos vos metiez en leu|dont vos ne poissiez issir	vous estes fait il li mieldres cheualiers del monde al tesmoing de maintes gens|Si seroit moult grans damages se vous vous meties en lieu|dont vous ne peussies issir		: vo'siete il miglior cavaliere del mondo al testimone di molte genti|si sarebbe gran danaggio se vo' vo metesti in luogo dove non potesti uscire	Gire fist elle cent mille mercis Oi scap ie bien q̃ le roy de norgalles ꝑ perdra le tout
5254|5255	car trop de gent i perdroient|et por ce vos lo je	quar trop de gent y perdroient|Et pour chou vous loe iou		ché troppo di gente vi morebbono	et mon pere en aura lonneur
5256|5257	que vos retorniez tout le chemin|que vos estes venuz	que vous retornes tout le chefs almin|que vous estes venus	que vos tornasedes pordonde venistes y	|che vo' ritornasti tutto il camino|donde vo siete venuto	
5258|5259|5260	car en la voie de ceste forest ne voi je en nule manniere|que vos en issisiez a :|car puis Il	quar iou ne vous loeroie en nulle maniere|que vous en ceste forest vous meissies|quar puis	que no entredes enesta floresta perdida	ché nella via di questa foresta non vorei|che vo metteste||da due anni in qua	Et ie uoꝰ prie
5261|5262	anz an an ça i sont bien Il|cens chevalier entré	ij|ans en ens cha y sont entre plus de|ii|cheualier		vi sono ben dugento cavalieri andati	que demoures hupmes auecques moy
				che tutti mi giurano al dipartire	
5263	qui tuit me creanterent au departir que se Diex lor donnoit eschaper de mort qu il revandroient ci raconter ce qu il trouveroient ne onques	que tout me creanterent a lentrer|que se diex lor donnast escaper sans essoingne de prison ou de mort quil reuendroient par chi		che se ldio ne lor donasse a scampare sanza morte|che ritornerebbono qui a racontare a me ciò	
				ch egli troverebbono	
		por aconter moi ce quil y auroient troue:			
5264|5265	puis nus n an revint|et por ce sai je bien qu il sont tuit mort	mais nus de tous ceuls|qui entre y sont nen reuint onques|Et por ce sai iou bien quil sont tout mort		né unque poscia no rivenono||che sono tutti morti	et puys demain nous mouuerõs pour aller au tournoiement
5266	Por ce vos di je bien sire	Et pour ce vous pri iou iou biaus sire		; perciò vo dico	
5267	que vos estes orandroit comme pilers de chevalerie	qui estes orendroit comme pilers de cheualerie		bel sire	
5268|5269	si vos di|que vos n i entrez	que vous ni entres mie	que nunca entro y cauallero	e vo f priego|che vo non v entriate	
5270	car je sai bien	quar iou sai bien		ch iso bene	
5271	que ja n en istrez	que iamais nen isteries	que jamas tornase	che già non uscirete	
5272	— Or me dites fait Lanceloz de cels lestres	Ot me dites fait lancelot|et ces lettres		— Il Or mi dite|disse Lancelotto	
5273|5274|5275|5276	qui la sont|et certes savez vos|qui les fist|— Certes fait il nenil	qui chi sont escriptes|saues vous|qui lez escript|Certes fait il nenil		di queste lettere sapete vo' chi lle fece|? —Certo|diss egli	et aussile dehues uous faire|Car se orendroit uoꝰ en mouues uous ne trou ueres meshup
5277|5278|5279	—|Et i ont eles longuement esté|? — Ofl fait li prodom plus de	Et y ont elles este longement fet lancelot|Oil fait li preudoms plus de	ca de dos años aCa son entrados enella	no|— E v ànno elle|si lungamente state|?|disse Lancelotto	si bon hostel qͥ soit pres du tour noiement
5280|5281	VI|anz	vi|ans		— S oil|sire	Et sachies
5282	— Or vos comment a Dieu fait Lanceloz	Or vous commanc iou a dieu fait lancelot		disse il produomo	
5283	quar trop ai demoré ici	quar trop ai yci demore		piui di sei anni	
5284|5285|5286|5287|5288	—|Et ne feroiz vos mie fait li prodom ce|que je vos di|que vos lessiez la voie de la forest|? — Nenil voir fait Lanceloz	Et ne feres vous mie fait li preudom ce|que ie vous di|que voz laissies la uoie de ceste forest par dieu fait il ia	mas de çient Caualleros y me juraron	— Or v acomand io sa Diol|disse Lancelotto	que uous seres tresbien seruiz
5289|5290|5291	Ja|por chose|que g i voie ne la lairai a passer	por cose|que iou voie encore|ne le lairai		ché già per cosa|ch i' vega non vi lascere io a passare	⁊ aisez de toutes les choses q̃ len pourra
5292	quar trop seroit grant recreandise se ja avoie paor devant	quar ce seroit trop grant recreandise|que iou en isse		ché troppo sarebbe gran codardigia s i avessi paura anzi	
5293	que je veisse le porquoi — Or vos dirai fait li hermites	por paour deuant|que iou sache pourcoi Or vous dirai fait li hermites		ch i' udissi il perché|— Or vo dirò io	Et il dist quil y demourra
				disse il romito	
5294|5295	que vos i eroiz|puis qu il est ainsi	que vous feres|puis quil est ensi	que si dios les guardase de muerte o de prision	che vo farete|poscia|ch egli è insi	puis quil le ueult
5296	que vos ne retornerez mie	que vous ne voles retorner	que me vendrian a ver	che vo' non ritorneresti mica	
5297	Remanez huimais ceanz	vous remandres anuit|mais chaiens		: rimanete oggimai qua entro poscia	
5298	por ce qu il est pres de nuit	por ce quil est pres de nuit		ch egli è presso di notte|	
5299|5300|5301|5302	et c est li mielz|que g i voie a vostre oes|car se vos orandroit vos metez en ceste forest|qui est grant	quar se vous orendroit vous meties en ceste forest|qui est grans	e que me contarian lo|que ay fallasen	ch io ne vega a vostro huopo|ché se voi oraindiritto vi mettete in questa foresta	Si se fait desarmer maĩtenant:
5303|5304	et espesse il vos anuitera par aventure avant|que vos soiez II	& espesse|& il vous anuitera par auenture aincois|que vous soies ales|ij	mas nunca torno ninguno dellos y porende entiendo		⁊ elle treuue ung uarlet
5305	liues alé :	lieues			
5306|5307	si vos couvendra gesir souz l|arbre ou a la terre nue	Si vous conuendra gesir desous vn arbre a la terre nue	que son todos muertos o presos	elli vi converà giacere di sotto uno albero alla terra	si lui dit Mas ten droit au cha¬ steau de la harpe ou tu trouueras le roy bade¬ magus mon pere
5308|5309	?|si n avrez	Si naures	e porende vos	si nonn aresti	⁊ lui dis
5310|5311	que mangier ne voz chevax|Mais ceanz gerrez vos a aise	que mangier ne vous ne vostre chesulaus	que sodes espejo de toda la Caualleria no querria	che mangiare né voi né vostro cavallo|; ma qua entro giacerete voi ad agio	
5312|5313	et avrez a mengier|et vostre cheval fain	qui aura asses auaine|& fain se vous demores ci	que ay fuesedes	e arete assai a man giare|e vostro cavallo altresi fieno	
5314	et avainne	Et cils ualles	que creo	e avena	
5315|5316|5317|5318	et li vallez sera a repos|dont il n avroit|mais hui point|—	qui auec vous est sera a repos|dont il naura hui mes point se vous vous en ales	que nunca tornauades agora le dixo lançarote sauedes quien puso aqui estas letras no dixo el y sauedes|quanto a	e l valletto sarà in riposo|donde non arebbe oggimai punto|— Poscia	
5319|5320|5321|5322|5323	Puis qu il vos plaist fait Lanceloz|que je remaingne je remaindrai|et si est il J|poi trop tost|Lors descent	Ikel Duis quil vous plaist ce dist lancelot au preudome iou remandrai|Et si T est il|j|poi trop tost|Lors descent de son cheual	que esta aqui|mas a de seis años dixo el hermitaño pues agora vos enComiendo a dios dixo al hermitaño	che voi piace|disse Lancelotto|i' rimarò|e si è egli un poco troppo tosto|eAllor discende Lancelotto	que iap ceans mon seigneur lancelot du lac
5324|5325	et cil li tient l estrier|et li dist qu il remaingne huimais o lui	et li ualles li tint lestrier|Et lancelot li dist quil remaigne o lui	que por miedo de vanas palabras de letras no dexare de entrar enla perdida floresta entonçes le dixo el hermitaño Pues señor eso queredes fazer ya es noche	e l valletto li tiene la staffa|ed e' li dice|che rimanga ogimai con esso lui	qui lui doit aider au sfournoiement
5326|5327	et je te di loiaument fait il|que je te ferai compaingnie demain a trespasser la forest	& quil li fera lendemain re compaignie a passer la forest	para entrar la floresta	e i' ti dico lialmente|diss egli al valletto|ch i' ti farò domani compagnia al trapassar della foresta	
5328|5329	Et cil remaint|qui voit bien qu il ne porroit pas mielz faire	Et cil remest|qui bien set quil ne porroit miex faire	que es muy grande y esquiba y no fallaredes	E l valletto rimane|che ben vide|che non potrebbe meglio fare	⁊ quil le ulegne ueoir hastiueꝰ ment sil peut E uarlet se part de la dame
5330	Cele nuit fu Lanceloz serviz	Cele nuit fu lancelot aaisies		Quella notte fu Lancelotto servito	
5331	et aaisiez de quanque li prodom i pot	& seruis de quamque li preudoms pot		e onorato di quanto	
5332|5333|5334|5335	car il anvoia|? son clerc pres d iluec a J|chastel|por achater poison	quar il envoia son clerc a vn chastel|qui estoit pres diluec pour achater poissson	do aluergar|mas quedad aqui esta noche y seredes bien aluergado mucho me plaze dixo don lançarote y luego descaualgo y tomole el cauallo vn escudero|que conel venia	che l romito puote avere|ch egli mandò suo cherico a un castello presso del luogo per acattare de pegioni	
5336|5337	si come au jor del vandredi;|si mangierent a grant planté	Car ce dist li contes il estoit uendredis|Si mangierent a grant plente	que fallara enel camino y ayudole a desarmar y pensole el Cauallo	si come in di di ve nelrdi conviene|si ebbono a mangiare a gran quantità|	⁊ uũt au roy hademagus
5338	Aprés souper demanda Lanceloz au prodome conment la forest avoit non	Apres souper demanda lancelos au preudomme comment la forest auoit non	e despues çenaron alli aquella noche y fueron bien seruidos el y el escudero y pregunto don lançarote	Sire|diss egli	
5339	Sire fait il la gent de cest païs l'apelent la Forest Perdue	Sire fait il la gent de cest pais lapelent la forest perdue	como hauia nombre aquella floresta y dixo el hermitaño|que la dezian la floresta perdida	gli uomini di questo paese la chiamano la foresta Perduta	
5340	car il n i a nul	quar il nest nus	porque nunca torna	ché non è nullo	si lui dit ce
5341	qui de l estre de laienz puisse savoir ainz est	qui de lestre de laiens puist riens sauoir|ains est	el que porella va y dixo don lançarote ya dios no me ayude	che dell essere di là entro possa sapere|	
5342	si perdu quanqu il i entre	si perdus cils|qui y entre con ne set	si porella non vo	è perduto quanto v entra	
5343|5344|5345	que l an n an set plus ne vent ne voie|— Par foi fait Lanceloz ce est merveille|que nus n an revient il m est avis	puis de lui ne vent ne voie Par foy fait lancelot|cest grant merueille|quant nus nen reuient|si mest auis	por sauer|como fincan ay todos los otros	si che l uomo no ne sa più né casmlpo né via|—Per fé|disse Lancelotto|ciò è maraviglia|che nullo no ne riviene|; egli m è aviso	que sa fil le lui mande|Et quant il ot les nouuelles de lanceloi du lac il est
5346	que ce est la Voie sanz Retor	que cest la uoie sans retor	que porella van o fincare yo ay conellos Como don lanzarote enContro la donzella yendo porla floresta|Ansi aluergo don lançarote aquella noche en Casa del hermitaño	che ciò è la Via Sanza Ritorno	
5347|5348	et ja Diex ne m aïst se je le laissoie|por riens	Et ia diex ne mait se iou laisseroie pour riens	e otro dia demañana leuantose	né già Dio non m aiuti s io lasciassi per nulla	
5349|5350	que je n i alasse|et que je ne sache ou il remaingnent tuit	que iou ni alaisse a&|que ie ne sace ou il remaignent tot	e oyo misa y despues armose y subio ensu Cauallo	ch io non v andassi|ch io non sappia ove rimangono tutti	
5351	— Or vos en consaut Diex fait li prodom	Or vous en consaut diex fet li preudoms	e despidiose del hermitaño y metiose porla floresta y el escudero conel y finco el hermitaño Rogando a dios porel quelo guardase de mal|e yendo	—eOr vo n aiuti lddio|disse il produomo	
				ché se m aiuti ldio	
5352|5353|5354	car si m aïst Diex onques mes nus n i ala|dont je eusse|si grant paor com j ai de vos	quar si mait diex onques|mais nus ni ala de cui iou eusse aussi grant paour comme iai de vous Nsi fu lancelot aaisies en lermitage du prodome	ansi porla floresta fazia muy gran calentura	unque mai niuno non v andò dond io avessi|si gran paura com io ô di vois	si ioeux quil ne scait
5355	Cele nuit fu Lanceloz au plus a aise			l vQuella notte fu Lancelotto il più ad agio	
5356	que li prodons pot	& honores de quanque il pot		che l produomo puote	que dire
5357|5358	et au matin|quant il fu levez li chanta la messe del Saint Esperit	Et au matin|quant il fu leues il oy messe del saint esperit		Al mattino|quand|e fu levato|si cantò il romito messa del Sancto Spirito	Ei pense quil le iraueoir au plus celee¬ ment quil pourra par auanture ne uoul droit pas lancelot quil feust congneu au tournoie
5359|5360	puis s arma|et quant il fu armez	que li preudoms li canta|Et quant elle fu dite|si sarma	e tirose el yelmo don lanzarote	; poscia|si s armò|e quand|e fu montato	menent
5361	si conmande le prodome a Dieu	et commanda le preudomme a dieu		si comanda il produ omo a Dio	
5362|5363	Et quant il l an voit aler|si prie a Nostre Seingnor	Et li hermites prie a nostre seignor quilj le maint a sauuete		E quando il romito ne l vide andare|si priega Nostro Signore	
5364	que le ramaint a sauveté			che llo rimenasse assalvamento	
5365	Et il se met en la forest	Et lancelot se met en la forest			
5366	et li escuiers avec li	et li ualles auec lui		e llo scudiere con esso lui	
5367|5368	et Lanceloz li demanda a cui il est|Au roi Pellés de la Terre Forainne	Si li demande lancelot a|qui il est|Et il dist quil est au roy pelles de la terre foraine	e diolo asu escudero y preguntole Cuyo hera señor dixo el del Rey peles dela tierra forana y ymbiame al duque de Rochel con su mandado y ellos enesta fabla encontraron convna donzella	e Lancelotto li domanda a cui egli è|ed egli dice|ch egli è al re Pelles della Terra Forana	Il esleut quatre de ses plus priuez a
5369|5370	qui l anvoie au duc d Oc en message|Einsinc ont chevauchié dusqu aprés prime par mi l ombre del bois tant qu il encontrent L	qui lenvoie au duc de rohes en message Ensi onts cheualchie iusques a prime parmi lombre		che l mandò al duca in mesaggio|olnsi cavalcarono insin qua a terza per me l ombra del bosco tanto	
5371	damoisele	Lors ont encontre vne damoisele		ch egli incontrarono una damigella	mis
5372|5373|5374|5375|5376	qui portoit I|brachet entre ses braz|Et Lanceloz avoit osté son hiaume|por le chaut|qui ert levez	qui portoit|j|braket entre sez bras|& lancelot auoit oste son heaume pour le caut|qui ia ert leues	que ve nia a pie y traia vn padron enlos braços y don lançarote la saluo y ella no ael anteslo cato vna gran pieza y estubolo mirando|como hera tan fermoso	che portava un brachetto intra sue braccia|PtE Lancelotto avea tratto suo elmo per lo caldo|ch era levato	⁊ leur dit Geigneurs il conuient|que uiẽ gniez auecques moy iusques aune abbaie
5377	si avoit son viaire descouvert; il salue la damoisele	siauoit son viaire descouuert|& salue la damoisele		si avea suo viso discoperto|;	
5378	quant il l aproche			e elli saluta la damigella quand e' l apressima	qui cy pres est
5379	et ele ne dist mot ainz le resgarde	Et elle ne li dist mot|Car elle le vit	e don lançarote le dixo donzella	e ella non gli disse motto|anzi il risguarda	
5380|5381|5382	quar tant li sambe biaux qu ele an devient toute esbahie|si s areste|por lui mielz veoir	si bel|que elle en fu toute esbahie|Si sarreste pour lui veoir	que Vos paresçe pordios señor paresçeme muy gran daño en se perder tan fermoso Cauallero en yr buscar su muerte	ché tanto le sembia bello|ch ella ne divenne tutta isbigottita|Si s aresta per lui meglio vedere ed	
5383|5384	et il s an merveille|por quoi ele le resgarde einsi	Et il sesmerueille porcoi elle le regarde ensi	e su desonrra	e si maraviglia molto perché ella l risguarda insi	⁊ ilz dient|que ce feront il z uoulen¬ tiers
5385|5386	si li dist Damoisele|que vos en samble	Si li dist damoisele|que vous en samble	ansi como fazedes vos	si lle disse|: Damigella|che vo sembia	Si montent acheual
5387|5388|5389|5390|5391	? — Certes sire fait ele il me samble|que ce est granz domages|quant I|si biaux cors d ome vait a sa mort|et a sa honte:	Certes sire fait elle il me samble damages|quant si biaus cors domme comme vous estes vait a sa mort	por buena fee mucho deuia ser dios Culpado envos fazer aCa venir|ca en|mas peligroso lugar non vos podia el meter donzella dixo don lançarote desto non vos yncal	? —Certo|sire|che cciò è troppo gran danaggio quando|si bel corpo d uomo va a ssua morte|e a ssua onta	et quant ilz furẽt hors du chasteau le roy les appella ⁊leur dit Meigneurs ie uous maine ueoir le meilleur cheualier du monde:|⁊ qui en soy a toutes les uertus|que corps de homme peut auoir
				diss ella	
				e' mi sembia	
5392|5393	si m est|? avis	si mest auis	que de	“sSi me n è aviso	pour quoy il doit estreloe
5394|5395	que molt en fait Diex a blasmer|quant il ceste part vos a conduit	que moult en fait diex a blasmer|quant il vous ceste parte a amene	quanto vos Cuidades no abremos y ni punto	che molto ne fa lddio a biasimare|quando elli in queste parti vo à condotto	car il est le plus beau che ualier du monde
5396|5397	car em plus perilleux leu ne poissiez vos pas aler|— Or ne vos esmaiez fait il damoisele touz li maux	Car en plus perilleus lieu ne peussies vous pas aler|Or ne vous esmaies fait il ma damoisele tous les maus	ansi lo mande dios dixo ella	ché in più periglioso luogo non vo puote elli fare andare||diss elli|ché tutto il male	⁊ en soy a plus proesse qͥl na encores en homme mortel
5398	que vos pensez ne nos avandra Diex l otroit fait ele	que vous penses ne nous auendront mie se dieu plaist|Diex le vous otroit fait elle		che vo' pensate no no verrà passo	Ne de sa ualeur ne pourroit nul autre estre
5399|5400|5401	car si Paej se Deu plest|m aïst Diex je le voldroie bien|Si s em part atant li uns de l autre	Car|si mait diex fait elle iou uoldroie|que vous eussies moult donor|& que moult de bien vous auenist ors sen partent li vns de lautre	ca si dios me salue mucho me plazeria ende entonzes se partio la donzella del y fuese su Carrera Como don lançarote Vio los Caualleeros	se Dio piace|— Dio il consenta|diss ella ché se m aiuti ldio|i' nol vorei micas|Si si parte atanto l uno d altro	car cest le meilleur cheualier|⁊ le plus desire
5402|5403|5404|5405	Quant il sont J|poi esloingnié|si dist li vallez a Lancelot Sire|por Deu	Et quant il sont|i|poi eslongie|li ualles li dist sire pour dieu	E las donzellas danzar y entro enla danza Despues quela donzella se partio de don lanzarote dixo el escudero abed duelo devos	Quando sono un poco islungati|si disse il valletto a Lancelotto|	qui oncques feust|Que uous diroie ie plus: nul ne pourroit tãt dire de lui quil nen y aĩt cẽt foĩs plus
5406	car creez conseil	quar crees consel		c or crede buon consiglio	
5407	et aiez pitié de vos meesmes	et aies pitsije de vous meismes		e abiate pietà di vo' medesimo	
5408|5409|5410|5411	et retornez|N avez vos oi|que cele damoisele|qui onques mes ne vos vit est couroucie de vos	Si retornes|En aues vous oi ce|que celle damoisele a dit	pues quelos estraños loan y non vedes aquella donzella	e ritornate|! Non avete vo udito questa damigella|ch unque mai non vo vide|e si è	et scap bien|que oncq̃s dieu ne le fist fors pource quir feust mirent aux autres cheualiers
				si crucciata di voi	
5412|5413|5414	et a vos a dit|que vos alez a mort|? Malement em pesera or a cels	que vous ales a uostre mort|Malement en pesera ore a ceuls		e vo disse|che voi andate a vostra morte|? Malamente ne peserà a quelli	Par ma fop font ilz uous dictes merueilles
5415|5416|5417|5418	qui vos connoissent|quant a cels|qui onques|mais ne vos virent em poise	qui vous connoissent|& qui vous sont carnel ami :|quant a ceuls|qui onques|mais ne vous virent ls sos en poise	que vos nunca vio|quanto duelo a de vos puesque faran los	che or vo conoscono|quando a coloro|ch unque ma non vo vidono ne pesa	⁊ sil est tel cõment uous dictes len deuroit bien aller cẽt lieues de terre pour le ueoir|Par ma fop fait le rop|si a len fait maĩtesfois
					car iap ueu faize une q̃ste pour lui ou il y auoit bien xlu
					cheua liers
					qui le quistrent ung an ẽtier pour le uir
					⁊ np eust nul de eulx
					qui le ueist a ceste fois
					Machez qͥlz allerent psus de mille lieues
					⁊ si ne le tronnerẽt pas
					Ant ont alle quilz uindient a labbaie ou lancelot estoit:
					⁊ le uarlet uint auãt
				ePer Dio	
5419|5420|5421|5422|5423	Por Deu retornez tant com vos en avez le loisir|et je|por l amor de vos retornerai|por vos faire compaingnie|tant que vos soiez fors de la forest	& fait trop grant mal Pour dieu retornes tant comme vous en aues loisir|& iou retornerai pour lamour de vous|tant que vous seres hors de la forest	que vos conozen y pormi consejo vos tornariades mientras tenedes tiempo	sire|ritornate tanto come vo n avete il lecere|e io per l amore di voi ritornerò per voi fare compagnia|tanto che voi siate fuori della foresta	qui dit a la damoiselle|Same monseigneur leropestyenu|Et celle ua encentre lui|sile Partie
5424	Et il dist qu il nel feroit en nule manniere mes test s an ;	Et il dist|que ce ne feroit il en nulle maniere		Ed e' dice|che nol farebbe i'nulla maniera	
				ma ataci teb	
		mais taisent ent			
5425|5426	et il dist qu il n em parlera jamais|puis que ses cuers i est atornez	Et li ualles dist quil nen parlera iamais|puis quil voit|que il li desplaist|& que sez cuers y est atornes	que despues non podredes aunque querades Callad	Ed e' dice|che non ne lli parlerà giamai|poscia|che suo cuore n è|si atornato	
5427|5428|5429|5430	Si ont tant alé qu il vindrent en J|molt bele praerie devant J|tor ou il avoit tandu dusqu a XXX|pavillons les plus biax	Si ont tant ale quil vienent en vne trop bele praerie|qui estoit deuant vne tour|et y auoit tendus iusques a trente paueillons lez plus biaus		l|Si ànno tanto andato|ch elli vengono in una molto bella prateria davanti una molto bella torre ov egli avea tesi insino a venti padiglioni	
5431	et les plus riches	et lez plus riches	que non lo faria	e più ricchi	
5432	que Lanceloz eust onques mes veu a son esciant	que lancelot eust onques|mais ueu a son escient		che Lancelotto avesse unque mai veduti a suo sciente	
5433|5434	An mi les pavillons avoit III|granz pins parcreuz	Et en mi lez paueillons auoit|iiij|grans pins			
5435	et estoit li uns contre l autre autresi comme a la reonde	et estoit li vns contre lautre comme a la reonde		: era l uno incontro a l altro|tutti alla ritonda	
5436	et en mi leu avoit une chaiere d yvoire couverte d un vermeil samit	Et el mi lieu auoit vne caiere couuerte de samit uermeil		e nel miluogo avea una caiera di vivorio coverta d un vermiglio isciamito|e di susso lo sciamito atutto guarito a mio scientes	
				'Allor salta avanti il nano	
				e disse a monsignor Yvano	
				Tanto sappiate vo' di Lancelotto	
				ch egli è sano	
		si estoit la caiere dyuoire			
5437|5438	et desus le samit avoit J|couronne d or granz	Et dessus le samit auoit vne coronne dor grant		e atato|né non à passo|che fu fedito davanti il castello della Caretta de cavalieri di Gora|e de li uomini del re di Norgales	
				:	
				v	
				giorni	
				ch io il vidi a un torniamento	
5439	et pesanz	& pesant		e l fece	
5440|5441	Tout entor les pins avoit chevaliers|et dames	Et tout entour lez pins auoit cheualiers|& dames	por todo el señorio dela gran bretaña entonze Callo el escudero quele non dixo	si bene a quella asembiata|ch elli vinse tutto interamente|e ne portò il pregio d una parte|e d altra	
				; 'e per ciò	
				che vo' mi crediate meglio	
5442	si estoient li un des chevalier armé	si estoit li vns armes		vo dich io|ch elli portò armi bianche	
5443	et li autre desarmé	& li autres desarmes		e uno scudo bianco	
				e aiutò al re Bando di Maguzo di Gora	
				si che tutti que di Norgales furono vinti	
				— l A nome di Dio	
				disse monsignor Yvano	
				tu ne di'	
				si buone insegne	
				che l uomo ti dee ben credere	
				:	
				si mmi potre ben ritenere quando me piacerà	
5444	et queroloient tiex i avoit les hiaumes laciez ausi com se ce fust fermaille	et caroloient teuls y auoit|qui auoient lez heaumes lacies autresi comme se ce fust fremaille		ch elli m è bene aviso|ch io ho ben mia chesta a fine menata	
				poscia	
				ch i'n ô verace novelle udite	
				— Già non potrete voi	
5445	et tiex i avoit	Et teuls y auoit		disse il nano	
				ritornare a corte sanza vostri altri compagnoni	
				poscia	
5446	qui queroloient en cotes	qui caroloient en cotes		che vo moveste insieme|—	
				Si posso bene	
				disse monsignor Yvanos	
				S	
				— Or mi di'	
				nano	
				disse Boordo	
				della corte sa' tu nulle novelle	
5447	et en mantiaux	& en mantiaus		|disse il nano	
				Il re Artù à fatto mandare per tutta sua terra	
				ch elli farà fedire un torniamento nel prato di sotto Kamalot a l otava della Madalena	
				:	
				si à mandati tutti suoi messaggi a' baroni di questo paese	
				per ciò	
				che vi sieno	
					
				ch i' posso conoscere	
				che vi vadano	
				ché tutto il mondo vi sarà	
5448|5449	et tenoient damoiseles par les mains|et tiex en avoit i	& tenoient damoiseles par lez mains|Et teuls y ot	mas y ellos andubieron tanto	— Dio doni|disse Boordo|ch io abia intra qui	prent pat la main
