	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
1011|1012|1013	et le fist descendre a fine force a |et dist: « |Par Sainte Crois. vos ne m’eschaperois mie ensi. » 	et le fist descendre a fine force. |et li dist. |Par foi sire cheualiers |ainsi ne meschaperes uos mie. 	et li dist par sainte crois sire cheualiers vous ne mescaperes mie ensi. 	et le fist descendre a fine force |et luy dist |par saincte croix sire cheualier uous ne meschaperez pas ainsi. 	et le fist demourer a forche/ |et luy dist. Tresdoulx cheualier uous ne me eschapperes pas ainsy. 	e lo fiço decender a fina fuerça |e dixole Por sancta cruz don cauallero vos no me escaparedes ansi 	forza, |e gli disse: Per santa croce, sire |cavaliere, vo non mi scamperete mica insib. l 
1014	Lors le commande a desarmer et vaslet saillent avant 	et lors li comande a desarmer. |et uarles saillent 	Si llele fist descendre et desarmer 	Lors le commande a desamer. 	Lors commande |quil soit desarme. 	e luego lo mando desarmar e los escuderos 	MAllor comanda|que di là entro 
					Et uarletz saillent 		
1015	por fere son commandement a; 	por faire son coumandement. 	et tantost 	et uarletz saillent pour faire son commandement |Et tantost 	pour faire son commandement et tantost 	que y estauan fizieron luego su mandado 	ch’elli il |disarmassono, 
1016|1017	et tantost com il ot son hialme osté |et ele le conut, 	et tantost comme il a oste son hiamre ele le quenoit. 	comme il fu desarmes le connut elle et le corut acoler 	quil a oste son heaume elle le cognoist. 	quil eust son heaulme oste |si le cengneust bien 	e luego quele tiraron el yelmo la donzella corrio ael 	e' valletti salgono avanti per fare suo |comandamento. |eE tantosto com’egli à suo elmo trat- to, il cognosce la 
							damigella, 
1018|1019	si li cort les bras tendus |et le volt baisier en la boche, 	Si li cort les bras tandus |et le uet baisier a force en la boche. 	et baisier le volt elle 	si luy coure les braz tenduz |et le uoult baiser en la bouche. 	si luy sault les bras tenduz |et le uouloit baisier en la bouche 	e echole los braços al cuello 	si gli corre le braccia tendute |e l volea basciare nella |bocca, 
1020|1021|1022|1023|1024|1025|1026|1027	quant il li guenchist, |et ele li baise la face et le col et le menton, |puis que autre chose n’em puet avoir ; |si plore de pitié |et li dist: « |Ha, gentilx chevaliers, |tant vos avoie desirré a veoir |ains que je moreuisse! 	quant il li guenchit ele li baise la boche et le col et le menton. |puis que autre chose nen puet auoir. |Si pleure de pitie |et dit |ha: gentiz cheualiers |tant uos auoie desire a ueoir.|ains que ie morisse. 	mais il guenchist. |Et elle li baise le col et la face et le menton et pleure de pitie. |Et dist. |Ha : gentiex cheualiers. |tant vous auoie desire a ueoir |aincois que iou morusse. 	et il guenchist. |et elle luy baille la face et le coul et le menton. |puis quautre chose nen puet auoir. |si pleure de pitie |et luy dist |haa gentil cheualier |tant uous auoye desire a ueoir |auant que ie mourusse. 	quant il se destourna|et elle luy baise le col/ |et puys pleure de pitie et dist/ Gentil cheualier |tant ie uous auoye desire a uoir 	e enla faz e començo a llorar con piedad |e dixo ay señor |quanto vos deseaua ver |anteque muriese 	quand’e si storse |ed ella il baciò nel collo e la faccia e l |mento, |poscia che altra cosa none può|avere. |Si piagne di piatà |e gli |disse: Hal, gentile cavaliere, tanto voi avea disiderato di vedere |inanzi ch’io morisse! 
1028|1029|1030|1031|1032|1033	Mais comment l’avez vos puis fet?,|Et il li dist : « Bien, Dieu merci. — |Et ceste part, fet ele, |comment venistes vos, |qui avant ier vos en partistes ? — |Par foi, fet il, une grant acheison. m’i amena. »	Mais coment lauez uos puis fait |que ie ne uos ui. |et il dit mout bien la dieu merci. |Et ceste part fait ele |comment uenistes uos |qui auant ier uos en partites. |Par foi fait il une grant ocoisons |mi amena. 	Mais comment laues vous puis fait |et comment uenistes vous ceste part. |Et il li dist. bien dieu merci. |et vne ocoison mi amena. 	mais comment lauez uous puys fait. |et il luy dist. bien dieu merey. |et comment estes uous uenu ceste part |qui auant hier uous en partistes. |Par foy fait il une grande achoison me y amena. 	auant que ie mourusse/ |et comment uenistes ceste part/ |car auant hyer uous en partistes. 	e como vos a ydo |despues |que vos vi muy bien dixo lançarote merçed a dios señor dixo la donçella |como vos auino de venir asi contraesta parte |que aun tan poco a que vos partistes demi |por buena fee dixo lançarote |Por buena auentura 	Ma come l’avete voi poscia fatto |ch’io non vo vidi?». |Ed e' le disse: Bene, Dio mercé. — |E n queste parti come veniste voi |ch’uguanno vo ne partiste? -Per fé, diss’elli, una gran cagione mi ci mena». 
1034|1035|1036	Si li conte |comment. I. chevalier o unes armes vermeilles l’avoit apelé de traïson a la cort le roi Artu |por la mort de Meleagan; 	Puis li conte coment uns cheualiers a unes armes uermeilles lauoit apele de traisson a la cort le roi artu. |por la mort de meleagͣ. 	Si dist |comment vns cheualiers a vnes armes uermeilles lauoit apele de traison en la cort le roy artu pour la mort melyagant. 	si luy compte |comment ung cheualier unes armes uermeilles lauoit appelle de traison a la court du roy artus pour amour de meleagant 	Par ma foy fait il ung cheualier a unes armes uermeilles ma appelle de traison en la court du roy artus. |pour la mort de melleag. 	que me auino |e luego le Conto |como vn cauallero le Recto de traiçion enla corte del Rey artur |Porla muerte de meliangas 	Si-lle conta|come uno cavaliere a une armi vermiglie l’avea apellato di tradigione nella corte del re Artù per |Melegant, 
1037	si l’en covient a deffendre en la cort le roi Baudemagu. « 	Si li couient a desfandre en la cort le roi bademagu de gorre.	si men conuient a desfendre en la cort le roy baudemagu. 	si luy en conuient deffendre en la court du roy bandemagu. 	si men conuient a deffendre en la court du roy bademagus/ 	e heme a defender enla corte del Rey bandemagus ay señor dixo ella 	sì me ne convien a andare a difendere nella corte del re Bando di Maguzo». — 
1038|1039|1040	Ha, fet ele, je sai bien |qui il est. |C’est Argodras li Ros et li chevaliers 	Ha; fait ele ie sas bien |qui il est. |Cest agodras li rous. et li cheualiers 	ha y fait elle iou sai bien |qui il est |Cest argondrass li rous. |Et li cheualiers 	Haa sire fait elle ie scay bien|quil est. cest arqodras le roux. et le cheualier 	Haa fait elle ie scay bien |qui il est cest argorindes le roux/ et le cheualier 	yo se quien es cauallero |Ca es argodras el Rubio hermano del cauallero 	eHal, diss’ella, io so bene |chi egli |è, ciò è Argondras il Rosso; il cavaliere 
1041|1042	que vos avés hui ocis et ars estoit ses freres; |si ne sai 	cui uos auez ocis |et ars hui en cest ior. estoit ses freres. |Si ne sai 	que vous aues ochis |et ars estoit ses freres. |si ne sai 	que uous auez huy occis |et ars estoit son frere. |si ne scay 	que uous aues occy et ars estoit son frere/ |si ne scay 	que agora matastes 	che voi avete morto e arso era suo |fratello, sì non so 
1043|1044|1045|1046	que vos puissiés fere, |kar|se mes peres set |que vos aiés ocis Meleagan, je criem	que uos en puissiez faire. |Car ce mes peres cest |que uos auez ocis mel̾. mon frere ie crien 	que vous puissies faire. |Car se mes peres set vraiement |que vous aues melyagant ocis. Iou criem 	que uous puissez faire. |car se mon pere sceit de uray |que uous auez occis meleagant iay paour 	que puissies faire/ |car se mon pere scait |que uous aies occis melleagant ie crains 	mas señor no se que vos faga ca e miedo |que si mi padre sabe como matastes a meliangas 	che voi ve ne possiate |fare, |ché se mio padre el re Bando sa veracemente |che voi abiate ucciso |Meleagante, io temo 
1047|1048	qu’il ne vos face ocirre por le grant duel |qu’il avra des noveles. — 	que il ne uos face ocirre |por le grant duel |que il en auoi. 	quil ne vous face ocirre. pour le grant doel |quil en aura. 	quil uous face occire pour le grant deul|quil aura des nouuelles. 	quil ne uous fache occire. 	que vos faga matar |porel gran pesar |que abra destas nuebas 	che non voi faccia uccidere per lo gran duolo |ch’elli n’arà di suo|figliuolo, 
1049|1050	Coment ? fet Lancelos, |nel set il mie encore ? — 	Coument fait lanc̃. |ne le cest il encore pas. 	Comment fait lancelot |ne le set il mie encore. 	Comment fait lancelot ne le sceit il encores pas 	comment fait lancelot. ne scait il pas encore 	como dixo lançarote no lo sabe ansi me ayude dios dixo ella no maguer 	ché troppo |l’amava.—Come, disse Lancellotto, nol sa elli mica ancora? —|Se m’aiuti 
1051|1052	Certes, sire, nenil; |si est Meleagans en cest païs aportés plus a de XV. jors 	Si maist diex fait ele nenil. |Si est mell. aporte en cest pais bien a .xu. iors. 	Si mait diex fait elle nenil. |Si est melygant amenez er cest pais. XV. iors a passes. 	Si maist dieu fait elle nennil. |si a este meleagant apporte en ce pays plus de .xx. iours a. 	qui se a fait. |se maist dieux nennil fait elle |Si est melleagant apporte en ce pays .xu. iours a passes/ 	que a quinze dias 	Iddio, diss’ella, non. |Si è elli recato in questo paese più di Xv. giorni fa 
1053	et est el chastel des Illl. Pierres et le gardent iluec si celeement 	et est el chastel de .iiii. pierres. |et le gardent la si celeement 	si gist el castel des. iiij. pierres. |Et le gardent illueques si celeement 	et est ou chastel des quatre pierres. |et le gardent ilec si celeement 	et est au chastel des quatre pierres. |Et le gardent illec si celleement 	que an traido aesta tierra el cuerpo de meliangas |mas tienenlo enel castillo delas quatro piedras muy encubiertamente 	ed è il corpo con tutto il capo nel castello di Quatro |Pieri, 
							e l guardano nel luogo 
							si celatamente 
1054|1055|1056|1057|1058	que li rois n’en set encore riens:|si en covendra esploitier al plus sagement |que vos porrois. |Mes a|quant est li jors 	que li rois nen cest encore riens. |si uos en couenra esploitier au plus saigement |que uos porrois |Et quant est li iors 	que li roys nen set encore noient. |Si vous en conuendra esploitier au plus tost |que vous porres. |Mais a quant est li iors. 	que le roy nen scait ores riens |Si uous conuiendra esploicter au plus sagement |que uous pourrez. |mais quant est le iour 	que se roy nen scait encores riens: mes dictes moy |a |quant est le iour 	quelo no sepa su Padre |e ansi vos conuiene de vos encubrir muy sabiamente |mas quando es el dia 	che il re non ne sa ancora |nulla; |si vo ne converà portare al più saggiamente |che vo' potrete. |Ma quando est il giorno 
1059	que vos vos en devés deffendre? » 	que uos nous en deuez desfandre. 	que vous en baes a desfendre. 	que uous uous en deuez deffendre. 	que uous uous deuez deffendre. 	que vos auedes de defender el dia dela magdalena dixo lançarote 	che vo' ve ne dovete difendere?». 
1060|1061	Et il dist |que c’est le jor de la Magdalaine. « 	et il dit |que cest le ior de la magelainne. 	Et il dist |que chou est le ior de la magdalaine.	et il luy dit |que cest le iour de la magdalene.	Et il dit |que cest au iour de la magdalaine. 	si dios me ayude dixo la donçella |yo he gran miedo |que vos el faga matar algodras |por Alguna traiçion deso dixo lançarote no ayais Miedo 	Ed e' dice el di della Madalena. 
1062	Or vos en conseut Diex, fet ele. 	Or uas en consaut fait ele diex. 	Or vous en consaut diex fait elle. 	Or uous en conseille dieu fait elle. 	Or uous conseille dieu fait elle: 	e el faga todo su poder Ca yo me guardare deGuisa 	e.Or vo ne consigli |lddio, 
							diss’ella, 
1063	kar j’ai grant poor 	que iai grant paour 	quar iou ai grant doute	car iay grant doubte 	car iay grant paour	Que no aya del pabor 	ch’i' ò gran dotta 
1064	que Argodras ne vos face anui par traïson. — De ce, fet il, n’aiés ja garde! Tot son pooir en face, 	que agodras ne uous face anui par traison. |De ce fait il naiez ia garde tout son pooir en face 	que argondras ne vous face anui ou traison |De chou fait il naies ia garde 	que argodras uous face ennuy par traison. |De ce fait il face tout son pouoir. 	que agarindes ne uous face auoir quel que trayson. |De ce fait il naiez ia paour. 	Conel ayuda de dios 	che Argondras non vo faccia invidia o tradigione. — Di ciò,|diss’elli, non abbiate già 
							guardia: tutto suo podere ne 
				car ie nen auray ia paour ne doute. 			
			mais tout son pooir en face 				
			quar iou nen aurai ia paour . 				
1065	que je n’en avrai ja poor. » Assés parlerent cele nuit de maintes choses a et molt firent cil del chastel grant joie de lor dame 	que ie ne le dout pas. Assez parleren cele nuit de maintes chosez. |et mout firrent cil del chastel grant Ioie de lor dame 	lele nuit fu lancelot moult a aise|et moult firent cil del chastel ioie de lui et de lor dame. 	Assez parlerent celle nuyt de maintes chosss. |et moult firent ceulx du chastel grant ioye de leur dame 	Assez parlent celle nuit de plusieurs choses et menlt firent ceulx du chasteau grant feste de lui et de leur dame 	Asi fablaron toda aquella noche de muchas cosas |e Mucho façian gran alegria los del castillo porque asi auian cobrado a su señora 	faccia, |ch’io non arò già paurab. Assai parlarono quella notte di molte cose intra Lancellotto e la 
							damigella, 
							e molto feciono lquelli del castello! grande gioia di lor dama 
1066|1067	qu’il cuidoient avoir perdue, |et or l’ont saine et haîtie 	que il cuidoient auoir perdue. |et orlat sainne et haitie. 	que il quidoient auoir perdue. 	quilz cuidoient auoir perdue. |et ores lont saine et haitie. 	quilz cuidoient auoir perdue. 	Que ayudauan ental manera Perder e enla mañana 	ch’elli credieno aver perduta a tutto giorno mai, |e or l’ânno con esso loro sana e |adatata. 
1068|1069|1070	Et al matin, |si tost|com li jors parut cler, se leva Lancelos 	Et au matin |quant li iors aparut biax|et clers se leua lautre de son lit 	Et au matin |si tost|com li iors apparut |se leua lancelot et sarma 	Et au matin si tost |que le iour esclarsit |se leua lancelot. 	Et au matin |si tost |comment le iour apparut 	en quanto el dia aparesçio claro se leuanto lançarote 	eAl mattino, si tosto come il giorno apari |chiaro, si levò Lancellotto 
1071|1072|1073	et se parti de la damoisele, |quant il fu armés; |et ele le commande molt a Dieu 	et se parti de la damoisele |Quant il fu armez la damoisele comande a 	et prist congie a la damoisele. |et elle le commande a dilelu 	si se party de la damoisele |quant il fu arme. |et elle le commanda moult a dieu 	se leua lancelot et print congie de la damoiselle. |Et elle le commanda a dieu 	e se partio dela donçella e des que fue armado |e la acomendo a dios Señor dixo la donçella 	e si parti dalla damigella|quand'e' fu |armato, |ed ella il comandò molto a dDio 
1074	et li pria 	dieu.et li prie 	et li pria	et le pria	et lui pria 	yo vos Ruego 	e l priega molto dolcemente 
1075|1076|1077	qu’il s’en revenist |par li al repairier; |et il dist 	que il sen reuenist par li au repairier. |et il dit	quil reuenist par li au repairier. |Et il li dist 	quil sen reuenist par lie. |et il dist 	quil reuenist par elle au repairier. |Et il dit 	Que al tornar vengades |Por aqui de Grado dixo lançarote 	che ritornasse per lo luogo a |riparare.Ed e' dice
1078	que si feroit il, 	que si feroit il 	que si feroit il 	qui si feroit il			che sì farà elli 
1079|1080|1081	s’il pooit. |Si se remet en son chemin |et eirre tot le jor jusqu’al vespre 	se il puet. |et il se remest en son chemin. |et erre iuscau uespre. 	se il pooit. |si se met en son chemin et esra toute iour iusques au soir. 	sil pouoit. |si se mect en son chemin |et erre toute iour iucquau uespre. 	que si feroit il sil pouoit. Il se met en son chemin |et erre iusques au soir. 	si pudiere e luego se metio enel camino |e andubo todo aquel dia 	s’elli |potrà, |si si rimette in suo camino|e va tutto giorno insin qua a vespero. 
1082|1083	et lors aproche d’une riviere |que l’en apeloit Aglonde, 	et lors aproche une riuiere |que len apele aglode. 	Et lors aproche dune riuiere |que on apeloit agloride. 	Et lors aprouche dune riuiere |que len appelloit aglunde. 	Lors approuche de une riuiere |que len appelloit aglondes/ 	porvna rribera ayuso fasta visperas 	Allora apressima d’una riviera|che l’uom chiamava |Aglonda, 
1084	si en estoit l’eve molt parfonde et molt noire. 	et si en estoit leue parfonde et mout noire.	si en estoit laigue moult parfonde. |et moult noire,	si estoit leaue moult parfonde et moult noire 		e el agua hera fonda y negra 	si era l’acqua molta perfonda e molto nera.
1085|1086	Et quant il vint pres de l’eve, |si vit trois paveillons tendus pres de la rive; 	et quant il uint pres de leue |si uit .iii. pauillons. tandus delez la riuiere. 	Quant lancelos vint pres de laiglule |si y uit. iij. paueillons tendus.	et quant il uint pres de leans |si uit pres de la riue troys paueillons tenduz si y en auoit ung grant et beau. 	si uoit trois paueillons tendus pres de la riuiere. 	e desque fue çerca del agua vio tres tiendas çerca dela rribera 	E quand’e venne a |l’acqua, |si vide tre padiglioni tenduti presso della|riviera, 
1087	si en estoit li uns grans et bials et li autre dui estoient moien. 	et en estoit li uns grans et biax. et li autres estoient 	dont li vns estoit blans. |et li autre doi moien estoient de autre color. 	et les autres deux estoient moyens. 	si en estoit ung grant et blanc et les autres deux estoient noirs. 	e la vna hera muy grande e muy fermosa |e las dos heran mas pequeñas 	si n’era l’uno molto grande e molto bello, e gli altri due |minori. 
1088	Et lors issi del greignor paveillon I. chevaliers tos desarmés 	moien.et lors issi de lun des pauilons uns cheualiers tous armez 	Et lors issi del pauellon vns cheualiers tous armes.	Et lors issy du plus grant des paueillons ung cheualier tout desarme 	Et lors issist dun paueillen ung cheualier tout arme 	e luego que ay llego lançarote vio salir dela mayor tienda vn cauallero desarmado 	eAllora usci del padiglione uno cavaliere tutto disarmato 
1089|1090	qui li dist |que bien soit il venus, 	qui li dit |que bien soit il uenus. 	qui li a dit |que bien soit il uenus 	qui luy dist |que bien soit il uenu. 	qui lui dist |que bien soit il uenu. 	quele dixo señor vien vengades 	che gli disse bene sia elli |venuto, 
1091|1092|1093|1094	et il li rent maintenant son salu. «|Ha, sire, fet il, vos me samblés chevaliers errans |et je aim tos cels |qui en tel mestier usent lor vie, 	et il li rent tout maintenant son salu. |ha: Sire uos me sanblez cheualiers errans |et ie ain tous seus |qui en tel maniere ussent lor uie. 	Et il li rent son salu. |Biau sire ce dist li cheualiers |del paueillon vous me sambles vns cheualiers errans. |et iaim tous chiaus |qui en tel maniere usent lor vie. 	et il luy rend son salu. |haa sire fait il uous me semblez cheualiers errans et iayme tous ceulx |qui en tel mestier leur uie usaent.	Et il lui rent son salut. Beau sire uous semblez cheualier errant: |et iayme tous ceulx |qui en telle maniere usent leur uie: 	e lançarote le torno sus saludes |buen señor dixo el cauallero dela tienda |vosme semejades Cauallero andante |e porque ya fue tiempo que yo mesmo fui cauallero andante 	ed e' gli rende immantanente suo saluto. aHal, |sire, disse il cavaliere del padiglione a |Lancellotto, vo mi sembiate cavaliere |errante, |e io amo tutti quelli |che in tale maniera usano lor |vita, 
1095|1096|1097	kar je meismes sui chevaliers errans |et por ce vos vueil je proier |que vos herbergiés anuit mes o moi; 	Et ie meismes sui cheualiers errans |Si uos uoroie prier. |que uos herberresiez hui |mais auec moi ennuit. 	Car iou meismes sui cheualiers errans. |et pour chou vous voeil iou proier |que vous vous herbergies hui |mais auec moi. 	Car ie mesmes suys cheualier errant. |et pour ce uous uoudroye ie prier |que uous herbregez |mais huy auec moy. 	car moy mesmes suis cheualier errant. |Et pour ce 	Ruego vos |que esta noche aluerguedes Conmigo 	ch’io medesimo sono cavaliere |errante; |e i' vo vorrei pregare |che voi albergaste stanotte con esso |meco, 
1098|1099	kar se vos passés avant de ci, vos ne troverois |se forest non, si salvages 	Car ce uos passez de|ci uos ne trouerois ce fores non si sauuages: 	Car se vous vous partes de ci vous ne trouueres hui|mais se fores non saluages. 	car se uous passez plus |auant uous ne trouuerez |mais huy |que fourests si sauuages	quil est temps de se hebergier uous censeille ie 	Ca si de aqui partides non fallaredes sino floresta muy yerma e saluaje 	ché se voi passate di qui vo' non troverete oggimai se non foresta si salvatica 
1100	que vos i porrois tost desvoier. 	que uos i|porrois moutost desuoier. 	si que vous y porrois bien foruoier.	que uous y porez tost desuoyer. 		que no fallaredes do aluergar esta noche 	che vo potrete molto tosto |disviare; 
1101	Et il est bien tens de herbergier, 	et il est bien tans de herbreger. 	Et il est pres del uespre 	et il est bien temps de herbreger 		e poresto vosloaria 	ed egli è bene tempo d’albergare, ciò vedete voi 
1102|1103	ce veés vos bien : |por ce vos lo 	ce ueez uus. |Por ce uos loie |que uus remenois 	si vous lo |que vous remaignies	comme uous uoyez |par ce uous loue ie 	que uous demour⟦e⟧z/ 	Que finquedes aqui esta noche 	bene: perciò vo lodo in buona fé 
1104|1105|1106|1107|1108|1109|1110|1111|1112	que vos remanois et vos avrois ostel bel |et buen tot a vostre voloir. — |Bials sire, fet Lancelos, |puis qu’il vos plest, je remaindrai |et por vostre proiere et|por ce |que vos dites |que vos estes chevaliers errans. a,|Lors descent et vaslés saillent des autres paveillons, 	et uos aurois ostel et bel et bon au ren chois |Biax sire fait lanc̃ des|que il uos plait ie remendrai |por uostre proiere |et por ce|que uos me dites |que uos estes cheualiers errans |com ie sui Ices descent lancel. |et uarles saillent des autres pauillons. 	et vous el aurois ostel tout a uostre uolente. |iau sire fait lancelot |puis que il vous plaist iou remandrai. |Lors descentas Dde son cheual |Et uallet saillent des autres paueillons. 	que uous demourez.|et uous aurez houstel bel et bon tout a uostre uouloir. Beau sire fait lancelot |puis quil uous plaist ie demourray. |et pour uostre priere. |et aussi par ce |que uous dictes |que uous estes cheualier errant |Lors descent. |et uarletz saillent des autres paurillons 	et uous aurez hostel tout a uostre uoulente. Beau sire fait lancelot ie demoureray |puis quil uous plaist.|et que uous dictes |que uous estes cheualier errant. |Lors descent de son cheual/ |et uarletz saillent des autres paueillens 	e abredes muy buena Posada a toda vuestra voluntad |buen señor dixo Lançarote yo fincare |pues vos plaz Porvuestro Amor Pues dezides |Que fuistes cauallero Andante |e luego salieron delas tiendas escuderos 	che voi rimagniate,|e voi ci areste ostello buono e bello |e tutto a vostro|volere. — Bel |sire, disse |Lancellotto, |e io rimarrò per vostro amore|e per ciò |che vo' siete cavaliere erante |come vo' dite». soAllor discende Lancellotto |e' valletti salgono dell’altro |padiglione, 
1113|1114	si le desarment et li aportent I. mantel de samit legier a afubler |por le chaut	si le desarment|et li portent un mantel de samis uermeil legier |por le chaut	si le desarment demaintenant. 	si le desarment|et luy apportent ung legier mantel de samit a affubler pour le chaut 	si le desarment et lui apportent ung manteau de samit |pour affubler pour le chault 	Quelo desarmaron |e desque fue desarmado Truxeronle vn manto de xamete |para cubrir Porla calor 	si 'l disarmarono |e gli aportarono uno mantello di sciamito per |afibiare, per lo caldo 
1115|1116|1117|1118|1119	qui grans estoit ; |si le mainent el grant paveillon avec l’autre chevalier. |Et lors parlerent ensamble |et s’entracointierent |et demanda li uns a l’autre de son estre ». Li chevaliers enquiert a Lancelot 	qui grans estoit |si le mainnent el grant pauillon entre lui et le cheualier. |et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. |et satracointent. |et demande li uns a lautre de son estre. |Si demande li cheualiers 	puis li aportent vn mantel de samit por affubler. |et lors sen uont el grant paueillon entre lui et le cheualier. 	qui estoit grant. |si le mainent ou grant paueillon luy et le cheualier. |lors parlent ensembles ce sentracointent |et demandent lun et lautre de son estre. |Si enquiert le cheualier a lancelot 	qui grant estoit. |Si le mainent au grant paueillon. lui et le cheualier sentreacointerent |et demanda lun a lautre 	que façia grande e entonçe se entraron el cauallero |e lançarote enla tienda |e asentaronse |e començaron a fablar envno |e el cauallero le pregunto 	che grande|era, |si se ne vanno nel grande padiglione intra lui e l|cavaliere; |allor parlarono insieme |e si tracomandarono al domandare l’uno a l’altro di suo |essere, |si inchiede il cavaliere a Lancellotto 
1120|1121|1122|1123	dont il vient |et ou il vet |et quele aventure le maine si sol,|et il li conte une partie de son estre 	don il uient |et don il ua.|et quel auanture le mainne si seul. |et il li conte une partie de son estre 	et cil li demande|ou il aloit. 	dont il uient |et ou il uait. |et quelle auanture le mainne seul et il luy en compte une partie 	dont ilz estoient: |et quelle auanture le menoit si seul. |Et il lui compte de son estre une partie 	e dixo señor |que auentura os lleba asi solo e lançarote le conto toda su façienda 	donde e viene|e dove e' |va, |e quale aventura il mena si |solo, |ed|e' gli conta una partita di suo essere 
1124|1125|1126	et autre l’en çoile e; |et totes voies li dist |que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier 	et une partie len soile. |et totesuoie li dit |que a la cort bademagu: uodroit estre. |por soi desfandre uers un cheualier. 	Et lancelot li dist |quil volroit estre a la cort le roy baudemagu |pour combatre a. j. cheualier 	et luy en cele l autre.|Et touteuoyes dist il |qu en la court du roy bandemagu uoudroit il estre |pour soy deffendre uers ung cheualier 	et lautre lui en celle: |et toutesfois dit il |que en la court du roy bademagus uouldroit il estre pour ung cheualier 	enpero todavia le dixo |que yua ala corte del Rey bandemagus |aque dixo el cauallero ame defender 	e una partita ne li |cela;e tutvorebbe essere per sé difendere verso d’uno cavaliere 
1127	qui l’a apelé de traïson. 	qui apelela de traison. EN ce 	qui lauait apele de traison. 	qui la apelle de traison 	qui lauoit appelle de trayson. 	devn cauallero dixo lançarote |que me Recto de traiçion 	che apellato l’à di tradigione nella corte del re 
			Et en chou 				
1128|1129|1130|1131|1132|1133	En ce qu’il parloient ensi, |orent li escuier mise la table, |si vont laver; |si s’asiet Lancelos et li chevaliers et une damoisele |qui molt ert bele |et estoit amie al seignor de laiens; 	quil parloient ensamble. |si ont li escuier misses les tables. |Si ont laue. |Si ont assis lanc̃. et le cheualier et une damoisele |qui mout estoit bele. et estoit amie au signor de Laiens. 	quil a parloient ensi orent li escuier mises lez tables. |si vont lauer |si sassistrent li cheualier au mangier |Et vne damoisele |qui moult estoit bele |qui estoit amie au cheualier de laiens. 	Ainsi quilz parloient mistrent les escuiers la table |si uont lauer. puis sassiet lancelot et le cheualier. et une damoisele |qui moult estoit belle |et estoit amyx au seigneur de leaus. 	Et ainsi qu ilz parloient len mist les tables. ilz lauent leurs mains |et puis se assient le cheualier et lancelot: |et une damoiselle moult belle/ |laquelle estoit amie au cheualier de leans. 	e ellos asi fablando entro vn escudero |e puso la mesa |e asentose el cauallero a comer e lançarote e vna donzella muy fermosa |que hera amiga del cauallero 	Artù. Seln ciò |che parlavano|insi, ebbono i valletti messe le |tavole: |si si lavarono lor mani|e s’asederono al mangiare intra l cavaliere e Lancellotto e una damigella|che molto fu bella e avenante e |fresca, |si era amica del signor di là |entro, 
							si era ella molto gentile 
1134	si mengierent tuit troi ensamble. mes cele 	Si mengerent cui troi ensenble mais cele 	si mangerent tout. iij. ensamble 	si mangerent tous troys ensemble. |Mais celle 	Si mengerent tous trois ensemble: |mais celle 	mas la donçella |en quanto vido a lançarote 	femina. i mangiarono tutti e tre insieme |e quella, 
1135|1136|1137|1138	qui Lancelot esgarde ne se puet saoler de lui veoir, |Kar tant li samble bials |qu’ele ne prisa onques mes bialté d’ome envers cesti : |si l’esgarde si viselment 	qui lanc̃ esgarde |ne se puet saouler de lui esgarder. |Car tant li sanble biax: |que ele ne prisa onques mais biaute a ome enuers la soie nule rieu. |Si le regarde si uiseument 	mais moult regarde la damoisele lancelot. |et ne se puet de lui regarder saouler. |Si ne prisa onques mais la biaute domme vers la soie. |Si le regarde si ententieument 	qui regarde lancelot ne se puet saouler |de le ueoir. |Car tant luy sembla beau |que oncquez ne pasa beaute domme enuers ceste |si le regarda si auiseement 	qui lancelot regarde laisse le boire et le mengier pour la grant beaute |que elle uoit en lui/ 	ansi lo cataua |que no se hartaua delo ver |enque lo via tan fermoso |e no cuidaua que tan fermoso ome pudiese auer enel mundo |e asi lo estaua catando 	che Lancellotto riguardava tutto adesso, non|si può satollare di lui |vedere, |ché tanto le sembia a essere bello |ch’ella non pregia unque biltà d’uomo inverso |costui: isi-llo sguarda |si visibilmente 
1139|1140	que tot en laisse le mengier |n’a autre chose n’entent. fors a lui remirer. 	que tout en laisse le mengier. |Na autre chose nentant fors a lui remirer. 	que tout en laisse le boire et le mangier. si|que a autre chose nentent. |fors ca lui remirer. 	que tout en laisse le manger. 	si que a autre chose ne entent. 	que no podia comer 	che tutto ne lascia suo |mangiare, né ad altra cosa non ne intende fôrse a llui |riguardare. i tentivamente il riguardava 
1141	Si ont li escuier osté le premier mes de sor la table 	Si ont li escuier oste le premier mes desus la table	Si ont li escuier oste le premier mes. 	si ont les escuiers ouste le premier mies de dessus la table 	si ont les escuiers oste le premier mes 	que auia el escudero tirado el primero manjar dela mesa 	che gli scudieri ebbono levata la prima imbandigione 
