micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
que vos vaut ?  Certes ce ne porroit pas estre 	que uous uault certes il ne pourroit mie estre 	que uous uault.  certes  ce ne pourroit pas estre 	que uos uaut.  Certes ne fait mie a croire 	que uous uault ce:  Certes ce ne porroit pas estre 	que vous vaut  se vous estes samie.  Certes ce ne porroit pas estre 	que vos amades  que provor tiene quanto  y mas que no es de creer 	
que li mieldres chevaliers del monde  et li plus prodom eust mise s’amor en vos,	que le meilleur cheualier du mende eust mise sen amour en uous. 	que le meilleur cheualier du monde  et le plus prise eust mis samour en uous. 	que li muedres cheualiers del monde et li plus preudons uos aint. 	que li mieldres cheualiers del monde et li plus preudons eust mise samour en uous. 	que li mieudres cheualiers et li plus loiaus del monde eust mise samor en vous 	que el mejor Cauallero del mundo vos otorgase su amor 	
car trop la porroit mielz amploier. —  Certes, fait ele, sire chevaliers, cil 	car trop la pourroit mieulx employer.  Certes sire fist elle cellui 	car trop la pouroit mieulx employer.  Certes fait elle ce cheualier 	Car mout miex porroit mestre samor.  Certes sire mais cheualiers cis 	Car trop la porroit mielz emploier.  Certes fet ele. cil cheualier. 	quar trop le porroit mieuls emploier.  Certes fait elle sire cheualiers cils 	que en mas alto lugar lo podia emplear çierto don mal cauallero dixo la donzella 	
qui est ore le millor chevalier dou monde ne tient pas s’amor a mal emploie en moi,  ainz m’aimme bien 	qui est ores le meilleur cheualier du monde  et le plus preudomme ne tient mie son amour a mal employee en moy  ains me ayme bien/ 	qui est ores le meilleur cheualier du monde ne tient pas samour a mal employee en moy.  ains mayme bien 	qui or est li meudres cheualiers  et li millor preudons del monde: et de cui Iai le creant  quil namera ia pucele ce moi  non.  ne tient pas samor mauuaissement enploie en moi. 	qui est ore li mieldres ch̃es del monde. ne tient pas samour a mal emploiee en moi.  Ainz maimme bien 	qui ore est li mieldres cheualiers del monde ne tient pas samor a mal enploie en moi  ains maime bien	aquel que es agora el mejor cauallero del mundo me prometio  que nunca amaria donzella saluo ami 	che più cheggiono aventure credo ben conoscere, 
et amera tant com il me savra en vie,  et je l’an serai si vraie	et aymera tant quil me scaura en uie:  et ie lui seray loyalle/ 	et aymera tant comme il me saura en uie.  et ie luy seray si uraye 	ains menmera tos les lors quil cera en uie.  et Ie cerai si loiax 	et mamera tant comme il me saura en  uie.et ge len serai si uraie. 	et amera tant comme il me saura en vie.  Et iou li serai si vraie. 	y no lo tiene  por malempleado su amor enmi e yo se bien 	
que ja chevalier tant?  conme je vive, ne se porra venter 	car ia tant comme ie uiuray cheualier ne se pourra uanter 	que ia tant come il uiura ne se pourra uanter autre 	que ia tant que uiue cheualiers ne ce porra uanter 	que ia tant comme il uiue.  ne se porra uanter 	que ia nus ne se porra vanter 	que siempre me sera leal  e yo ael en toda mi vida 	
que jou li face compaigniea; 	que ie lui face compaignie/ 	quil luy face compaignie.	que ie li face compangnie.	qui en face compaignie. 	que iou li face compaignie  pour lui laissier. 	Ca nunca tomare compañia de otro Cauallero 	
et se je bien voloie faire si grant desloiauté 	et se lui uouloye faire si grant de loyaute	et si ie uouloye ores faire si grant desleaute 	et se ie uoloie bien faire si grant desloiaute 	Et se ge bien uoloie fere ceste desloialte. 	Et se ie bien voloie faire si grant desloiaute 	y en Caso que yo lo ouiese de tomar yo lo escogeria 	
que j’en vousisse I. mestre en son leu,  ja  si m’aïst Diex si mauvais chevalier  com vos estes n’i metroie, 	que den mettre ung en sen lieu:  si maist dieu 	que ien uoulsisse mectre ung autre en son lieu.  ia  si maist dieu ie ne y mectroye ia si mauuaiz cheualier  comme uous estes. 	que ie me uossise mestre en son lieu :  Si mait diex si mauuais cheualiers com uos estes ni esliroie ie mie. 	que gen uolsisse .i. metre en son lieu. Ia si mait diex. si mauues cheualier.  comme uous estes ni metroie. 	que iou en volsisse metre vn autre en son lieu.  ia ne mait diex  se iou :  si maulais cheualier  comme vous estes y metoie. 	tal que me tubiese aderecho  mas no tomaria tan mal cauallero ni tan Cobarde como vos entonçes se ensaño el cauallero 	
ainz i mestroie tel  dont l’an ne me devroit mie blasmer.»  Lors se courrouce li chevaliers 	si mauuais cheualier  comment uous estes ne y esliroye ie mie.  Lors se courouca le cheualier/ 	ains y mectroye tel  dont ou ne me deuroit pas blasmer  Lors se drece le cheualier. 	Ains i metroie tel de quoi len ne me deuroit mie blasmer.  Lors sareste li cheualiers. et dit 	ainz i metroie tel  dont len ne me deuroit mie blasmer.  Lors se torne cil cheualier. a la damoisele. 	ains y meteroie tel  dont len ne me porroit mie blasmer.  Lors se corouce li cheualiers 	y dixole donzella  pordios dezidme quien es ese Cauallero 	
et dist a la damoisele : «  Et por Deu,  car nos dites or  qui est cil chevaliers  qui tant est prodom et qui si loiaument vos aimme ? — 	si dist a la damoiselle. Belle dame ie uous prie que uous me dictes  qui est ce ben cheualier  qui tant est preudomme/  et qui si loyaument uous ayme. 	et dist a la damoisele.  et pour dieu dictes nous  qui est ce bon cheualier  qui tant est preudomme  et qui si loyaument uous ayme. 	por dieu damoisele  car me dites ore  qui est cis bons cheualiers. et si preudons  que uos dites.  et qui si uos aimme.	et li dit. pour dieu dame  car nous dites  ore  quiest cil cheualier.  qui est tant prodom.  et qui si loiaument uous aimme. 	et dist a la damoisele. Damoisele dites moi por dieu  qui est cils boins cheualiers  qui si loiaument vous aime. 	que tan lealmente vos ama  çierto  dixo la donzella 	
Certes, fait ele, il ne faît mie a nommer devant  si noiant home 	Certes fist elle il ne fait pas a nommer deuant si mauuaiz homme  comment uous estes/ 	Certes fait elle il ne fait pas a nommer  deuant telz hommes 	Certes fait ele il ne fet mie a nomer  deuant si noiant cheualier  com uos estes. 	Certes fet ele. il ne fet mie a nommer deuant  si noient home 	Certes fait elle il nest mie a nommer deuant si caitif homme 	el no se deue nombrar  ante tan bil cauallero como vos 	
				comme uous estes. 			
		comme uous estes. 					
com vos estes et neporquant por vos grever plus, vos dirai je  qui il est:  ce est mes sire Lanceloz del Lac,  c’est cil  que vos n’oseriez atandre a cop pour tout le reaume de Logres. —  Celui? fait li chevaliers.  A mal eur soit il ore le millor chevalier dou monde! Certes il ne le porroit pas estre, 	et non pourtant  pour uous plus greuer uous diray ie  qui il est, cest monseigneur lancelot du lac cellui  que uous ne oseriez a coup attendre pour tout le royaume de logres:  cellui la fist le cheualier en mal heure en parlastes oncques/ le meilleur cheualier du mende certes il ne pourroit pas estre: 	Et toutefoiz  pour uous plus greuer uous diray ie  quil est.  Cest messire lancelot du lac cest cil  que uous nouseriez actendre a coup pour tout le royaume de logres.  Celuy fait il. ne pourroit pas estre le meilleur cheualier du monde. 	et non por quant  por uos plus greuer uous dirai ie  qui il est.  Cest messires lanc̃. del lac.  Cest cil  que uos nosseriez atandre por tot le roiaume de logres. Cil fait il a maleur  soit il ore li plus preudons del monde et li miexdres cheualiers.  Certes ce ne porroit mie estre. 	Et ne pour quant. por uous plus greuer uous dirai  ge  qui il est.  Ce est misire lanc̃. del lac. Cest cil  qui uous noseriez atendre a cop. pour tout le royaume de logres.  Celui fet li cheualiers a maleur soit il ore le meilleur cheualier del monde.  Certes il ne le porroit pas estre. 	comme vous estes.  Et nonpourquant pour vous plus agreuer dirai iou  qui il est  Si vous di  que chou est mesires lancelot del lac.  Chest cil  qui vous noseries atendre a cop pour tout le royaume de logres.  Celui fait li cheualiers a male heure  soit il ore li mieldres del monde.  Certes il nel porroit pas estre. 	mas por vos quebrantar el corazon yo voslo dire Saued  que este es don lanzarote del lago  al qual vos no osariades attender en Campo  por todo el Reyno de londres  Como dixo el cauallero ese es el que tanto loades en mal punto sea  si esto puede ser en ninguna guisa 	
car il fu filz au plus mauvais roi et au plus failli de cuer 	car il fut filz au plus recreant homme. et au plus failli de cueur 	car il fu filz au plus mauuaiz roy et au plus failly de cuer 	Car il fu fis au plus mauuais cheualier roi 	Car il fu filz au plus mauues roys. et au plus failliz de cuer. 	Car il fu fils au plus maluais roy et au plus failli 	ca el es fijo del Peor Rey  que nunca traxo armas 	
qui onques portast couronne et bien monstre en la fin  qu’il estoit noianz ;  car li rois Claudas mes cousins le deserita de toute sa terre  si qu’il s’anfor et morut de duel.  Et por ce di je 	qui oncques portast armes/  et bien menstra en la fin  que cestoit de luy neant.  Car le roy claudas mon cousin le desherita en ung iour de toute sa terre  si quil sen fouit/  et mourut de dueil/  Et pout ce diz ie 	qui oncquez portast couronne.  et bien le monstra il a la fin  car le roy claudas mon cousin le desherita de toute sa terre  si qu il sen fouy  et mouru de deul. et pour ce dy ie 	qui ains portast armes ne corone  et bien mostra en la fin  qui il estoit niens et faillis de cuer.  Car li rois claudas mes cousins Le deserita de tote sa terre.  et por ce sen fu il il  et morut de duel.  Et por ce di ge 	qui onques portast coronne.  Et bien. le moustra a la fin  quil estoit noienz.  Car li rois claudas mes cousins. le desherita de toute sa terre.  si quil sen foui. et morut de duel.  Et pour ce di ge. 	qui onques portast coronne.  Et bien moustra en la fin quil ert maluais.  quar li roys claudas  qui est mes cousins germains le desireta de toute sa terre  si quil senfui et morut de paour et de duel.  Et pour chou di iou 	y mas Cobarde y bien lo mostro el asu muerte  que mi Cormano el Rey claudes lo deseredo de toda su tierra  y lo fizo fuir  e yendo fuiendo murio con pesar y porende digo 	
que de si mauvés roi ne porroit pas issir le millor chevalier del monde. — 	que de si mauuais roy ne pourroit pas yssir le meilleur cheualier du mende. 	que de si mauuaiz roy ne pourroit pas estre yssu le meilleur cheualier du monde. 	que de si mauuais roi ne porroit issir li plus preudons del monde  ne li muedres cheualiers.	que de si mauues rois. ne porroit pas issir le meilleur cheualier. del monde. 	que de maluais roy ne porroit pas issir li mieldres cheualiers del monde. 	que de tan mal Rey no podia salir el mejor cauallero del mundo  Como vos dezides 	
Ha, dant mauvais chevaliers, fait ele,  si m’aïst Diex,  s’il fust ja ci.  ja ceste parole  ne vos issist mais de la goule,  car vos n’eussiez cuer del dire por tote la terre le roi Artu. — Damoisele, fait il, vos diroiz ce 	Haa mauuais cheualier fist elle  se maist dieu se il fust icy ia ceste parolle  ne uous fust yssue a nul iour hors de la gueulle/  car uous ne eussiez cueur pour loser dire pour toute la terre au roy artus. Damoiselle fist il uous direz tout ce 	Haa mauuaiz cheualier.  si maist dieu sil fust icy iamais ceste parole ne uous yssist de la bouche. car uous ne la diriez pour toute la terre du roy artus. Damoisele dist il uous diriez ce 	Ha dans mauuais cheualiers  si maist diex cil fust ore ci la ceste parole ne fust issue de boche.  Car uos neussiez cuer del dire por tote la terre le roi artu. Damoisele fait il uos dires ce 	ha; dant mauues cheualier.  si mait diex  sil fust ia ci  Ceste parole ne uous issist iames de la gueule  car uous neussiez le cuer del dire pour toute la terre le roy artur. Damoisele fet ll. uous dites ce 	ha : dans cheualiers  fait elle si mait diex  se il fust chi. ia ceste parole ne vous fust issue de la goule  quar vous nen eussies pas le cuer del dire pour toute la terre au roy artus . Damoisele fait il vous dires chou 	ay don mal Cauallero  dixo ella  yo creo que si ante el estubiesedes non osariades esto dezir  Por todo el Reyno del Rey artur donzella  dixo el Cauallero  dezidlo que vos pluguiere  mas yo vos Ruego  que fagades my Plazer devuestro grado  e yo agradezerlohe ante quelo fagades por fuerça  Ca entonçe non voslo agradezere  e dixo ella  andad a mala uentura 	
que vos plaira et je vos escouterai, 	quil uous plaira  et ie uous escouteray/ 	quil uous plaira  et ie uous escouteray. 	quil uos plaira.  et Ie uos escoterai. 	qui uus plera.  et ge uous escouterai. 	quil vous plaira et iou Ieassal vous escouterai. mez toutes voies uous prie iou 	que vos de dios 	
mais toutes voies vos di je  que vos façoiz ma volenté debonnairement 	mais toutesuoyes uous prie ie  que uous faciez ma uoulente debonairement/ 	mais toutefoiz dy ie  que uous facez ma uoulente de bon airement. 	Mais totesuoies uos pri ie  que uos faciez ma uolente debonairement. 	mes touteuoies uous di ge.  que uous faites ma uolente deliurement 	que vous fachies ma uolente deboinairement. 	que antes querria ser quemada o afogada envn Rio 	
et ne soiez pas si vilainne  qu’il vos couviengne faire force, 	et ne soyez pas si uillaine  quil uous couuienne faire force/ 	et ne soyez pas si uilaine  quil uous conuiegne faire force	et si ne soiez pais si uilainne  quil uos couangne faire force. 	Et ne soiez pas si uilaine.  quil uous couiengne fere a force 	Et ne soies pas si vilaine  quil le vous conuiegne faire par force. 	que no ser escarneçida devn tan mal ome 	
car je ne vos ameroie ja puis ; 	car apres ne uous aymeroie pas 		Car ie ne uos ameroie Ia puis 	Car ge ne uous ameroie ia pus. 	Car iou ne vous en ameroie ia de miex 	Entonzes mando el Cauallero alos otros dos Caualleros 	
et vos veez bien 	et aussi uous uoyez bien 		et uos ueez bien 	Et uous ueez bien 	Et vous uees 	e alos escuderos 	
qu’il estuet  que vos le façoiz, 	quil est force  que uous le faciez/ 		quil le uos couient faire.	quil estuet  que uous le facoiz. 	que il estuet  que vous le fachies.	que se fuesen dende y ellos ansi lo fizieron 	
car la force n’est pas vostre 	car la force nest pas uostre/ 	car la force nest pas uostre 	Car la force nest mie uostre 	Car la force nest pas uostre. 	quar la force nen est pas uostre. 	Como don lançarote libro ala donzella su amiga 	
et mes voloirs i est. —  Fi, fait ele, par male aventure  ainz fusse je arse ou noie 	et mon uouloir y est.  Dictes uous fist elle en uostre male heure ie ameroye mieulx estre arse et bruslee 	et mon uouloir y est. Iameroye mieulx estre arse ou noyee 	mais li uoloirs i est.  Si fait ele par mal auanture  ansois fusse ie arce 	et mes uoloirs y est. Sire fet ele par male auenture.  Aincois fusse geu arsse. ou noiee.	et mes voloirs y est. Sire fait elle  che soit ore par male auenture.  aincois fusse iou noiie. 	que queria forçar el Cauallero  Despues que ellos se partieron dende  dixo el Cauallero  ala donzella yo vos Ruego 	
que je par si mauvais home fusse honnie, 	auant que par si mauuays homme ie feusse deshennouree, 	que estre honnie par ung si mauuaiz homme  comme uous estes. 	que de si mauuais cheualier fusse honie 	que ie par si mauues home fusse honie. 	que iou pour si maluais homme  comme vous estes fuisse honnie.	que fagades mi voluntad de vuestro grado  o uoslo fare fazer afuerça 	
quar si m’aïst Diex,  pis ne porroie je faire. » 	car si maist dieu piz ne pourroye ie faire. 	car si maist dieu pis ne pourroye ie faire. 	Car si maist diex pis ne me porroie ie faire. 	quar si mait diex. ge ne porroie pis fere. 	Car si mait diex pis ne porroie iou mie faire 	entonzes començo la donzella de se Rascuñar 	
Et il conmande as chevaliers et as escuiers 	Alors dist aux escuiers/ et cheualiers 	Et il commande aux cheualiers et escuiers 	Et il comande a ses cheualiers et a ses escuiers	Et il commande as cheualiers et as escuiiers 	Et il commande as cheualiers et as escuiers le 	y de llorar  y dezir 	
qu’il se traient en sus, 	qui la estoient  quilz se tirassent arriere	quilz se tirent arriere.	quil se traient arier diluec. 	quil se traient ensus. 	quil se traient arriere 	ay my buen señor don lanzarote si vos fuesedes agora çerca demi 	
car il velt touz seus remanoir avec cele qu’il aimme  et dont il cuide bien faire sa volenté sanz contredit.	et quil uouloit tout seul demourer auec elle/  car il cuidoit bien en faire sa uoulente sans contredit nul. 	car il ueult tout seul demourer auecque celle  quil ayme.  Adonc cuide il bien faire sa uolente sans contredit. 	Car il wet demorer auec cele de quil cuide auoir ses uolentes sans contredit. 	Car il ueult touz seus remanoir auec cele  quil ainme.  adonc cuide bien fere sa uolente sanz contredit. 	quar il veult tous seuls demorer auec la damoisele.  quar il en quide bien faire sa volente sans contredit. 	como me vengariades desta desonrra  que este traidor ladron me quiere fazer 	
Quant cil s’an sont d’iluec alé, il prant la damoisele et la giete souz lui  et dist 	Quant ceulx la se sent dillec partis il print la damoiselle  et la ietta soubz lui en lui disant 	Et quant ilz se sont partiz dilec. il prent la damoisele et la gecte soubz liez. et dit 	quant il ce sont dilluec torne li cheualiers prant la damoisele  et la geste sous lui.  et dit 	quant cil sen sont dilec torne. Il prent la damoisele et la giete souz lui.  Et dit 	Quant cil se furent trait arriere. si prent li cheualiers la damsoisele  et le giete desouz lui et dist 	y entonzes trauo della el Cauallero 	
qu’il li fera a force,  s’ele ne li veult otroier debonnairement. 	quil luy seroyt force  se elle ne le uouloit ottroier de bon ayrement/ 	quil luy fera a force selle ne le ueult octroyer debonairement.	qu il li fera a force.  ent cele ne le uet otroier. 	quil li fera a force.  sele ne li ueult otroier debonairement. 	quil' li fera a force  se elle ne le veult otroier deboinairement 	y echola en tierra y ella se defendia quanto podia 	
Et ele s’escrie: « 	et elle commenca a crier. 	Et elle sescrie. 	Ains sescrie. 	Et elle sescrie. 	Et elle sescrie a haute vois 		
Ha, gentils hom Lanceloz, por quoi n’estes vos ci ?  Si vengissiez moi et vos de la honte 	Ha ha gentil homme Lancelot  pour quop nestes uous cy  si me uengissiez  et uous aussi de la honte 	Haa gentilz homme lancelot  pour quoy nestes uous cy. si uengissez uous et moy de la honte 	ha lanc̃. gentis hons  que nestes uos ci.  Si uangissiez et moi  et uos de ceste honte 	ha: gentilz hom. lanc̃.  que nestes uous ci.  si uengissiez moi.  et uous. de la honte 	ha : gentils homs lancelot porcoi nestes vous yi.  si uengissies moi  et vous de la grant honte 	y quando vio 	
que cil lerres vos velt faire. » 	que cestui cy me ueult faire 	que ce larres me ueult faire. 	que cis lerres me fait. 	que cist lerres uous ueult fere. 	que cils lerres VOus veult faire. 		
Lors conmance a guenchir et a detordre soi au plus  qu’ele ! puet  et il la tient molt estroit entre lui et la terre.  Et cele se rescrie: «  Ha, Lanceloz, biaux douz amis, li vostre secors me tardera moult,  ce m’est avis. »  Et Lanceloz 	Lors commenca a soy deteurdre au plus  que elle peult/  et ycellui cheualier la tenoit menlt estroit entre lui/ et la terre.  Et elle commenca de rechief a crier. Beaulx doulx ami uostre secours me tardera moult si comme ie croy/  Et Lancelot 	Lors commence a guenchir et a soy deffendre au plus qu elle puet.  et il la tient moult estroit entre luy et la terre.  et elle sescrie.  Haa lancelot beau doulx amy. ie croy que uostre secours me tardera moult.  Et lancelot 	Lors ce coumance a desfandre mout durement.  et cis la tient mout estroitement entre lui et la terre.  et cele sescrie mout durement. ha lanc̃. biax dous amis uostres cecours me tardera hui trop ce mest auis.  Et lancelos 	et lors commence a ganchir et a trestorner soi au plus  quele puet  Et il la tient molt estroit entre lui et la terre.  Et ele se rescrie.  Ha: lanc̃. biaux doulz amis li uostre secours me tardera molt ce mest auis.  Et lanc̃.	Lors commenche a guenchir soi et a detordre au plus  que elle puet.  et il le tient moult a destroit entre lui et la terre.  Et celle sescrie en haut.  ha : lancelot biaus douls amis  li vostres secors me tardera moult ce mest auis.  Et lancelot 	que el Cauallero la afincaua començo a dar muy grandes vozes  e dezia  ay mi señor don lanzarote  que mucho me tarda vuestra ayuda  y quando don lançarote esto oyo entendio 	si ve n’à egli molti 
qui bien ot veu ce qu’il orent fait  et antandues toutes les paroles  qu’il disoient se dresce? en estant,  ce li est avis 	qui bien auoit ueu et entendues toutes les parolles  quilz disoient se dreca en estant  car aduis lui estoit	qui a bien ueu tout  quant quilz ont fait.  et entendu toutes les paroles  qu ilz disoient se drece en estant  si luy est aduis 	qui bien ot oi et ueu  quanquil faissoient. respont il a damoisele  et se dresce en estant. 	qui bien ot ueu  ce  quil orent fet.  et entendu toutes les paroles  quil disoient.  Se drece en estant. 	qui bien ot ueu chou  que cil orent fait.  Et ot bien entendu lez paroles  que cils auoit dites  Si se lieue en estant 	quela donzella estaua en gran peligro  y leuantose muy ayna ansi armado  como estaua 	
que trop porroit huimais demorer; sì prant son escu 	que meshuy pourroit bien trop demourer/  si print son escu 	que trop poroit maishuy demourer 	et li est auis que trop porroit hui  mais demorer. 	Si li est auis que trop porroit huimes demorer.  Si prent son escu 	si li est auis que trop porroit demorer  si prent son escu 		
et traist s’espee  et dist a cele 	et trait son espee/  en disant a celle 	et prent sescu  et trait sespee  et dist a celle	Si prant Son escu et trait sespee  et dit a cele 	et trait sespee.  Et dit a cele 	et trait sespee  et dist a cele 	y tomo su escudo y metio mano ala espada 	
qui le regrete : « Damoisele, n’aiez paor, 	qui le regretoit/ Damoiselle nayez paour	qui le regrete. Damoisele nayez paour 	qui le regretoit. Damoisele naiez paour	qui le regarde. Damoisele naiez pas paour 	qui si durement le regretoit. Damoisele naies paour 		
car je ne sui mie trop loing de vos  et mal vos a li chevaliers courroucie, 	car ie ne suis pas trop loing de uous  et mal uous a le cheualier courroucee 	car ie ne sus par loing de uous  et tant uous a le cheualier corroucee 	que ie ne sui pas trop loing de uos.  et mar uous a li cheualiers correcie 	Car ge ne sui pas molt loing de uous.  Et molt uous a li cheualiers corrociee. 	quar iou ne sui mie trop loing de vous.  et mar vous a li cheualiers corochie. 	y Respondio ala donzella non ayades pauor 	
qu’il en morra. »  Lors s’en vait vers aux grant pas, 	car il en mourra.  Lors sen alla uers eulx grant erre/ 	quil en mourra. Lors sen ua uers eulx grant pas. 	quil en porra bien morir.  Atant uient uers eus grant aleure. 	Et il en morra. se ie pus.  Lors sen uait uerz els grant pas. 	quar il en morra  se iou  puis yuant lancelot uoit  que cil force uoloient faire a la damoisele  si en fu moult coroucies. Lors sen uait uers euls grant pas 	ca non so lexos devos 	
et quant cil le voit venir,  si a grant paor de mort 	et quant lautre le uit uenir  si eut grant paour de mort/ 	et quant il le uoit uenir si a grant paour de mort. 	et quant cil le uoit uenir  si a paour de morir 	Et quant cil le uoit uenir  si a grant paour de mort. 	Et quant cil  qui tenoit la damoisele le uoit venir.  si ot paour de mort 	y en tan mal punto se leuanto el traidor 	
et crie: « Aide aide! —  Par mon chief, fait il, aide ne vos avra mestier, 	Adonc  si commenca a crier aide aide/  Par mon chief fist lancelot  aide 	et crie. aidez moy.  Par mon chief fait il aide  ne uous aura ia mestier. 	et crie aie.  par mon chief fait lanc̃ Ia aie ne uos i aura mestier 	et crie aide aide. par mon chief fet i. aide ne uous y aura ia mestier. 	Si crie aide aide.  Par mon chief fait lancelot ia aide ne vous aura mestier. 	que vos quiere desonrrar  ca el morira ay amis manos como mal traidor 	
	ne uous aura ia mestier 						
car vos en morrez 	car uous en mourrez 	car uous en mourrez. 	que uos en morrois. 	Car uous en morrez	quar vous en morres. 	y entonçes se dexo yr aellos a gran paso  y quando el cauallero lo vio venir contrasi / ouo muy gran pauor de muerte y Començo a llamar alos otros caualleros 	
et il est bien droiz, 	et il est bien raison: 	et il est bien droit 	et il est bien drois. 	et il est bien droiz. 	et tout cil 	e dixo don lançarote 	
quant ceste damoisele voliez honir a force. »  Lors hauce l’espee 	quant uous uoullez ceste damoiselle prendre a force/  Lors haulce lespee 	quant ceste damoisele uoulez honnir a force. le fiert de lespee  et luy trenche sespaule.  Lors hauce lespee. 	quant uos ceste damoisele uoliez honir a force.  Lors hauce lespee. 	quant uous ceste damoisele uoulez honir a force.  Lors hauce lespee. 	qui ceste damsolisele voles honir a force.  Lors hauce lespee 	por buena fee non vos valdra oy nada su ayuda dellos 	
et cil velt foïr,  mais il ne puet, 	si sen uoulut fouir  mais il ne peult/ 	et cil ueult fouir.  mais il ne puet 	et cil uot fuir  mais il ne puet 	et cil uolt fouir  mes il ne pot.	et cil volt fuir  mes il ne pot. 	ca vos moriredes antes como traidor 	
car Lanceloz le fiert  si de l’espee	car lancelot le frappa: 	car lancelot le fiert si fort de lespee 	que lanc̃ le fiert de lespee 	Car lanc̃. le fiert si de lespee. 	quar lancelot le fiert si de lespeé 	que queriades desonrrar ala mejor donzella del mundo 	
qu’il li tranche l’espaule senestre,  et cil chiet a la terre 	si quil lui trencha lespaulle senestre et labatit a terre naure a mort. et les aultres ses compaignons si alloyent 	quil luy trenche lespaule senestre.  et il chiet a la terre 	et li tranche lespaule senestre.  et cis chiet a terre 	quil li trenche lespaulle senestre. Et cil chiet a la terre 	quil li trence lespaulle senestre.  Et cil chiet a terre 	y entonzes alzo la espada porlo ferir 	
qui navrez se sent a mort.  Et li autre acourent 		qui se sent naure a mort.  et les autres y acourent 	qui se sant naurez a mort.  et li autre li uiennent acourant 	qui naurez se sent a mort. Et li autre y aqeurent 	qui naures se sent a mort  Et li autre acueurent 	y el Cauallero quiso fuir 	
por lui aidier	pour luy aidier/ 	pour luy alider. 	pour lui aidier. 	pour lui aidier. 	por lui aidier. 	mas non pudo 	
et Lanceloz lor laisse corre. l’espee traite,  si en occist IlI. tantost a ce 	et lancelot leur laissa courre lespee  si en occist deux incentinent pour ce 	et lancelot leur court lespee traicte si en occist tantost troys 	et lanc̃ lor uient lespee el poing. si en ocit .iii. tantost. A ce 	Et lanc̃. leur qeurt sus lespee traite.  Si en ocist .iii. tantost. a ce 	Et lancelot lor cort lespee traite.  si en ocist tantost. ij. a ce 	y don lanzarote lo firio ansy quele Corto toda la espalda siniestra conel braço 	
qu’il les troeve desarmez; 	qu il les trouua desarmez: 	par ce qu il les a trouue desarmez. 	quil les trueue desarmes. 	quil les trueue desarmez. 	quil estoient desarme.	y cayo luego muerto en tierra 	
et li autre tornent an fuie a ce 	et les aultres promptemeut tournerent en fuitte/ 	et les autres senfuyent. 	et li autre tornent en fuie  por ce 	Et li autre tornent en fuie a ce 	Et li autre tornent en fuies 	y los otros quisieronlo acorrer 	
qu’il ont paor de morir  et s’an vont plus  que le pas vers la montaingne. 	car paour auoient de mourir:  si sen uont plus tost que le pas uers la mentaigne/ 	car ilz ont paour de mourir et sen uont plus tost que le pas uers la montaigne. 	quil ont paour de mort. et sen uont plus que le pas.  et lanc̃. sen uient a la fontaine 	quil ont paour de mort.  Et sen uont plus que le pas uerz la montaigne. 	quar il auoient paour de mort et sen uont plus que le pas vers la montaigne. 	mas don lançarote quelos fallo desarmados  mato luego los dos dellos y los otros fueron poresas montañas 	
Et Lanceloz prant le millor des III. chevax 	si print Lancelot le meiffieur des .iii. cheuaulx/ pour le sien 	Et lancelot prent le meilleur des troys cheuaus 	et prant le meillor des cheuaus porce 	Et lanc̃. prent le meilleur des .iii. cheuaux. 	Et lancelot prent le meillor dez. iij. cheuaus 	e desque esto ouo fecho don lançarote tomo vn cauallo de los mejores 	
por ce qu’il avoit le suen perdu 	qu il auoit perdu/	par ce  quil auoit perdu le sien 	quil auoit le suen perdu. 	pour ce  quil auoit le sien perdu. 	por ce  quil auoit le sien perdu. 	que ay fallo 	
et lesse les autres aler par la  ou il vuelent; 	et laissa les aultres aller par la  ou ilz uoullurent/ 	et laisse aler les autres la  ou ilz ueulent. 	et laisse les autres aler a lor uoloir. 	Et lesse les autres aler par la ou il ueulent. 	Et laisse lez autres aler la  ou il volent. 	y torno ala donzella  que estaua asentada y espantada 	
puis vient a la damoisele	puis uint a la damoiselle 	puis uient a la damoisele 	et uient a la damoisele 	Et puis uient a la damoisele 	Et puis sen vient a la damoisele 	y quando lo ella vio le dixo 	
qui ert toute esbahie 	qui toute estoit esbahye 	qui est toute esbahie 	qui mout estoit esbahie de ce 	qui est toute esbahie	qui ert toute esbahie 	vos me librastes señor 	
dont Lanceloz pooit venir  et li demande: « Biaux sire, 	dont Lancelot pouoit estre uenu, si li demanda. Beau sire 	dont lancelot puet uenir. et luy demande beau sire 	que lanc̃ estoit illuec uenus .  et dont il pooit uenir.  et li dit. Biax sires	dont lanc̃. puet uenir.  Si li demande biau sire: 	dont lancelot pooit uenir.  Si li demande biau sire. 	y sodes vos don lançarote  si sin falla dixo el 	
qui rescousse m’avez, estes vos Lanceloz ? »  Et il dist oil 	qui rescousse  me auez estes uous lancelot et il luy respondit 	qui estes uous  qui mauez rescousse estes uous lancelot.  et il dist ouil. 	qui rescouce mauez estes uos dont lanc̃.  et il dist 	qui resqeusse mauez. estes uous lanc̃.  Et il dit oil. 	qui rescousse maues estes vous lancelot Et il dist oil. 	Entonçes 	
