micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
Et quant il voit  que faire li couvient, 	Et quant celluy uit  que faire luy conuenoit/ 	et quant il uoit  que faire li estuet 	Et quant triadan voit  que faire li couuient. 	Et quant cil uoit  que fere li couient. 	Et quant il uoit  qu il luy conuient faire 	e luego se armo el jaian 	E quand’e' vide  che ffare li conviene, 
si met sa main sor I. tronc  et li jaianz i fiert, 	si mist la main dessus ung tronc  et il frapa 	si tent la main sor .i. tronc.  et li Iaians i fiert 	si met sa main sour vn tronc et li iaians y fiert 	si met sa main desus .i. tronc.  et cil fiert 	si mect sa main sur ung tronc.  et le geant y fiert 	e caualgo en su cauallo e fuese enpos de don yban 	si mette sua mano di suso un sasso,  e quegli il fiede 
si li coupe le poing, 	si la luy couppa au premier coup/ 	si quil li cope le pong 	si li cope le poing 	et li trenche le poing. 	si luy cope le poing. 		e gli tronca il pugno, 
et cil se pasme de l’angoisse 	puis trudans retira son bras a luy  et se pausma de langoisse 	et cil se paine de langousse 	Et cil se pasme de langoisse et de la dolour 	et cil se pasme de la grant angoisse 	Et il se pasme de langoesse 		e que' si spasima della grande angoscia 
qu’il sant. 	quil auoit 	quil a. 	quil sent. 	quil .a. et	quil sent. 		ch’egli
Quant il revient de pasmoisons, 	Et quant il reuint de pausmoisons/ 	quant cil reuint de pamisons 	Et quant il reuint de pasmisons 	quant il reuient de pasmoisons 	Et quant il reuient de pamesons 		à.eE quand’e' riviene di spasimagione, 
si dist au jaiant: « Sire,  com avez fait grant cruauté de ce  que vos m’avez einsi honni  et sanz meffait !  Diex me doint encore  tant de vie  que mes cuers en soit esclairiez!»  Lors se part de laienz si angoisseus 	Si dist au geyant/  Ha ha comment uous mauez grande cruaulte faicte/  qui mauez si mal atourne et sans forfait dieu me doint encore/  tant donner de uie  que mon cueur en soit esclarce.  lors se partit de leans si angoisseux 	si dit au iaiant. Sire fait il mout aues fait grant cruaute de ce  que uos mauez ainsi honi. et sans forfait. Diex me doint ecore tant de uie  que mes cuers en soit esclairiez  Lors ce part de laiens si dolans 	si dist au iaiant. Sire  comme vous aues fet grant crualte de chou  que vous maues ensi honni et Sans raison. Diex me laist encore tant viure  que mes cuers en soit esclaries LOrs sen part de laiens si angoisseus 	si dit au iaiant.  ha; com uos auez grant crualte fete.  qi mauez si mal atorne et sanz forfet. diex me doist encor tant de uie  que mes cuers en soit escleriez.  Lors sem part de laienz si angoisseus 	si dist de pamesons  si dist au geant.  Comment auez uous ores fait grant cruaulte  qui ainsi mauez honny et sans meffait. Dieu me doint encores tant de uie  que mon cuer en soit esclarcy.  Lors sem part de leans si doulent et si angoesseux 	quanto mas pudo 	si disse al giogante:  Come voi avete gran crudeltà  che m’avete si male atornato  e sanza forfatto! Dio mi doni ancora tanto di vita  che mio cuore ne sia ischiarato».  Allor si parte di là entro tutto crucciato e angoscioso 
que nus plus. 	comme nul plus	que nus plus.	que nus plus.	que nus plus 	que nul ne pourroit plus. 		che nullo più.
Et li jaianz demande ses armes	Et le geyant demanda ses armez  et on les lui aporta. 	et li iaians demande ses armes. 	Et li iaians demande sez armes. 	Et li iaianz demande ses armes. 	et le geant demande ses armes 		E l giogante domanda sue armi, 
et dist 	Si leur dist 	et dit 	et dist 	et dit 	et dit 		e disse 
qu’il li couvient aler aprés celui 	que aller uuloit apres celluy/ 	quil li conuient aler apres celui 	que iames ne finera derrer apres celui 	que aler li couient apres celui 	quil le conuient aller apres celuy 		che andare el conviene apresso colui 
qui la honte li a faite, 	qui telle honte luy auoit faicte 	qui li a fait la honte. 	qui la honte li a faite. 	qui ceste honte li a fete. 	qui luy a fait la honte 		che questa onta gli à fatta, 
que jamais ne finera i  tant que il an soit vengiez. Cil de laienz font son conmandement,  si li aportent armes bonnes et riches ,;  et quant il est armez,  si li amoinnent I. destrier. fort et isnel  qui est plus noirs que more,  et il monte. sus 	Et que iamais ne finera/  tant quil en soyt uenge/ et ceulx de leans luy aporterent des armes bonnes et riches/  Et quant il fut tout arme au mieulx  que il peult/  Si luy amenerent entre eulx ung destrier/ fort et eysnel  qui grant estoit a desmesure/	Ne ia mais ne finera  tant quil en soit uangiez.  Cil de laiens font le commandemant et li aportent armes bones et riches.  et quant il fu armez si li amainnent .i. destrier fort et inel  qui ert plus noirs que meure.  et il monte sus 	Ne iamais ne sera a aise  deuant ce quil en soit uengies.  Cil de laiens font son commandement.  si li aportent bones armes et riches.  Et quant il fu armes.  si li amainent vn destrier fort et isnel  qui ert plus noirz  que meure.  Et il monte erranment sus. 	Ne iames ne finera dusqua tant que il en soit uengiez  Et cil de laienz li aporterent armes bones et riches.  Et quant il est touz armez au miex que cil de laienz pueent.  si li amainnent son destrier fort et isnel et grant outre mesure. 	ne iamais ne finera  tant qu il en soit uenge.  et ceulx de leans font son commandement  et luy aportent armes bonnes et riches.  et quant il est arme  si luy amainent ung destrier fort et isnel  qui est plus noir que meure. Il pend a son arcon une hache et une mace de fer. 	que non paresçia sino vn corrist  y derribaua tiendas y chozas 	né giamai non finerà d’andare infino a tanto  che ne sarà vendicato.  E quelli di là entro gli aportarono arme buone e ricche,  e quando egli è tutto armato, il meglio  che quegli di là entro poterono,  si gli amenarono suo destrieri, forte e snello e grande oltremisura. 
et pant a son arçon I. hache tranchant  et mace de fer plomee et pesant 	si pendit a larson de sa celle une guisarme trenchant/ et une masue plombee/ 	et pent a son col son escu. et a son arson une hache tranchant et mace de fer plomee et pesant. 	et pent a son arcon  deuant vne hace trenchant et vne mace de fer plommee fort et pesant. 	et il pent a larchon de sa sele une hache trenchant. et une mace de fer plommee. 		e mataua omes e mugeres 	E elli pende all’arcione di sua sella un’acciaia maza di ferro piombata, 
et pant a son col s’espee de bon acier. a 	et a son coste une bonne espee trenchant/  et bien trempee oultre mesure 	et ot a son costel sa bone espee tranchant.	Et espee trenchant. 	et ot A son coste une espee de bon acier tempre. 	et pend a son coul sespee de bon acier. 		e ebbe a-ssuo costato una spada di buono acciaio temperata. 
Et quant il est si atornez 	Apres  quant il fut si durement arme/ 	et quant il est si atornes 	Quant li iaians est ensi atornes 	QUant il est si armez 	et quant il est si atourne 		Quando il giogante est si bene armato 
que riens ne li faut, 	si quil ne luy falloit 	que riens ne li faut 	si que riens ne li faut 	quil ne li faut riens 	quil ne luy fault riens 		che no gli falla nulla, 
si s’em part de la montaingne  et vait tele oirre qu’il samble  que ce soit foudre en son venir;  si troeve II. pavillons tanduz dejoste la voie. Il fiert par mi, 	riens il se partit en telle maniere de la montaigne/  et sen alla si tempestueusement/ et a si grant erre quil sembloit  que ce fust fouldre  et tempeste a le ueoir aller/ Et ainsi quil cheuauchoit/ il trouua en une chaucee deulx pauillons tendus	Si part de la montangne.  et sen ua tel oirre  qu il sanble que ce soit foudre a son uenir.  Si trueue .ii. pauillons tandus deiouste la uoie. Il fiert parmi 	si sen part de la montaigne  et sen uait tel oirre  quil samble  que ce soit foudres en son uenir.  Lors trueue vn pauellon tendu deiouste la uoie.  et il y est uenus 	si se part de la montaingne.  et sen uet. si grant erre  quil semble  que ce soit foudre en son uenir.  si trueue en une saucoie .ii. paueillons tenduz	si sem part de la montaigne et sen uait tel erre  quil semble  que ce soit fouldre A son uenir treuue deux paueillons tenduz iouste la uoye. Il se fiert par lun 	e quantos fallaua 	si si parte della montagna e se ne va si grande andatura  come se-lla folgore il cacciasse in su' venire.  Si truova in un campo due padiglioni tesi, 
si l’abat a terre, 	Si les abatit a terre/ 	et abat tout. 	et y fiert  tant quil labat a terre.	si les abat a terre. 	si labat a terre 		si gli abatte a tterra; 
si troeve I. chevalier et une damoisele 	et dedens trouua ung cheualier et une damoiselle 	et trueue dedens .I. cheualier et une damoisele 	si y trueue. j. cheualier et vne damoisele 	si trueue i. cheualier. et une damoisele.	et y treuue ung cheualier et une damoisele 		si vi truova un cavaliere e una damigella 
qui se dormoit en son lit. Il trest l’espee, 	qui se dormoient en ung lit/  puis trait lespee/ 	qui dormoient en i. lit. Il trait lespee 	qui se dormoient en. i. lit. il trait lespee. 	qui dormoient en .i. lit.  et il tret lespee. 	qui se dormoient en ung lit. Il trait lespe 		che dormivano in un letto, 
si coupe as Il. les testes et les pant a l’arçon de sa sele  et lie l’une a l’autre par les chevox; 	et leur couppa a tous deux les testes/  et puis les pendit toutes deux a larcon de sa selle/  et les lia lune a lautre par les cheueulx/ 	et leur cope an deus les testes et les pant a larson de sa celle.  et lie lun  et lautre par les cheueus.	si lor cope ambes. ij lez testes. et puis les pent a larcon de sa sele.  et lez lie li vne a lautre par lez cheueus 	et coupe a ambedeus les chies.  et en pent les testes a larchon de sa sele.  et lie lune lez lautre par les cheueuls. 	et leur cope les testes et les lie lune a lautre et les pend a larcon de sa sele 		e elli trae la spada e colpa a menduni il capo,  e pende il capo a l’arcione di sua sella e lega l’una dallato all’altra per li capelli. 
si s’an torne maintenant cele part  ou il cuidoit	atant sen partit  et sen ala celle part  quil scauoit	Si sen torne maintenant  ou il cuidoit 	si sen torne maintenant cele part  ou il quide 	si sen part atant  et sen uait cele part  quil sauoit 	si sen ua maintenant la ou il cuide trouuer son escu. 		i se ne va in quelle parti  ov’elli sapea 
que ses escuz poist estre. 	que son escu deuoit estre/ 	que ses escus fust. et	que sez escus puist estre. 	que ses escuz deuoit estre. 			che suo scudo dovea essere. 
Et quant il i est venuz et il ne le troeve,  qui li veist les ieulz rooillier et les danz estraindre et croler la teste de grant cuer fust, 	Et quant il ne le trouua point/ Qui luy eust ueu les yeulx rouller/  et les dens estraindre/ et la teste hocher/ il eust este bien plain de grant hardiement 	quant il i est uenus  et il ne le trueue  qui li ueist les yeux rollier  et les dans estraindre et la teste hocier. de grant cuer fust ce il neust paour. 	Et quant il y est uenus  et il ne le trueue.  qui lors li ueist lez iex ouurir et rooiller  et lez dens estraindre et la teste croller. de grant cuer fust 	Et quant il uoit  et il nel trueue.  qui li ueist les eulz roillier.  et les denz serrer ensemble. 	qui luy uist rouiller les yeulx les dens estraindre  et crosler la teste de grant 	e quando llego a donde tenia su escudo 	Quand’e vi viene  ed el non truova mica,  si n’è molto dolente,  e chi li vedesse i denti dirugginare e serare insieme  e li ochi volgere e crollare la testa, di molto grande ardimento fosse 
				et croller la teste de grant hardement fust 			
s’il n’en eust paor, 	qui nen eust eu paour 	A ce 	sil nen deust paour auoir a ce	sil neust paor. a ce 	cuer il nest nul qui nen eust grant paour 		se non avesse allora paura,  acciò 
a ce qu’il estoit granz et noirs  et antalantez de mal faire.  Lors trest l’espee  et se fiert es pavillons,  si conmance cordes a tranchier et a abatre par terre 	a ce  quil estoit noir et grant/  et entallente de mal faire.  Lors trait lespee/  si commenca a detrancher tout ce 	quil estoit Grans et noirs.  et entalentes de mal faire.  Lors trait sespee et siefiert el pauillons  et en coumance cordes a tranchier. et a abatre par terre 	quil estoit grans et noirs.  et entalentes de mal faire.  Lors trait lespee  et se fiert es paueillons  et commence cordes a trenchier Let a abatre par terre 	quil iert noirs et granz.  et entalentez de mal fere.  lors tret lespee  et se fiert es paueillons.  Et commence a detranchier et a abatre 	a ce  quil estoit grant et noir et entalente de mal faire.  Lors trait lespee  et se fiert es paueillons  et commence a trencher cordes et abatre a terre 	e non lo fallo 	ch’elli era nero e grande e atalentato di mal fare.  Allora trae la spada  e comincia a ditrencare 
quanqu’il ataint. 	quil trouuoit es pauillons 	et qanqu il ataint. 	quamquil ataint. 	quanqu il ataint 	quantqu il ataint. 		quanto ch’egli agiugne,
Mais il lor avint moult bien 	Si luy aduint si bien a celle heure 	Mais il auint si bien 	mais il en avient si bien.	mes il li auint 	mais il leur aduint si bien 		ma e' gli avene si 
qu’il n’i trova home ne fame;  et quant il ne troeve 	quil ne trouua ne homme ne femme/ 	quil ni troua home ne fame.  et quant il uoit 	que il ni troua ne homme ne femme  Et quant il ni trueue nullui 	si quil ne trouua laienz ne home ne fame  Et quant il uoit 	quil ny trouua. homme ne femme.  et quant il ne treuue 		che non trovò là entro huomo né femina.  E quand’e' vide 
qu’il puisse occirre, 	a qui il peust mal faire de son corps/ 	quil ne trueue cui ocirre. 	quil peust occirre. 	quil ne puet riens trouuer 	quil puisse occire 		che non vi potea nulla trovare, 
si s’areste ausi com I. lions,	Si se arresta ainsi comme ung lyon	Si sareste ausi comme li lions 	si sareste autresi  comme li lyons fet	quil ocie.  Si sa teste aussi comme .i. lyon 	si sarreste aussi comme fait ung lion 		si s’aresta insi com'un lione 
quant il a les bisches occises, 	quant il a les biches occisez 	quant il a les bestes ocises 	quant il a lez bissez ochises.  et il ne trueue mes a	quant il a les biches ocises. 	quant il a occis les bisches 		quand’egli à le bestie morte; 
et il ne troeve a qui il puisse monstrer son corage  et aprés resgarde l’arbre ou ses escuz pendoit 	/Et enraigoit 	et il ne trueue ne mais  a cui il puisse montrer son corage.  et apres regarde larbre 	qui il se puisse prendre  ne moustrer son fier corage.  Apres reparda larbre  ou sez escus pendoit 	et il ne trueue 	et il ne treuue plus  a qui il puisse monstrer son courage.  Apres regarde larbre 		se elli non truova
qui li ramantoit son maltalant, 	quil ne trouuoit a qui uendre son corps/ 	qui li ramentoit son mautalent	qui li ramentoit son mautalent 	a qui il uende son courrouz.	qui luy ramentoit son maltalent. 		a cui elli vendichi suo cruccio, 
dont il ne sera ja vengiez,	Car il ne sera uengie 	dont il ne cera Ia uangiez 	dont il ne sera ia uengies 	dont il ne sera uengiez 	dont il ne sera ia uenge		donde non sarà vendicato davanti 
si com il dist,  devant qu’il ait occis celui 	deuant quil aura trouue messire yuain 	si comme il dit  deuant quil ait ocis celui 	si comme il dist  deuant quil ait ocis cellui 	deuant que il aura troue celui 	si comme il dit iuicqu  a ce qu il ait occis celuy		ch’egli abbia colui trovato 
qui ceste honte li a faite. 	qui ceste honte lui auoit faicte/ a luy et a ceulx de ce pays/ 	qui ceste honte li a faite. 	qui ceste honte li a fete. 	qui ceste honte li a fete 	qui luy a fait celle honte. 		che questa onta gli à fatta. 
Lors s’achemine cele part 	Lors se dreca celle part 	Lors sachemine cele part 	LOrs sachemine cele part 	lors sadrece cele part 	Lors sachemine celle part 		Allora s’adiriza in quelle parti 
qu’il le cuide trouver et s’en vait autresi forsenez conme celui 	ou il cuidoit trouuer celluy  Si sen ala ainsi forsene/ 	quil le cuide trouer.  et sesmuet ausi forcenez comme cil 	ou il le quide trouuer  et sen uait autresi forsenes comme celui 	ou il le quide plus tost trouer.  et sen uet aussi forsene comme cil 	ou il le cuide trouuer  et sen ua 		dove il crede più tosto trovare  e se ne va altresi pazo come colui 
					si forsenne comme cil 		
cui grant rage chace. 	comment cellui  que la rage chasse/ 	qui grant rage chace. 	qui grant corage auoit. 	qui la rage chace. 	qui grant rage chace. 		che lla, rabbia caccia. 
Lors a tant alé 	Si cheuaucha tant 	ors a tant ale 	Lors a tant ale 	si a tant ale 	si est tant ale 		Si à tanto andato
que la nuiz le sorprant a l’antree d’unne forest et puis resgarde tout entor soi 	que la nuyt le surprint a lentree dune forest/  et il regarda enuiron soy/ 	que la nuis le souprent a lentree dune forest.  Lors regarde tout entor soi 	que la nuis le SOusprent a lentree dune forest  et puis regarde tot entour lui 	que nuiz le sorprent a lentree dune forest. il regarde enuiron soi. 	que la nuyt le surprent a lentree dune fourest.  puis regarde tout entour 		che notte il sopprende all’entrata d'una foresta,  e elli riguarda intorno sé
por savoir  s’il veist ne chastel ne maison  ou il poïst herbergier :  mes il ne voit fors l. pavillon  qui estoit en une valee  et estoit auques loing de lui. Et il se torne cele part 	pour scauoir  se il pourroit ueoir ne borde ne lieu  ou il peust hebergier pour la nuyt. Lors uit ung pauillon en une ualee assez loing de luy si tourna celle part son cheual  ainsi 	por sauoir cil uerroit ne chastel ne maison.  ou il poist herbreger.  mais il ne uoit fors .i pauillon en une ualee auques loins de lui. Il se torne cele part tout autresi 	pour sauoir se il ueist ne chastel ne maison  ou il peust herbergier.  mais il ne voit que. i. seul pauellon en vne ualee.  Et estoit auques loing de lui. Il sen torne cele part autresi 	por sauoir  sil ueist chastel ne meson  ou il poist heberger.  et il ne uoit fors .i. paueillon  qui ert en une ualee. Auques loing de lui.  Et il torne cele part aussi 	pour sauoir  sil uoirra chastel ne maison.  mais il ne uoit que ung paueillon  qui estoit en une ualee  et estoit auques loing de luy.  et il sen ua celle part aussi 		per sapere  s’egli vedesse castello o magione  dov’egli potesse albergare; e egli non vide  se none un padiglione  ch’era in una valle, alquanto lungi di lui:  e elli torna in quelle parti, 
ut ausi conme se deable le chaçassent ; 	comme se dyable le chassast/  et	com ce diables le chasast. 		comme se li dyable le chassast. 	comme se les deables le chassassent 		altresi come se diavolo cacciasse. 
et quant il ii est venuz,  si descent  et entre dedenz  et a trové Il. chevaliers et II. dames 	quant il fut la arriue Il se descendit  et entra dedens/  et la trouua deux cheualiers et deux damoiselles 	et quant il rest uenus  si descent  et entre ens.  Si a troue .ii. cheualiers et .ii. damoiseles 	comme se deables le chassaissent.  Et quant il y est uenus si descent et entre dedens. si trueue. ij. damoiseles et. ij. iouenes cheualiers 	et quant il y est uenuz.  si descent et entre dedenz.  Et trueue .ii. cheualiers. et .ii. damoiseles. 	et quant il y est uenu  si descent  et entre dedans.  et treuue deux cheualiers et deux dames 		Quand’è venuto,  si discende in terra  e entra di dentro,  e truova due cavalieri e due damigelle 
qui manjoient sus l’erbe fresche et bele.  Quant il se resgardent, 	qui mengoient sur lerbe uerde/	qui menioient a la terre sor lerbe fresche et uert.  quant il se regardent 	qui manioient sor lerbe fresce.  Et quant il se regardent 	qui menioient sus lerbe uert.  Et quant il le uoient uenir. 	qui mangeoient sur lerbe fresche.  et quant ilz se regardent 		che mangiavano sopra l’erba verde.  Quand’elino il vidono, 
si voient Mauduit le jaiant venir si grant aleure  com il pooit del cheval traire, 	Et quant ilz le ueirent entrer/ 	si uoient mauduit le Iaiant uenir Si grant aleure  com il puet de cheual traire. 	si voient malduit le grant iaiant uenir si grant aleure  comme il pot del cheual traire.		si uoyent uenir maudui le geant 	entonzes podiades ver ome sañudo 	
si le connoissent bien, 	Si le congneurent bien/ 	Si le quenoissent bien. 	si le connoissent bien. 	si le connoissent bien. 	si les cognoissent bien 		si l conobono bene, 
si en sont si tres durement esbahi  qu’il ne sevent mort ou vif a conseillier, 	et cuidoient estre a mort liurez 	Si en sont si esbahi  quil ne seuent que deuenir.	Si sont si durement esbahi  quil ne se seuent consellier 	si sont si esbahi  qil ne seuent 	dont ilz sont fort esbahiz et espouentez  si quilz ne scauent 		si sono si isbigottiti che non sano 
quar il cuident bien estre a mort livré. Il descent maintenant a terre de son cheval 	et il entra dedens 	Car il cuident bien estre a mort liure. Il descent maintenant de son cheual. 	quar il quident bien estre mort Il descent de son cheual 	quil doient fere.  quar bien quident estre a mort liure	que faire		ch’elli debono fare,  ché ben credono essere a morte liverati. 
et si ne lor dist onques nul mot el monde,  ainz oste le frain a son destrier  et laisse aler quel part 	sans leur dire mot/ ains laissa le cheual aler  quelle part 	et il ne lor dit onques mot.  Ains oste le frainc a son destrier  et le laisse aler quel part 	et ne lor dist onques mot.  ains osta le frain a son destrier  et le laisse aler  quel part 	et. il entre enz  et ne lor dit mot.  et lesse le cheual aler  quil part 	si cuident bien estre mors Il ne leur dist oncquez mot.  ains entre dedans  et oste le fraing de son destrier  et le laisse aller la 	e don yban andubo quatro dias 	E elli sentral dentro  e non disse nullo motto,  e-llascia il cavallo andare in quelle parti egli vuole; 
qu’il velt.  Et il avoit molt grant talant de boivre et de mangier,  si s’asist avec els ne il n’i ot celui 	quil uoulut/  Car il auoit tallent de mengier/  Si se assist auec eulx/  mais il ny eut celuy si hardi 	quil uelt et il auoit mout grant talent de menger. et de boire. et il ni ot celui 	quil veult  Et il auoit moult grant talent de mangier.  si sassist auec els ne il ni ot onques celui 	quil ueult.  et il auoit talent de  maingier.si sassiet o els.  mes il ne sont onques si hardiz 	ou il ueult.  et il auoit moult grant talent de boyre et de manger  si sassiet auec eulx.  ne oncquez ny eut celuy 		e elli avea talento di mangiare,  si s’asiede con esso loro,  ma egli non sono unque tanto ardito 
qui onques li deist mot. 	qui a luy osast parler. 	qui mot li deist. 	qui li deist mot. 	quil li dient mot. 	qui luy dist mot. 		che non dicono motto. 
Quant il ot assez mangié, 	Quant le geyant eut mengie/ 	quant il ot assez mangie 	Et quant il ot assez mangiet. 	QUant li iaianz a mangie. 	Et quant il eut assez mange 		Quando il giogante à mangiato,
si vint a son cheval 	si print son cheual 	si uint a son cheual 	si vint a son cheual 	si prent son cheual	si uint a son cheual 		si prende suo cavallo 
et monta sus et se fiert es pavillons 	et monta sus/  puis frapa au pauillon si durement 	si monte sus  et se fiert es pauillons 	et monte sus  et se fiert el paueillon si durement 	et monte sus.  et se fiert el 	et monte sus et si fier es paueillons		e monta suso,  e si fiede nel padiglione
si qu’il les a fait a terre verser desus els  qui se seoient encore, 	que a terre le fist uoller dessus ceulx  qui entour se seoient/ 	et les fait a terre uerser desus ceus  qui ce seoient encore. 	quil le fist a terre uerser. et labati sour ceuls  qui encore se seoient au souper 	paueillon.si quil le fet a terre uerser desus cels  qui encor se seoient. 	si qu il les a fait uerser a terre sur ceulx  qui se seoient. 	por aquella tierra 	si ch’egli il fa a terra versare  e di sopra a coloro che n tera sedevano. 
puis traist l’espee,  si occist les Il. chevaliers et les Il. damoiseles, 	et puis tira lespee  et occist les deux cheualiers et les deux damoiselles aussi aprez/ 	Puis trait lespee  et ocit les .ii. damoiseles et les .ii. cheualiers. 	puis traist lespee et ocist lez. ij. cheualiers et lez. ij. damoiseles. 	puis tret lespee et ocit les cheualiers andeus. et les damoiseles apres. 	puis trait lespee.  et occist les deux cheualiers et les deux dames 		MePoscia trae la spada  e uccise i cavalieri amenduni e lle damigelle appresso. 
puis se rit del mal	puis se commenca a rire du mal	Puis ce rit del mal 	puis sen rit del mal 	puis se rit del mal 	et sen rit du mal 		Poscia si ride del male 
qu’il a fait.  Maintenant se part d’ilueques 	quil auoit fait/ incentinent  se partit dillec 	quil a fait  Maintenant se part de laiens. 	quil ot fait.  Et sen part diluec. 	qu il a fet.  Maintenant sem part dileuc. 	qu il a fait. 		ch’egli à fatto. lmmantanente si parte del luogo. Egli era già notte scura, 
et il estoit ja nuiz oscure; 	et si estoit ia nuyt obscure/ 		Et il estoit ia nuis obscure. 	et il estoit ia nuit oscure. 	Et il estoit ia nuyt obscure. 		
si chevauche tant la 	et cheuauchoit deuers 	et erroit par la 	Si cheuaucha la 	si cheuauche tozdiz la 	et il cheuauche tant la 		si cavalca tutto di là 
ou il cuide trover gent  et abat avant soi trez et pavillosd]ns et loges  et destruit 	ou il cuidoit plus de gens trouuer pour les destruire/  si occist auant soy tout 	ou il cuidoit trouer gent. et abatoit tres et pauillons et loges  et ocit 	ou il quida trouer gent.  si abat tout chou 	ou il quide trouer gent si abat auant soi tres et paueillons et loges.  et destruit 	ou il cuide trouuer gens.  et abat deuant soy trez paueillons et loges et destruit 		ov’egli crede trovar gente,  si abatte davanti sé tende e padiglioni e logge,  e distrugge 
quanqu’il ataint et occist chevaliers et dames et damoiseles 	tant quil en pouoit trouuer tant cheualiers dames que damoiselles: 	quanquil ataint. et dames et damoiseles 	quil trueue en sa uoie.  si ocist cheualiers et dames et damoiseles 	quanque il ataint.  et ocit cheualiers. et dames et damoiseles. 	quantqu il ataint deuant soy  et occist cheualiers dames et damoiseles ne plus nen a mercy 		quanto ch’egli agiugne  e uccide cavalieri e dame e damigelle, 
ne i n’en a plus pitié que de chiens. 	si nauoit mercy de riens  quil peust auant soy trouuer. 	ne ne na nule pitiet nient plus ne que de chiens. 	et nen a nient plus de merchi  comme il eust de chiensa 	et nen a plus merci.  quil eust de chies. 	que de chiens enragez il sendormy pres dune fontaine  qui sourdoit en la ualee 		e non à più di mercé  ch’elli avesse di cani. 
Einsi oirre li jaianz toute la nuit  ne ne fine de tuer touz cels. 	Ains cheuaucha toute la nuyt en destruisant/ et tuant tous ceulx 	Ensi ouure la nuit mauduis  et ocit 	ANsi oirra li iaians tote la nuit.  et ne finoit de tuer tous cheuls 	Einssi a erre toute la nuit. si ne fine de tuer touz cels 	Ainsi ouure le geant ne onc toute la nuyt ne fina de tuer ceulx 		e  Esi vatutta la notte,  si non fina d’atoire quegli 
que il ataint. 	quil pouoit attaindre 	quanqu il ataint.	que il ataint. 	quil ataint 	quil ataint. 		ch’egli agiugne. 
Et quant il vint auques pres del jour, 	et quant il fut assez prez du iour 	et quant il uint.  et qu auques pres dou ior 	Et quant ce vint auques pres del iour. 	Et quant il fu auques pres de ior 	Et quant il fu pres du iour 		E quando elli fu alquanto presso del giorno,
si s’endormi delez une fontainne 	si se endormit dessoubz une fontaine 	si sendormi deles une fontainne 	si sendormi dales A vne fontaine 	si sendormi delez une fontaine 	si sendormy pres dune fontaine 		si  si dormi dallato una fontana 
qui sordoit en une valee.  Et mes sire Yvain 	qui sourdoit en une uallee et monseigneur yuain 	qui sordoit en une ualee. Messires .y. 	qui sourdoit au pie dune ualee  Et mesire vwain 	qui sordoit en une ualee.  Et misire .y. 	qui sourdoit en une ualee.  Et messire yuain 		che sorgia in una valle.  E monsignor Yvano, 
qui se fu partiz des damoiseles	qui cestoit parti des damoiselles 	qui cestoit partis des damoiseles 	qui se fu partis dez damoiseles 	qui se fu partiz des damoiseles.	qui si fu party des damoiseles 		chessi fu partito dalle damigelle 
qui l’avoient retenu a la fontainne por mengier  ou eles ot chevauchié tot le jor  que il onques ne fina jusqu’a la nuit.  Et lors vint duse’a une marechiere  et vit devant lui une tor ;	qui lauoient retenu pour mengier auec elles/  si cheuaucha toute la nuyt  et iusques au point du iour  ou pou prez.  Lors uit deuant lui une tour en ung hebergement moult riche/ 	qui lauoient retenu a la fontainne por menger et ot cheuauchie tout le ior  et onques ne fina iusqu a la nuit.  et lors uint en une mareschiere.  et uit deuant lui une tor. 	qui lauoient retenu a la fontaine  por mangier auec elles. ot cheualchie tout le ior iusques a la nuit.  et lors vint en vne maresciere.  si voit deuant lui vne tour. 	qui lauoient retenu  pour menger o eles ot cheuauchie tout le iour dusques a la nuit.  lors uit une tor deuant lui en une mareschere. il torne cele part pour hebergier. 	qui lauoient retenu a la fontaine  pour manger eut cheuauche tout le iour  que oncquez ne fina.  Et lors uint a une mareschiere si uit deuant soy une tour 		che-ll’ebono ritenuto  per mangiare con esso loro, ebbe cavalcato tutto giorno e nsino alla notte.  eAllor vide davanti lui una torre con uno abituro; elli torna in quelle parti per albergare, 
et il vient cele part  por herbergier, 	si tourna celle part heberger/ 	et il uint cele part  por habreger. 	si uait cele part pour herbergier. 		si uint celle part  pour herbreger		
car il ert bien tans. Et quant il vint la, 	et quant il eut frappe a luys 	car il en est bien tans.  et quant il uint la 	quar il en iert bien tans.  Quant mesire ywain vint la 	Car il en iert bien tens.  et quant il uient la. 	car il en est bien temps.  et quant il uint la 		ed elli n’è ben tempo.  VE quand’e viene là,
si trova le pont levé  et il apele tant  que J. vallez vint a lui 	si uint ung uarlet  qui luy dist  quil attendist 	si troua le pont leue. et il apela tant  que uns uarles uint a lui 	si trouua le pont leue  si apela tant que vns ualles vint a lui 	si trueue le pont leue.  et il apele tant  que .i. uallet uint a lui. 	si trouua le pont leue  et il apelle tant  que len uint a luy 		si truova il ponte levato; elli chiama tanto  ch’un valletto viene a-llui,
			qui lapelle 				
et li demande  qu’il velt. « 	tant quil eust demande congie a son seigneur. 	qui li demande  qui il est 	et li demande  quil veult. 	qui li demande que il uoloit. ha; biax amis 	et luy demanda len  quil ueult. 		che-lli domanda  ch’elli 
