	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
1183|1184	kar il l’ocirra, |s’il n’est secors: 	Car il locirra ia. |ce i nest cecorus. 	quar il locirra |sil nest secorus 	Car il loccira sil nest secouru. 	car il loccira |sil nest secouru 	Ca lo matara |si lo no acorredes 	ché l’uccidrà |se nonn-è soccorsol 
1185|1186|1187	si vos pri por Dieu |que vos i metés paine. » |Et Lancelos saut de la table 	Si uous pri por dieu |que uos metes painne en lui rauoir. |Et lanc̃ saut de la table 	Si vous pri pour dieu |que vous metes paine en lui rescorre. |Lors saut maintenant lancelot doutre la table. 	si uous pry pour dieu |que uous mectez et ung escuier uient a luy |si luy dist. 	Si uous prie pour dieu |que uous mettez paine a le secourir |Et lancelot sault hors de la table 	e porende vos Ruego por dios |que me ayudedes alo cobrar e lançarote salio luego dela mesa 	Si vo priego, per Dio, che vo' vi mettiate pena in lui riscuotere». |E Lancellotto salta tutto immantanente della tavola 
1188|1189	et demande ses armes, |et I. escuiers vint avant,	et demande ses armes.|et uns escuiers saut auaut 	si demande ses armes |Et vns escuiers vint a lui. 	Certes fait il. uoz armes |et demourra 	et demande ses armes, |et ung escuier uint a lui 	e pidio sus armas a vn su escudero 	e domanda sue armi, |e uno scudiere viene avanti
1190	si li dist : « 	si li dist. 	si li dist	que ie ne les suyue. 	et lui dist. 	Que y estaua le dixo 	che gli disse: 
1191|1192|1193|1194|1195|1196	Par foi, sire, vos armes et vostre cheval enmainent il ! — |Voire, fet il. par mon chief, ja|por ce ne remaindra |que je nes sieve.» |Lors vient fors del paveillon |et li chevaliers o lui 	Par foi sire et uos armes |et uostre cheual enmainnent il. uoire fait cil: par mon chief iaporte ne remandra |que ie nes sieue. |Lors uient fors del pauillon et li cheualiers o lui 	Par foy sire vos armes |et vostre cheual enmainent il voire fait il : |par mon chief por chou ne remandra il mie |que|ams iou ne lez sieue. |Et lors sen ist hors del paueillon. et li cheualiers aueques lui. 	Lors uient hors du paueillon. |et les peine a le rauoir |et lancelot sault de la table |et demande ses armes uostre cheual emmainent ilz. |uoire fait il. Par mon chief pour ce ne cheualiers o luy. 	Par ma foy sire uoz armes emportent il. |Par mon chief pour ce ne ne demourra il pas|que ie ne le suiue. |Et lors sault hors du paueillen et le cheualier auec lui Ilz regardent ceulx 	señor Por buena fee el cauallero vos a hecho llebar vuestras armas |e vuestro cauallo pormi cabeza dixo lançarote |ni por eso non fincara |quelo non siga |e luego salio lançarote dela tienda |e el cauallero conel 	«Per fé, vostre armi e vostro cavallo ne mena elli. |— Vere, diss’elli, per mio capo, già per ciò non rimarrà |ch’io nol seguiti». |Allor va fuori del padiglione |e l cavaliere con lui, 
1197	et il esgarde cels 	et regardent cex 	et il regarde chiaus 	et il regarde ceulx 		e vieron yr los caualleros pasando el agua Porvna puente de madero señor dixo lançarote 	ed e'risguardano quelli 
1198	qui s’en vont 	qui sen uont.	qui sen vont	qui sen uont 	qui sen uont 	al cauallero 	che se ne vanno 
1199|1200	qui ja avoient passé l’eve par J. pont de fust;|et Lancelos demande al chevalier 	qui ia auoiet passe leue par .i. poncel de fust. |et lanc̃. demande au cheualier 	qui auoient passe laigue par. j. pont de fust. |Et lancelot demande au cheualier 	qui auoient ia passe leaue par ung pont de fust. |Et lancelot demande au cheualier 	qui auoient ia passe leaue par ung pont de fust. Lancelot demande au cheualier	fincad vos aqui 	che già avieno passato l’acqua per un ponte di legno, |Pe Lancellotto domanda al cavaliere
1201	s’il remaindra. « Sire, fet il, nenil,	ce il remaindra. Sire fait cil non. 	sil remandra Sire fait il nenil 	sil demourra. sire fait il nennil. 	sil demourra. Sire fait il nenny 	no fare |dixo el 	s’elli rimarrà, |ed e dice: «Sire, non, 
1202	ains vos ferai compaignie 	ains uos ferai compangnie. 	ains vous tendrai compaignie 	ains uous feray compaignie 	ains uous feray compaignie 	mas antes yre con vos 	anzi, vo farò compagnia tanto
1203	tant que nos aions trové 	tant que nos aions troue 	tant que vous aies troue 	tant que nous ayons trouue 	tant que uous aiez trouue 	fasta que falledes 	che noi troviamo 
1204	qui armes vos baut. » 	qui armes nos baut. 	qui armes vous volsist baillier. 	qui nous preste armes. 	qui armes uous baillera. 	quien vos de armas e cauallo 	chi armi vo doni». 
1205|1206|1207|1208|1209	Lors acueillent lor voie tot a pié |et vienent au pont, |si passent outre |et s’adrecent a I. tertre |par ou li chevalier s’en vont; 	Et|lors acuellent lor uoie. tout a pie. |et uienent au pont si passent outre. |et sadrescent au tertre par ou li cheualiers sen ua.	Lors acoillent lor chemin droit au pont |et passent outre. |Et sadrecent a vn tertre |par ou li cheualier vont. 	Lors acceillent leur uoye tout a pie |et uiennent au pont |si passerent oultre |et sadrecent au chemin par ou les cheualiers sen uont. 	Lois uiennent au pent tout a pie |et passent oultre |et se adrecent a ung terte par|ou les cheualiers uont. 	enque sigades el cauallero |Luego se començaron de yr |e andubieron tanto |fastaque llegaron ala puente de madera |e pasaronla e fueronse contravn otero |Por do los caualleros se yuan e lançarote 	Allora accolgono lor camino tutto a |ppiè |e vengono al ponte, |si passano oltre |e s’adirsizlano al poggio |per dove il cavaliere se ne va. 
1210	si n’ont gaires alé 	Si nont gaires ale 	Si nont gaires ale 	si nont gueres alle 	Si ne ont gaires alle 	e el cauallero fueron tanto enpos ellos 	Si non ebbono guari andato 
1211|1212	quant il encontrent I. chevalier armé d’unes armes noires |qui venoit al pont par I. chemin de travers. 	quant il uoient .i. cheualier arme a unes armes noires. |qui uenoit au pont par .i chemin de de trauers.	quant il ont encontre. j. cheualier a vnes armes noires |qui venoit au pont par. j. Chemin de trauers. 	que ilz encontrent ung cheualier arme dunes armes noires |qui uenoit au pont par ung chemin de trauers. 	quant ilz encontrent ung cheualier arme dunes armes noires 	fastaque encontraron vn cauallero armado devnas armas negras |que venia ala puente |porvn sendero pequeño altrabes 	quando elli incontrarono uno cavaliere a une armi nere |che vlenlia al ponte per uno camino di traverso. 
1213|1214	Et quant il voit Lancelot, |si s’areste 	et quant il uoit lanc̃ |si sareste 	Et quant il vit lancelot|si sarreste por chou 	et quant il uoit lancelot |si se arreste par ce 	Quant il uist lancelot il se arresta pource 	e quando el vio a lançarote 	E quand’e' vide Lancellotto,|si si arestò per ciò 
1215	por ce que bien le conoissoit, 	por ce que bien le quenoissoit. 	quil le connut bien. 	que bien le cognoissoit. 	qu il le congnoissoit bien 	luego lo conoçio |e estovo quedo 	che ben lo conosce, 
1216|1217	si li demande |ou il vet ensi a pié tos desammés. « 	Si li demande |ou il ua |Si a pie et ansi desarmes 	Si li demande ou il aloit ensi tout a pie et desarmes. 	si luy demande |ou il ua ainsi a pie|et tout desarme. 	et lui demanda |ou il alloit ainsi |a pie tout desarme. 	fastaque llego |e dixole 	si gli domanda|ov’elli va insi a piede e tutto disarmato. 
1218	Qui estes vos, sire chevaliers, fet Lancelos, 	Qui estes uos fait il sire cheualiers 	Qui estes vous fait lancelot 	Qui estes uous fait lancelot sur cheualier. 	Quest ce fait lancelot demandez uous	señor do ydes asi de pie e desarmado 	PeChi siete voi, disse Lancellotto, sire, 
1219|1220	qui me demandés |ou je vois ? — Je sui, fet il, I. chevaliers d’estrange païs, 	qui me demandes |ou ie uois. Ie sui fait il de cest estrange pais. 	qui me demandes |ou ie vois. Iou sui fait il vns cheualiers destrange pais 	qui me denandez ou ie uoys. Ie suys fait il ung cheualier estrange. 	ou ie uois. |Oy sire |si suis ung cheualier destrange pais 	e quien sodes vos dixo |lançarote yo so dixo el vn cauallero destraña tierra 	che mi domandate |ov’io vò? |- l’ son, diss’elli, |uno cavaliere di stran paese 
1221	mais molt me merveil de ce 	mais mout me merueil de ce 	qui moult mesmerueil de chou 	mais moult me merueille de ce 	qui moult me merueille 	que mucho me marauillo 	che molto mi maraviglio di ciò 
1222|1223	que je vos voi ensi aler. » |Et Lancelos li conte 	que ainsi uos uoi aler. et lanc̃. li conte 	que iou vous voi ensi aler. |Et lancelot li conte 	que ie uous uoy ainsi aller. |et lancelot luy comte 	de uous uoir aller ainsi. |Et lancelot lui compte	porque vos veo yr asi |e apie e lançarote lo conoçio |e començole a contar 	ch’io vi veggio insì andare». |E Lancellotto gli conta 
1224|1225|1226|1227|1228	comment il estoit herbergiés et|comment I. chevaliers vint laiens |ou il menjoit, |qui prist a force I. vaslet |et le mist sor le col de son cheval. «	comment il estoit ainsi herbregiez. |et coment li cheualiers enporte lescuier.	comment il estoit herbergies. et|comment li valles fu pris |et sez armes 	comment il estoit herberge. |et comment ung cheualier uint leans |qui print a force ung uarlet |et le mist sur le coul de son cheual. 	comment il estoit hebergie: |et comment ung cheualier uint la |ou il mengoit |qui print a force ung uarlet |et le mist sur le col de son cheual. 	como el cauallero lo aluergara e como el otro les llebo el escudero |que ala mesa seruia afuerça ençima del cauallo |e como le fiço llebar sus armas 	com’egli era albergato |e|come uno cavaliere venne là entro |ov’elli mangiavano, |e prese uno scudieri a forza davanti noi |e l mise sopra l collo di suo cavallo, 
1229|1230	Et encore m’a il plus meffet, fet Lancelos, |kar cil 	et encor ma il plus mesfait fait fait lanceloz. |Car cil 		et encor ma il plus meffait. |Car ceulx 	Et encores y a il plus fait lancelot|car ceulx 	Que galardon me daredes dixo el cauallero 	e ancor m’à elli più misfatto, disse Lancellotto, |ché quelli 
1231|1232	qui avec lui vindrent enporterent mes armes |et enmenerent mon cheval. — 	qui|auec lui uindrent enportent mes armes. |et en mainnent mon cheual. 	et ses cheuals emportees.	qui uindrent |auec luy emporterent mes armes |et emmenerent mon cheual	qui auec luy sont emportent mes armes |et emmainent mon cheual/ 	si vos diese mis armas e mi cauallo porçierto dixo lançarote 	che con esso lui venono ne portano mie armi |e ne menano mio cavallo. 
1233|1234	Quel guerredon, fet cil, |porroie je atendre de vos, 	Quel guerredon porroi ge atandre de uus 	Quel guerredon fait cil porroie iou de vous atendre : 	Quel guerdon pourroye ie actendre de uous. 	quel guerdon fait celuy pouroie ie auoir 	tal qual vos supieredes deuisar 	—E quale guiderdone potre io di voi atendere, 
1235|1236|1237	se je por vos me desarmoie |et vos bailloie mes armes et mon cheval ? — |Certes, fet Lancelos, 	se ie uos bailloie mes armes et mon cheual. |Certes fait lanc̃. tel 	se ie|por vous me desarmoie |et vous bailloie mes armes et mon cheual.|Certes fait lancelot tel 	si ie pour uous me desarmoye |et uous balloye mes armes et mon cheual. |Certes fait lancelot tel 	de uous |se ie me desarmoye |et uous bailloie mes armes et mon cheual/ 	si vos me juraredes |dixo el Cauallero 	s’io per voi mi disarmasse |e vo donasse mio cavallo e mie armi? |—|Certo, sire, disse Lancellotto, 
1238|1239	tel com vos deviseriés. — |Se vos, fet il, el premier lieu 	com uous deuiserois. |Ce uous fait cil me creantes |que el premier lieu 	comme vous deuiseres. |Se vous fait cil el premier lieu 	comme uous deuiseriez |Se uous me creancez |que ou premier lieu 	certes fait lancelot: tel comme uous deuiseres/ se fait il au premier lieu 	que enel primer lugar 	tale come diviserete. |— e vo', disse il cavaliere a l’arme nere, nel primaio luogo 
1240|1241	ou je vos troverai armé, |por que je soie desarmés, me creantés a doner vos armes » Ie vos bailleroie les moies. — 	ou ie uos troueroie arme |puis que ie fusse desarmes me donriez uos armes. le uous bailleroie les moiees. 	ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies 	que ie uous trouueray arme par ainsi |que ie soye desarme|que uous me baillerez uoz armes ie uous bailleray les moyes. 	ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes 	que vos fallare armado e yo fuere desarmado |me dedes vuestras armas |yo vos dare estas mis armas e mi cauallo 	ov’io vo troverò armato per|ch’io sia disarmato mi volete dare vostre armi, |e ciò mi volete impromettere, io vo donerò le mie 
							che molto sono buone e difensaboli.
1242|1243	Certes, fet Lancelos, |si ferai je, 	Certes fait cil |si ferai ge 	Certes fait lancelot volentiers par ensi	Certes fait lancelot |si feray ie mais 	Certes fait lancelot |si feray ie pourtant 	Muy de grado |dixo lançarote 	— Certo, disse Lancellotto, |si farò io, 
1244	por que vos ne me truisiés combatant. » 	puis que uos ne me trussiez conbatant. 	que vous ne me truisies combatant. 	que uous ne me trouuez combatant.	que uous ne me trouues combatant/ 	ental que me non falledes conuatiendo 	purché voi non mi troviate combattendo». 
1245	Et cil descent maintenant, 	et cil descent maintenant 	Et cil descent maintenant 	Et il descent 	et celuy deschent maintenant 	e luego selo juro entonçe desçendio el cauallero desu cauallo 	E que' dice |che si, dic’elli, 
							e Lancellotto gliel promette immantanente a donare. 
							sImmantanente discende il cavaliere 
1246|1247	si se desarme et baille a Lancelot tot son hernois, |et il s’en appareille 	si se desarme. et baille a lanc̃ son harnois. |et il sarme 	si se desarme |et baille a lancelot tout son harnois. |Et il sen appareille tout maintenant 	si se desarme |et baille a lancelot tout son harnoys. |et il sappareille 	sy se desarme et baille tout son harnois a lancelot 	e desarmose e dio todas sus armas |e su Cauallo a Lançarote |e Lançarote se armo 	e disarma |e dona a Lancellotto sue armi e suo arnese, |ed e'se n’aparecchia, 
1248	et monte en son cheval, 	et monte en son cheual. 	et monte sor le cheual 	et monte a cheual 		e subio enel cauallo 	si monta in suo cavallo, 
1249|1250|1251	puis dist a son oste |qu’il s’en retort; Imes il dist |que non fera. « 	Puis dit a son oste |quil sen retort |et il dit|que non fera. 	et dist a son oste|quil sen retort 	puis dist a son hoste |quil sen retourne. |mais il dit |que non fera 	et il sen appareille 	e dixo asu huesped que se tornase |No fare dixo el huesped 	poscia dice a suo oste |ch’elli |si ritorni, |e que' dice|che non farà. 
1252|1253|1254|1255|1256	Si ferois, fet Lancelos a lar je conoistrai bien les armes a celui |que je vois querant en quelque lieu je les truisse. |Et cil dist, |puis qu’il velt, |s’en retornera: 	Si ferois fait lanc̃. |Car ie quenoistrai bien ciax as armes |que ie uois querant en quel que lieu |que ie les truisse. |et cil dit |puis quil le ueit il sen retornera.	quar iou connistera bien lez armes a celui |qui iou vois querant. |Etr cil dist |que dont sen retornera il puis	si ferez fait lancelot, |car ie cognoistray bien les armes de ceulx |que ie uoys querant en quelque lieu |que ie les trouue. |Et il dit|quil retournera 	et mente sus le cheual |et fait retourner son hoste 	si faredes dixo lançarote |que yo conoçere vien el cauallero enlas armas |que lleba en qualquier lugar |que el vaya yo me tornare dixo el huesped 	Si farete, disse Lancellotto, |ch’io conoscerò bene l’armi di colui a cui io vo cheggendo in quale che luogo |ch’io il trovasse». |VE que' dice |che, poscia ch’elli vuole, |ch’elli si tornerà: 
1257|1258	si s’en vet |et enmaine o lui le chevalier 	Si sen ua et enmainne le cheualier auecque lui. 	quil le veult. |Si sen retorne atant et enmaine aueques lui le cheualier 	puis quil le ueult. |si sen ua |et emmaine auec luy le cheualier 		pues vos plaz |E luego se torno |e llebo consigo el cauallero 	si se ne va |e mena con esso lui il cavaliere 
						quelas armas auia dado a lançarote 	
1259|1260|1261	qui molt est liés de ce |que Lancelos li doit I. guerredon. |Et Lancelos aquelt son chemin aprés cels 	qui mout est liez de ce |que lanc̃ li doit guerredoner. |Et lanc̃ aquiet son chemin apres ciax 	qui moult est lies de ce |que lancelot! doit. j. guerredon. |Et lancelot |si acuelle son chemin |por aler apres chiaus 	qui est moult lie de ce |que lancelot luy doit ung. guerdon. |Et lancelot preut son chemin apres ceulx |quil suyt 	et prent congie de luy. lancelot print son chemin apres ceulx 	que yua muy alegre de aquello que lançarote le auia prometido |e lançarote se fue porel camino |enpos el cauallero 	che molto est lieto di ciò |che Lancellotto gli dee uno guiderdone. |E Lancellotto accoglie suo camino apresso coloro 
1262|1263|1264	que ? il sieut |tant |qu’il est venus el tertre en haut 	que il sieut. |tant que il est uenus el haut tertre. 	quil sieut. |Tant quil est uenus el tertre en haut. 	tant quil est uenu |ou tertre en hault. 	qui sen uont |tant quil est uenu eu tertre en hault/ 	e andubo tanto |fasta que paso porel otero 	che seguita, |tanto ch’egli è Purchél penurche . Vjenhaj via venuto al poggio in alti. 
1265|1266|1267|1268	et lors voit devant lui la forest|que l’en apele la forest des Trois Perilx, |et ce |por quoi ele fu ensi apelee devisera bien li contes ça avant. 	et lors uoit deuant lui la forest des trois perilx.|et ce |porquoi ele fu ainsi apelee |ce deuissera li contes sa auant. 	Et lors uoit deuant lui la forest dez. iij. perieus:. |Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant. 	Et lors uoit|deuant luy la fourest |quon appelle la fourest des troys perilz. |Et|pour quoy elle fu ansi appellec uous deuisera bien le comte |cy apres. 	et lors uoit deuant luy la forest des trois perilz |et ce |pour quoy elle est ainsy appellee deuisera bien le compte |cy en auant. 	e llego avna floresta |que llamauan la floresta delos tres pilares |e porque fue ella asi llamada este cuento lo deuisara aca adelante 	Allora isguarda davanti lui,|si vide la foresta |che l’uomo chiama la foresta de' Tre Perigli, e ciò |perch’ella fu insi chiamata |vo diviserà il conto ben qua avanti. 
1269|1270|1271|1272	Quant il fu amont el tertre, |si esgarde devant lui, |mais il ne voit nul de cels |que il queroit, 	Quant lanc̃. fu amon el tertre |si regarde |Mais il ne uoit deuant lui nus de ciax |que il guiert. 	Quant lancelot fu amont el tertre |si regarda deuant lui |mais il ni uit nul de ceaus |que il queroit 	Quant il fu amont ou tertre |si regarde deuant luy. et il ne uoit nul de ceulx |quil queroit. 	QUant il fust amonlt eu tertre |si regarde deuant luy 	Quando el llego ala floresta |e no vido aquel enpos 	Sl oQuand’e fu montato nel poggio, |si isguarda davanti lui.|ma elli non vide nullo di quelli |ch’elli chiedea, 
1273|1274	kar il s’estoient ja ferus en la forest. |Et totes voies sieut il les esclos des chevals	Car il cestoient ia feru en la forest. |et totesuoiez sieut il les escloz des cheuaus. 	quar il sestoient ia feru en la forest.|Et toutes voies sieut il lez esclos dez cheuaus 	car ilz sestoient ia feruz en la foueest. a touteuoyes suyt il les escloz Des cheuaux	et suyst les pas des cheuaulx tant	quien yua 	ché s’erano già messi nella foresta. |E nonperquanto tuttavia segue elli li scrosci de' cavalli 
1275|1276	tant que il vient a l’entree de la forest; |et lors encontre une damoisele tote chenue 	tant que il uient en lentree |et lors encontre une dame tote chenuee. 	tant quil est uenus a lentree de la ; forest. |Et lors encontra vne damoisele toute kenue 	tant quil uient a lentree |Et lors encontra une dame toute chenue	quil uint a lentree de la forest/ |et lors encentra une damoiselle toute chanue 	e fue entonçe porende muy triste entonçe encontro vna donçella envn muy fermoso palafren 	tanto ch’egli è venuto all’entrata della foresta. |Allora incontrò elli una dama tutta canuta 
1277|1278	qui chevalchoit molt cointement |et estoit tote deslie, ses treces par ses espaules comme pucele 	qui cheuauchyt mout coitement. |et ert tote desliie.ses tresces par ses espaules comme pucele. 	qui cheualchoit moult noblement. |et auoit sez treches toutes desloies par sez espaulles comme pucele. 	qui cheuauchoit moult cointement. |et estoit toute desliee les treces sur les espaules comme pucelle. 	qui cheuauchoit menlt coinctement toute descheuelee/ ses tresches entre ses espaulles |comment une pucelle 	que hera toda cana |e lleuaua los cauellos tendidos porlas espaldas |como si fuese muy moça 	che cavalcava molto contamente, suo capelli isparti per sue spalle com’una pulcella, 
1279|1280|1281	et avoit en son chief l. chapel de roses, |kar c’estoit entor la Saint Johan. Il le salue |et ele li dist 	et auoit en son chief un chapelat de rosez. |Car cestoit Entor la feste saint iehen. Il la salue et ele li dist 	Et auoit en son chief chapel de roses |quar ce estoit entor la saint iehan : Il le salue|maintenant |quil la uit. |Et elle dist 	et auoit en son chef ung chapel de |soucique|car cestoit entour la saint iehan Il la salue. |et elle luy dist 	et auoit sur son chief ung chapiau de roses/ il la sallue |et elle luy dist 	e traia vn capillejo de Rosas enla cabeça |Ca hera entonçe |por sant juan |e lançarote lo saluo |e ella lo torno sus saludes 	e avea in suo capo uno capello di rose,|ché ciò era intorno il Santo Giovanni. Elli saluta |ed ella gli dice 
1282|1283|1284	que bone aventure li doinst Diex. « Damoisele, fet il, me savriés vos a dire |quel part uns chevaliers o unes armes vermeilles s’en vet ? — |En non Diex, fet ele, je le vos enseigneroie bien, 	que bone auauture li doint diex. Dame fait lanc̃. me saurrez uos adire quel part uns cheualiers a unes armes uermeilles sen ua. En nodieu fait ele ie le uos ensangneroie bien 	que diex li donnast boine auenture. Damsolisele fait |sil me sauries vous enseignier |quel part vns cheualiers sen uait |qui porte vnes armes uermeilles. Enon dieu fait elle iou le vous enseigneroie bien 	que bonne auanture luy doint dieu damoisele fait il me scauriez uous a dire |quelle part sen ua ung cheualier a unes armes uermeilles |Certes fait elle ie le uous enseigneroye bien 	que bonne aduanture luy dennast dieu damoiselle fait il |aues uous point ueu passer 	Donçella dixo lançarote |saberme yades enseñar |por do va vn Cauallero devnas armas bermejas |Por dios dixo ella |yo voslo enseñare bien 	che buona aventura gli doni lddio. Dama, disse Lancellotto, mi sapreste vo' dire in quale parti uno cavaliere a une armi vermiglie |se ne va? |—Al nome di Dio, diss’ella, |il voi insegnerei bene, 
1285|1286|1287|1288	se je voloie. — |Dites le moi, fet il, |par covent |que je soie vostre chevaliers el premier lieu 	ce ie uoloie. |Dites le moi fut il par couent |que ie soie uostres cheualiers el premier lieu 	se iou voloie. |Dites le moi fait il par tel couuent |que iou soie vos cheualiers el premier lieu	si ie uouloye. Dictez le moy fait il |par conuent |que ie soye uostre cheualier ou premier lieu 	par cy ung cheualier a unes armes uermeilles. Eu nom dieu fait elle se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant |que ie soie uostre cheualier au premier lieu 	si quisiere |dezidme dixo lançarote |Por tal conuenençia |que yo sea vuestro cauallero enel Primer lugar 	s’i' volesse. |— Ditelme, disse Lancellotto, |per convento |che sia vostro cavaliere nel primaio luogo 
1289	ou vos me requerrois. — 	ou ie buos trouerai. 	ou vous me requerres. 	que uous me requerrez. 	que uous me requerres/ 	que me rrequerades 	che vo me ne richiederete. 
1290	Se vos me creantés, fet ele,	Se uous me uoles creanter 	Se vous me creantes fait elle 	Se uous me creancez fait elle 	se uous me promettes 	Si vosme jurades |dixo la donçella 	—?Se vo' mi giurate, disse la vecchia, 
1291|1292	que vos me sievrois de quel hore |que vos en semoigne, je le vos enseignerai. » 	que uos me siere de quel hore |que ie uus en semongne ; ie le uos en sangnerai. 	que vous me sieurres el premier lieu |ou iou vous en semondrai. iou le vous enseignerai. 	que uous me suyurez a quelque heure |que ie uous semondray. ie le uous enseigneray. 	que au pre/ mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray/ 	que vayades conmigo luego enla ora |que vos llamare |yo voslo mostrare |e lanzarote lo juro luego 	che vo'mi seguirete di qualche ora |ch’i vo ne riglia, io il vo insegnerò». 
1293|1294	Et cil li creante, |dont il se repenti puis molt durement tel hore fu. « 	et il li creante.|dont il se repanti |puis mout durement tel hore fu. 	Et il li creante maintenant : |dont il fu|puis corocies |et moult se repenti tele heure fu. 	Et il luy creance. |dont il se repenty puis moult fort. 	et il luy promet/ |denc depuys sen repentist/ 	donde el se arrepintio despues muy duramente tal ora fue Vos yredes 	Ed e' lel giura immantanente, |donde si penté|poscia duramente tale ora fu. 
1295|1296|1297|1298	Or alés, fet ele, tot cest chemin», |si li mostre I. sentier estroit |qui aloit al travers de la forest. « |Si ne tornés, fet ele, de nule part 	Or uos en alez fait ele par ci |si li mostre .i. estroit santier|qui aloit outre uers de la forest. |Si ne tornez de nule part. 	Ore ales fait elle tout chest chemin |si li moustre. j. sentier estroit |qui aloit dentrauers la forest. |si ne tornes nulle part. 	Se allez fait elle tout ce chenin. |si luy monstre ung sentier moult estroit |qui aloit a trauers de la fourest. |et luy dist |quil ne tourne 	Or alles fait elle tout ce chemyn en trauers de la forest |sans tourner de nulle part. 	poreste camino |dixo la donzella |fasta que falledes vn sendero atrauieso dela floresta |e entonçe tomaredes aquel sendero 	“Or andate, diss’ella, tutto questo camino», |si gli mostra uno sentieri stretto |ch’andava in traverso della foresta, |«sì non vi volgete, diss’ella, |i'nulla 
1299|1300|1301	et quant vos avrois alé entor demie lieue, |si verrois delés I. vivier trois paveillons tendus. |La dedens troverois le chevalier 	et quant uos aures ale entor demie lieue : |si uerres delez .i. uanier aux pauillons tandus. |La dedens troueres le cheualier 	Et quant vous aures erre demie lieue. |si troueres. iiij. pauellons sor. j. uiuier tendus. et la dedens troueres le cheualier 	ca ne la. |Et quent uous serez fait elle alle entour demye lieue |si uerrez de la ung mont quatre paueillons tenduz. |La dedans trouuerez le cheualier 	Quant uous aures cheuauche enuiron demye lieue |si uerres de les une riuiere trois pauillons la dedens trouueres le cheualier 	e desque hubieredes porel andado quanto vna legua fallaredes antevn nogal tres tiendas Armadas |e enla vna dellas fallaredes el Cauallero 	parte,Se quando voi arete andato intorno a meza lega, |si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti: di dentro troverete il cavaliere 
1302|1303	que vos querés |que l’en apele Arramant le Gros; 	que uos queres |que len apele arramant le gros. 	que vous queres |que on apele atramant le gros. 	que uous querez |que len appelle arramant le grec. 	que uous demandes |et len lappelle arrement le gras 	que buscades aque llaman aramante el grueso 	che vo' chiedete, |che l’uomo chiama Aramonte il Grosso,
1304	si le conoistrois a ces enseignes 	Si le quenoistres a ses ansangnes 	si le connistres a ces enseignes 	si le cognoistrez a ces enseignes 	et le cengnoistres a telles enseignes 	e vos lo conoçeredes 	si 'l conoscerete a queste insegne, 
1305|1306	qu’il a en mi le front II. plaies. |Or vos en poés aler, 	quil a el fronc .ii. plaieez. |Or uos en poez aler 	quil a en mi le front. ij. plaies. |Or vous en poes aler fait elle	quil a deux playes enmy le front. |Se uous en pouez aller 	quil ha deux playes au frent/ |or uous en poues aller 	porestas señales en medio dela frente ados llagas agora vos podedes yr 	ch’egli à nel miluogo del viso due colpi. |Or vo ne potete andare, 
1307	mais que vos m’aiés dit vostre nom. » 	mais que uos mauez dit uostre non. 	mais que vous me dites vostre non. 	mais que uous mayez dit uostre nom. 	mes que mayes dist uostre nen/ 	mas anteme deçid como auedes nombre 	ma' che vo' m’abiate detto vostro nome». 
1308	Et il se nome molt a envis 	et il se nome mout a enuiz 	Et il se nomme moult a enuis. 	Et il se nomme a moult grant peine. 	et il se nomme monlt enuiz 	e el se nombro mucho amidos 	Ed e' si noma molto ad invidia, 
1309	et totes voies li dist 	et totesuoiez dit il 	mais toutes voies li dist il 	Et toutesuoyes luy dit il 	et dist 	e dixo yo 	e tuttavia le diss’elli 
1310|1311|1312	qu’il a non Lancelot del Lac. « Alez a Dieu », fet ele.|Atant s’en part |et s’en vet tot le chemin 	quil a non lanc̃ del lac. |si sen part atant. |et sen ua tout le chemin 	quil a a non lancelot del lac. |A tant sen uait lancelot tout le chemin 	quil a nom lancelot du lac. |Et il sem part a tant |et sen uait tout le chemin 	quil a a nen lancelot du lac. |A tant sen ua lancelot tout le chemyn 	he nombre Lançarote del lago Lançarote se partio luego dela donçella |e fuese Porel camino 	ch’egli à nome Lancellotto di Lac. |Atanto si parte dalla vecchia |e se ne va tutto suo camino 
1313|1314	qu’ele li avoit enseigné, si grant aleure |com il plus puet del cheval traire,	que cele li auoit ensangnie. |Si grant aleure |comme il puet del cheual traire. 	que elle li ot enseignie. si grant aleure |comme il puet del cheual traire. 	quelle luy auoit enseigne si grant aleure 	quelle luy a enseigne/ 	que ella hauia mostrado |e yua tan apriesa |quanto el cauallo podia andar |e andubo asi 	ch’ella l’avea insegnato, 
1315|1316	tant que il atainst les chevaliers |que il sievoit. 	Et tantost ataint les cheualiers |que il suoit. 	tant quil ataint lez cheualiers |as quil sieuoit. 	tant quil ataint les cheualiers |qu il suyuoit. 	tant quil attaint le cheualiee 	fasta que alcanço los caualleros depos quien yba 	
1317	Et cil lor i escrie si haut 	et il les escrie si haut 	si lor escrie si haut 	Et il leur escrie si hault	si luy escrie si hault 	e el les començo a dar vozes 	
