0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
1203	tant que nos aions trové 	tant que nos aions troue 	1167
1204	qui armes vos baut. » 	qui armes nos baut. 	1168
1205	Lors acueillent lor voie tot a pié 	Et|lors acuellent lor uoie. tout a pie. 	1169|1170
1206|1207	et vienent au pont, |si passent outre 	et uienent au pont si passent outre. 	1171
1208|1209	et s’adrecent a I. tertre |par ou li chevalier s’en vont; 	et sadrescent au tertre par ou li cheualiers sen ua.	1172
1210	si n’ont gaires alé 	Si nont gaires ale 	1173
1211	quant il encontrent I. chevalier armé d’unes armes noires 	quant il uoient .i. cheualier arme a unes armes noires. 	1174
1212	qui venoit al pont par I. chemin de travers. 	qui uenoit au pont par .i chemin de de trauers.	1175
1213	Et quant il voit Lancelot, 	et quant il uoit lanc̃ 	1176
1214	si s’areste 	si sareste 	1177
1215	por ce que bien le conoissoit, 	por ce que bien le quenoissoit. 	1178
1216	si li demande 	Si li demande 	1179
1217	ou il vet ensi a pié tos desammés. « 	ou il ua |Si a pie et ansi desarmes 	1180|1181
1218	Qui estes vos, sire chevaliers, fet Lancelos, 	Qui estes uos fait il sire cheualiers 	1182
1219	qui me demandés 	qui me demandes 	1183
1220	ou je vois ? — Je sui, fet il, I. chevaliers d’estrange païs, 	ou ie uois. Ie sui fait il de cest estrange pais. 	1184
1221	mais molt me merveil de ce 	mais mout me merueil de ce 	1185
1222|1223	que je vos voi ensi aler. » |Et Lancelos li conte 	que ainsi uos uoi aler. et lanc̃. li conte 	1186
1224	comment il estoit herbergiés et	comment il estoit ainsi herbregiez. 	1187
1225|1226	comment I. chevaliers vint laiens |ou il menjoit, 	et coment li cheualiers enporte lescuier.	1188
1227	qui prist a force I. vaslet 		
1228	et le mist sor le col de son cheval. «		
1229	Et encore m’a il plus meffet, fet Lancelos, 	et encor ma il plus mesfait fait fait lanceloz. 	1189
1230	kar cil 	Car cil 	1190
1231	qui avec lui vindrent enporterent mes armes 	qui|auec lui uindrent enportent mes armes. 	1191|1192
1232	et enmenerent mon cheval. — 	et en mainnent mon cheual. 	1193
1233|1234	Quel guerredon, fet cil, |porroie je atendre de vos, 	Quel guerredon porroi ge atandre de uus 	1194
1235|1236	se je por vos me desarmoie |et vos bailloie mes armes et mon cheval ? — 	se ie uos bailloie mes armes et mon cheual. 	1195
1237	Certes, fet Lancelos, 	Certes fait lanc̃. tel 	1196
1238	tel com vos deviseriés. — 	com uous deuiserois. 	1197
1239	Se vos, fet il, el premier lieu 	Ce uous fait cil me creantes |que el premier lieu 	1198|1199
1240	ou je vos troverai armé, 	ou ie uos troueroie arme 	1200
1241	por que je soie desarmés, me creantés a doner vos armes » Ie vos bailleroie les moies. — 	puis que ie fusse desarmes me donriez uos armes. le uous bailleroie les moiees. 	1201
1242	Certes, fet Lancelos, 	Certes fait cil 	1202
1243	si ferai je, 	si ferai ge 	1203
1244	por que vos ne me truisiés combatant. » 	puis que uos ne me trussiez conbatant. 	1204
1245	Et cil descent maintenant, 	et cil descent maintenant 	1205
1246	si se desarme et baille a Lancelot tot son hernois, 	si se desarme. et baille a lanc̃ son harnois. 	1206
1247	et il s’en appareille 	et il sarme 	1207
1248	et monte en son cheval, 	et monte en son cheual. 	1208
1249	puis dist a son oste 	Puis dit a son oste 	1209
1250	qu’il s’en retort; Imes il dist 	quil sen retort |et il dit	1210|1211
1251	que non fera. « 	que non fera. 	1212
1252	Si ferois, fet Lancelos a lar je conoistrai bien les armes a celui 	Si ferois fait lanc̃. |Car ie quenoistrai bien ciax as armes 	1213|1214
1253	que je vois querant en quelque lieu je les truisse. 	que ie uois querant en quel que lieu |que ie les truisse. 	1215|1216
1254	Et cil dist, 	et cil dit 	1217
1255|1256	puis qu’il velt, |s’en retornera: 	puis quil le ueit il sen retornera.	1218
1257|1258	si s’en vet |et enmaine o lui le chevalier 	Si sen ua et enmainne le cheualier auecque lui. 	1219
1259	qui molt est liés de ce 	qui mout est liez de ce 	1220
1260	que Lancelos li doit I. guerredon. 	que lanc̃ li doit guerredoner. 	1221
1261	Et Lancelos aquelt son chemin aprés cels 	Et lanc̃ aquiet son chemin apres ciax 	1222
1262	que ? il sieut 	que il sieut. 	1223
1263|1264	tant |qu’il est venus el tertre en haut 	tant que il est uenus el haut tertre. 	1224
1265|1266	et lors voit devant lui la forest|que l’en apele la forest des Trois Perilx, 	et lors uoit deuant lui la forest des trois perilx.	1225
1267	et ce 	et ce 	1226
1268	por quoi ele fu ensi apelee devisera bien li contes ça avant. 	porquoi ele fu ainsi apelee |ce deuissera li contes sa auant. 	1227|1228
1269	Quant il fu amont el tertre, 	Quant lanc̃. fu amon el tertre 	1229
1270	si esgarde devant lui, 	si regarde 	1230
1271	mais il ne voit nul de cels 	Mais il ne uoit deuant lui nus de ciax 	1231
1272	que il queroit, 	que il guiert. 	1232
1273	kar il s’estoient ja ferus en la forest. 	Car il cestoient ia feru en la forest. 	1233
1274	Et totes voies sieut il les esclos des chevals	et totesuoiez sieut il les escloz des cheuaus. 	1234
1275	tant que il vient a l’entree de la forest; 	tant que il uient en lentree 	1235
1276	et lors encontre une damoisele tote chenue 	et lors encontre une dame tote chenuee. 	1236
1277	qui chevalchoit molt cointement 	qui cheuauchyt mout coitement. 	1237
1278	et estoit tote deslie, ses treces par ses espaules comme pucele 	et ert tote desliie.ses tresces par ses espaules comme pucele. 	1238
1279	et avoit en son chief l. chapel de roses, 	et auoit en son chief un chapelat de rosez. 	1239
1280|1281	kar c’estoit entor la Saint Johan. Il le salue |et ele li dist 	Car cestoit Entor la feste saint iehen. Il la salue et ele li dist 	1240
1282|1283	que bone aventure li doinst Diex. « Damoisele, fet il, me savriés vos a dire |quel part uns chevaliers o unes armes vermeilles s’en vet ? — 	que bone auauture li doint diex. Dame fait lanc̃. me saurrez uos adire quel part uns cheualiers a unes armes uermeilles sen ua. En nodieu fait ele ie le uos ensangneroie bien 	1241
1284	En non Diex, fet ele, je le vos enseigneroie bien, 		
1285	se je voloie. — 	ce ie uoloie. 	1242
1286|1287	Dites le moi, fet il, |par covent 	Dites le moi fut il par couent 	1243
1288	que je soie vostre chevaliers el premier lieu 	que ie soie uostres cheualiers el premier lieu 	1244
1289	ou vos me requerrois. — 	ou ie buos trouerai. 	1245
1290	Se vos me creantés, fet ele,	Se uous me uoles creanter 	1246
1291	que vos me sievrois de quel hore 	que uos me siere de quel hore 	1247
1292	que vos en semoigne, je le vos enseignerai. » 	que ie uus en semongne ; ie le uos en sangnerai. 	1248
1293	Et cil li creante, 	et il li creante.	1249
1294	dont il se repenti puis molt durement tel hore fu. « 	dont il se repanti |puis mout durement tel hore fu. 	1250|1251
1295	Or alés, fet ele, tot cest chemin», 	Or uos en alez fait ele par ci 	1252
1296	si li mostre I. sentier estroit 	si li mostre .i. estroit santier	1253
1297	qui aloit al travers de la forest. « 	qui aloit outre uers de la forest. 	1254
1298	Si ne tornés, fet ele, de nule part 	Si ne tornez de nule part. 	1255
1299	et quant vos avrois alé entor demie lieue, 	et quant uos aures ale entor demie lieue : 	1256
1300	si verrois delés I. vivier trois paveillons tendus. 	si uerres delez .i. uanier aux pauillons tandus. 	1257
1301	La dedens troverois le chevalier 	La dedens troueres le cheualier 	1258
1302	que vos querés 	que uos queres 	1259
1303	que l’en apele Arramant le Gros; 	que len apele arramant le gros. 	1260
1304	si le conoistrois a ces enseignes 	Si le quenoistres a ses ansangnes 	1261
1305	qu’il a en mi le front II. plaies. 	quil a el fronc .ii. plaieez. 	1262
1306	Or vos en poés aler, 	Or uos en poez aler 	1263
1307	mais que vos m’aiés dit vostre nom. » 	mais que uos mauez dit uostre non. 	1264
1308	Et il se nome molt a envis 	et il se nome mout a enuiz 	1265
1309	et totes voies li dist 	et totesuoiez dit il 	1266
1310	qu’il a non Lancelot del Lac. « Alez a Dieu », fet ele.	quil a non lanc̃ del lac. 	1267
1311	Atant s’en part 	si sen part atant. 	1268
1312	et s’en vet tot le chemin 	et sen ua tout le chemin 	1269
1313	qu’ele li avoit enseigné, si grant aleure 	que cele li auoit ensangnie. |Si grant aleure 	1270|1271
1314	com il plus puet del cheval traire,	comme il puet del cheual traire. 	1272
1315	tant que il atainst les chevaliers 	Et tantost ataint les cheualiers 	1273
1316	que il sievoit. 	que il suoit. 	1274
1317	Et cil lor i escrie si haut 	et il les escrie si haut 	1275
1318	que bien porent oîr, 	que bien le pueent entandre 	1276
1319|1320	et maintenant li vient acorant li uns d’eus, l’escu al col, le lance el poing, |et fu armés de totes armes. 	et maintenant li uient acorant li uns daus lescu au col la lance el poing. et fu armes de toutes armes. 	1277
1321	Et Lancelos le fiert 	et lanc̃ le fiert 	1278
1322	si que pour le hauberc ne remaint 	si que por le haubert ne remaint: 	1279
1323	qu’il ne li met par mi le cors le fer del glaive 	que il ne li meste parmi le cors et le fer et la glauie. 	1280
1324	si l’empaint bien com cil 	Si lenpant bien comme cil 	1281
1325	qui assés ot et cuer et force: 	qui auoit assez cuer et force 	1282
1326	si le porte del cheval a terre et retrait son glaive a lui; 	Si le porte a terre. et retrait son glaiue a lui. 	1283
1327	si voit I. autre venir tot appareillié de joster 	Si uoit un autre uenir a lui tout aparillie de ioster. 	1284
1328	et il nel refuse pas, 	et il nel refuse pas. 	1285
1329	ains li torne le chief del cheval, 	ains li torne le chief del cheual. 	1286
1330	et cil 	et cil 	1287
1331	qui vint acorant li done tel cop en l’escu 	qui uint acorant li done tel cop sor lescu 	1288
1332	que tote sa lance vole en pieces. 	que la lance uole tote en pieces. 	1289
1333	Et Lancelos, 	et lanc̃. 	1290
1334	qui un poi porta sa lance bas. l'ataint par desus l’arcon de la sele,	qui tuit sa lance |.i. pou bas le fiert par desus larson de la sele. 	1291|1292
1335	si le fiert 	Et le fiert 	1293
1336	si que les mailes del hauberc ne pueent soffrir le grant cop 	si que les maillez de haubert ne pue en soufrir le grant cop. 	1294
1337|1338	que li glaives ne li voist par mi le cors |si que li fers pert d’autre part; 	et li glaiuez li pert de lautre part. 	1295
1339	si l’empainst si durement	et il len paine si durement 	1296
1340	qu’il le porte a terre et lui et le cheval. 	que il porte et lui et le cheual ensanble a terre. 	1297
1341|1342	Et|lors dient cil 	Et lors dient cil 	1298
1343	qui devant s’en aloient 	qui deuant sen aloret 	1299
1344	que molt joste bien li chevaliers, 	que mout ioste bel li chrł 	1300
1345	quant. Il. de lor meillors compaignons a ensi abatus. 	que deus de nos mallors cheualiers a abatus. 	1301
1346	Et Lancelos laisse corre a els tos 	et lanc̃ lait corre a aus 	1302
1347	qui encore estoient nuef; 	qui encor estoient .ix. 	1303
1348	si ot l’espee traite, 	Si trait lespee 	1304
1349|1350	por ce que ses glaives estoit brisiés al chevalier |qu’il ot derrainement abatu ; 	que ses glaiues estoit abatus et brisiez au daurien cheualier. 	1305
1351	si lor detrenche lor escus 	Si lor detranche lor hiaumes 	1306
1352|1353	et lor depiece lor hialmes |et lor ront les haubers sor les bras et sor les espaules; 	et lor uont Lor haubers sor. Les bras et sor les espaulez. 	1307
1354	si fet tant par sa proesce 	Si fait tant par sa proesce 	1308
1355	que tuit cil 	que tuit cil 	1309
1356	qui le voient s’en merveillent. 	qui le uoient sen esmaient et merueillent 	1310
1357	Et la ou il voit le chevalier as armes vermeilles, 	Et la ou il uoit le cheualier as armes uermeilles: 	1311
1358	si nel mesconoist pas, 	Si ne le mesquenoit pas 	1312
1359	ains li adresce par mi els tos	ains li adresce parmi aus cous. 	1313
1360	et li done si grant cop par mi le hialme 	et li done si grant cop parmi le hiaume 	1314
1361	que cil est si estordis 	que cil est si estordiz	1315
1362|1363	qu’il ne se puet es arçons tenir, |ains vole a terre. 	quil ne se puet es arsos tenir ains uole a terre. 	1316
1364	Et Lancelos li va par desus le cors a cheval	et lanc̃ li ua par desus le cors A cheual 	1317
1365	tant que cil pert la vertu et la force tote. 	si que tout le cors li debrise. 	1318
1366	Et	et li faut la uertus |et li forte tote 	1319|1320
1367	lors sont li autre molt esmaié, 	Lors sont tuit li autre esmaiet. 	1321
1368	kar bien cuident 	Car bien cuident 	1322
1369	que cil soit mors 	que cil soit mors 	1323
1370	qui lor sires estoit; 	qui lor sires estoit. 	1324
1371	si se metent en paine del vengier	Si ce mestent en painne de lui uangier. 	1325
1372	et corent sus a Lancelot tuit ensamble. 	et courent sus lanc̃. tuit. ensanble. 	1326
1373	Mais il nel truevent pas si esbahi 	Mais ne le trueuent pas si esbahit : 	1327
1374	qu’il ne soit tos pres de soi deffendre; 	que il ne soit tous pres de lui desfandre. 	1328
1375	si lor abandone son escu 	Si lor abandone son escu. 	1329
1376	et tient l’espee 	et ci ot lespec 	1330
1377	dont il lor done grans cops par la 	dont il lor done grans cox. par la 	1331
1378	ou il les ataint, 	ou il les ataint. 	1332
1379	ne onques por pooir 	et onques|por pooir 	1333|1334
1380	qu’il aient ne li porent tolir terre, 	quil aient ne li purent tolir terre 	1335
1381	ains se met par mi els maintes fois, 	ains sen ua parmi aus tous maintes fois. 	1336
1382	quel gré 	quel gre 	1337
1383	qu’il en aient. 	que il auient. 	1338
1384	Et de tant li avient il bien 	et detant li auient il bien 	1339
1385	qu’il n’aconsieut chevalier a droit cop 	quil nataint cheualier a droit cop; 	1340
1386	qu’il ne face s’espee sentir en char nue 	quil nel face santir en char nue. 	1341
1387	ou il nel port del cheval a terre: 	ou il ne le port del cheual a terre 	1342
1388	si lor esrache les escus des cols et les hialmes des testes et lor decoupe poins et bras a 	si lor esrache les escuz des cox et les hiaumes des testes |et lor decope et poins et bras 	1343|1344
1389	et se hurte en els de cors et de cheval »; 	et se hurte en aus. de cors et de manbres. 	1345
1390	si en a V. si atornés 	Si en a .u. si accenes 	1346
1391	qu’il gisent a terre si conreé 		
1392	qu’il n’ont pooir de relever. 	quil non pooir de leuer eux. 	1347
1393	Quant li autre voient ce, 	Et quant li autre uoient ce; 	1348
1394	si lor est avis 	si lor est auis 	1349
1395	que, s’il i demorent plus, il n’em pueent eschaper sans morir 	que ce il i demeuret plus|quil nen pueent eschaper sans mort. 	1350|1351
1396	et por ce s’enfuient al plus tost 	Et por ce sen fuient au plus tost 	1352
1397	qu’il pueent vers la forest 	que il pueent uers la 	1353
1398	ou il la voient plus espesse. 	ou il uoient plus espesce la forest. 	1354
1399	Et Lancelos ne les sieut mie granment, 	et lanc̃. ne les sieut mie grant piece 	1355
1400	ains retorne al chevalier	ains sen retorne au cheualier 	1356
1401	qu’il ot abatu, celui as armes vermeilles, 	quil ot abatu. |Celui as armes uermeilles. 	1357|1358
1402	kar il voldra savoir 	Car il uodra sauoir 	1359
1403	qui il est. 	qui il est 	1360
1404	Et quant il i est venus, 	Et quant il i est uenu 	1361
1405	si trueve l’escuier 	si trueue lescuier 	1362
1406	que il queroit, 	que il |que il queroit 	1363|1364
1407	que on avoit mis sor I. roncin, les mains liies triés le dos, 	que len auoit mis seur .i. roncin: les mains liees derier le dos . 	1365
1408	et vient a lui, 	et il uient a lui 	1366
1409	si le deslie. 	si les deslie. 	1367
1410	Et quant il se sent delivrés, 	et quant ciz ce sent deliures 	1368
1411	si li chiet as piés 	si li chiet as piez. 	1369
1412	et le mercie de Dieu ; 	et le mercie de dieu. 	1370
1413	et Lancelos descent, 	et lanc̃ dessent	1371
1414	si li baille son cheval a garder. 	si li baille son cheual a garder. 	1372
1415	puis vet al chevalier 	et ua au cheualier 	1373
1416	qui ja s’estoit relevés en son seant, si estordis 	qui ia cestoit releues en son ceant. |Si estordis 	1374|1375
1417	qu’il ne veoit gote. 	quil ne ueoit goute.	1376
1418	Et Lancelos li esrache le hialme de la teste si felenessement 	Et lanc̃. li errache le hiaume de la teste |si felenescement :	1377|1378
1419	que cil flatist à terre des paumes et de tot le viaire; 	que ciz flatit a terre des paumes: et de tout le uiaire.	1379
1420	si saine del nes et del front trop durement. 	Si sainne dou nes et dou front trop durement. 	1380
1421	Et Lancelos dist 	et lanc̃. dit	1381
1422|1423	qu’il l’ocirra, |s’i ne se tient por outré; 	quil locirra cil ne se tient por outres. 	1382
1424	et cil est si esmaiés a 	et cil tantost |se repasme 	1383|1384
1425	qu’il ne li puet respondre, 	que il ne li pot respondre |ne dire mot 	1385|1386
1426	ains gist pasmés adens 	auis iut toz pasmes endans. 	1387
1427	Et Lancelos le redrece, 	et lanc̃. le redresce 	1388
1428	si le trueve si ensanglenté 	si le trueue. |Si ensanglantez	1389|1390
1429	qu’il cuide bien 	que il cuide bien 	1391
1430	que il soit mors, 	que il soit mors 	1392
1431	et lors se repent de ce 	Et lors se repent de ce 	1393
1432	que tant li avoit fet mal; 	que tat li a fait mal. 	1394
1433	si s’asiet les lui por veoir 	si saciet deles lui|por uoir 	1395|1396
1434	que il fera. 	que il fera. 	1397
1435	Et ja se relevoient troi de cels 	et ia se releuoient trois de ciax	1398
1436	qui a terre avoient geu, 	qui a terre auoient ieu. 	1399
1437	et Lancelos lor laisse core	et lanc̃. lor laisse corre 	1400
1438	et dit 	et dit	1401
		que mors sont cil ne se randent. 	1402
		et quant cil le uoien uenir 	1403
1439	que mort sont	si ont paour |quil ne les ocie. 	1404|1405
		Si li rendent les espeez. 	1406
		et dient 	1407
		que il sont pres de faire sa uolente et il les reort 	1408
		et dit 	1409
		quil nont mais garde 	1410
		puis que il se tiennent por outre.	1411
