a	b	c	d	e
1153|1154|1155|1156	En ce qu il parloient ensi orent li escuier mise la table|si vont laver;|si s asiet Lancelos|et li chevaliers	Et en chou quil a parloient ensi orent li escuier mises lez tables|si vont lauer|si sassistrent li cheualier au mangier	asi fablando entro vn escudero|e puso la mesa|e asentose el cauallero a comer|e lançarote	che parlavano insi|ebbono i valletti messe le tavole|:|si si lavarono lor mani|e s asederono al mangiare intra l cavaliere|e Lancellotto	⁊ puis se assient le cheualier|⁊ lancelot:
1157|1158	et une damoisele|qui molt ert bele	Et vne damoisele|qui moult estoit bele	e vna donzella muy fermosa	e una damigella|che molto fu bella	⁊ une damoiselle moult belle
				e avenante	
1159	et estoit amie al seignor de laiens;	qui estoit amie au cheualier de laiens	que hera amiga del cauallero|mas la donçella en	e fresca|si era amica del signor di là entro	laquelle estoit amie au cheualier de le|ans
				si era ella molto gentile femina	
1160	si mengierent tuit troi ensamble	si mangerent tout|iij	quanto vido a lançarote	i mangiarono tutti|e tre insieme	Si mengerent tous trois enseble:
1161	mes cele	ensamble	ansi lo cataua	e quella	mais celle
				che Lancellotto riguardava tutto adesso	
				non	
				si può satollare di lui vedere	
1162|1163	qui Lancelot esgarde ne se puet saoler de lui veoir Kar tant li samble bials qu ele ne prisa onques mes bialté d ome envers cesti :|si l esgarde	mais moult regarde la damoisele lancelot|et ne se puet de lui regarder saouler|Si le regarde	que no se hartaua delo ver enque lo via tan fermoso	ché tanto le sembia a essere bello|ch ella non pregia unque biltà d uomo inverso costui|: isi llo sguarda	qui lãcelot regarde laisse le boire
		Si ne prisa onques			
		mais la biaute domme vers la soie			
1164	si viselment	si ententieument	e no cuidaua	si visibilmente	⁊ le mẽ gier pour la grant beaute q̃ elle uoit en lui
		que tout en laisse le boire			
1165	que tot en laisse le mengier n a autre chose n entent	& le mangier|si que a autre chose nentent	que tan fermoso ome pudiese auer enel mundo	che tutto ne lascia suo mangiare|né ad altra cosa non ne intende fôrse a llui riguardare	si que a autre chose ne entent
1166	fors a lui remirer	fors ca lui remirer	e asi lo estaua catando	i tentivamente il riguardava	
			que no podia comer		
1167	Si ont li escuier osté le premier mes de sor la table c onques la damoisele n en tasta ains pensa totes voies	Si ont li escuier oste le premier mes|mais onques la damoisele nen gousta	que auia el escudero tirado el primero manjar dela mesa|e ella no auia metido vocado enla voca	che gli scudieri ebbono levata la prima imbandigione|ch unque la damigella no ne saggiò	si ont les escuiers ostele premier mes|que õcq̃s la damoiselle nẽ tasta ains pensa a lãcelot:
				ché d altra vivanda avea presa a mangiare dond ella non	
				si satollerà mica leggermente	
				ciò l è aviso	
				si farà s ella unque potrà	
		Ains pensa toutes voies a la grant biaute lancelot			
1168|1169	Et en cel pensé li descent el cuer une|si grant amor qu ele aime Lancelot outre ce	Et en celui pense li descendoit au cuer vne|si grant amor :|que elle ama lancelot outre chou	e la donçella|asi lo catando començo a pensar tan fieramente|que no hera sino marauilla|e ella	Slnsi pensa la damigella tuttavia|e n quel pensieri le|si ferma nel cuore uno sì grande amore|ch ella ama Lancellotto oltre ciò	⁊ en celle pensee lui Partie descẽdoit une tesle amour au cueur q̃ elle apma lancelot oultre q̃ femme ne apma oncq̃s homme
			ansi pensando cayo vn amor ensu corazon quelo començo		
			ansi a amar a lançarote		
1170	que feme n ama mes home;	que femme nama onkes|si homme	que mas muger podia a ome amar	che femina non amò mai uomo	
1171|1172	si li est avis|que s il l amoit qu'ele seroit beneuree	Si li est auis|que sil lamoit|que elle seroit bone euree	e deçia entresi mesma|que si la el quisiese amar|que se ternia porla	i ll è aviso|ch elli l amasse|ch ella sarebbe in buon'or nata	Ei lui est auiz q̃ sil lapmoit q̃lle se roit trop eureuse
				che se Dio	
				che n à forza	
				le consentisse	
1173	Mais ci endroit n em parole plus li contes lkar ça avant le devisera	Mais chi endroit nen parole plus li contes	mas bien auenturada muger del mundo|mas de		Mais cp ẽdroit plus nen par le le comptecar cy aprez le uous deuisera
1174|1175|1176	et comment ele l ama merveillosement|et comment ele le proia|et la merveille	mais cha auant vous deuisera comment elle lama merueilleusement|Et comment elle li pria|et la meruelle	como ella amo muy afincadamente a lançarote|e delas cosas	ché qua avanti vo diviserà com ella l amò maravigliosamente|e com ella ne 'l pregò|e richiese d amore|e le maraviglie	⁊ cõ mẽtelle lapma merueilleusemẽt|⁊ comment elle mourũt pource quil la refusa Commẽt lancelot rescouist le frere du theua lier
1177	que ses amis en fist	que sez amis en fist	que su amigo fiço	che suo amico ne fece quand e' seppe	qui lauoit logie
1178	quant il sot qu ele l amoit	quant il sot|que elle lama	quando sopo|que ella tan desmesuradamjente lo amaua	ch ella l amava	Etcõmẽt il se deffẽdist cõtre argondes
1179	et comment cele morut	Et comment elle morut	e de|como ella murio	e come elli la rifiutò	⁊ puis alla a la douloureuse tour faire ẽterrer le corps de galle
			quando supo		
1180	por ce qu il la refusa tot ce vos trespassera li contes ci endroit	por chou quil le refusa out ce vous trespassera li contes chi endroit pour deuiser vne autre auenture	que lançarote no la queria amar todo lo dexa aqui el Cuento de contar	e com ella ne mori	iiii|xx
1181	por deviser une aventure qu il lor avint el paveillon ou il estoient	qui lor auint el pauellon ensi com vous orres	Por contar vna auentura|que les auino enla tienda	|che loro avenne nel padiglione ove egli erano	xu
		ANsi entendi la damoisele a regarder lancelot			
1182	Ci dist li contes que	que onques ne manga|Et	do estauan comiendo Dize el cuento	Or dice il conto	l E compte dit q̃
1183|1184	quant il orent le secont mes eu es vos un chevalier armé d unes armes vermeilles|qui vint corant par devant le paveillon o grant compaignie de chevaliers	tant que on dut seruir du secont mes :|Et quant il orent le secont mes es vous|j	que ellos estando comiendo|asi como vos digo he aqui|por do viene|por antela tienda vn cauallero convnas armas vermejas con gran conpaña de caualleros	che quando elli ebbono la seconda messa avuta|ed e' vidono uno cavaliere armato d un arme vermiglie	quant ilz eurent eu le second mes uecp ung cheua lier arme de armes uermeilles courant par deuant le paueillon a grant com paignie de cheualiers
1185	Et cil as armes vermeilles	cheualier arme dunes armes uermeilles	e el Cauallero delas armas vermejas		
1186|1187|1188	qui devant venoit entre el paveillon a|et voit|I	qui vint corant par deuant le paueillon|& vit el paueillon|j	que delante venia entro enla tienda|e vio vn escudero	che davanti lor venne nel padiglione|;	et il entra au paucillon
1189|1190|1191|1192	escuier|qui servoit a la table|si estoit freres al chevalier de laiens|Et il cort maintenant cele part	escuier|qui seruoit a la table|qui estoit freres au cheualier de laiens|Et il cort mainte nant	que seruia antela mesa|e el cauallero enque lo vido fue contra el	e là ove vide uno scudieri|che serviva alla tavola ed era fratello del cavaliere di là entro|ed e' corre in quelle parti	⁊ uist ung escuier qͥ seruoit a la table qͥ estoit frere au cheualier de leans
1193	si le prent par les espaules	si le prent par les espaulles	e tomolo porlos braços	si prende lo scudieri per le spalle	Il le prent par les espaulles
1194	et le lieve devant lui sor l arçon de la sele	& le met par deuant lui sor le col de son cheual	e pusolo antesi sobre el cuello del cauallo	e lieva davanti lui sopra l arcione della sella	⁊ le metdeuant lui es arcons de sa selle
1195	si s en torne a tot	si sen torne a tout	e salio conel dela tienda	si se ne va con tutto lui broccando	si sen ua atout
1196	Et quant cil del paveillon voit ce	Et quant li cheualiers del paueillon vit chou	e el cauallero quelo vio	'E quando il signor del padiglione vide ciò	Et quant celuidu paueil lon uoit ce
				si isgrida a Lancellotto	
				: Al	
1197	si crie a Lancelot Ha bials sire je sui mors se cil enporte ensi mon frere	si crie a lancelot|Sire iou sui mors sil emporte ensi mon frere	ansi lleuar començo a dar vozes a lançarote ay señor muerto so|si asi me lleba a aquel escudero mi hermano	bel sire|io son morto se que' ne porta insi mio fratello	si crie a lancelot|Haa sire ie suis mort se celui emporte mon frere
1198	kar il l ocirra s il n est secors:	quar il locirra sil nest secorus	Ca lo matara|si lo no acorredes	ché l uccidrà se nonn è soccorsol	car il loccira sil nest secouru
1199|1200|1201	si vos pri|por Dieu|que vos i metés paine	Si vous pri pour dieu|que vous metes paine en lui rescorre	e porende vos Ruego|por dios|que me ayudedes alo cobrar	Si vo priego|per Dio|che vo' vi mettiate pena in lui riscuotere	Si uous prie pour dieu q̃ uoꝰ mettez paine a le secourir
1202	Et Lancelos saut de la table		e lançarote salio luego dela mesa		Et lancelot sault hors de la table
1203|1204|1205|1206	et demande ses armes|et I|escuiers vint avant|si li dist Par foi sire vos armes	si demande ses armes LEt vns escuiers vint a lui|si li dist Par foy sire vos armes	e pidio sus armas a vn su escudero|Que y estaua le dixo señor|Por buena fee el cauallero vos a hecho llebar vuestras armas	e domanda sue armi|e uno scudiere viene avanti|che gli disse|Per fé|vostre armi	⁊ demande ses armes|⁊ una escuier uĩt a lui|⁊ lui dist|Par ma foy sireuoz armes emportent il
1207|1208|1209|1210	et vostre cheval enmainent il ! — Voire fet il|par mon chief ja|por ce ne remaindra|que je nes sieve	et vostre cheual enmainent il voire fait il : par mon chief|por chou ne remandra il mie|que ams iou ne lez sieue	e vuestro cauallo pormi cabeza dixo lançarote ni|por eso non fincara quelo non siga	e vostro cavallo ne mena elli|— Vere|diss elli|per mio capo|già per ciò non rimarrà|ch io nol seguiti	Par mon chief pour ce ne ne demourra il pas|que ie ne le suiue
1211		Et lors sen ist hors del paueillon	e luego salio lançarote dela tienda	Allor va fuori del padiglione	Et lors sault hors du paueillõ
1212|1213	et li chevaliers o lui|et il esgarde cels	et li cheualiers aueques lui|et il regarde chiaus	e el cauallero conel	e l cavaliere con lui|ed e'risguardano quelli	⁊ le cheualier aueclui Ilz regardent ceulx
1214	qui s en vont	qui sen vont		che se ne vanno	
1215|1216	qui ja avoient passé l eve par J|pont de fust;	qui auoient passe laigue par|j|pont de fust		che già avieno passato l acqua per un ponte di legno	qui sen uont qͥ auoiẽt ia passe leaue par ung pont de fust
1217|1218	et Lancelos demande al chevalier s il remaindra|Sire fet il nenil ains vos ferai compaignie	Et lancelot demande au cheualier sil remandra Sire fait il nenil ains vous tendrai compaignie	e vieron yr los caualleros pasando el agua Porvna puente de madero señor dixo lançarote al cauallero fincad vos aqui no fare dixo el	Pe Lancellotto domanda al cavaliere s elli rimarrà|ed|anzi|vo farò compagnia	Lancelot de mande au cheualier sil demourra|Gire fait il nẽny ains uous feray compaignie
				e dice	
				Sire	
				non	
1219|1220	tant que nos aions trové|qui armes vos baut	tant que vous aies troue|qui armes vous volsist baillier	mas antes yre con vos fasta|que falledes quien vos de armas	tanto che noi troviamo chi armi vo doni	tant que uous aiez trouue|qui armes uous baillera
			e cauallo enque sigades el cauallero Luego se començaron de yr		
1221|1222	Lors acueillent lor voie tot a pié|et vienent au pont	Lors acoillent lor chemin droit au pont	e andubieron tanto fastaque llegaron ala puente de madera	Allora accolgono lor camino tutto a ppiè|e vengono al ponte	Lois uiẽnẽt au põt tout a pie
1223	si passent outre	& passent outre	e pasaronla	si passano oltre	et passent oultre
1224|1225	et s adrecent a I|tertre par ou li chevalier s en vont;	Et sadrecent a vn tertre par ou li cheualier vont	e fueronse contravn otero|Por do los caualleros se yuan	e s adirsizlano al poggio per dove il cavaliere se ne va	⁊ se adrecent a ung terte par ou les cheualiers uont
1226	si n ont gaires alé	Si nont gaires ale	e lançarote		Si ne ont gaires alle
1227|1228	quant il encontrent I|chevalier armé d unes armes noires	quant il ont encontre|j|cheualier a vnes armes noires	e el cauallero fueron tanto enpos ellos fastaque encontraron vn cauallero armado devnas armas negras	Si non ebbono guari andato quando elli incontrarono uno cavaliere a une armi nere	quant ilz encontrẽ tung cheualier arme dunes armes notres
1229|1230	qui venoit al pont par I|chemin de travers	qui venoit au pont par|j	que venia ala puente porvn sendero pequeño altrabes	che vlenlia al ponte per uno camino di traverso	
1231|1232|1233|1234|1235|1236	Et quant il voit Lancelot|si s areste|por ce|que bien le conoissoit|si li demande ou il vet ensi a pié tos desammés|Qui estes vos sire chevaliers fet Lancelos	|Et quant il vit lancelot|si sarreste|por chou quil le connut bien|Si li delp tis clmande ou il aloit ensi tout a pie|et desarmes|Mui estes vous ls tezel fait lancelot	e quando el vio a lançarote luego lo conoçio|e estovo quedo fastaque llego|e dixole señor|do ydes	E quand e' vide Lancellotto|si si arestò per ciò|che ben lo conosce|si gli domanda ov elli va insi a piede|e tutto disarmato|PeChi siete voi|disse Lancellotto	Quant il uist lancel ot il se arresta pource qͥi le congnoissoit bien|⁊ lui demãda ou il alloit ainsi apie tout desarme|Quest ce fait lance
1237	qui me demandés ou je vois	qui me demandes ou ie vois	asi de pie|e desarmado	sire|che mi domandate ov io vò	lot demãdez uous ou ie uois
1238|1239	? — Je sui fet il I|chevaliers d estrange païs	Iou sui Ofait il vns cheualiers destrange pais	e quien sodes vos dixo lançarote yo so dixo el vn cauallero destraña tierra	|diss elli|uno cavaliere di stran paese	Oy sire
1240|1241	mais molt me merveil de ce|que je vos voi ensi aler	qui moult mesmerueil de chou|que iou vous voi ensi aler	que mucho me marauillo|porque vos veo yr	che molto mi maraviglio di ciò|ch io vi veggio insì andare	si suis ung cheualier destrãge pais qͥ moult me mer ueille de uous uoir aller ainsi
1242	Et Lancelos li conte comment il estoit herbergiés	Et lancelot li conte comment il estoit herbergies			Et lãcelotlui compte commẽt il estoit hehergie:
1243|1244	et comment I|chevaliers vint laiens ou il menjoit	et comment li valles fu pris	asi e apie|e lançarote lo conoçio	e come uno cavaliere venne là entro ov elli mangiavano	⁊ comment ung cheualier uint la ou il mengoit
1245|1246|1247|1248|1249	qui prist a force I|vaslet|et le mist sor le col de son cheval|Et encore m a il plus meffet fet Lancelos|kar cil	et sez armes|& ses cheuals emportees	e començole a contar|como el cauallero lo aluergara|e como el otro les llebo el escudero|que ala mesa seruia afuerça ençima del cauallo	e prese uno scudieri a forza davanti noi|e l mise sopra l collo di suo cavallo|e ancor m à elli più misfatto|disse Lancellotto|ché quelli	qui print a force ung uarlet|et le mist sur le col de son cheual|Et encores y a il plus fait lancesotcar ceulx
1250|1251	qui avec lui vindrent enporterent mes armes|et enmenerent mon cheval a —		e como le fiço llebar sus armas	che con esso lui venono ne portano mie armi|e ne menano mio cavallo	qui auec luy sont empoitẽt mes armes|et ẽmainent mon cheual
1252|1253	Quel guerredon fet cil porroie je atendre de vos se je|por vos me desarmoie	Quel guerredon fait cil porroie iou de vous atendre : se ie|por vous me desarmoie	Que galardon me daredes dixo el cauallero	—E quale guiderdone potre io di voi atendere|s io per voi mi disarmasse	quel guerdon fait celuy pouroie ie auoir de uous se ie me desarmoye
1254	et vos bailloie mes armes	& vous bailloie mes armes	si vos diese mis armas	e vo donasse mio cavallo|e mie armi	et uous baill oie mes armes
1255|1256	et mon cheval|? — Certes fet Lancelos tel com vos deviseriés	et mon cheual|Certes fait lancelot tel comme vous deuiseres	e mi cauallo porçierto dixo lançarote tal qual vos supieredes deuisar	? — Certo|sire|disse Lancellotto|tale come diviserete	et mon che ual|certes faitlancelot: tel cõme uous deuiseres
				—	
				e vo'	
1257|1258	— Se vos fet il el premier lieu ou je vos troverai armé|por que je soie desarmés me creantés a doner vos armes ¡e vos bailleroie les moies	Se vous fait cil el premier lieu ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies Certes fait lancelot volentiers par ensi	si vos me juraredes dixo el Cauallero|que enel primer lugar|que vos fallare armado|e yo fuere desarmado me dedes vuestras armas yo vos dare estas mis armas	disse il cavaliere a l arme nere|nel primaio luogo ov io vo troverò armato per|ch io sia disarmato mi volete dare vostre armi|e ciò mi volete impromettere	se fait il au premier lieu ou ie uoꝰ trouueray arme me ꝓmettes abailler uos armes ie uous bailleray les miennes Cer tes fait lã celot
				io vo donerò le mie	
				che molto sono buone	
				e difensaboli	
1259|1260	— Certes fet Lancelos|si ferai je		e mi cauallo Muy de grado dixo lançarote ental	— Certo|disse Lancellotto|si farò io	si feray ie pourtãt
1261	por que vos ne me truisiés combatant	que vous ne me truisies combatant	que me non falledes conuatiendo	purché voi non mi troviate combattendo	que uous ne me trouues cõbatant
				E que' dice	
				che si	
1262|1263	Et cil descent maintenant|si se desarme	Et cil descent maintenant|si se desarme	e luego selo juro entonçe desçendio el cauallero desu cauallo|e desarmose	dic elli|e Lancellotto gliel promette immantanente a donare|sImmantanente discende il cavaliere|e disarma	et celuy deschent maintenãt sp se desarme
1264	et baille a Lancelot tot son hernois	& baille a lancelot tout son harnois	e dio todas sus armas|e su Cauallo a Lançarote	e dona a Lancellotto sue armi|e suo arnese	⁊ baille taut son harnois a lãceloi
1265	et il s en appareille	Et il sen appareille tout maintenant	e Lançarote se armo	ed e'se n aparecchia	et il sen appareille
1266|1267|1268	et monte en son cheval|puis dist a son oste qu il s en retort; Imes il dist|que non fera	et monte sor le cheual|& dist a son oste quil sen retort	e subio enel cauallo|e dixo asu huesped|que se tornase No fare dixo el huesped	si monta in suo cavallo|si ritorni|e que' dice|che non farà	⁊ mõie sus le cheual
				Si farete	
				poscia dice a suo oste	
				ch elli	
1269	Si ferois fet Lancelos a lar je conoistrai bien les armes a celui	quar iou connistera bien lez armes a celui	si faredes dixo lançarote|que yo conoçere vien el cauallero enlas armas	disse Lancellotto|ch io conoscerò bene l armi di colui a cui io vo cheggendo in quale	
1270	que je vois querant en quelque lieu je les truisse	qui iou vois querant	que lleba en qualquier lugar	che luogo|ch io il trovasse	
				VE que' dice che	
				poscia	
1271|1272	Et cil dist|puis qu il velt s en retornera:	Etr cil dist|que dont sen retornera il|puis quil le veult	que el vaya yo me tornare dixo el huesped pues vos plaz	ch elli vuole|ch elli|si tornerà|:	⁊ faĩt retournet son hoste
1273	si s en vet	Si sen retorne atant	E luego se torno	si se ne va	
1274	et enmaine o lui le chevalier	& enmaine aueques lui le cheualier	e llebo consigo el cauallero quelas armas auia dado a lançarote	e mena con esso lui il cavaliere	
1275	qui molt est liés de ce	qui moult est lies de ce	que yua muy alegre de aquello	che molto est lieto di ciò	
1276|1277	que Lancelos li doit I|guerredon	que lancelot! doit|j|guerredon	que lançarote le auia prometido	che Lancellotto gli dee uno guiderdone	et prẽt congie de luy
1278|1279|1280	Et Lancelos aquelt son chemin aprés cels|que|? il sieut tant qu il est venus el tertre en haut	Et lancelot|si acuelle son chemin|por aler apres chiaus quil sieut|Tant quil est uenus el tertre en haut	e lançarote se fue porel camino enpos el cauallero|e andubo tanto fasta|que paso porel otero	E Lancellotto accoglie suo camino apresso coloro|che seguita|tanto|ch egli è Purchél penurche|Vjenhaj via venuto al poggio in alti	lãcelot print son chemin apres ceulx|qui sen uoni tant quil est uenu eu tertre en hault
1281|1282	et lors voit devant lui la forest|que l en apele la forest des Trois Perilx	Et lors uoit deuant lui la forest dez|iij|perieus:	e llego avna floresta|que llamauan la floresta delos tres pilares	Allora isguarda davanti lui|si vide la foresta|che l uomo chiama la foresta de' Tre Perigli	et lors uoit deuant lup la foiest des trois perilz
1283|1284	et ce|por quoi ele fu ensi apelee devisera bien li contes ça avant	Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant	e porque fue ella|asi llamada este cuento lo deuisara aca adelante	e ciò perch ella fu insi chiamata vo diviserà il conto ben qua avanti	⁊ ce pout quoy elle est ainsy appellee deuiserabiẽ le compte cy en auant
1285	Quant il fu amont el tertre	Quant lancelot fu amont el tertre	Quando el llego ala floresta	Sl oQuand|e fu montato nel poggio	Mant il fust amonlt eu tertre
1286	si esgarde devant lui	si regarda deuant lui		si isguarda davanti lui	si regar de deuant luy
1287|1288	mais il ne voit nul de cels|que il queroit	mais il ni uit nul de ceaus|que il queroit	e no vido aquel enpos quien yua	ma elli non vide nullo di quelli|ch elli chiedea	
1289|1290|1291|1292	kar il s estoient ja ferus en la forest|Et totes voies sieut il les esclos des chevals|tant que il vient a l entree de la forest;|et lors encontre une damoisele tote chenue	quar il sestoient ia feru en la forest|Et toutes voies sieut il lez esclos dez cheuaus tant quil est uenus a lentree de la ; forest|Et lors encontra vne damoisele toute kenue	e fue entonçe porende muy triste entonçe encontro vna donçella envn muy fermoso palafren	ché s erano già messi nella foresta||ch egli è venuto all entrata della foresta|Allora incontrò elli una dama tutta canuta	et suyst les pas des cheuaulx tant quil uint a lentree de la forest|et lors encõtra une damoiselle toufe chanue
1293	qui chevalchoit molt cointement	qui cheualchoit moult noblement	que hera toda cana	che cavalcava molto contamente	qui cheuauchoit mõlt coinctemẽt tourte descheue|lee
1294	et estoit tote deslie ses treces par ses espaules comme pucele	et auoit sez treches toutes desloies par sez espaulles comme pucele	e lleuaua los cauellos tendidos porlas espaldas|como si fuese muy moça	suo capelli isparti per sue spalle com una pulcella	ses tresches entre ses espaulles comment une pucelle
1295|1296	et avoit en son chief l|chapel de roses	Et auoit en son chief chapel de roses	e traia vn capillejo de Rosas enla cabeça	e avea in suo capo uno capello di rose	⁊ auoit suc son chief ung chapiau de roses
1297|1298|1299	kar c estoit entor la Saint Johan|Il le salue|et ele li dist	quar ce estoit entor la saint iehan : Il le salue maintenant quil la uit|Et elle dist	Ca hera entonçe|por sant juan|e lançarote lo saluo	ché ciò era intorno il Santo Giovanni|Elli saluta ed ella gli dice	il la sallue|et elle luy dist
1300|1301|1302	que bone aventure li doinst Diex|Damoisele fet il me savriés vos a dire|quel part uns chevaliers o unes armes vermeilles s en vet	que diex li donnast boine auenture|Damsolisele fait sil me sasulries vous enseignier|quel part vns cheualiers sen uait|qui porte vnes armes uermeilles	e ella lo torno sus saludes Donçella dixo lançarote saberme yades enseñar|por do va vn Cauallero devnas armas bermejas	che buona aventura gli doni lddio|Dama|disse Lancellotto|mi sapreste vo' dire in quale parti uno cavaliere a une armi vermiglie se ne va	que bonne aduãture luy dõnast dieu damoiselle fait il aues uous point ueu passer par cy ung cheua lier a unes armes uermeilles
				? —Al nome di Dio	
				diss ella	
1303|1304	? — En non Diex fet ele je le vos enseigneroie bien se je voloie|— Dites le moi fet il par covent	Enon dieu fait elle iou le vous enseigneroie bien se iou voloie|Dites le moi fait il par tel couuent	Por dios dixo ella yo voslo enseñare bien|si quisiere dezidme dixo lançarote|Por tal conuenençia	il voi insegnerei bene|s i' volesse|— Ditelme|disse Lancellotto	Eu nom dieu fait elle se ie uoul loie ie uoꝰ lenseigneroie biẽ dictes le moy fait il par tel conuenant
				per convento	
1305	que je soie vostre chevaliers el premier lieu ou vos me requerrois	que iou soie vos cheualiers el premier lieu ou vous me requerres	que yo sea vuestro cauallero enel Primer lugar	che sia vostro cavaliere nel primaio luogo|che vo me ne richiederete	que ie soie uosire cheualier au premier lieu|que uoꝰ me requerres
1306	— Se vos me creantés fet ele	Se vous me creantes fait elle	que me rrequerades Si vosme jurades dixo la donçella	—|?Se vo' mi giurate	
				disse la vecchia	
1307|1308|1309|1310	que vos me sievrois de|quel hore|que vos en semoigne je le vos enseignerai|Et cil li creante	que vous me sieurres el premier lieu ou iou vous en semondrai|iou le vous enseignerai|Et il li creante maintenant :	que vayades conmigo luego enla ora|que vos llamare yo voslo mostrare	che vo'mi seguirete di qualche ora|ch i vo ne riglia|io il vo insegnerò|Ed e' lel giura immantanente	se uous me ꝓmettes q̃ au pre|mier lieu ou ie uous requesray uoꝰ me aideres ie uous lense: gneray|et il tuy promet
1311|1312|1313	dont il se repenti|puis molt durement tel hore fu|Or alés fet ele tot cest chemin	dont il fu|puis corocies|et moult se repenti tele heure fu|Ore ales fait elle tout chest chemin	e lanzarote lo juro luego donde el se arrepintio despues muy duramente tal ora fue Vos yredes poreste camino dixo la donzella fasta	donde si penté poscia duramente tale ora fu|“Or andate|diss ella|tutto questo camino	dõc de pups sen repentist
1314|1315|1316|1317	si li mostre I|sentier estroit|qui aloit al travers de la forest|Si ne tornés fet ele de nule part	si li moustre|j|sentier estroit|qui aloit dentrauers la forest|si ne tornes nulle part	que falledes vn sendero atrauieso dela floresta|e entonçe tomaredes aquel sendero	si gli mostra uno sentieri stretto|ch andava in traverso della foresta|sì non vi volgete|diss ella	Oralles fait elle tout ce chemynen trauers de la forest sãs tourner de nulle part
1318	et quant vos avrois alé entor demie lieue	Et quant vous asulres erre demie lieue	e desque hubieredes porel andado	i'nulla parte|Se quando voi arete andato intorno a meza lega	Quãt uous aures cheuauche enuiron dempe lieue
1319|1320	si verrois delés I|vivier trois paveillons tendus	si troueres|iiij|uiuier|? tendus	quanto vna legua fallaredes antevn nogal tres tiendas Armadas	si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti	si uerres de les une riuiere trois pauillons la dedẽs trouueres le cheualier
		pauellons sor			
		j			
1321	La dedens troverois le chevalier	et la dedens troueres le cheualier	e enla vna dellas fallaredes el Cauallero	: di dentro troverete il cavaliere	
1322|1323	que vos querés|que l en apele Arramant le Gros;	que vous queres|que on apele atramant le gros|?	que buscades aque llaman aramante el grueso	che vo' chiedete|che l uomo chiama Aramonte il Grosso	que uous demandes|et len lappelle arre|ment le gras
1324|1325	si le conoistrois a ces enseignes qu il a en mi le front II|plaies	si le connistres a ces enseignes quil a en mi le front|ij|plaies	e vos lo conoçeredes porestas señales en medio dela frente ados llagas agora vos podedes yr	si 'l conoscerete a queste insegne|ch egli à nel miluogo del viso due colpi	et le cõgnoistres a telles enseignes quil ha deux playes au frõt
1326|1327	Or vos en poés aler|mais que vos m aiés dit vostre nom	Or vous en poes aler fait elle|mais que vous me dites vostre non	mas anteme deçid|como auedes nombre	Or vo ne potete andare|ma'|che vo' m abiate detto vostro nome	or uous en poues aller mes q̃ mayes dist uostre nõ
1328	Et il se nome molt a envis	Et il se nomme moult a enuis	e el se nombro mucho amidos	|si noma molto ad invidia	et il se nõme monlt ẽuiz
1329|1330	et totes voies li dist qu il a non Lancelot del Lac|Alez a Dieu fet ele	mais toutes voies li dist il quil a a non lancelot del lac	e dixo yo he nombre Lançarote del lago Lançarote se partio luego dela donçella	e tuttavia le diss elli|ch egli à nome Lancellotto di Lac	et dist quil a anq̃ lãcelot du lac
1331|1332|1333	|et s en vet tot le chemin qu ele li avoit enseigné|si grant aleure com il plus puet del cheval traire	A tant sen uait lancelot tout le chemin|que elle li ot enseignie|si grant TTaleure comme il puet del cheual traire	e fuese Porel camino|que ella hauia mostrado|e yua tan apriesa|quanto el cauallo podia andar	Atanto	A tant sen ua lancelot tout le chemyn quelle luy a enseigne
			e andubo		
			asi fasta		
1334|1335	tant que il atainst les chevaliers|que il sievoit	tant quil ataint lez cheualiers as quil sieuoit	que alcanço los caualleros depos quien yba	si parte dalla vecchia	tant quil attaint le che ualiee
1336|1337	Et cil lor i escrie|si haut	si lor escrie|si haut	e el les començo a dar vozes de		si luyesccie
1338	que bien porent oîr	que tout le porent bien oir	quanto vido|que le podian oyr		
1339|1340|1341	et maintenant li vient acorant li uns d eus l escu al col le lance el poing|et fu armés de totes armes|Et Lancelos le fiert	Et maintenant li vint a lencontre li vns daus a cheual lescu au col la lance el poing|et fu bien armes de toutes armes|Et lancelot le fiert	e luego vino contrael vno delos caualleros el escudo al cuello|e la lança enla mano armado de todas armas|e lançarote lo yryo	e se ne va tutto suo camino	si haultq̃ bien le peultouie Seconde maintenãt lup uiẽt a lencontre lun de lautre lescu au col la lance au poĩg armes de toutes pieces|et lancelot le fiert
1342|1343	si que pour le hauberc ne remaint qu il ne li met par mi le cors le fer del glaive|si l empaint bien com cil	si durement|que por le hauberc ne remaint il mie quil ne li mete parmi le cors le fer del glaiue|si lempaint bien comme cil	asi tan duramente|que porel escudo ni porla loriga no finco quele no metiese la lança pormedio del cuerpo|e dio conel gran cayda en tierra Como		si duremẽt quil luy met le fer du glaiue parmy le coprs
1344|1345	qui assés ot|et cuer	qui ot alslses cuer	aquel que hera de Gran fuerça	ch ella l avea insegnato	
1346|1347	et force:|si le porte del cheval a terre	et force|si le porte del cheual a terre		sì grande andatura come può del cavallo trarre	si le porte a terre
1348	et retrait son glaive a lui;	puis traist son glaiue a soi			
